,Navn,Long,Lat
41349,"Hvam, 644/8, Fon",59.426548,10.169458
52674,"Berg Søndre, 341/1, Våle",59.382046,10.301462
1071586,"Barkostveien 1, Botne",59.474323,10.186836
1071587,"Barkostveien 2, Botne",59.474554,10.186067
1071596,"Barkostveien 3, Botne",59.473666,10.186954
1071597,"Barkostveien 4, Botne",59.473637,10.18517
1103873,"Kåpeveien 356, Våle",59.376261,10.314987
1103875,"Kåpeveien 366, Våle",59.375245,10.316883
1159909,"Berglyveien 2, Våle",59.373275,10.274676
1159910,"Berglyveien 4, Våle",59.37349,10.274701
1159911,"Berglyveien 6, Våle",59.373715,10.274657
1159912,"Berglyveien 8, Våle",59.373956,10.274877
1160135,"Sunnekleppveien 9, Våle",59.373529,10.275354
1160136,"Sunnekleppveien 8, Våle",59.37422,10.276277
1160137,"Sunnekleppveien 11, Våle",59.373278,10.275327
1160138,"Sunnekleppveien 10, Våle",59.374039,10.276464
1160139,"Sunnekleppveien 14, Våle",59.373617,10.276448
1160140,"Sunnekleppveien 12, Våle",59.373832,10.276492
1160141,"Sunnekleppveien 18, Våle",59.373262,10.275977
1160142,"Sunnekleppveien 16, Våle",59.373458,10.276143
1160158,"Sunnekleppveien 1, Våle",59.374149,10.275254
1160160,"Sunnekleppveien 3, Våle",59.374164,10.275642
1160161,"Sunnekleppveien 2, Våle",59.374578,10.275516
1160162,"Sunnekleppveien 5, Våle",59.373858,10.275718
1160163,"Sunnekleppveien 4, Våle",59.374574,10.275939
1160164,"Sunnekleppveien 7, Våle",59.373713,10.275801
1160165,"Sunnekleppveien 6, Våle",59.374427,10.276215
1160182,"Åslystien 12A, Våle",59.373272,10.27406
1160184,"Åslystien 12C, Våle",59.373091,10.274194
1160185,"Åslystien 12B, Våle",59.373218,10.274093
1160186,"Åslystien 14, Våle",59.372722,10.27432
1160187,"Åslystien 12D, Våle",59.373037,10.274209
1160386,"Revetalkollen 1, Våle",59.368902,10.276412
1160387,"Harestien 13, Våle",59.369414,10.275463
1160388,"Revetalkollen 4, Våle",59.368725,10.277092
1160389,"Revetalkollen 2, Våle",59.368968,10.276995
1160390,"Valleveien 2, Våle",59.370051,10.27737
1160391,"Valleveien 4, Våle",59.369458,10.277436
1160392,"Valleveien 3, Våle",59.369304,10.276673
1160393,"Valleveien 8, Våle",59.368916,10.277732
1160394,"Valleveien 6, Våle",59.369178,10.277549
1160395,"Harestien 2A, Våle",59.369707,10.276741
1160396,"Harestien 1, Våle",59.370067,10.27672
1160397,"Harestien 4, Våle",59.369711,10.276372
1160398,"Harestien 3, Våle",59.370088,10.276333
1160399,"Harestien 6, Våle",59.369479,10.276152
1160400,"Harestien 5, Våle",59.3701,10.27607
1160401,"Harestien 8, Våle",59.369335,10.27627
1160402,"Harestien 7, Våle",59.369988,10.275555
1160403,"Harestien 11, Våle",59.369612,10.275453
1160404,"Harestien 9, Våle",59.369837,10.275391
1160466,"Fjellveien 1, Våle",59.374594,10.269269
1160467,"Fjellveien 3, Våle",59.374307,10.269206
1160468,"Fjellveien 5, Våle",59.373949,10.26914
1160476,"Opthunveien 1, Våle",59.373953,10.268665
1160477,"Opthunveien 3, Våle",59.374357,10.26875
1160478,"Opthunveien 4, Våle",59.375259,10.268344
1160479,"Opthunveien 5, Våle",59.374829,10.269172
1160480,"Opthunveien 6, Våle",59.374732,10.272583
1160481,"Opthunveien 7, Våle",59.375171,10.26996
1160482,"Opthunveien 8, Våle",59.374637,10.27316
1160483,"Opthunveien 9, Våle",59.375059,10.270448
1160484,"Opthunveien 11, Våle",59.37469,10.271455
1160485,"Opthunveien 13, Våle",59.374304,10.272321
1160524,"Kjølsrudveien 1, Våle",59.373403,10.273501
1160525,"Kjølsrudveien 2B, Våle",59.373584,10.272417
1160526,"Kjølsrudveien 4, Våle",59.373814,10.272848
1160527,"Kjølsrudveien 5, Våle",59.374213,10.274306
1160528,"Kjølsrudveien 6, Våle",59.374144,10.273089
1160529,"Kjølsrudveien 7, Våle",59.374354,10.274558
1160530,"Kjølsrudveien 8, Våle",59.374399,10.273591
1160531,"Kjølsrudveien 9, Våle",59.374558,10.274794
1160532,"Kjølsrudveien 10, Våle",59.37461,10.274075
1160533,"Kjølsrudveien 11, Våle",59.3747,10.275028
1160534,"Røråsbakken 1A, Våle",59.373325,10.27415
1160535,"Røråsbakken 1B, Våle",59.373172,10.274232
1160536,"Sirkelveien 1, Våle",59.374902,10.269967
1160537,"Sirkelveien 2, Våle",59.37426,10.270418
1160538,"Sirkelveien 3, Våle",59.374677,10.269941
1160539,"Sirkelveien 4, Våle",59.373837,10.270455
1160540,"Sirkelveien 5, Våle",59.374382,10.269842
1160541,"Sirkelveien 6, Våle",59.374057,10.270886
1160542,"Sirkelveien 7, Våle",59.374058,10.269865
1160543,"Sirkelveien 8, Våle",59.374417,10.270847
1160544,"Sirkelveien 9, Våle",59.373772,10.269767
1160545,"Sirkelveien 10, Våle",59.374706,10.270646
1160546,"Sirkelveien 11, Våle",59.373485,10.269668
1160547,"Sirkelveien 13, Våle",59.373243,10.269659
1160548,"Sirkelveien 15, Våle",59.37346,10.270476
1160549,"Sirkelveien 17, Våle",59.373621,10.271468
1160550,"Sirkelveien 19, Våle",59.373988,10.27157
1160551,"Sirkelveien 21, Våle",59.37431,10.271705
1160584,"Røråsbakken 4, Våle",59.372354,10.275204
1160585,"Røråsbakken 5, Våle",59.371954,10.274802
1160586,"Røråsbakken 6, Våle",59.372499,10.275034
1160587,"Røråsbakken 7, Våle",59.371769,10.275305
1160588,"Røråsbakken 8, Våle",59.372562,10.275001
1160589,"Røråsbakken 9, Våle",59.371714,10.275444
1160590,"Røråsbakken 10, Våle",59.372833,10.274905
1160591,"Røråsbakken 12, Våle",59.372437,10.275911
1160592,"Røråsbakken 13, Våle",59.371658,10.275671
1160593,"Røråsbakken 14, Våle",59.372512,10.276424
1160594,"Røråsbakken 15, Våle",59.372183,10.27613
1160595,"Røråsbakken 17, Våle",59.372278,10.276556
1160600,"Røråsbakken 1C, Våle",59.373153,10.274319
1160601,"Røråsbakken 1D, Våle",59.373009,10.274366
1160602,"Røråsbakken 2, Våle",59.372282,10.275237
1160603,"Røråsbakken 3, Våle",59.372361,10.274465
1160613,"Tykkemarkveien 6, Våle",59.368896,10.275198
1160616,"Tykkemarkveien 9, Våle",59.367361,10.270512
1160617,"Tykkemarkveien 7A, Våle",59.36757,10.270309
1160789,"Lefsrødåsveien 8, Våle",59.367821,10.278588
1160790,"Lefsrødåsveien 7, Våle",59.367692,10.277985
1160791,"Lefsrødåsveien 11, Våle",59.367262,10.277899
1160792,"Lefsrødåsveien 9, Våle",59.367503,10.278084
1160793,"Lefsrødåsveien 15, Våle",59.367047,10.278788
1160794,"Lefsrødåsveien 13, Våle",59.367046,10.277943
1160795,"Lefsrødåsveien 16, Våle",59.367328,10.279432
1160800,"Ekornstien 11, Våle",59.370496,10.275064
1160801,"Ekornstien 10, Våle",59.370241,10.275424
1160802,"Ekornstien 14, Våle",59.369877,10.27497
1160803,"Ekornstien 12, Våle",59.370127,10.275173
1160804,"Lefsrødåsveien 4, Våle",59.368262,10.278499
1160805,"Lefsrødåsveien 3, Våle",59.368216,10.277706
1160806,"Lefsrødåsveien 6, Våle",59.368018,10.278666
1160807,"Lefsrødåsveien 5, Våle",59.367945,10.277801
1160808,"Tykkemarkveien 2, Våle",59.369014,10.275976
1160809,"Revetalkollen 6, Våle",59.368491,10.2771
1160810,"Ekornstien 1, Våle",59.370612,10.276934
1160811,"Tykkemarkveien 4, Våle",59.369072,10.275591
1160812,"Ekornstien 3, Våle",59.370679,10.276567
1160813,"Ekornstien 2, Våle",59.370362,10.276819
1160814,"Ekornstien 5, Våle",59.370763,10.276218
1160815,"Ekornstien 4, Våle",59.370411,10.276451
1160816,"Ekornstien 7, Våle",59.37075,10.27576
1160817,"Ekornstien 6, Våle",59.370387,10.276063
1160818,"Ekornstien 9, Våle",59.370691,10.275371
1160819,"Ekornstien 8, Våle",59.370346,10.275692
1160820,"Valleåsen 13, Ramnes",59.364498,10.268452
1160821,"Valleåsen 11, Ramnes",59.364149,10.268369
1160822,"Valleåsen 17, Ramnes",59.365187,10.268689
1160823,"Valleåsen 15, Ramnes",59.364927,10.268662
1160829,"Valleåsen 24, Ramnes",59.364646,10.27078
1160830,"Valleåsen 22, Ramnes",59.365089,10.270533
1160831,"Valleåsen 28A, Ramnes",59.363878,10.271297
1160832,"Valleåsen 26, Ramnes",59.364347,10.271051
1160833,"Valleåsen 28C, Ramnes",59.363165,10.271622
1160834,"Valleåsen 28B, Ramnes",59.363571,10.271426
1160835,"Valleåsen 28E, Ramnes",59.363811,10.270819
1160836,"Valleåsen 28D, Ramnes",59.362884,10.271893
1160837,"Valleåsen 32, Ramnes",59.363088,10.271232
1160838,"Valleåsen 30, Ramnes",59.363467,10.271088
1160839,"Valleåsen 36, Ramnes",59.362609,10.271549
1160840,"Valleåsen 34, Ramnes",59.362818,10.271328
1160848,"Valleåsen 1A, Ramnes",59.363191,10.267711
1160850,"Valleåsen 5, Ramnes",59.363857,10.267918
1160851,"Valleåsen 3, Ramnes",59.363361,10.268128
1160852,"Valleåsen 9, Ramnes",59.364494,10.267977
1160853,"Valleåsen 7, Ramnes",59.364143,10.268034
1160943,"Valleåsen 63, Ramnes",59.363448,10.269293
1160944,"Valleåsen 61, Ramnes",59.363754,10.269234
1160945,"Valleåsen 67, Ramnes",59.362779,10.269743
1160946,"Valleåsen 65, Ramnes",59.363106,10.269351
1160947,"Valleåsen 71, Ramnes",59.362537,10.270666
1160948,"Valleåsen 69, Ramnes",59.362623,10.270124
1160949,"Valleåsen 75, Ramnes",59.362151,10.270564
1160950,"Valleåsen 73, Ramnes",59.362381,10.270977
1160951,"Valleåsen 79, Ramnes",59.361775,10.271377
1160952,"Valleåsen 77, Ramnes",59.361896,10.270994
1160954,"Valleåsen 81, Ramnes",59.361815,10.271871
1160959,"Valleåsen 39, Ramnes",59.365254,10.269184
1160960,"Valleåsen 38, Ramnes",59.362432,10.272211
1160961,"Valleåsen 41, Ramnes",59.36526,10.269554
1160962,"Valleåsen 40, Ramnes",59.364473,10.270123
1160963,"Valleåsen 43, Ramnes",59.364898,10.269822
1160964,"Valleåsen 42, Ramnes",59.364324,10.269713
1160965,"Valleåsen 45, Ramnes",59.364104,10.270144
1160966,"Valleåsen 44, Ramnes",59.36391,10.269873
1160967,"Valleåsen 48, Ramnes",59.363288,10.270026
1160968,"Valleåsen 47, Ramnes",59.363816,10.270292
1160969,"Valleåsen 51, Ramnes",59.362906,10.270504
1160970,"Valleåsen 49, Ramnes",59.363347,10.270415
1160971,"Valleåsen 55, Ramnes",59.364867,10.269311
