,Navn,Long,Lat
1172244,"Askveien 6, Sandar",59.140961,10.235796
1172246,"Askveien 4, Sandar",59.141013,10.236204
1172262,"Askveien 1, Sandar",59.140693,10.236689
1172590,"Einerveien 4, Sandar",59.139301,10.240415
1172595,"Einerveien 20, Sandar",59.138454,10.236709
1172596,"Einerveien 18, Sandar",59.138738,10.236848
1172597,"Einerveien 17, Sandar",59.139088,10.236422
1172598,"Einerveien 6B, Sandar",59.139724,10.240377
1172599,"Einerveien 6A, Sandar",59.139493,10.240142
1172600,"Einerveien 8, Sandar",59.139371,10.239648
1172601,"Einerveien 10, Sandar",59.139333,10.238982
1172865,"Bokeveien 3, Sandar",59.141807,10.235957
1172866,"Bokeveien 1A, Sandar",59.141962,10.236438
1172884,"Bokeveien 14, Sandar",59.142128,10.235139
1172885,"Bokeveien 12, Sandar",59.141793,10.235185
1172886,"Bokeveien 10, Sandar",59.14145,10.235493
1172887,"Bokeveien 8, Sandar",59.141215,10.23566
1172889,"Bokeveien 20, Sandar",59.14281,10.234606
1172890,"Bokeveien 18, Sandar",59.142691,10.234676
1172891,"Bokeveien 16, Sandar",59.142516,10.234832
1172892,"Bjørnåsveien 14, Sandar",59.149637,10.234453
1172893,"Bjørnåsveien 13, Sandar",59.149592,10.233736
1172894,"Bjørnåsveien 11, Sandar",59.149917,10.233875
1172895,"Bjørnåsveien 10, Sandar",59.150091,10.234493
1172896,"Bjørnåsveien 18, Sandar",59.149362,10.234878
1172897,"Bjørnåsveien 17, Sandar",59.149087,10.233286
1172898,"Bjørnåsveien 16, Sandar",59.149427,10.234417
1172899,"Bjørnåsveien 15, Sandar",59.149374,10.233314
1172900,"Bjørnåsveien 5, Sandar",59.150734,10.233798
1172901,"Bjørnåsveien 4, Sandar",59.150909,10.234365
1172902,"Bjørnåsveien 3, Sandar",59.150989,10.233807
1172904,"Bjørnåsveien 9, Sandar",59.150185,10.233955
1172905,"Bjørnåsveien 8, Sandar",59.150377,10.234574
1172906,"Bjørnåsveien 7, Sandar",59.150456,10.233877
1172907,"Bjørnåsveien 6, Sandar",59.15063,10.234531
1172911,"Bjørnåsveien 27, Sandar",59.147996,10.233736
1172916,"Bjørnåsveien 22, Sandar",59.148803,10.234867
1172917,"Bjørnåsveien 21, Sandar",59.149056,10.233757
1172918,"Bjørnåsveien 20, Sandar",59.14902,10.234682
1172919,"Bjørnåsveien 19, Sandar",59.148836,10.233294
1172920,"Bjørnåsveien 26, Sandar",59.148105,10.234442
1172921,"Bjørnåsveien 25, Sandar",59.148277,10.233466
1172922,"Bjørnåsveien 24, Sandar",59.148483,10.234435
1172923,"Bjørnåsveien 23, Sandar",59.148751,10.233693
1172932,"Lindeveien 8, Sandar",59.138407,10.237462
1172933,"Lindeveien 7, Sandar",59.138666,10.237368
1172934,"Lindeveien 6, Sandar",59.138491,10.237781
1172935,"Lindeveien 5, Sandar",59.138771,10.237651
1172938,"Lindeveien 12, Sandar",59.138212,10.236897
1172939,"Lindeveien 10, Sandar",59.138321,10.237156
1172955,"Lindeveien 4, Sandar",59.138569,10.238116
1172956,"Lindeveien 3, Sandar",59.138837,10.238127
1172957,"Lindeveien 2, Sandar",59.138674,10.238382
1172958,"Lindeveien 1, Sandar",59.138953,10.238665
1172959,"Brentåsveien 34, Sandar",59.1489,10.236898
1172960,"Brentåsveien 33, Sandar",59.148205,10.238184
1172961,"Brentåsveien 32, Sandar",59.148585,10.236992
1172962,"Brentåsveien 31, Sandar",59.147891,10.238155
1172963,"Brentåsveien 39, Sandar",59.148834,10.238189
1172964,"Brentåsveien 37, Sandar",59.148694,10.2378
1172965,"Brentåsveien 36, Sandar",59.149178,10.236943
