,Navn,Long,Lat
52705,"Fossli Bommestad, 2008/286, Hedrum",59.086246,10.064625
54817,"2008/349, Hedrum",59.079147,10.059731
54818,"2008/349-2, Hedrum",59.079239,10.059926
54819,"2008/349-3, Hedrum",59.079287,10.059914
54823,"2008/349-1, Hedrum",59.079146,10.05982
1136982,"Nedre Sagkammen 9, Hedrum",59.07781,10.055227
1136983,"Nedre Sagkammen 7, Hedrum",59.077835,10.055406
1136984,"Nedre Sagkammen 5, Hedrum",59.077857,10.055532
1136985,"Nedre Sagkammen 3, Hedrum",59.077876,10.055662
1136986,"Nedre Sagkammen 1, Hedrum",59.0779,10.055802
1136987,"Nordre Hagavei 37, Hedrum",59.076215,10.053985
1136988,"Nordre Hagavei 35, Hedrum",59.076499,10.054327
1137005,"Nordbykammen 2, Hedrum",59.078944,10.054922
1137006,"Nordbykammen 1, Hedrum",59.078953,10.055283
1140024,"Sørlandske hovedvei 339, Hedrum",59.086971,10.067225
1143320,"Faret 10, Hedrum",59.071231,10.05351
1143321,"Faret 8, Hedrum",59.070977,10.053033
1143322,"Faret 6, Hedrum",59.070378,10.052317
1143338,"Faret 22, Hedrum",59.072699,10.056347
1143339,"Faret 20, Hedrum",59.07195,10.055644
1143872,"Kverken 19, Hedrum",59.082528,10.061413
1143873,"Kverken 17, Hedrum",59.082599,10.06152
1143874,"Kverken 16, Hedrum",59.084465,10.0617
1143875,"Kverken 15, Hedrum",59.08267,10.06154
1143876,"Kverken 14, Hedrum",59.084754,10.061569
1143877,"Kverken 4, Hedrum",59.084653,10.062273
1143878,"Kverken 2, Hedrum",59.084424,10.062379
1143879,"Kverken 1, Hedrum",59.083885,10.06234
1143886,"Kverken 22, Hedrum",59.083482,10.061093
1143887,"Kverken 21, Hedrum",59.082465,10.061376
1143888,"Gjærdal 5, Hedrum",59.070793,10.054217
1143889,"Gjærdal 2, Hedrum",59.069649,10.051768
1143890,"Gjærdal 1B, Hedrum",59.070083,10.052185
1143891,"Gjærdal 1A, Hedrum",59.07013,10.051925
1143893,"Kverken 18B, Hedrum",59.084255,10.060995
1143896,"Hagaringen 11, Hedrum",59.075881,10.049057
1143897,"Hagaringen 10, Hedrum",59.075904,10.049881
1143898,"Hagaringen 9, Hedrum",59.075747,10.049009
1143899,"Hagaringen 8, Hedrum",59.075923,10.049634
1143900,"Hagaringen 7, Hedrum",59.075589,10.049038
1143901,"Hagaringen 6, Hedrum",59.075747,10.049651
1143902,"Hagaringen 5, Hedrum",59.07543,10.049174
1143903,"Hagaringen 4, Hedrum",59.075574,10.049465
1143904,"Hagaringen 3, Hedrum",59.075303,10.049475
1143905,"Hagaringen 2, Hedrum",59.075479,10.049872
1143906,"Hagaringen 1, Hedrum",59.075275,10.049932
1143907,"Gjærdal 12, Hedrum",59.070838,10.055418
1143908,"Gjærdal 10, Hedrum",59.070608,10.054992
1143909,"Gjærdal 9, Hedrum",59.071576,10.054295
1143910,"Gjærdal 8, Hedrum",59.069684,10.054859
1143911,"Gjærdal 7, Hedrum",59.071358,10.054464
1143912,"Hagatoppen 3, Hedrum",59.075613,10.050977
1143913,"Hagaliveien 15, Hedrum",59.076931,10.052681
1143914,"Hagaliveien 13, Hedrum",59.076632,10.05245
1143915,"Hagaliveien 11, Hedrum",59.076703,10.052906
1143916,"Hagaliveien 9, Hedrum",59.076432,10.05276
1143917,"Hagaliveien 7, Hedrum",59.076163,10.052488
1143918,"Hagaliveien 6, Hedrum",59.075104,10.051906
1143919,"Hagaliveien 5, Hedrum",59.075238,10.051328
1143920,"Hagaliveien 4, Hedrum",59.074906,10.051628
1143921,"Hagaliveien 3, Hedrum",59.075037,10.050969
1143922,"Hagaliveien 2, Hedrum",59.07473,10.051468
1143923,"Hagaliveien 1, Hedrum",59.074793,10.051056
1143924,"Hagabakken 3, Hedrum",59.074513,10.05129
1143925,"Hagabakken 2B, Hedrum",59.073957,10.050699
1143926,"Hagabakken 2A, Hedrum",59.074199,10.050776
1143927,"Hagabakken 1A, Hedrum",59.074472,10.050678
1143928,"Hagaveien 13, Hedrum",59.072441,10.047147
1143929,"Hagaveien 12, Hedrum",59.07185,10.046884
1143930,"Hagaveien 11, Hedrum",59.072255,10.046775
1143931,"Hagaveien 9, Hedrum",59.072149,10.046597
1143932,"Hagatoppen 16, Hedrum",59.076496,10.051822
1143933,"Hagatoppen 15, Hedrum",59.076644,10.051823
1143934,"Hagatoppen 14, Hedrum",59.076259,10.05175
1143935,"Hagatoppen 13, Hedrum",59.076548,10.051556
1143936,"Hagatoppen 12, Hedrum",59.076058,10.051773
1143937,"Hagatoppen 11, Hedrum",59.076377,10.051281
1143938,"Hagatoppen 10, Hedrum",59.075895,10.05174
1143939,"Hagatoppen 9, Hedrum",59.076141,10.051308
1143940,"Hagatoppen 8, Hedrum",59.075692,10.051724
1143941,"Hagatoppen 7, Hedrum",59.075978,10.051389
1143942,"Hagatoppen 6, Hedrum",59.075458,10.05154
1143943,"Hagatoppen 5, Hedrum",59.075776,10.051264
1143944,"Hagaveien 28, Hedrum",59.073169,10.049197
1143945,"Hagaveien 27, Hedrum",59.074364,10.049494
1143946,"Hagaveien 25A, Hedrum",59.074178,10.049532
1143947,"Hagaveien 24, Hedrum",59.072636,10.048548
1143948,"Hagaveien 23B, Hedrum",59.073934,10.049135
1143949,"Hagaveien 23A, Hedrum",59.073745,10.04896
1143950,"Hagaveien 22, Hedrum",59.07245,10.048211
1143951,"Hagaveien 21, Hedrum",59.073599,10.048843
1143952,"Hagaveien 20, Hedrum",59.0723,10.047927
1143953,"Hagaveien 19, Hedrum",59.073416,10.048628
