,Navn,Long,Lat
631304,"Drammensveien 14L, Haug",59.767184,9.912389
631305,"Drammensveien 14M, Haug",59.76703,9.912545
631306,"Drammensveien 14J, Haug",59.767275,9.912267
631307,"Drammensveien 14K, Haug",59.767238,9.912301
631308,"Drammensveien 14P, Haug",59.767258,9.912035
631309,"Drammensveien 14Q, Haug",59.767329,9.912197
631310,"Drammensveien 14N, Haug",59.766967,9.91265
631311,"Drammensveien 14O, Haug",59.767231,9.912034
631312,"Drammensveien 14D, Haug",59.766984,9.912757
631313,"Drammensveien 14E, Haug",59.767029,9.912687
631314,"Moseveien 3B, Haug",59.76319,9.931239
631315,"Drammensveien 14C, Haug",59.767211,9.912354
631316,"Drammensveien 14H, Haug",59.767258,9.912124
631317,"Drammensveien 14I, Haug",59.767347,9.912162
631318,"Drammensveien 14F, Haug",59.767075,9.912617
631319,"Drammensveien 14G, Haug",59.767231,9.912123
631324,"Moseveien 3A, Haug",59.763198,9.931364
631330,"Stubben 4, Haug",59.766423,9.923584
631331,"Stubben 5, Haug",59.765988,9.922878
631332,"Stubben 1, Haug",59.766003,9.923341
631333,"Stubben 3, Haug",59.766194,9.922919
631334,"Stubben 8, Haug",59.766644,9.922772
631335,"Stubben 9, Haug",59.766434,9.922
631336,"Stubben 6, Haug",59.766533,9.923267
631337,"Stubben 7, Haug",59.76627,9.922387
631338,"Kongleveien 11, Haug",59.765812,9.921388
631339,"Kongleveien 12, Haug",59.766068,9.921759
631340,"Kongleveien 9, Haug",59.765591,9.921906
631341,"Kongleveien 10, Haug",59.765949,9.922111
631342,"Kongleveien 15, Haug",59.766095,9.920513
631343,"Kongleveien 16, Haug",59.766333,9.921036
631344,"Kongleveien 13, Haug",59.765893,9.92106
631345,"Kongleveien 14, Haug",59.766214,9.921424
631346,"Kongleveien 1, Haug",59.765335,9.923768
631347,"Kongleveien 2, Haug",59.765662,9.923332
631348,"Furuveien 18, Haug",59.765892,9.919973
631349,"Furuveien 19, Haug",59.765688,9.919774
631350,"Kongleveien 7, Haug",59.765483,9.922424
631351,"Kongleveien 8, Haug",59.765794,9.922463
631352,"Kongleveien 3, Haug",59.765375,9.923288
631353,"Kongleveien 6, Haug",59.765763,9.922943
631354,"Furuveien 11, Haug",59.765084,9.921233
631355,"Furuveien 12, Haug",59.765423,9.921545
631356,"Furuveien 9, Haug",59.764982,9.921604
631357,"Furuveien 10, Haug",59.765312,9.921973
631358,"Furuveien 15, Haug",59.765431,9.92037
631359,"Furuveien 16, Haug",59.765706,9.920787
631360,"Furuveien 13, Haug",59.765283,9.920712
632046,"Furuveien 14, Haug",59.765558,9.921164
632047,"Furuveien 2, Haug",59.765128,9.923661
632048,"Furuveien 3, Haug",59.764846,9.923185
632049,"Ekornveien 31, Haug",59.765394,9.918361
632050,"Furuveien 1, Haug",59.764806,9.923682
632051,"Furuveien 6, Haug",59.76518,9.922856
632052,"Furuveien 8, Haug",59.765224,9.922444
632053,"Furuveien 4, Haug",59.765115,9.923228
632054,"Furuveien 5, Haug",59.764851,9.922419
632055,"Ekornveien 19, Haug",59.763963,9.921042
632056,"Ekornveien 22, Haug",59.765512,9.919055
632057,"Ekornveien 17, Haug",59.76433,9.921141
632058,"Ekornveien 18, Haug",59.765037,9.920235
632059,"Ekornveien 27, Haug",59.7652,9.918753
