,Navn,Long,Lat
21436,"91/2, Lyngdal",59.904053,9.651269
21437,"91/13, Lyngdal",59.899581,9.660226
21445,"84/2, Lyngdal",59.896594,9.696306
21499,"84/4-1, Lyngdal",59.904994,9.695624
21519,"91/2-5, Lyngdal",59.905315,9.648344
21520,"91/2-6, Lyngdal",59.905614,9.647938
21522,"91/2-1, Lyngdal",59.905801,9.644634
21523,"91/2-2, Lyngdal",59.905831,9.647549
21524,"91/2-3, Lyngdal",59.905505,9.646238
21525,"91/2-4, Lyngdal",59.905009,9.648498
21986,"63/1, Sigdal",59.922463,9.69311
21987,"65/1-1, Sigdal",59.901295,9.722146
36183,"91/2-7, Lyngdal",59.905208,9.647642
632170,"Skibrekkveien 194, Bakke",59.863746,9.849411
632173,"Skibrekkveien 190, Bakke",59.864167,9.849565
632212,"Fjerdingstadveien 139, Bakke",59.859176,9.915763
633968,"Brattbakken 1, Bakke",59.845561,9.886193
633969,"Brattbakken 3, Bakke",59.845619,9.885695
633970,"Brattbakken 7, Bakke",59.845911,9.884935
633971,"Brattbakken 8, Bakke",59.846149,9.885673
633972,"Brattbakken 5, Bakke",59.845853,9.885505
633973,"Brattbakken 6, Bakke",59.846169,9.885281
633974,"Kopperudsvingen 2D, Bakke",59.845046,9.890783
633975,"Kopperudsvingen 4, Bakke",59.845201,9.890359
633976,"Kopperudsvingen 2B, Bakke",59.844731,9.890757
633977,"Kopperudsvingen 2C, Bakke",59.844982,9.890835
633978,"Kopperudsvingen 10, Bakke",59.845005,9.890122
633979,"Kopperudsvingen 12, Bakke",59.844772,9.890009
633980,"Kopperudsvingen 6, Bakke",59.845129,9.890393
633981,"Kopperudsvingen 8, Bakke",59.845095,9.890089
633982,"Kopperudhøgda 17, Bakke",59.84338,9.891417
633983,"Kopperudhøgda 19, Bakke",59.843482,9.890938
633984,"Kopperudhøgda 14, Bakke",59.843234,9.890467
633985,"Kopperudhøgda 15, Bakke",59.843676,9.891496
633986,"Kopperudhøgda 25, Bakke",59.843032,9.891033
633987,"Kopperudsvingen 2A, Bakke",59.844454,9.890643
633988,"Kopperudhøgda 21, Bakke",59.843249,9.890932
633989,"Kopperudhøgda 23, Bakke",59.843095,9.891035
633990,"Kopperudhøgda 8, Bakke",59.843864,9.890181
633991,"Kopperudhøgda 9, Bakke",59.843967,9.890933
633992,"Kopperudhøgda 6, Bakke",59.843937,9.890093
633993,"Kopperudhøgda 7, Bakke",59.844199,9.891153
633994,"Kopperudhøgda 12, Bakke",59.843432,9.890365
633995,"Kopperudhøgda 13, Bakke",59.843964,9.891361
633996,"Kopperudhøgda 10, Bakke",59.843621,9.890281
633997,"Kopperudhøgda 11, Bakke",59.843796,9.890928
634002,"Kopperudhøgda 3, Bakke",59.844691,9.891363
634003,"Kopperudhøgda 5, Bakke",59.844494,9.891375
634005,"Kopperudhøgda 1, Bakke",59.844915,9.89144
634012,"Stasjonsveien 15, Bakke",59.84468,9.894061
634015,"Strandveien 13, Bakke",59.845029,9.895851
634016,"Strandveien 15, Bakke",59.845207,9.89607
634017,"Strandveien 5, Bakke",59.843936,9.895536
634018,"Strandveien 9, Bakke",59.844653,9.895663
634021,"Strandveien 17, Bakke",59.845504,9.89606
634023,"Stasjonsveien 9, Bakke",59.844083,9.893738
634024,"Stasjonsveien 11, Bakke",59.84429,9.893547
634025,"Underberget 26, Bakke",59.848374,9.893853
634026,"Stasjonsveien 3, Bakke",59.843681,9.89337
634027,"Stasjonsveien 23, Bakke",59.845673,9.894869
634028,"Strandveien 3, Bakke",59.843666,9.895583
634029,"Stasjonsveien 19, Bakke",59.845351,9.894664
634030,"Stasjonsveien 21, Bakke",59.845611,9.894814
634031,"Underberget 7, Bakke",59.844887,9.89301
634032,"Underberget 9, Bakke",59.845297,9.893449
634033,"Brattbakken 9, Bakke",59.846111,9.884548
634034,"Underberget 18, Bakke",59.846417,9.895103
634035,"Underberget 10, Bakke",59.845535,9.894044
634036,"Underberget 11, Bakke",59.845799,9.893605
634071,"Kopperudsvingen 18, Bakke",59.844485,9.890072
634072,"Kopperudsvingen 20, Bakke",59.844368,9.890069
634073,"Kopperudsvingen 14, Bakke",59.844709,9.890043
634074,"Kopperudsvingen 16, Bakke",59.844575,9.890039
634075,"Kopperudsvingen 26, Bakke",59.844071,9.890115
634077,"Kopperudsvingen 22, Bakke",59.844278,9.89012
634078,"Kopperudsvingen 24, Bakke",59.844152,9.890081
634401,"Hellerudveien 11, Bakke",59.848001,9.879468
634402,"Hellerudveien 13, Bakke",59.848076,9.879406
634403,"Hellerudveien 9, Bakke",59.848172,9.879089
634404,"Hellerudveien 10, Bakke",59.84739,9.878656
634405,"Hellerudveien 18, Bakke",59.847676,9.880145
634406,"Hellerudveien 19, Bakke",59.847999,9.880243
634407,"Hellerudveien 15, Bakke",59.848151,9.879458
634408,"Hellerudveien 17, Bakke",59.848154,9.879854
634409,"Hellerudveien 2A, Bakke",59.848126,9.877373
634410,"Hellerudveien 2B, Bakke",59.847936,9.877511
634411,"Sandakerjordet 9, Bakke",59.847235,9.877688
634412,"Sandakerjordet 10, Bakke",59.847104,9.87715
634413,"Hellerudveien 6, Bakke",59.847815,9.878203
634414,"Hellerudveien 7, Bakke",59.848088,9.879067
634415,"Hellerudveien 4, Bakke",59.847611,9.877895
634416,"Hellerudveien 5, Bakke",59.848042,9.879073
634417,"Sandakerjordet 2, Bakke",59.847928,9.876118
634418,"Sandakerjordet 3, Bakke",59.847805,9.877061
634420,"Sandakerjordet 1, Bakke",59.848058,9.876818
634421,"Sandakerjordet 7, Bakke",59.847506,9.877481
634422,"Sandakerjordet 8, Bakke",59.847412,9.876747
634423,"Sandakerjordet 4, Bakke",59.847613,9.876128
634424,"Sandakerjordet 6, Bakke",59.847683,9.876487
634541,"Underberget 6, Bakke",59.844981,9.893744
634875,"Hæreberget 21, Bakke",59.847038,9.870759
634876,"Hæreberget 22, Bakke",59.847444,9.870484
634877,"Hæreberget 18, Bakke",59.847782,9.8696
634878,"Hæreberget 19, Bakke",59.846795,9.870913
634881,"Hæreberget 25, Bakke",59.845574,9.870881
634882,"Hæreberget 26, Bakke",59.846245,9.868436
634883,"Hæreberget 7, Bakke",59.847348,9.872801
634884,"Hæreberget 9, Bakke",59.847317,9.872051
634885,"Hæreberget 4, Bakke",59.84793,9.871674
634886,"Hæreberget 6, Bakke",59.847743,9.871455
634887,"Hæreberget 15, Bakke",59.846313,9.873095
634888,"Hæreberget 16, Bakke",59.847984,9.869016
634889,"Hæreberget 11, Bakke",59.847037,9.872276
634890,"Hæreberget 14, Bakke",59.848204,9.869683
634895,"Hæreberget 1, Bakke",59.848059,9.872267
634896,"Hæreberget 2, Bakke",59.848181,9.871752
635450,"Skotselvveien 525, Bakke",59.807015,9.88148
635451,"Skotselvveien 527, Bakke",59.80733,9.881381
635452,"Skotselvveien 520, Haug",59.806311,9.881978
635453,"Skotselvveien 523, Bakke",59.806772,9.881562
635454,"Skotselvveien 536, Haug",59.807179,9.885174
635455,"Skotselvveien 538, Haug",59.8079,9.885106
635456,"Skotselvveien 529, Bakke",59.807335,9.881916
635457,"Skotselvveien 535, Bakke",59.807767,9.881856
635458,"Skotselvveien 449, Haug",59.800247,9.877006
635459,"Skotselvveien 452, Haug",59.800708,9.87921
635462,"Skotselvveien 508, Haug",59.80505,9.883834
635463,"Skotselvveien 512, Haug",59.805391,9.885305
635464,"Skotselvveien 465, Bakke",59.801784,9.879541
635465,"Skotselvveien 469, Bakke",59.805592,9.876665
635516,"Skotselvveien 869, Bakke",59.836369,9.872318
635517,"Skotselvveien 870, Bakke",59.836622,9.873466
635521,"Skotselvveien 687, Bakke",59.820614,9.878254
635522,"Skotselvveien 725, Bakke",59.823894,9.876593
635523,"Skotselvveien 584, Bakke",59.811999,9.882788
635524,"Skotselvveien 585, Bakke",59.811931,9.880807
635525,"Skotselvveien 743, Bakke",59.825523,9.876065
635526,"Skotselvveien 795, Bakke",59.830041,9.87324
635527,"Skotselvveien 735, Bakke",59.824786,9.876099
635528,"Skotselvveien 741, Bakke",59.825317,9.875917
635533,"Skotselvveien 540, Haug",59.808346,9.885112
635534,"Skotselvveien 578, Bakke",59.811572,9.882206
635535,"Skotselvveien 451, Haug",59.800726,9.877892
635536,"Skotselvveien 516, Haug",59.805809,9.881893
635552,"Skotselvveien 793, Bakke",59.829761,9.873394
635553,"Skotselvveien 796, Bakke",59.830094,9.876042
635554,"Skotselvveien 786, Bakke",59.829482,9.876276
635555,"Skotselvveien 836, Bakke",59.833771,9.875425
635556,"Skotselvveien 873, Bakke",59.836773,9.872328
635557,"Skotselvveien 802, Bakke",59.830661,9.875915
635558,"Skotselvveien 817, Bakke",59.831765,9.874516
635559,"Skotselvveien 605, Bakke",59.813452,9.880366
635560,"Skotselvveien 615, Bakke",59.814438,9.880606
635561,"Skotselvveien 599, Bakke",59.813163,9.880661
635562,"Skotselvveien 601, Bakke",59.813105,9.87984
635563,"Skotselvveien 749, Bakke",59.826046,9.875776
635564,"Skotselvveien 671, Bakke",59.81933,9.878256
635565,"Skotselvveien 691, Bakke",59.820925,9.87792
635566,"Skotselvveien 569, Bakke",59.810769,9.881436
635567,"Myreveien 2, Bakke",59.811756,9.881621
635568,"Skotselvveien 541, Bakke",59.80834,9.882085
635569,"Skotselvveien 567, Bakke",59.810544,9.881537
635570,"Skotselvveien 589, Bakke",59.812334,9.881085
635571,"Skotselvveien 590, Bakke",59.812617,9.881717
635572,"Skotselvveien 582, Bakke",59.810943,9.883562
635573,"Skotselvveien 586, Bakke",59.812283,9.881975
635597,"Skotselvveien 719, Bakke",59.822829,9.876658
635697,"Verksveien 4, Bakke",59.843404,9.894487
635698,"Bergaveien 25, Bakke",59.845433,9.887974
635699,"Bergaveien 13, Bakke",59.844593,9.888594
635700,"Verksveien 18, Bakke",59.842478,9.891946
635701,"Verksveien 20, Bakke",59.842299,9.891941
635702,"Verksveien 14, Bakke",59.842747,9.892007
635703,"Bergaveien 11, Bakke",59.844474,9.888966
635704,"Bergaveien 15, Bakke",59.844701,9.888579
635705,"Bergaveien 1, Bakke",59.843942,9.889344
635706,"Bergaveien 3, Bakke",59.843727,9.889249
635707,"Bergaveien 27, Bakke",59.845633,9.887515
635708,"Bergaveien 19, Bakke",59.844881,9.88862
635709,"Bergaveien 23, Bakke",59.84516,9.888484
635710,"Bergaveien 24, Bakke",59.845201,9.889074
635712,"Kopperudveien 1, Bakke",59.843503,9.889207
635714,"Kopperudveien 15, Bakke",59.845677,9.89039
635715,"Kopperudveien 16, Bakke",59.846643,9.892307
635716,"Kopperudveien 4, Bakke",59.843103,9.889893
635717,"Kopperudveien 6, Bakke",59.84299,9.890132
635752,"Hellerudveien 16, Bakke",59.847689,9.879646
635755,"Verksveien 36, Bakke",59.841961,9.891433
635756,"Verksveien 37, Bakke",59.840773,9.891849
635757,"Verksveien 32, Bakke",59.841917,9.891324
635758,"Verksveien 34, Bakke",59.841934,9.891396
635759,"Verksveien 44, Bakke",59.842232,9.891261
635760,"Verksveien 46, Bakke",59.842179,9.891028
635761,"Verksveien 38, Bakke",59.84188,9.891413
635762,"Verksveien 42, Bakke",59.842204,9.891314
635763,"Verksveien 19, Bakke",59.842457,9.892445
635764,"Verksveien 7, Bakke",59.842016,9.893986
635765,"Verksveien 116, Bakke",59.842814,9.879865
635766,"Verksveien 163, Bakke",59.838067,9.877554
635767,"Verksveien 30, Bakke",59.84189,9.89127
635768,"Verksveien 31, Bakke",59.839684,9.892228
635769,"Verksveien 8, Bakke",59.843516,9.892616
635770,"Verksveien 27A, Bakke",59.838826,9.895185
635771,"Brattbakken 2N, Bakke",59.845042,9.887516
635772,"Brattbakken 2M, Bakke",59.845107,9.887396
635773,"Verksveien 175, Bakke",59.83703,9.874155
635774,"Verksveien 179, Bakke",59.837151,9.873462
635775,"Verksveien 91, Bakke",59.84454,9.884542
635776,"Verksveien 101, Bakke",59.843883,9.883346
635777,"Verksveien 86, Bakke",59.844925,9.883356
635778,"Verksveien 90, Bakke",59.844353,9.883002
635779,"Verksveien 148, Bakke",59.840145,9.875646
635780,"Verksveien 152, Bakke",59.839608,9.8754
635781,"Verksveien 139, Bakke",59.840499,9.877779
635782,"Verksveien 144, Bakke",59.839056,9.87328
635783,"Verksveien 167, Bakke",59.837752,9.873621
635784,"Verksveien 171, Bakke",59.837412,9.873398
635785,"Verksveien 157, Bakke",59.838633,9.874804
635786,"Verksveien 159, Bakke",59.838162,9.874042
635787,"Verksveien 122, Bakke",59.841907,9.87944
635788,"Verksveien 126, Bakke",59.841585,9.879306
635789,"Verksveien 114, Bakke",59.842877,9.879387
635790,"Verksveien 120, Bakke",59.842112,9.879713
635791,"Verksveien 132, Bakke",59.841247,9.878762
635792,"Verksveien 136, Bakke",59.841301,9.877461
635793,"Verksveien 128, Bakke",59.841362,9.878979
635794,"Verksveien 130, Bakke",59.841535,9.878609
635795,"Verksveien 97, Bakke",59.84423,9.883909
635796,"Verksveien 98, Bakke",59.844224,9.882142
635797,"Verksveien 93, Bakke",59.844743,9.8851
635798,"Verksveien 96, Bakke",59.844124,9.882336
635799,"Verksveien 107, Bakke",59.843458,9.882568
635800,"Verksveien 108, Bakke",59.843602,9.881126
635801,"Verksveien 100, Bakke",59.844599,9.88242
635802,"Verksveien 105, Bakke",59.843561,9.883142
635803,"Verksveien 80, Bakke",59.845375,9.885831
635804,"Verksveien 81, Bakke",59.845129,9.885021
635805,"Verksveien 66, Bakke",59.844157,9.888118
635806,"Verksveien 72, Bakke",59.844833,9.887744
635807,"Verksveien 88, Bakke",59.844776,9.88287
635808,"Verksveien 89, Bakke",59.844508,9.883863
635809,"Verksveien 82A, Bakke",59.845474,9.885304
635810,"Verksveien 85, Bakke",59.844927,9.884463
635811,"Verksveien 28, Bakke",59.841863,9.891252
635812,"Verksveien 40, Bakke",59.842114,9.891347
635813,"Verksveien 23, Bakke",59.841929,9.892199
635814,"Verksveien 24, Bakke",59.842021,9.891791
635815,"Verksveien 62, Bakke",59.843867,9.88845
635816,"Verksveien 63, Bakke",59.843869,9.888093
635817,"Verksveien 60, Bakke",59.843704,9.888695
635820,"Verksveien 70, Bakke",59.844579,9.888112
635822,"Verksveien 48, Bakke",59.842215,9.891047
635823,"Verksveien 54, Bakke",59.842962,9.88955
635961,"Ringeriksveien 790, Bakke",59.841957,9.91422
