,Navn,Long,Lat
55792,"101/4, Frogner",59.795324,10.292189
55793,"101/13, Frogner",59.795644,10.289778
55796,"103/1-2, Frogner",59.78493,10.282416
55854,"100/77/3, Frogner",59.796387,10.279862
55855,"100/77/1, Frogner",59.796099,10.280849
55876,"103/6, Frogner",59.790195,10.300723
2098915,"Myraveien 24, Frogner",59.788904,10.280323
2387535,"Reistadlia 2B, Frogner",59.776115,10.283358
2535881,"Myraveien 46, Frogner",59.787481,10.282354
2535970,"Bekkefaret 1, Frogner",59.777387,10.288806
2535971,"Bekkefaret 2A, Frogner",59.777838,10.289536
2535972,"Bekkefaret 3, Frogner",59.777667,10.288639
2535973,"Bekkefaret 4, Frogner",59.778096,10.288833
2535974,"Bekkefaret 5, Frogner",59.777886,10.288291
2535975,"Bekkefaret 7, Frogner",59.778516,10.287246
2536091,"Bjørkeveien 1, Frogner",59.77655,10.287099
2536092,"Bjørkeveien 3, Frogner",59.776838,10.287021
2536093,"Bjørkeveien 4, Frogner",59.777233,10.288034
2536094,"Bjørkeveien 5, Frogner",59.777127,10.286908
2536095,"Bjørkeveien 6, Frogner",59.777482,10.287349
2536096,"Bjørkeveien 7, Frogner",59.77738,10.286793
2536127,"Brastadveien 39, Frogner",59.783042,10.271531
2536129,"Brastadveien 43, Frogner",59.782704,10.275864
2536130,"Brastadveien 47, Frogner",59.781714,10.277928
2536131,"Brastadveien 48, Frogner",59.782315,10.273338
2536132,"Brastadveien 49, Frogner",59.781756,10.278251
2536133,"Brastadveien 52, Frogner",59.780563,10.27719
2536134,"Brastadveien 53, Frogner",59.780632,10.280185
2536135,"Brastadveien 56, Frogner",59.780627,10.278849
2536136,"Brastadveien 58, Frogner",59.7803,10.279299
2536137,"Brastadveien 60, Frogner",59.779575,10.279931
2536403,"Engaveien 1A, Frogner",59.781766,10.272515
2536404,"Engaveien 3, Frogner",59.781622,10.271673
2536405,"Engaveien 5, Frogner",59.781554,10.271242
2536406,"Engaveien 9, Frogner",59.778936,10.269896
2536407,"Engaveien 12, Frogner",59.78058,10.265185
2536408,"Engaveien 14, Frogner",59.78068,10.264102
2536940,"Haslumveien 34, Frogner",59.78476,10.268461
2536941,"Haslumveien 35, Frogner",59.785679,10.274677
2536942,"Haslumveien 36, Frogner",59.784833,10.270227
2536943,"Haslumveien 38, Frogner",59.784531,10.270821
2536944,"Haslumveien 43, Frogner",59.78379,10.274107
2536945,"Haslumveien 47, Frogner",59.783805,10.272468
2537194,"Huldrestien 1, Frogner",59.774578,10.288591
2537195,"Huldrestien 3, Frogner",59.774361,10.288725
2537196,"Huldrestien 4, Frogner",59.773864,10.288154
2537197,"Huldrestien 5, Frogner",59.773991,10.288924
2537198,"Huldrestien 7, Frogner",59.773744,10.289413
2537199,"Huldrestien 8, Frogner",59.773445,10.288743
2537200,"Huldrestien 9, Frogner",59.773464,10.289581
2538115,"Mellomveien 9, Frogner",59.771892,10.287739
2538116,"Mellomveien 10, Frogner",59.771291,10.288642
2538117,"Mellomveien 11, Frogner",59.771788,10.288234
2538118,"Mellomveien 12, Frogner",59.771465,10.288239
2538119,"Mellomveien 14, Frogner",59.771509,10.288817
2538120,"Mellomveien 15, Frogner",59.772125,10.289636
2538121,"Mellomveien 16, Frogner",59.771663,10.289155
2538122,"Mellomveien 20, Frogner",59.771568,10.290594
2538720,"Reistadlia 5, Frogner",59.776481,10.284069
2538721,"Reistadlia 6, Frogner",59.775308,10.284612
2538722,"Reistadlia 7, Frogner",59.776055,10.284516
2538723,"Reistadlia 8, Frogner",59.774984,10.284759
2538724,"Reistadlia 11, Frogner",59.775195,10.286068
2538725,"Reistadlia 12, Frogner",59.774255,10.286726
2538726,"Reistadlia 13A, Frogner",59.774942,10.286272
2538727,"Reistadlia 13B, Frogner",59.774823,10.286499
2538728,"Reistadlia 14, Frogner",59.774273,10.287671
2538729,"Reistadlia 15, Frogner",59.774671,10.287312
2538730,"Reistadlia 17, Frogner",59.774978,10.287217
2538731,"Reistadlia 18, Frogner",59.77487,10.288103
2538732,"Reistadlia 19, Frogner",59.775355,10.287196
2538733,"Reistadlia 20, Frogner",59.775213,10.287903
2538734,"Reistadlia 21, Frogner",59.775627,10.286975
2538735,"Reistadlia 23A, Frogner",59.776014,10.286812
2538736,"Reistadlia 23B, Frogner",59.776208,10.287193
2538737,"Reistadlia 25, Frogner",59.776857,10.287913
2538738,"Reistadlia 26, Frogner",59.777149,10.289206
2538739,"Reistadlia 28, Frogner",59.777081,10.289774
2538740,"Reistadlia 29, Frogner",59.777437,10.29009
2538741,"Reistadlia 30, Frogner",59.77673,10.290793
2538742,"Reistadlia 32, Frogner",59.7766,10.290325
2538743,"Reistadlia 33, Frogner",59.776864,10.291775
2538744,"Reistadlia 34, Frogner",59.77656,10.289771
2538745,"Reistadlia 35, Frogner",59.776661,10.292287
2538746,"Reistadlia 36, Frogner",59.776513,10.289075
2538747,"Reistadlia 37, Frogner",59.776406,10.292686
2538748,"Reistadlia 38, Frogner",59.776163,10.289934
2538749,"Reistadlia 39, Frogner",59.776149,10.293175
2538750,"Reistadlia 40, Frogner",59.775951,10.290514
2538751,"Reistadlia 42, Frogner",59.776272,10.290793
2538752,"Reistadlia 44, Frogner",59.776366,10.291278
2539118,"Skogsnaret 1, Frogner",59.775808,10.284969
2539119,"Skogsnaret 2, Frogner",59.775528,10.286009
2539120,"Skogsnaret 3, Frogner",59.776094,10.285141
2539121,"Skogsnaret 4, Frogner",59.775914,10.28606
2539122,"Skogsnaret 5, Frogner",59.77639,10.285099
2539123,"Skogsnaret 6, Frogner",59.776185,10.28591
2539124,"Skogsnaret 7, Frogner",59.776952,10.284674
2539125,"Skogsnaret 8, Frogner",59.776696,10.285947
2539126,"Skogsnaret 9, Frogner",59.777127,10.285109
2539127,"Skogsnaret 10, Frogner",59.77693,10.285974
2539128,"Skogsnaret 12, Frogner",59.777198,10.286056
2539202,"Sommerroveien 2, Frogner",59.775657,10.28849
2539203,"Sommerroveien 3, Frogner",59.775146,10.289325
2539204,"Sommerroveien 4A, Frogner",59.775072,10.288592
2539205,"Sommerroveien 5, Frogner",59.774881,10.289742
2539206,"Sommerroveien 6, Frogner",59.774626,10.28918
2539207,"Sommerroveien 7, Frogner",59.774644,10.290107
2539208,"Sommerroveien 8, Frogner",59.774343,10.28965
2539209,"Sommerroveien 9, Frogner",59.77431,10.291234
2539210,"Sommerroveien 10, Frogner",59.77406,10.290174
2539211,"Sommerroveien 12, Frogner",59.773623,10.290342
2539212,"Sommerroveien 14, Frogner",59.773936,10.290828
2539659,"Sørumveien 5, Frogner",59.771961,10.287154
2539660,"Sørumveien 20, Frogner",59.772328,10.287778
2539661,"Sørumveien 22, Frogner",59.772399,10.287597
2539662,"Sørumveien 24, Frogner",59.772456,10.287505
2539663,"Sørumveien 26, Frogner",59.772495,10.287475
2539664,"Sørumveien 28, Frogner",59.772556,10.287322
2539665,"Sørumveien 30, Frogner",59.772653,10.287038
2539666,"Sørumveien 32, Frogner",59.772792,10.286599
2539667,"Sørumveien 34, Frogner",59.772984,10.286321
2539668,"Sørumveien 36, Frogner",59.7732,10.285842
2539669,"Sørumveien 38, Frogner",59.773386,10.285571
2539670,"Sørumveien 40, Frogner",59.773668,10.285225
2539671,"Sørumveien 42, Frogner",59.77362,10.284636
2539672,"Sørumveien 44, Frogner",59.773919,10.284327
2539673,"Sørvangen 2A, Frogner",59.77472,10.285106
2539674,"Sørvangen 2B, Frogner",59.774647,10.285174
2539675,"Sørvangen 4, Frogner",59.774466,10.285345
2539676,"Sørvangen 5, Frogner",59.774019,10.286949
2539677,"Sørvangen 6, Frogner",59.774084,10.285811
2539678,"Sørvangen 7, Frogner",59.773799,10.287385
2539679,"Sørvangen 8, Frogner",59.773893,10.286071
2539680,"Sørvangen 9, Frogner",59.773524,10.288016
2539681,"Sørvangen 10, Frogner",59.773619,10.286595
2539682,"Sørvangen 12, Frogner",59.773398,10.287067
2539683,"Sørvangen 13, Frogner",59.773182,10.288964
2539684,"Sørvangen 14, Frogner",59.773278,10.28749
2539685,"Sørvangen 15, Frogner",59.773162,10.290068
2539686,"Sørvangen 16, Frogner",59.773047,10.288069
2539687,"Sørvangen 18, Frogner",59.772916,10.288616
2539688,"Sørvangen 20, Frogner",59.772802,10.289324
2540007,"Øvregrenda 1, Frogner",59.777448,10.290827
2540008,"Øvregrenda 2, Frogner",59.777368,10.291619
2540009,"Øvregrenda 3, Frogner",59.77774,10.290351
2540010,"Øvregrenda 4, Frogner",59.777638,10.291576
2540011,"Øvregrenda 5, Frogner",59.77804,10.290007
