,Navn,Long,Lat
43957,"246/256-2, Åros",59.72834,10.516339
43958,"246/256-3, Åros",59.728288,10.516386
43959,"246/256, Åros",59.728424,10.516446
43960,"246/256-1, Åros",59.728378,10.51636
837921,"Sundbyveien 81B, Åros",59.728028,10.510555
837922,"Sundbyveien 83, Åros",59.725766,10.510435
837923,"Sundbyveien 85B, Åros",59.723597,10.5124
837924,"Sundbyveien 85A, Åros",59.723205,10.51288
837925,"Sundbyveien 87, Åros",59.722882,10.51283
837926,"Sundbyveien 89, Åros",59.722457,10.511619
837927,"Sundbyveien 92A, Åros",59.733684,10.508408
837928,"Sundbyveien 94D, Åros",59.721078,10.511166
837932,"Sundbyveien 75, Åros",59.729197,10.510412
837934,"Sundbyveien 77, Åros",59.728758,10.510303
837935,"Sundbyveien 79, Åros",59.728337,10.51096
837936,"Sundbyveien 115, Åros",59.722145,10.506662
837937,"Sundbyveien 117A, Åros",59.721941,10.506457
837938,"Sundbyveien 118, Åros",59.72228,10.503485
837939,"Sundbyveien 119, Åros",59.722575,10.502805
837940,"Sundbyveien 120, Åros",59.722191,10.502645
837944,"Sundbyveien 95, Åros",59.721441,10.511645
837945,"Sundbyveien 96, Åros",59.721176,10.510459
837946,"Sundbyveien 98, Åros",59.721397,10.510007
837947,"Sundbyveien 100, Åros",59.721592,10.510247
837948,"Sundbyveien 104, Åros",59.722326,10.509693
837949,"Sundbyveien 105, Åros",59.723431,10.508871
837950,"Sundbyveien 106, Åros",59.722643,10.509423
837951,"Sundbyveien 110, Åros",59.722254,10.508872
838381,"Blåhellaveien 1, Åros",59.721245,10.516935
838390,"Blåhellaveien 13, Åros",59.719646,10.519352
838391,"Blåhellaveien 14, Åros",59.721383,10.519022
838392,"Blåhellaveien 15, Åros",59.719096,10.519487
838393,"Blåhellaveien 16, Åros",59.721215,10.518747
838394,"Blåhellaveien 18, Åros",59.721003,10.518489
838395,"Blåhellaveien 20, Åros",59.720764,10.518923
838396,"Blåhellaveien 22, Åros",59.720409,10.519369
838397,"Blåhellaveien 24, Åros",59.720199,10.519697
838398,"Blåhellaveien 3, Åros",59.720996,10.517564
838399,"Blåhellaveien 4A, Åros",59.72157,10.517554
