,Navn,Long,Lat
43165,"338/364, Søndre Hurum",59.555293,10.590985
45197,"336/848-1, Søndre Hurum",59.55967,10.577998
45203,"336/848, Søndre Hurum",59.559737,10.577986
45772,"335/13, Søndre Hurum",59.53432,10.535626
45773,"335/13-3, Søndre Hurum",59.534825,10.536738
45774,"335/13-2, Søndre Hurum",59.534606,10.536088
45775,"335/13-1, Søndre Hurum",59.534493,10.535788
45777,"335/13-5, Søndre Hurum",59.534769,10.536662
45778,"335/13-4, Søndre Hurum",59.534782,10.536744
45779,"335/13-14, Søndre Hurum",59.534159,10.536095
45781,"335/13-6, Søndre Hurum",59.534604,10.536594
45782,"335/13-7, Søndre Hurum",59.534564,10.536551
45783,"335/13-8, Søndre Hurum",59.534533,10.536479
45784,"335/13-9, Søndre Hurum",59.534494,10.536439
45785,"335/13-10, Søndre Hurum",59.534461,10.53637
45786,"335/13-11, Søndre Hurum",59.534422,10.536324
45787,"335/13-13, Søndre Hurum",59.534343,10.5362
45790,"335/13-12, Søndre Hurum",59.534386,10.53625
798713,"Meiseveien 2, Søndre Hurum",59.561057,10.579822
798939,"Meiseveien 3, Søndre Hurum",59.561093,10.580514
799043,"Marmorveien 28, Søndre Hurum",59.531085,10.522297
799595,"Fuglebakk 2, Søndre Hurum",59.563015,10.577525
799596,"Fuglebakk 3, Søndre Hurum",59.563318,10.578459
799598,"Fuglebakk 1, Søndre Hurum",59.56346,10.577935
799599,"Fuglebakk 6, Søndre Hurum",59.563059,10.578341
799600,"Fuglebakk 7, Søndre Hurum",59.562934,10.579769
799601,"Fuglebakk 4, Søndre Hurum",59.563174,10.577815
799602,"Fuglebakk 5, Søndre Hurum",59.56315,10.579018
799603,"Fuglebakk 11, Søndre Hurum",59.562644,10.580799
799604,"Fuglebakk 13, Søndre Hurum",59.56251,10.581413
799605,"Fuglebakk 8, Søndre Hurum",59.562873,10.578138
799606,"Fuglebakk 9, Søndre Hurum",59.562822,10.580171
799607,"Fuglebakk 20, Søndre Hurum",59.562599,10.580001
799608,"Fuglebakk 22, Søndre Hurum",59.56243,10.580595
799609,"Fuglebakk 16, Søndre Hurum",59.562554,10.579308
799610,"Fuglebakk 18, Søndre Hurum",59.562423,10.579762
799611,"Furukollen 2, Søndre Hurum",59.535869,10.53254
799612,"Furukollen 3, Søndre Hurum",59.535885,10.533443
799613,"Fuglebakk 24, Søndre Hurum",59.562235,10.580391
799614,"Furukollen 1, Søndre Hurum",59.535637,10.533148
799615,"Furukollen 6, Søndre Hurum",59.535201,10.53281
799616,"Furukollen 7, Søndre Hurum",59.536365,10.533871
799617,"Furukollen 4, Søndre Hurum",59.535519,10.532489
799618,"Furukollen 5, Søndre Hurum",59.536098,10.533647
799619,"Furukollen 10, Søndre Hurum",59.535603,10.533748
799620,"Furukollen 11, Søndre Hurum",59.536809,10.534298
799621,"Furukollen 8, Søndre Hurum",59.535345,10.533577
799622,"Furukollen 9, Søndre Hurum",59.536587,10.534093
799623,"Furukollen 16, Søndre Hurum",59.53632,10.53463
799624,"Furukollen 20, Søndre Hurum",59.536948,10.534747
799625,"Furukollen 12, Søndre Hurum",59.535869,10.534025
799626,"Furukollen 14, Søndre Hurum",59.536135,10.534321
799643,"Gaupefaret 3, Søndre Hurum",59.556011,10.579657
799644,"Gaupefaret 4, Søndre Hurum",59.55632,10.580839
799645,"Gaupefaret 1, Søndre Hurum",59.555818,10.579294
799646,"Gaupefaret 2, Søndre Hurum",59.556089,10.580598
799647,"Gaupefaret 7, Søndre Hurum",59.556702,10.580415
799648,"Gaupefaret 8, Søndre Hurum",59.556994,10.581543
799649,"Gaupefaret 5, Søndre Hurum",59.556259,10.579934
799650,"Gaupefaret 6, Søndre Hurum",59.556675,10.581227
799651,"Gaupefaret 12, Søndre Hurum",59.557458,10.581777
799652,"Gaupefaret 13, Søndre Hurum",59.557699,10.581152
799653,"Gaupefaret 9, Søndre Hurum",59.556959,10.58071
799654,"Gaupefaret 10, Søndre Hurum",59.557216,10.581748
799655,"Gaupefaret 16, Søndre Hurum",59.558007,10.581697
799656,"Gaupefaret 17, Søndre Hurum",59.558229,10.581194
799657,"Gaupefaret 14, Søndre Hurum",59.557792,10.581704
799658,"Gaupefaret 15, Søndre Hurum",59.55796,10.581164
799689,"Barlindkleiva 2, Søndre Hurum",59.540278,10.549383
799690,"Barlindkleiva 3, Søndre Hurum",59.540387,10.548539
799692,"Barlindkleiva 1, Søndre Hurum",59.540201,10.549026
799693,"Barlindkleiva 6, Søndre Hurum",59.541144,10.549052
799694,"Barlindkleiva 8, Søndre Hurum",59.541829,10.548889
799695,"Barlindkleiva 4, Søndre Hurum",59.540614,10.549116
799696,"Barlindkleiva 5, Søndre Hurum",59.541656,10.548332
799714,"Aspelundveien 1, Søndre Hurum",59.549749,10.575312
799717,"Aspelundveien 4, Søndre Hurum",59.549067,10.576006
799718,"Bispeveien 1, Søndre Hurum",59.551948,10.575503
799719,"Aspelundveien 2, Søndre Hurum",59.549707,10.574337
799720,"Bispeveien 8, Søndre Hurum",59.552141,10.575088
799721,"Bispeveien 9, Søndre Hurum",59.551418,10.576204
799722,"Bispeveien 3, Søndre Hurum",59.551742,10.575441
799723,"Bispeveien 5, Søndre Hurum",59.551545,10.575343
799724,"Bispeveien 17, Søndre Hurum",59.55101,10.575017
799725,"Bispeveien 13, Søndre Hurum",59.551274,10.57549
799726,"Bispeveien 15, Søndre Hurum",59.55095,10.575545
