,Navn,Long,Lat
1849271,"Blåveisbakken 15, Hedalen",60.549162,9.783845
1849272,"Blåveisbakken 12, Hedalen",60.549241,9.782953
1849273,"Blåveisbakken 3, Hedalen",60.548623,9.784501
1849275,"Damvegen 42, Hedalen",60.546733,9.780995
1849276,"Damvegen 23, Hedalen",60.548328,9.777916
1849277,"Damvegen 19, Hedalen",60.549051,9.779588
1849278,"Damvegen 2, Hedalen",60.548269,9.782344
1849279,"Damvegen 4, Hedalen",60.546805,9.784174
1849280,"Damvegen 8, Hedalen",60.54603,9.78219
1849281,"Blåveisbakken 18, Hedalen",60.549658,9.782704
1849282,"Dølavegen 698, Hedalen",60.587657,9.606908
1849283,"Dølavegen 696, Hedalen",60.588372,9.605317
1849284,"Dølavegen 694, Hedalen",60.588485,9.604653
1849285,"Dølavegen 692, Hedalen",60.588671,9.603603
1849286,"Dølavegen 671, Hedalen",60.591597,9.605369
1849288,"Dølavegen 713, Hedalen",60.588708,9.600807
1849289,"Dølavegen 712, Hedalen",60.587248,9.60245
1849290,"Dølavegen 708, Hedalen",60.587934,9.603006
1849291,"Dølavegen 706, Hedalen",60.587556,9.603336
1849292,"Dølavegen 704, Hedalen",60.587399,9.604879
1849314,"Dølavegen 652, Hedalen",60.591856,9.607112
1849315,"Dølavegen 667, Hedalen",60.591252,9.603519
1849317,"Dølavegen 665, Hedalen",60.591052,9.602747
1849319,"Dølavegen 663, Hedalen",60.590824,9.602152
1849320,"Dølavegen 661, Hedalen",60.591779,9.601199
1849321,"Dølavegen 659, Hedalen",60.592223,9.601825
1849322,"Dølavegen 657, Hedalen",60.592456,9.603003
1849323,"Dølavegen 655, Hedalen",60.592885,9.604131
1849324,"Dølavegen 653, Hedalen",60.59298,9.605271
1849332,"Dølavegen 669, Hedalen",60.591296,9.604349
1849376,"Dølavegen 63, Hedalen",60.622386,9.68048
1849379,"Dølavegen 61, Hedalen",60.622491,9.680776
1849382,"Dølavegen 23, Hedalen",60.623665,9.684876
1849385,"Dølavegen 25, Hedalen",60.623603,9.684317
1849388,"Dølavegen 18, Hedalen",60.623024,9.68645
1849393,"Dølavegen 648, Hedalen",60.592282,9.607984
1849394,"Dølavegen 614, Hedalen",60.595172,9.61111
1849395,"Dølavegen 608, Hedalen",60.594984,9.611952
1849396,"Dølavegen 604, Hedalen",60.595491,9.612562
1849397,"Dølavegen 65, Hedalen",60.622662,9.679263
1849418,"Dølavegen 4, Hedalen",60.623075,9.689213
1849432,"Dølavegen 580, Hedalen",60.595593,9.615918
1849435,"Dølavegen 483, Hedalen",60.60535,9.625341
1849436,"Dølavegen 569, Hedalen",60.597025,9.613693
1849437,"Dølavegen 567, Hedalen",60.597459,9.612797
1849439,"Dølavegen 592, Hedalen",60.594971,9.613448
1849441,"Dølavegen 602, Hedalen",60.594217,9.61304
1849444,"Dølavegen 588, Hedalen",60.594855,9.614625
1849446,"Dølavegen 582, Hedalen",60.595242,9.615636
1849463,"Grøvsvegen 18, Hedalen",60.627557,9.672677
1849476,"Hedalslinna 614, Hedalen",60.621083,9.722786
1849487,"Bragerhaugvegen 41, Hedalen",60.599888,9.750634
1849488,"Bragerhaugvegen 33, Hedalen",60.599626,9.74787
1849489,"Bragerhaugvegen 26, Hedalen",60.600411,9.747578
1849490,"Bragerhaugvegen 18, Hedalen",60.599833,9.746063
1849491,"Bragerhaugvegen 3, Hedalen",60.598223,9.744979
1849495,"Hedalslinna 617, Hedalen",60.620443,9.720557
1849496,"Hedalslinna 619, Hedalen",60.620314,9.721017
1849498,"Bragerhaugvegen 52, Hedalen",60.601202,9.751138
1849520,"Hedalslinna 532, Hedalen",60.626472,9.728999
1849521,"Hedalslinna 488, Hedalen",60.629774,9.733122
1849529,"Hedalslinna 616, Hedalen",60.620777,9.722086
1849530,"Hedalslinna 566, Hedalen",60.623124,9.728015
1849531,"Hedalslinna 542, Hedalen",60.626217,9.727735
1849538,"Dølavegen 572, Hedalen",60.596042,9.61509
1849539,"Dølavegen 590, Hedalen",60.595435,9.613577
1849540,"Dølavegen 718, Hedalen",60.587322,9.599531
1849541,"Dølavegen 720, Hedalen",60.586899,9.600008
1849542,"Dølavegen 716, Hedalen",60.587507,9.600809
1849543,"Dølavegen 719, Hedalen",60.588047,9.598516
1849544,"Dølavegen 717, Hedalen",60.588347,9.599361
1849551,"Dølavegen 578, Hedalen",60.595869,9.616827
1849553,"Dølavegen 576, Hedalen",60.595903,9.617959
1849555,"Dølavegen 574, Hedalen",60.596351,9.616207
1849562,"Roagrendvegen 23, Hedalen",60.634483,9.661532
1849563,"Åslivegen 34, Hedalen",60.638329,9.599691
1849564,"Åslivegen 8, Hedalen",60.636795,9.602716
1849565,"Roagrendvegen 80, Hedalen",60.638114,9.656399
1849566,"Roagrendvegen 61, Hedalen",60.637407,9.660005
1849567,"Roagrendvegen 51, Hedalen",60.636799,9.66094
1849568,"Roagrendvegen 53, Hedalen",60.636981,9.661143
1849569,"Roagrendvegen 57, Hedalen",60.638189,9.660976
1849570,"Roagrendvegen 21, Hedalen",60.63446,9.661182
1849571,"Åslivegen 46, Hedalen",60.638593,9.597327
1849572,"Roagrendvegen 11, Hedalen",60.633756,9.659233
1849573,"Grøvsvegen 188, Hedalen",60.617512,9.660658
1849574,"Grøvsvegen 178, Hedalen",60.618076,9.658904
1849575,"Grøvsvegen 177, Hedalen",60.61793,9.658546
1849576,"Grøvsvegen 11, Hedalen",60.628093,9.672027
1849577,"Grøvsvegen 43, Hedalen",60.627949,9.663403
1849578,"Grøvsvegen 49, Hedalen",60.627166,9.662513
1849607,"Grøvsvegen 45, Hedalen",60.628187,9.662441
1849608,"Grøvsvegen 41, Hedalen",60.627706,9.664474
1849609,"Grøvsvegen 27, Hedalen",60.627699,9.670968
1849637,"Åslivegen 73, Hedalen",60.645618,9.571781
1849638,"Brennsetervegen 816, Hedalen",60.589497,9.683011
1849639,"Brennsetervegen 801, Hedalen",60.588526,9.678956
1849640,"Brennsetervegen 642, Hedalen",60.593375,9.660986
1849641,"Brennsetervegen 618, Hedalen",60.594205,9.660101
1849642,"Brennsetervegen 60, Hedalen",60.613813,9.691584
1849643,"Brennsetervegen 9, Hedalen",60.620857,9.699441
1849644,"Brennsetervegen 7, Hedalen",60.621015,9.697875
1849645,"Brennsetervegen 5, Hedalen",60.62123,9.697819
1849654,"Brennsetervegen 385, Hedalen",60.603109,9.647916
1849724,"Åslivegen 90, Hedalen",60.638391,9.590578
1849725,"Åslivegen 79, Hedalen",60.639945,9.587348
1849726,"Åslivegen 61, Hedalen",60.639087,9.595893
1849727,"Åslivegen 60, Hedalen",60.638808,9.596096
1849729,"Åslivegen 51, Hedalen",60.639864,9.594405
1849730,"Åslivegen 71, Hedalen",60.645816,9.574183
