,Navn,Long,Lat
10643,"256/7, Tyristrand",60.072583,10.074985
37047,"255/25-1, Tyristrand",60.074153,10.105201
46051,"265/6-1, Tyristrand",60.045417,10.009764
54934,"248/21, Tyristrand",60.106632,10.068593
54935,"244/60, Tyristrand",60.087602,10.105928
54954,"251/222, Tyristrand",60.087938,10.096914
54956,"251/104, Tyristrand",60.082511,10.08967
55065,"244/248, Tyristrand",60.089915,10.111758
55066,"244/345, Tyristrand",60.138376,10.040436
55068,"251/58, Tyristrand",60.089462,10.090726
55069,"251/60, Tyristrand",60.095357,10.082577
55072,"262/144, Tyristrand",60.048453,10.064436
55073,"262/16, Tyristrand",60.043996,10.064929
55074,"261/22, Tyristrand",60.053114,10.049209
55082,"244/412, Tyristrand",60.13713,10.039011
55179,"253/1-3, Tyristrand",60.125725,10.017107
55182,"263/39, Tyristrand",60.040019,10.05181
55232,"265/10-1, Tyristrand",60.070909,9.963545
55234,"262/173, Tyristrand",60.045363,10.052769
55250,"262/31/1, Tyristrand",60.042906,10.059083
55272,"244/115, Tyristrand",60.141405,10.042351
56049,"244/479, Tyristrand",60.094738,10.107427
211089,"Bleikmyrveien 261, Tyristrand",60.113016,10.047308
211090,"Bleikmyrveien 259, Tyristrand",60.112531,10.047632
288635,"Sandumveien 12, Tyristrand",60.061607,10.015008
288636,"Sandumveien 21, Tyristrand",60.068843,10.01638
288638,"Sandumveien 23, Tyristrand",60.069106,10.016203
288657,"Sandumveien 2, Tyristrand",60.052335,10.019105
305814,"Justisveien 30, Tyristrand",60.071489,10.093127
305816,"Justisveien 26, Tyristrand",60.070966,10.095829
326892,"Nakkerudalleen 48, Tyristrand",60.047898,10.049639
455384,"Bergheimveien 6, Tyristrand",60.063459,10.060532
455413,"Bergheimveien 20, Tyristrand",60.075271,10.055556
455415,"Bergheimveien 22, Tyristrand",60.075702,10.055606
855758,"Vælerenveien 67, Tyristrand",60.100128,10.067879
868246,"Solumveien 230, Modum",60.040982,10.01856
868247,"Solumveien 228, Modum",60.040801,10.018545
1049829,"Kolkinnveien 35, Tyristrand",60.048998,10.010527
1210012,"Holleiaveien 1, Tyristrand",60.086145,10.097805
1442392,"Hovinveien 12, Tyristrand",60.091488,10.101994
1442393,"Hovinveien 16, Tyristrand",60.09163,10.100003
1442394,"Hovinveien 22, Tyristrand",60.091249,10.095046
1442395,"Hovinveien 30, Tyristrand",60.093884,10.102761
1442396,"Hovinveien 32, Tyristrand",60.094492,10.102508
1442397,"Hovinveien 34, Tyristrand",60.094745,10.101437
1442398,"Hovinveien 36, Tyristrand",60.094803,10.101727
