,Navn,Long,Lat
37714,"90/26, Dagali og Skurdalen",60.460789,8.213972
1023171,"Geilovegen 57, Geilo",60.533831,8.204493
1023172,"Øyovegen 14, Geilo",60.542455,8.228143
1023173,"Øyovegen 15, Geilo",60.544654,8.23108
1023174,"Øyovegen 4, Geilo",60.543443,8.231255
1023175,"Øyovegen 2, Geilo",60.543855,8.232648
1023176,"Geilovegen 66, Geilo",60.533303,8.203358
1023177,"Øyovegen 6, Geilo",60.543275,8.231842
1023178,"Geilovegen 62, Geilo",60.533479,8.204156
1023179,"Geilovegen 63, Geilo",60.533473,8.203245
1023180,"Øyovegen 17, Geilo",60.544435,8.230502
1023181,"Lienvegen 78, Geilo",60.536866,8.222863
1023182,"Lienvegen 75, Geilo",60.536329,8.223094
1023183,"Lienvegen 77, Geilo",60.536564,8.223092
1023184,"Lienvegen 49, Geilo",60.533949,8.221475
1023185,"Lienvegen 69, Geilo",60.535823,8.221306
1023186,"Lienvegen 227, Geilo",60.547546,8.243901
1023187,"Lienvegen 94, Geilo",60.539635,8.226569
1023188,"Lienvegen 3, Geilo",60.53368,8.210946
1025893,"Eivindplassvegen 263, Dagali og Skurdalen",60.500709,8.294005
1025898,"Ljosevatnet 6, Dagali og Skurdalen",60.408598,8.153536
1025910,"Ljosevatnet 5, Dagali og Skurdalen",60.413115,8.172338
1031675,"Havsdalsvegen 232, Geilo",60.544947,8.183675
1031716,"Havsdalsvegen 52, Geilo",60.550364,8.212602
1031719,"Havsdalslie 71, Geilo",60.555466,8.203798
1031720,"Ringvegen 5, Geilo",60.541306,8.237667
1031722,"Havsdalslie 47, Geilo",60.554,8.203323
1031724,"Havsdalslie 63, Geilo",60.554742,8.202886
1031725,"Ringvegen 7, Geilo",60.541258,8.237212
1031730,"Havsdalslie 65, Geilo",60.555022,8.203025
1031731,"Ringvegen 4, Geilo",60.540928,8.237512
1031733,"Havsdalsvegen 260, Geilo",60.547231,8.181193
1031735,"Havsdalsvegen 262, Geilo",60.546223,8.183771
1031737,"Ringvegen 16, Geilo",60.540543,8.237703
1031739,"Ringvegen 17, Geilo",60.539875,8.23647
1031741,"Ringvegen 14, Geilo",60.540372,8.237561
1031743,"Ringvegen 15, Geilo",60.540102,8.235836
1031745,"Havsdalsvegen 45, Geilo",60.55137,8.210981
1031746,"Ringvegen 11, Geilo",60.540698,8.236551
1031748,"Havsdalsvegen 97, Geilo",60.551502,8.204515
1031750,"Havsdalslie 67, Geilo",60.555344,8.202871
1031754,"Lauvrudvegen 11, Geilo",60.542521,8.23494
1031757,"Lauvrudvegen 9, Geilo",60.542343,8.233705
1031762,"Lauvrudvegen 7, Geilo",60.542385,8.233103
1031764,"Lauvrudvegen 8, Geilo",60.543107,8.235419
1031769,"Lauvrudvegen 24, Geilo",60.543076,8.237771
1031772,"Lauvrudvegen 20, Geilo",60.542946,8.236972
1031774,"Lauvrudvegen 22, Geilo",60.542767,8.237231
1031779,"Lauvrudvegen 18, Geilo",60.543305,8.237
1031781,"Lauvrudvegen 13, Geilo",60.54265,8.235612
1031784,"Lauvrudvegen 15, Geilo",60.54254,8.236635
1031789,"Havsdalslie 2, Geilo",60.551534,8.202327
1031792,"Havsdalsvegen 151, Geilo",60.550427,8.195918
1031795,"Lauvrudvegen 5, Geilo",60.542571,8.233412
1031796,"Lauvrudvegen 26, Geilo",60.542827,8.2384
1031797,"Havsdalsvegen 266, Geilo",60.54543,8.181877
1031803,"Havsdalsvegen 275, Geilo",60.548791,8.179476
1031804,"Ringvegen 29, Geilo",60.540737,8.238519
1031806,"Lauvrudfossen 1, Geilo",60.538976,8.238323
1031810,"Ringvegen 21, Geilo",60.539715,8.237526
1031814,"Ringvegen 19, Geilo",60.539795,8.237174
1031817,"Havsdalsvegen 125, Geilo",60.551634,8.201175
1031823,"Lauvrudfossen 3, Geilo",60.538798,8.238601
1031829,"Ringvegen 18, Geilo",60.540738,8.23782
1031897,"Storerunden 11, Geilo",60.538781,8.237216
1031901,"Storerunden 1, Geilo",60.542328,8.237315
1031908,"Storerunden 19, Geilo",60.537786,8.234487
1031910,"Storerunden 20, Geilo",60.537485,8.235096
1031912,"Storerunden 16, Geilo",60.537804,8.236036
1031914,"Storerunden 17, Geilo",60.537951,8.235012
1031916,"Storerunden 14, Geilo",60.53796,8.236579
1031918,"Storerunden 15, Geilo",60.538418,8.236623
1031920,"Storerunden 12, Geilo",60.538169,8.236957
1031921,"Storerunden 13, Geilo",60.538635,8.236855
1031950,"Hellemovegen 14, Geilo",60.541516,8.236696
1031954,"Hellemovegen 12, Geilo",60.541742,8.236909
1031958,"Hellemovegen 10, Geilo",60.541905,8.237142
1031961,"Hellemovegen 6, Geilo",60.541902,8.238181
1031963,"Hellemovegen 8, Geilo",60.541666,8.237804
1031968,"Hellemovegen 22, Geilo",60.540749,8.235948
1031970,"Hellemovegen 24, Geilo",60.54055,8.235752
1031973,"Hellemovegen 20, Geilo",60.540965,8.236089
1031974,"Lauvrudvegen 1, Geilo",60.542797,8.232989
1031978,"Flatmovegen 8, Geilo",60.541993,8.23364
1031980,"Flatmovegen 9, Geilo",60.541369,8.232926
1031982,"Flatmovegen 5, Geilo",60.541159,8.232329
1031984,"Flatmovegen 7, Geilo",60.541089,8.232677
1031986,"Storerunden 23, Geilo",60.538287,8.234038
1031989,"Storerunden 21, Geilo",60.537971,8.233863
1031991,"Storerunden 22, Geilo",60.537221,8.23461
1031993,"Hellemovegen 2, Geilo",60.542213,8.237645
1031995,"Hellemovegen 4, Geilo",60.542053,8.237977
1031998,"Flatmovegen 18, Geilo",60.54122,8.23519
1032000,"Flatmovegen 13, Geilo",60.540985,8.233209
1032002,"Flatmovegen 14, Geilo",60.541673,8.234268
1032004,"Flatmovegen 10, Geilo",60.541943,8.23464
1032006,"Nystøllie 1, Geilo",60.515544,8.127444
1032009,"Flatmovegen 16, Geilo",60.541476,8.234354
1032010,"Hellemovegen 16, Geilo",60.541425,8.236341
1032011,"Flatmovegen 11, Geilo",60.541329,8.233332
1032019,"Bergastølvegen 77, Dagali og Skurdalen",60.459474,8.276804
1032035,"Bergastølvegen 79, Dagali og Skurdalen",60.459904,8.274922
1032045,"Bergastølvegen 53, Dagali og Skurdalen",60.453704,8.296858
1032050,"Eivindplassvegen 134, Dagali og Skurdalen",60.490293,8.289003
1032057,"Eivindplassvegen 144, Dagali og Skurdalen",60.490325,8.288329
1032066,"Ljosevatnet 4, Dagali og Skurdalen",60.416605,8.199332
1032067,"Ljosevatnet 2, Dagali og Skurdalen",60.414499,8.200901
1032071,"Bergastølvegen 51, Dagali og Skurdalen",60.453977,8.294796
1032072,"Bergastølvegen 62, Dagali og Skurdalen",60.454489,8.288077
1032077,"Groberget 11, Geilo",60.539344,8.219705
1032080,"Eivindplassvegen 240, Dagali og Skurdalen",60.495786,8.288591
1032081,"Eivindplassvegen 242, Dagali og Skurdalen",60.49551,8.289143
1032082,"Eivindplassvegen 227, Dagali og Skurdalen",60.497019,8.292623
1032083,"Skurdalsvegen 464, Dagali og Skurdalen",60.498308,8.315215
1032091,"Eivindplassvegen 225, Dagali og Skurdalen",60.496934,8.291819
1032093,"Sæteskarvegen 41, Dagali og Skurdalen",60.491054,8.285182
1032094,"Sæteskarvegen 45, Dagali og Skurdalen",60.491596,8.284169
1032095,"Sæteskarvegen 43, Dagali og Skurdalen",60.491334,8.284661
1032096,"Veslerunden 6, Geilo",60.538992,8.236555
1032097,"Timrehaugvegen 18, Geilo",60.53703,8.212471
1032098,"Veslerunden 8, Geilo",60.538917,8.235882
1032099,"Veslerunden 4, Geilo",60.539031,8.237082
1032100,"Timrehaugvegen 16, Geilo",60.536993,8.212614
1032101,"Lauvrudfossen 12, Geilo",60.538359,8.238921
1032102,"Lauvrudfossen 14, Geilo",60.538152,8.23867
1032103,"Timrehaugvegen 15, Geilo",60.536615,8.21208
1032104,"Lauvrudfossen 10, Geilo",60.538576,8.239189
1032105,"Timrehaugvegen 12, Geilo",60.536843,8.211163
1032106,"Lauvrudfossen 11, Geilo",60.538074,8.237615
1032107,"Timrehaugvegen 13, Geilo",60.536751,8.212459
1032108,"Veslerunden 23, Geilo",60.538098,8.235664
1032109,"Timrehaugvegen 26, Geilo",60.537332,8.211862
1032110,"Timrehaugvegen 29, Geilo",60.537072,8.213472
1032111,"Veslerunden 19, Geilo",60.538146,8.234624
1032112,"Timrehaugvegen 27, Geilo",60.536953,8.213183
1032113,"Timrehaugvegen 24, Geilo",60.537362,8.212499
1032114,"Veslerunden 14, Geilo",60.538298,8.236097
1032115,"Timrehaugvegen 25, Geilo",60.536812,8.213606
1032116,"Veslerunden 10, Geilo",60.538761,8.235284
1032117,"Timrehaugvegen 21, Geilo",60.536687,8.212936
1032118,"Veslerunden 12, Geilo",60.53852,8.235654
1032119,"Timrehaugvegen 22, Geilo",60.53723,8.21283
1032120,"Lauvrudfossen 8, Geilo",60.538793,8.239348
1032121,"Timrehaugvegen 4, Geilo",60.536417,8.209023
1032122,"Lauvrudfossen 9, Geilo",60.538273,8.237957
