,Navn,Long,Lat
21440,"9/1/9, Uvdal",60.304387,8.422347
21441,"9/1/5, Uvdal",60.302771,8.415598
21850,"13/5, Uvdal",60.388718,8.50163
21853,"9/1/12, Uvdal",60.303627,8.416793
21854,"9/10, Uvdal",60.308154,8.412552
21855,"7/1/122, Uvdal",60.346857,8.506204
21856,"3/10/19, Uvdal",60.326127,8.492444
21857,"3/10/13, Uvdal",60.327614,8.484695
21858,"3/10/3, Uvdal",60.327397,8.486485
21859,"3/56, Uvdal",60.326671,8.487192
21860,"3/57, Uvdal",60.326224,8.487016
21861,"3/10/14, Uvdal",60.326299,8.488078
21862,"3/54, Uvdal",60.326725,8.489139
21863,"3/52, Uvdal",60.326757,8.490334
21864,"3/10/15, Uvdal",60.326725,8.491457
21865,"5/1/8, Uvdal",60.304347,8.410572
21866,"9/7, Uvdal",60.304053,8.412307
21867,"9/1/4, Uvdal",60.306221,8.418219
21868,"9/1/16, Uvdal",60.306102,8.41949
21869,"9/1/7, Uvdal",60.305801,8.420556
21870,"9/8, Uvdal",60.3042,8.413802
21871,"9/9, Uvdal",60.303566,8.415031
21872,"9/1/11, Uvdal",60.303875,8.4184
21873,"9/1/15, Uvdal",60.302939,8.418123
21874,"9/1/6, Uvdal",60.30443,8.42129
21875,"9/1/3, Uvdal",60.309038,8.413153
21876,"7/1/17, Uvdal",60.351193,8.498615
21877,"7/1/4, Uvdal",60.350978,8.496443
21878,"7/1/104, Uvdal",60.350257,8.500586
21879,"7/1/107, Uvdal",60.350805,8.50065
21880,"5/3/21, Uvdal",60.329751,8.498708
21881,"5/3/7, Uvdal",60.329551,8.497987
21882,"5/3/29, Uvdal",60.329535,8.496158
21883,"5/3/53, Uvdal",60.330809,8.498112
21884,"5/3/11, Uvdal",60.330821,8.498981
21885,"5/3/10, Uvdal",60.330977,8.499921
21886,"5/3/9, Uvdal",60.331218,8.497038
21887,"5/3/13, Uvdal",60.331673,8.498679
21888,"3/55, Uvdal",60.327936,8.486603
21889,"3/15, Uvdal",60.328597,8.487969
21890,"3/10/18, Uvdal",60.328589,8.490649
21891,"3/63, Uvdal",60.328504,8.4919
21892,"3/10/2, Uvdal",60.328136,8.491924
21893,"3/13, Uvdal",60.327711,8.490346
21894,"7/1/36, Uvdal",60.351059,8.502999
21895,"7/1/127, Uvdal",60.352262,8.496369
21896,"7/1/95, Uvdal",60.352768,8.49734
21897,"7/1/33, Uvdal",60.352973,8.499131
21898,"7/1/102, Uvdal",60.351785,8.496213
21899,"7/1/1, Uvdal",60.351753,8.497174
21900,"7/1/16, Uvdal",60.352068,8.499852
21901,"7/1/26, Uvdal",60.353814,8.499425
21902,"7/1/105, Uvdal",60.353226,8.498337
21903,"7/1/124, Uvdal",60.349635,8.504473
21904,"7/30, Uvdal",60.350356,8.505313
21905,"7/1/119, Uvdal",60.349178,8.504879
21906,"7/1/60, Uvdal",60.349115,8.507108
21907,"13/4, Uvdal",60.390611,8.503633
21908,"7/1/80, Uvdal",60.345359,8.508923
21909,"7/1/28, Uvdal",60.346871,8.507378
21910,"7/1/89, Uvdal",60.347813,8.507092
21911,"7/1/121, Uvdal",60.348143,8.504097
21912,"7/1/125, Uvdal",60.348692,8.507385
21913,"7/1/55, Uvdal",60.350575,8.503734
21914,"7/24, Uvdal",60.349899,8.503038
21920,"9/6, Uvdal",60.304992,8.412192
21921,"3/47, Uvdal",60.326938,8.486166
21922,"3/18, Uvdal",60.326546,8.482207
21923,"7/1/133, Uvdal",60.348516,8.510252
21924,"7/1/87, Uvdal",60.34759,8.505229
21925,"3/50, Uvdal",60.327374,8.485109
21926,"9/1/17, Uvdal",60.30962,8.423294
21927,"7/1/134, Uvdal",60.348456,8.506285
21928,"7/1/138, Uvdal",60.354047,8.500673
21929,"5/3/12, Uvdal",60.331559,8.499459
21930,"7/10, Uvdal",60.351099,8.499812
21931,"7/1/120, Uvdal",60.348985,8.509044
21932,"9/1/18, Uvdal",60.307031,8.418694
21933,"7/1/141, Uvdal",60.352565,8.498104
21934,"7/1/58, Uvdal",60.353562,8.500717
21935,"7/1/66, Uvdal",60.349752,8.506194
21937,"3/28, Uvdal",60.329402,8.49041
21939,"13/6, Uvdal",60.38946,8.50541
21940,"13/7, Uvdal",60.389286,8.50194
21941,"13/8, Uvdal",60.389359,8.502509
21942,"13/9, Uvdal",60.389423,8.500313
21943,"9/15, Uvdal",60.308568,8.414734
21944,"9/16, Uvdal",60.3092,8.415628
21945,"9/17, Uvdal",60.309294,8.416531
21946,"4/9, Uvdal",60.330345,8.494262
21947,"9/14, Uvdal",60.309458,8.414936
21948,"9/13, Uvdal",60.309788,8.416595
21949,"3/21, Uvdal",60.326917,8.481703
21950,"3/22, Uvdal",60.326432,8.482987
21951,"3/23, Uvdal",60.327496,8.491095
21952,"3/24, Uvdal",60.327463,8.492025
21953,"3/27, Uvdal",60.329648,8.490434
21954,"3/25, Uvdal",60.327835,8.483653
21955,"7/1/142, Uvdal",60.353895,8.49841
21956,"4/6, Uvdal",60.328041,8.492777
21957,"3/32, Uvdal",60.327302,8.481781
21958,"7/1/144, Uvdal",60.353386,8.497338
21959,"3/33, Uvdal",60.327157,8.482505
21960,"3/34, Uvdal",60.327739,8.481989
21961,"13/11, Uvdal",60.389725,8.5043
21962,"3/37, Uvdal",60.326871,8.482709
21963,"4/19, Uvdal",60.32925,8.49196
21964,"4/10, Uvdal",60.327746,8.493035
21965,"4/11, Uvdal",60.327544,8.49436
21966,"4/12, Uvdal",60.327928,8.493666
21967,"4/13, Uvdal",60.328254,8.49453
21968,"4/14, Uvdal",60.327387,8.493258
21972,"3/39, Uvdal",60.327275,8.487483
21973,"9/22, Uvdal",60.309411,8.42489
21974,"4/24, Uvdal",60.329553,8.491579
21975,"9/19, Uvdal",60.303836,8.420899
21976,"9/20, Uvdal",60.304247,8.416241
21977,"9/21, Uvdal",60.306937,8.412609
21979,"3/41, Uvdal",60.325708,8.488467
26793,"7/1/42, Uvdal",60.348014,8.508156
26794,"7/1/37, Uvdal",60.353052,8.500162
26805,"5/3/66, Uvdal",60.329933,8.497809
29162,"3/44, Uvdal",60.327986,8.490314
29291,"7/1/130, Uvdal",60.348555,8.504003
29640,"3/48, Uvdal",60.326779,8.486681
