,Navn,Long,Lat
497504,"Gavlesjåvegen 878, Heddal",59.5523,8.966805
497519,"Søndre Vestsidaveg 240, Heddal",59.55051,9.230788
497520,"Søndre Vestsidaveg 570, Heddal",59.538187,9.270047
497654,"Skardsvegen 13, Heddal",59.556779,9.191624
498025,"Ylivegen 8, Heddal",59.559649,9.193976
498230,"Hollavegen 19, Heddal",59.585905,9.162236
498384,"Heddalsvegen 882, Heddal",59.599853,9.107246
498385,"Heddalsvegen 878, Heddal",59.599996,9.108805
498386,"Heddalsvegen 888, Heddal",59.599728,9.106607
498387,"Heddalsvegen 884, Heddal",59.599952,9.107653
498388,"Heddalsvegen 872, Heddal",59.598443,9.108233
498389,"Heddalsvegen 870, Heddal",59.598846,9.109581
498390,"Heddalsvegen 876, Heddal",59.599016,9.109209
498391,"Heddalsvegen 874, Heddal",59.598721,9.108535
498392,"Heddalsvegen 948, Heddal",59.598173,9.096559
498393,"Hollavegen 17, Heddal",59.585609,9.162075
498394,"Heddalsvegen 947, Heddal",59.598802,9.096454
498396,"Heddalsvegen 952, Heddal",59.598327,9.095673
498397,"Heddalsvegen 892, Heddal",59.599504,9.106075
498398,"Heddalsvegen 890, Heddal",59.599629,9.106253
498399,"Heddalsvegen 929, Heddal",59.598943,9.099962
498400,"Heddalsvegen 894, Heddal",59.59865,9.107189
498401,"Heddalsvegen 819, Heddal",59.60102,9.118197
498402,"Heddalsvegen 806, Heddal",59.600246,9.120179
498403,"Heddalsvegen 828, Heddal",59.600797,9.116531
498404,"Heddalsvegen 825, Heddal",59.60129,9.117242
498405,"Heddalsvegen 800, Heddal",59.599922,9.120833
498406,"Heddalsvegen 796, Heddal",59.599643,9.121523
498407,"Heddalsvegen 803, Heddal",59.60064,9.121757
498408,"Heddalsvegen 801, Heddal",59.60046,9.121703
498409,"Heddalsvegen 849, Heddal",59.602973,9.112943
498410,"Heddalsvegen 847, Heddal",59.601096,9.113645
498411,"Heddalsvegen 868, Heddal",59.599941,9.109921
498412,"Heddalsvegen 851, Heddal",59.601142,9.112742
498413,"Heddalsvegen 832, Heddal",59.600213,9.117521
498414,"Heddalsvegen 830, Heddal",59.600438,9.116973
498415,"Heddalsvegen 843, Heddal",59.601131,9.114318
498416,"Heddalsvegen 834, Heddal",59.600078,9.117379
498447,"Heddalsvegen 544, Heddal",59.587455,9.157586
498448,"Heddalsvegen 542, Heddal",59.586925,9.157566
498449,"Heddalsvegen 554, Heddal",59.587969,9.155641
498450,"Heddalsvegen 550, Heddal",59.587573,9.156914
498453,"Heddalsvegen 505, Heddal",59.584754,9.163116
498454,"Heddalsvegen 503, Heddal",59.584611,9.162797
498455,"Heddalsvegen 587B, Heddal",59.591149,9.15477
498456,"Heddalsvegen 587A, Heddal",59.590861,9.155017
498457,"Heddalsvegen 593, Heddal",59.590954,9.152874
498458,"Heddalsvegen 591, Heddal",59.590693,9.15328
498459,"Heddalsvegen 558, Heddal",59.588355,9.156156
498460,"Heddalsvegen 556, Heddal",59.58822,9.156421
498461,"Heddalsvegen 582, Heddal",59.589902,9.153684
498462,"Heddalsvegen 575, Heddal",59.58982,9.155189
498479,"Heddalsvegen 749, Heddal",59.598396,9.129667
498480,"Heddalsvegen 747, Heddal",59.59824,9.130022
498481,"Heddalsvegen 761, Heddal",59.601022,9.125479
498482,"Heddalsvegen 751, Heddal",59.598621,9.128959
498483,"Heddalsvegen 738, Heddal",59.59686,9.13044
498484,"Heddalsvegen 731, Heddal",59.597451,9.13232
498485,"Heddalsvegen 745, Heddal",59.598117,9.13064
498486,"Heddalsvegen 740, Heddal",59.597344,9.131204
498487,"Heddalsvegen 782, Heddal",59.598922,9.123947
498488,"Heddalsvegen 772, Heddal",59.598284,9.125167
498489,"Heddalsvegen 794, Heddal",59.598475,9.121855
498490,"Heddalsvegen 785, Heddal",59.599552,9.123507
498491,"Heddalsvegen 769, Heddal",59.598804,9.126232
498492,"Heddalsvegen 763, Heddal",59.601292,9.125214
498493,"Heddalsvegen 771, Heddal",59.599037,9.126499
498494,"Heddalsvegen 770, Heddal",59.598328,9.12577
498495,"Heddalsvegen 649, Heddal",59.593558,9.144597
498496,"Heddalsvegen 666, Heddal",59.593381,9.142754
498497,"Heddalsvegen 664, Heddal",59.593516,9.142277
498498,"Heddalsvegen 594, Heddal",59.590838,9.152307
498499,"Heddalsvegen 622B, Heddal",59.591741,9.147547
498500,"Heddalsvegen 622A, Heddal",59.59192,9.147849
498501,"Heddalsvegen 704, Heddal",59.596118,9.136194
498502,"Heddalsvegen 703, Heddal",59.596509,9.137094
498503,"Heddalsvegen 718, Heddal",59.596461,9.134318
498504,"Heddalsvegen 705, Heddal",59.596522,9.136355
498505,"Heddalsvegen 692, Heddal",59.595603,9.138371
498506,"Heddalsvegen 684, Heddal",59.595603,9.139256
498507,"Heddalsvegen 700, Heddal",59.596027,9.13692
498508,"Heddalsvegen 695, Heddal",59.596169,9.138444
498512,"Heddalsvegen 645, Heddal",59.593283,9.145093
499289,"Hollavegen 124, Heddal",59.59229,9.17578
499415,"Hollavegen 121, Heddal",59.591554,9.175723
499436,"Hollavegen 43, Heddal",59.587284,9.164828
499494,"Ola Lensmanns veg 3, Heddal",59.560449,9.193662
499495,"Ola Lensmanns veg 2, Heddal",59.560934,9.193435
499496,"Ola Lensmanns veg 5, Heddal",59.560269,9.194157
499497,"Ola Lensmanns veg 4, Heddal",59.560709,9.193876
499500,"Ola Lensmanns veg 1, Heddal",59.560674,9.193257
499502,"Ola Lensmanns veg 10A, Heddal",59.560384,9.195431
499503,"Ola Lensmanns veg 10, Heddal",59.560213,9.195537
499504,"Ola Lensmanns veg 12, Heddal",59.560023,9.196173
499505,"Ola Lensmanns veg 11, Heddal",59.559817,9.195817
499506,"Ola Lensmanns veg 7, Heddal",59.560124,9.19474
499507,"Ola Lensmanns veg 6, Heddal",59.560556,9.194265
499508,"Ola Lensmanns veg 9, Heddal",59.559953,9.195358
499509,"Ola Lensmanns veg 8, Heddal",59.560348,9.1949
499604,"Hollavegen 36, Heddal",59.587322,9.163306
499651,"Ola Lensmanns veg 36, Heddal",59.558957,9.194892
499652,"Ola Lensmanns veg 35, Heddal",59.559469,9.194435
499663,"Ola Lensmanns veg 19, Heddal",59.559097,9.197087
499664,"Ola Lensmanns veg 17, Heddal",59.558981,9.19675
499665,"Ola Lensmanns veg 25, Heddal",59.558478,9.196553
499666,"Ola Lensmanns veg 23, Heddal",59.558334,9.197083
499667,"Ola Lensmanns veg 14, Heddal",59.559771,9.196613
499668,"Ola Lensmanns veg 13, Heddal",59.55953,9.196099
499669,"Ola Lensmanns veg 16, Heddal",59.559582,9.197019
499670,"Ola Lensmanns veg 15, Heddal",59.559233,9.196469
499671,"Ola Lensmanns veg 32, Heddal",59.558579,9.195439
499672,"Ola Lensmanns veg 31, Heddal",59.559171,9.195389
499673,"Ola Lensmanns veg 34, Heddal",59.558777,9.195139
499674,"Ola Lensmanns veg 33, Heddal",59.559352,9.195036
499675,"Ola Lensmanns veg 28, Heddal",59.558164,9.196162
499676,"Ola Lensmanns veg 27, Heddal",59.558722,9.195935
499677,"Ola Lensmanns veg 30, Heddal",59.558327,9.195826
499678,"Ola Lensmanns veg 29, Heddal",59.559009,9.195848
500015,"Skardsvegen 2, Heddal",59.558122,9.194215
500016,"Skardsvegen 1, Heddal",59.558195,9.193596
500017,"Skardsvegen 4, Heddal",59.557709,9.194177
