,Navn,Long,Lat
1793794,"Blindingsdalen 83, Hjartdal",59.701833,8.869302
1793795,"Blindingsdalen 85, Hjartdal",59.70184,8.868954
1793796,"Blindingsdalen 88, Hjartdal",59.701422,8.8683
1793797,"Blindingsdalen 94, Hjartdal",59.701364,8.866968
1793800,"Blindingsdalen 74, Hjartdal",59.70036,8.869157
1793802,"Blindingsdalen 79, Hjartdal",59.701196,8.869882
1793803,"Blindingsdalen 81, Hjartdal",59.701474,8.86965
1807823,"Gaustavegen 647, Hjartdal",59.798637,8.743532
1807824,"Gaustavegen 649, Hjartdal",59.798966,8.742797
1807826,"Gaustavegen 643, Hjartdal",59.798481,8.74209
1807827,"Gaustavegen 645, Hjartdal",59.798447,8.742981
1810964,"Hotellvegen 37, Hjartdal",59.791645,8.756528
1810965,"Hotellvegen 25, Hjartdal",59.790936,8.756969
1810966,"Hotellvegen 64, Hjartdal",59.793175,8.752019
1810967,"Hotellvegen 39, Hjartdal",59.792253,8.755358
1810968,"Hotellvegen 68, Hjartdal",59.792746,8.752878
1810969,"Hotellvegen 66, Hjartdal",59.793016,8.75162
1810970,"Hotellvegen 92, Hjartdal",59.794299,8.749155
1810971,"Hotellvegen 4, Hjartdal",59.789548,8.759153
1810972,"Hotellvegen 12, Hjartdal",59.789945,8.758208
1810973,"Hotellvegen 6, Hjartdal",59.78904,8.758788
1810998,"Blindingsdalen 98, Hjartdal",59.701324,8.866463
1810999,"Blindingsdalen 102, Hjartdal",59.700751,8.866928
1811000,"Blindingsdalen 104, Hjartdal",59.700999,8.866237
1811007,"Blindingsdalen 22, Hjartdal",59.699001,8.865787
1811008,"Blindingsdalen 24, Hjartdal",59.699485,8.864879
1811019,"Blindingsdalen 26, Hjartdal",59.699745,8.86438
1811020,"Blindingsdalen 5, Hjartdal",59.697238,8.866158
1811021,"Blindingsdalen 12, Hjartdal",59.698213,8.864882
1811022,"Blindingsdalen 14, Hjartdal",59.698094,8.865648
1811023,"Blindingsdalen 19, Hjartdal",59.697757,8.868553
1811024,"Blindingsdalen 21, Hjartdal",59.697454,8.872971
1811025,"Blindingsdalen 23, Hjartdal",59.697069,8.872324
1811026,"Blindingsdalen 25, Hjartdal",59.698238,8.867579
1811034,"Blindingsdalen 65, Hjartdal",59.700614,8.871857
1811035,"Blindingsdalen 67, Hjartdal",59.700838,8.871359
1811036,"Blindingsdalen 73, Hjartdal",59.701035,8.870452
1811040,"Blindingsdalen 28, Hjartdal",59.700048,8.863793
1811041,"Blindingsdalen 30, Hjartdal",59.699539,8.865781
1811043,"Blindingsdalen 32, Hjartdal",59.698944,8.867052
1811045,"Blindingsdalen 42, Hjartdal",59.699219,8.868327
1811055,"Blindingsdalen 60, Hjartdal",59.700128,8.870633
1811058,"Blindingsdalen 61, Hjartdal",59.699931,8.871398
1811060,"Blindingsdalen 63, Hjartdal",59.700201,8.87177
1811262,"Blindingsdalen 115, Hjartdal",59.700096,8.866072
1811263,"Blindingsdalen 125, Hjartdal",59.699685,8.867454
1811264,"Blindingsdalen 100, Hjartdal",59.701076,8.867076
1811265,"Blindingsdalen 107, Hjartdal",59.70102,8.865091
1811266,"Blindingsdalen 109, Hjartdal",59.700455,8.865052
1811267,"Blindingsdalen 111, Hjartdal",59.700472,8.86434
1811268,"Blindingsdalen 113, Hjartdal",59.700831,8.863825
1811269,"Blindingsdalen 106, Hjartdal",59.700779,8.865762
1811391,"Dalsvegen 1, Hjartdal",59.743979,8.833814
1811392,"Dalsvegen 10, Hjartdal",59.744385,8.832045
1811393,"Dalsvegen 12, Hjartdal",59.744586,8.830484
1811394,"Bjønndalsvegen 27, Hjartdal",59.71714,8.857199
1811398,"Hogstulvegen 230, Hjartdal",59.725254,8.818455
1811400,"Hogstulvegen 263, Hjartdal",59.7243,8.816789
1811402,"Hogstulvegen 286, Hjartdal",59.723697,8.813037
1811403,"Hogstulvegen 297, Hjartdal",59.72387,8.811329
1811404,"Hogstulvegen 301, Hjartdal",59.723815,8.810497
1811405,"Hogstulvegen 401, Hjartdal",59.724877,8.793937
1811407,"Hogstulvegen 95, Hjartdal",59.737889,8.825181
1811426,"Bjønndalsvegen 46, Hjartdal",59.726888,8.853886
1811427,"Bjønndalsvegen 54, Hjartdal",59.722713,8.861113
1811428,"Bjønndalsvegen 42, Hjartdal",59.722703,8.853762
1811430,"Bjønndalsvegen 44, Hjartdal",59.726673,8.854047
1811432,"Bjønndalsvegen 47, Hjartdal",59.717367,8.859936
1811433,"Bjønndalsvegen 40, Hjartdal",59.720818,8.853983
1811437,"Bjønndalsvegen 43, Hjartdal",59.716792,8.859494
1811438,"Bjønndalsvegen 45, Hjartdal",59.71708,8.860239
1811478,"Bjønndalsvegen 282, Hjartdal",59.721642,8.888596
1811483,"Hogstulvegen 96, Hjartdal",59.733238,8.825383
1811485,"Hogstulvegen 93, Hjartdal",59.735844,8.826675
1811486,"Hogstulvegen 91, Hjartdal",59.735685,8.826441
1811487,"Hogstulvegen 89, Hjartdal",59.735298,8.82813
1811488,"Hogstulvegen 87, Hjartdal",59.735021,8.828529
1811489,"Hogstulvegen 85, Hjartdal",59.735089,8.826477
1811492,"Hogstulvegen 10, Hjartdal",59.735174,8.836454
1811681,"Hogstulvegen 83, Hjartdal",59.734449,8.826064
1811684,"Hogstulvegen 81, Hjartdal",59.734086,8.828367
1811720,"Hogstulvegen 143, Hjartdal",59.729967,8.793392
1811722,"Hogstulvegen 141, Hjartdal",59.729805,8.792761
1811724,"Hogstulvegen 137, Hjartdal",59.730486,8.791137
1811726,"Hogstulvegen 135, Hjartdal",59.731833,8.797416
1811728,"Hogstulvegen 103, Hjartdal",59.733342,8.822804
1811732,"Dalsvegen 25, Hjartdal",59.747377,8.836697
1811733,"Dalsvegen 36, Hjartdal",59.747,8.833388
1811835,"Hovdevegen 6, Hjartdal",59.747836,8.816713
1811839,"Hovdevegen 11, Hjartdal",59.747495,8.817231
1811840,"Hovdevegen 19, Hjartdal",59.747371,8.818424
1811841,"Hovdevegen 13, Hjartdal",59.747379,8.817766
1811842,"Hovdevegen 18, Hjartdal",59.747792,8.818031
1811844,"Hovdevegen 20, Hjartdal",59.747977,8.818474
1811886,"Kultan, Kultanvegen 65, Hjartdal",59.77344,8.721449
1811888,"Hovdevegen 769, Hjartdal",59.795387,8.833683
1811890,"Hovdevegen 565, Hjartdal",59.782535,8.846019
1811893,"Kultanvegen 260, Hjartdal",59.764015,8.735757
1811895,"Kultanvegen 212, Hjartdal",59.76765,8.739686
1811897,"Kultanvegen 118, Hjartdal",59.774011,8.726044
1811899,"Kultanvegen 116, Hjartdal",59.774296,8.726061
1811905,"Kultanvegen 263, Hjartdal",59.76516,8.734209
1811935,"Dalsvegen 49, Hjartdal",59.747804,8.833101
1811949,"Hovdevegen 32, Hjartdal",59.748727,8.820845
1811950,"Hovdevegen 56, Hjartdal",59.748478,8.823781
1811951,"Hovdevegen 55, Hjartdal",59.748053,8.824452
1811953,"Hovdevegen 69, Hjartdal",59.748741,8.826993
1811954,"Hovdevegen 67, Hjartdal",59.748684,8.826513
1811956,"Hovdevegen 91, Hjartdal",59.750062,8.822911
1811957,"Hovdevegen 79, Hjartdal",59.749418,8.824676
1811958,"Hovdevegen 351, Hjartdal",59.763862,8.841263
1811959,"Hovdevegen 110, Hjartdal",59.750376,8.816059
1811962,"Hovdevegen 109, Hjartdal",59.751075,8.821518
1811990,"Hovdevegen 2, Hjartdal",59.747327,8.815723
1811991,"Hovdevegen 8, Hjartdal",59.748014,8.815769
1811997,"Hogstulvegen 139, Hjartdal",59.729233,8.791319
1811999,"Hovdevegen 179, Hjartdal",59.750949,8.827818
