,Navn,Long,Lat
229223,"Gulsetvegen 183, Gulset og Skotfoss",59.220783,9.566274
229224,"Gulsetvegen 178, Gulset og Skotfoss",59.219752,9.568009
229226,"Gulsetvegen 184, Gulset og Skotfoss",59.220805,9.567396
229227,"Gulsetvegen 173, Gulset og Skotfoss",59.218865,9.567521
229228,"Gulsetvegen 172, Gulset og Skotfoss",59.218874,9.568635
229229,"Gulsetvegen 176, Gulset og Skotfoss",59.219464,9.568197
229230,"Gulsetvegen 174, Gulset og Skotfoss",59.219193,9.568455
229231,"Gulsetvegen 161, Gulset og Skotfoss",59.217486,9.568497
229232,"Gulsetvegen 159, Gulset og Skotfoss",59.217261,9.568686
229233,"Gulsetvegen 170, Gulset og Skotfoss",59.218636,9.568533
229234,"Gulsetvegen 165, Gulset og Skotfoss",59.21752,9.566903
229235,"Gulsetvegen 151, Gulset og Skotfoss",59.216327,9.568635
229236,"Gulsetvegen 150, Gulset og Skotfoss",59.216806,9.569974
229237,"Gulsetvegen 157, Gulset og Skotfoss",59.217063,9.56877
229238,"Gulsetvegen 155, Gulset og Skotfoss",59.216847,9.568907
229239,"Gulsetvegen 131, Gulset og Skotfoss",59.214032,9.569911
229240,"Gulsetvegen 127, Gulset og Skotfoss",59.213922,9.570329
229241,"Gulsetvegen 140, Gulset og Skotfoss",59.215494,9.570373
229242,"Gulsetvegen 133, Gulset og Skotfoss",59.214114,9.569544
229243,"Gulsetvegen 121, Gulset og Skotfoss",59.211062,9.571367
229244,"Gulsetvegen 120, Gulset og Skotfoss",59.212759,9.57348
229245,"Gulsetvegen 125, Gulset og Skotfoss",59.213922,9.570364
229246,"Gulsetvegen 123, Gulset og Skotfoss",59.21061,9.571885
229247,"Furuset 3, Gulset og Skotfoss",59.212549,9.574124
229248,"Furuset 10, Gulset og Skotfoss",59.213204,9.574293
229249,"Gulsetvegen 117, Gulset og Skotfoss",59.212321,9.571021
229250,"Furuset 1, Gulset og Skotfoss",59.212261,9.57433
229251,"Furuset 4, Gulset og Skotfoss",59.212357,9.574892
229252,"Furuset 2, Gulset og Skotfoss",59.212123,9.57501
229253,"Furuset 8, Gulset og Skotfoss",59.212862,9.574445
229254,"Furuset 6, Gulset og Skotfoss",59.21261,9.574686
229586,"Gulsetlia 19G, Gulset og Skotfoss",59.216413,9.563452
229587,"Gulsetlia 19F, Gulset og Skotfoss",59.216439,9.563557
229588,"Gulsetlia 19C, Gulset og Skotfoss",59.21651,9.563856
229589,"Gulsetlia 19B, Gulset og Skotfoss",59.216527,9.563979
229590,"Gulsetlia 19E, Gulset og Skotfoss",59.216466,9.563663
229591,"Gulsetlia 19D, Gulset og Skotfoss",59.216483,9.563768
229592,"Gulsetlia 15I, Gulset og Skotfoss",59.216784,9.562792
229593,"Gulsetlia 15H, Gulset og Skotfoss",59.216739,9.562809
229594,"Gulsetlia 19A, Gulset og Skotfoss",59.216545,9.564067
229595,"Gulsetlia 18, Gulset og Skotfoss",59.217619,9.562859
229596,"Gulsetlia 15E, Gulset og Skotfoss",59.216577,9.562947
229597,"Gulsetlia 15D, Gulset og Skotfoss",59.216487,9.562945
229598,"Gulsetlia 15G, Gulset og Skotfoss",59.216685,9.562843
229599,"Gulsetlia 15F, Gulset og Skotfoss",59.216613,9.562895
229600,"Gulsetlia 15A, Gulset og Skotfoss",59.216334,9.563083
229601,"Gulsetlia 14, Gulset og Skotfoss",59.217535,9.563575
229602,"Gulsetlia 15C, Gulset og Skotfoss",59.216433,9.562979
229603,"Gulsetlia 15B, Gulset og Skotfoss",59.216388,9.563031
229604,"Gulsetlia 13B, Gulset og Skotfoss",59.216955,9.56269
229605,"Gulsetlia 13A, Gulset og Skotfoss",59.21691,9.562759
229606,"Gulsetlia 13D, Gulset og Skotfoss",59.217054,9.562622
229607,"Gulsetlia 13C, Gulset og Skotfoss",59.217018,9.562656
229608,"Gulsetlia 9, Gulset og Skotfoss",59.217291,9.565936
229609,"Gulsetlia 6, Gulset og Skotfoss",59.218128,9.565547
229610,"Gulsetlia 12, Gulset og Skotfoss",59.217641,9.563875
229611,"Gulsetlia 10, Gulset og Skotfoss",59.217783,9.56435
229614,"Gulsetlia 5, Gulset og Skotfoss",59.217901,9.566192
229615,"Gulsetlia 2, Gulset og Skotfoss",59.218604,9.567692
229649,"Gulsetkroken 17, Gulset og Skotfoss",59.210357,9.574385
229652,"Gulsetkroken 12, Gulset og Skotfoss",59.211041,9.574029
229653,"Gulsetkroken 10, Gulset og Skotfoss",59.211231,9.573805
229654,"Gulsetkroken 16, Gulset og Skotfoss",59.211035,9.573381
229655,"Gulsetkroken 15, Gulset og Skotfoss",59.210679,9.574583
229656,"Gulsetkroken 7, Gulset og Skotfoss",59.211363,9.57435
229657,"Gulsetkroken 9, Gulset og Skotfoss",59.211137,9.574591
229658,"Gulsetkroken 8, Gulset og Skotfoss",59.211438,9.573615
229659,"Gulsetkroken 3, Gulset og Skotfoss",59.211787,9.573866
229660,"Gulsetkroken 2, Gulset og Skotfoss",59.212229,9.573524
229661,"Gulsetkroken 5, Gulset og Skotfoss",59.211552,9.574195
229662,"Gulsetkroken 4, Gulset og Skotfoss",59.212033,9.573187
229715,"Gulsetlia 24, Gulset og Skotfoss",59.217397,9.562294
229716,"Gulsetlia 20, Gulset og Skotfoss",59.217402,9.56317
230240,"Hynivegen 64, Gulset og Skotfoss",59.216492,9.574191
230243,"Hynivegen 51, Gulset og Skotfoss",59.21618,9.57352
230244,"Hynivegen 50, Gulset og Skotfoss",59.214818,9.574986
230245,"Hynivegen 62, Gulset og Skotfoss",59.216159,9.574343
230246,"Hynivegen 52, Gulset og Skotfoss",59.214838,9.575569
230247,"Hynivegen 48B, Gulset og Skotfoss",59.214419,9.575837
230248,"Hynivegen 48A, Gulset og Skotfoss",59.214359,9.575223
230249,"Hynivegen 49, Gulset og Skotfoss",59.215812,9.573619
230250,"Hynivegen 48C, Gulset og Skotfoss",59.214662,9.575649
230251,"Hynivegen 44A, Gulset og Skotfoss",59.21358,9.576751
230252,"Hynivegen 43, Gulset og Skotfoss",59.215397,9.573927
230253,"Hynivegen 46, Gulset og Skotfoss",59.213966,9.576688
