,Navn,Long,Lat
3985,"44/5, Tørdal",59.034009,8.714176
4008,"44/352, Tørdal",59.052908,8.724322
4271,"15/49, Drangedal",59.085386,9.205776
4272,"15/38, Drangedal",59.034093,9.231984
4273,"16/16, Drangedal",59.021843,9.21973
4274,"16/4, Drangedal",59.030471,9.23137
4276,"6/39, Drangedal",59.150657,9.002797
4277,"5/9, Drangedal",59.165646,8.996275
4278,"37/4, Drangedal",59.099196,8.984812
4279,"32/85, Drangedal",59.117082,9.04127
4280,"32/9, Drangedal",59.090429,9.076818
4281,"32/4, Drangedal",59.118116,9.037516
4282,"29/14, Drangedal",59.068402,9.055425
4283,"28/18, Drangedal",59.022391,9.12367
4288,"13/30, Drangedal",59.082014,9.092261
4289,"13/31, Drangedal",59.08602,9.090387
4290,"8/3, Drangedal",59.191906,9.158772
4291,"8/2, Drangedal",59.192303,9.157076
4292,"9/5, Drangedal",59.201551,9.08122
4293,"29/53, Drangedal",59.073393,9.091959
4294,"29/52, Drangedal",59.076124,9.090763
4295,"29/17, Drangedal",59.077628,9.084364
4296,"29/7/1, Drangedal",59.076816,9.088811
4297,"29/43, Drangedal",59.081228,9.082888
4298,"29/42, Drangedal",59.075719,9.090744
4299,"29/7, Drangedal",59.077347,9.088341
4300,"28/41, Drangedal",59.052371,9.101142
4302,"25/114, Drangedal",59.013612,9.217432
4307,"25/50, Drangedal",59.017335,9.211564
4308,"26/14, Drangedal",59.039941,9.202106
4309,"26/13, Drangedal",59.045565,9.169199
4310,"25/117, Drangedal",59.016398,9.210797
4311,"25/116, Drangedal",59.017035,9.210247
4314,"25/25, Drangedal",59.010819,9.206497
4318,"16/5, Drangedal",59.029983,9.243161
4319,"16/3, Drangedal",59.014008,9.301887
4320,"16/11, Drangedal",59.021673,9.219416
4321,"16/6, Drangedal",59.029145,9.271324
4322,"15/105, Drangedal",59.120436,9.232885
4323,"15/133, Drangedal",59.120452,9.228745
4324,"15/106, Drangedal",59.126763,9.229923
4326,"15/95, Drangedal",59.044546,9.208721
4327,"15/33, Drangedal",59.132736,9.235652
4328,"15/19, Drangedal",59.101218,9.22757
4329,"15/6/12, Drangedal",59.041065,9.223094
4330,"15/232, Drangedal",59.046288,9.203416
4331,"33/45, Drangedal",59.1006,9.00405
4332,"32/89, Drangedal",59.076488,9.068121
4333,"32/87, Drangedal",59.089284,9.078292
4334,"32/76, Drangedal",59.090915,9.076718
4335,"6/36, Drangedal",59.139878,8.973488
4336,"6/3, Drangedal",59.148952,8.954374
4337,"7/37/1, Drangedal",59.148147,9.035574
4338,"7/49, Drangedal",59.167433,9.083536
4339,"7/37, Drangedal",59.145017,9.049292
4340,"7/7/4, Drangedal",59.167011,9.083307
4341,"2/2, Drangedal",59.243866,8.918644
4346,"12/19, Drangedal",59.115739,9.087077
4347,"16/39, Drangedal",59.014932,9.211833
4349,"4/2-1, Drangedal",59.167585,8.986462
4350,"4/1-1, Drangedal",59.167809,8.987494
4352,"45/42, Tørdal",59.085661,8.765937
4353,"45/43, Tørdal",59.084891,8.757306
4355,"44/12, Tørdal",59.084557,8.76605
4356,"42/17, Tørdal",59.107577,8.78344
4357,"42/1, Tørdal",59.018927,8.837132
4358,"14/96-1, Drangedal",59.058948,9.129761
4359,"43/12, Tørdal",59.009883,8.836165
4360,"43/10, Tørdal",59.022314,8.845511
4361,"14/85, Drangedal",59.076933,9.101005
4362,"28/62, Drangedal",59.058445,9.097341
4364,"15/155, Drangedal",59.040406,9.22492
4365,"15/136, Drangedal",59.121777,9.226064
4366,"16/50, Drangedal",59.027126,9.279356
4367,"46/15, Tørdal",59.116659,8.766187
4368,"43/1/2, Tørdal",59.009767,8.836007
4369,"15/38-1, Drangedal",59.038119,9.228564
4370,"4/5-1, Drangedal",59.191644,8.950991
4371,"28/4-1, Drangedal",59.061729,9.075084
4372,"15/160, Drangedal",59.039246,9.22608
4373,"15/161, Drangedal",59.039311,9.224669
4374,"9/3, Drangedal",59.186621,9.088518
4386,"44/1/84, Tørdal",59.054292,8.716518
4391,"44/145, Tørdal",59.063616,8.705546
4412,"43/8-2, Tørdal",59.039859,8.7655
4413,"37/12-1, Drangedal",59.09984,8.962085
4415,"29/17-1, Drangedal",59.078032,9.084226
4416,"33/10-2, Drangedal",59.100367,9.003631
4417,"33/44-1, Drangedal",59.099819,9.004382
4418,"28/27-1, Drangedal",59.01849,9.098047
4419,"11/1-2, Drangedal",59.134433,9.072316
4422,"8/1-1, Drangedal",59.190554,9.122413
4425,"16/19-2, Drangedal",59.067271,9.313655
4430,"42/52, Tørdal",59.108526,8.781863
12772,"29/111, Drangedal",59.067352,9.053261
29024,"32/4/1, Drangedal",59.118502,9.037027
29081,"43/79, Tørdal",59.03718,8.790034
29218,"44/2/163, Tørdal",59.056361,8.687905
29662,"45/186, Tørdal",59.116333,8.88021
33675,"15/3-1, Drangedal",59.101698,9.193723
33728,"43/1-2, Tørdal",59.068233,8.807728
34561,"32/407, Drangedal",59.117776,9.040076
34574,"15/38-2, Drangedal",59.034108,9.232308
34737,"32/406, Drangedal",59.117765,9.04081
36556,"15/38-3, Drangedal",59.034421,9.228506
36580,"44/2, Tørdal",59.08024,8.728941
37410,"15/48, Drangedal",59.132163,9.235826
37420,"15/48-1, Drangedal",59.13218,9.236524
42640,"15/249, Drangedal",59.045308,9.23041
44855,"11/32, Drangedal",59.154105,9.081243
46015,"15/38-4, Drangedal",59.038077,9.228667
244166,"Skareveien 570, Bamble og Herre",59.018682,9.356634
249432,"Skareveien 403, Bamble og Herre",59.025033,9.353019
249434,"Skareveien 577, Bamble og Herre",59.019494,9.345544
249435,"Skareveien 575, Bamble og Herre",59.01924,9.347366
249475,"Skareveien 574, Bamble og Herre",59.018173,9.356032
249643,"Skareveien 580, Bamble og Herre",59.01575,9.348466
249994,"Skareveien 520, Bamble og Herre",59.02166,9.361328
249996,"Skareveien 572, Bamble og Herre",59.018449,9.356731
250004,"Vellomvannsveien 494, Bamble og Herre",59.044843,9.408541
250418,"Vellomvannsveien 329, Bamble og Herre",59.038585,9.39071
250422,"Skareveien 474, Bamble og Herre",59.032672,9.381276
251007,"Skareveien 579, Bamble og Herre",59.017962,9.344428
503929,"Blekapynten 21, Tørdal",59.049965,8.719352
503930,"Oddeåsbakken 14, Drangedal",59.062941,9.0906
503931,"Oddeåsbakken 4, Drangedal",59.062525,9.087724
503932,"Søndre Vestliaveien 28, Tørdal",59.065187,8.774003
503933,"Søndre Vestliaveien 32, Tørdal",59.064976,8.774309
503934,"Søndre Vestliaveien 9, Tørdal",59.066236,8.773216
503936,"Laukfjellveien 18, Tørdal",59.098192,8.739931
503937,"Søndre Vestliaveien 53, Tørdal",59.065147,8.771914
503939,"Laukfjellveien 20, Tørdal",59.097907,8.739338
503941,"Bråtheia 24A, Drangedal",59.090676,9.069131
503942,"Bråtheia 32D, Drangedal",59.091072,9.068659
503943,"Bråtheia 24C, Drangedal",59.09071,9.068927
503947,"Gampåsveien 2, Drangedal",59.067053,9.20809
503948,"Sannesveien 652, Drangedal",59.063708,9.19902
503949,"Oddnesveien 43, Drangedal",59.053213,9.196675
503950,"Henseidveien 37, Drangedal",59.063758,9.20746
503951,"Gampåsveien 22, Drangedal",59.065958,9.207403
503952,"Henseidveien 55, Drangedal",59.064777,9.210291
503953,"Gampåsveien 24, Drangedal",59.065572,9.207262
