,Navn,Long,Lat
14332,"Heddersviki, 1/9, KVITESEID",59.277881,8.463399
34671,"17/1, KVITESEID",59.275582,8.51821
34672,"2/1, KVITESEID",59.303517,8.310279
35286,"2/71, KVITESEID",59.3259,8.325891
35357,"2/17, KVITESEID",59.326397,8.334059
36275,"14/403, KVITESEID",59.329206,8.481161
37043,"14/404, KVITESEID",59.320886,8.468792
37049,"14/407, KVITESEID",59.320137,8.46907
37084,"14/406, KVITESEID",59.320337,8.469023
37168,"1/351, KVITESEID",59.298968,8.418229
37283,"14/408-1, KVITESEID",59.319675,8.469292
37284,"14/408, KVITESEID",59.319784,8.469459
37336,"14/409, KVITESEID",59.319951,8.470036
37554,"14/407-1, KVITESEID",59.320029,8.469186
37555,"14/404-1, KVITESEID",59.320985,8.4687
37557,"14/406-1, KVITESEID",59.320455,8.468967
38197,"13/319, KVITESEID",59.323444,8.424998
38657,"14/405, KVITESEID",59.320622,8.468868
38711,"2/68, KVITESEID",59.319062,8.356097
40161,"14/405-1, KVITESEID",59.320717,8.468836
40471,"17/1-1, KVITESEID",59.274388,8.518053
43498,"14/424-1, KVITESEID",59.321076,8.46926
43499,"14/424-2, KVITESEID",59.320931,8.469501
43500,"14/424-3, KVITESEID",59.32081,8.469397
43501,"14/424-4, KVITESEID",59.320678,8.469658
43502,"14/424-5, KVITESEID",59.320568,8.46951
43503,"14/424-7, KVITESEID",59.320341,8.469663
43504,"14/424-8, KVITESEID",59.320185,8.469897
43505,"14/424-6, KVITESEID",59.320459,8.469807
43753,"14/423, KVITESEID",59.320709,8.470297
44178,"14/431, KVITESEID",59.320504,8.470418
44180,"14/431-1, KVITESEID",59.320362,8.47052
45000,"14/430, KVITESEID",59.321008,8.470065
45001,"14/430-1, KVITESEID",59.32088,8.470157
49069,"Heddersviki, 1/8, KVITESEID",59.27591,8.462465
50251,"Heddersviki, 1/2, KVITESEID",59.281722,8.469393
805923,"Kviteseidvegen 1519, KVITESEID",59.339989,8.499495
805924,"Kviteseidvegen 1638, KVITESEID",59.32909,8.493294
805935,"Kviteseidvegen 1664D, KVITESEID",59.329021,8.493998
805936,"Kviteseidvegen 1665, KVITESEID",59.326933,8.492693
805937,"Kviteseidvegen 1664B, KVITESEID",59.328135,8.494731
805938,"Kviteseidvegen 1664C, KVITESEID",59.327189,8.493849
805939,"Kviteseidvegen 1683, KVITESEID",59.325272,8.492929
805940,"Kviteseidvegen 1684, KVITESEID",59.325985,8.496151
805941,"Kviteseidvegen 1674, KVITESEID",59.326172,8.493372
805942,"Kviteseidvegen 1674A, KVITESEID",59.326295,8.49497
805943,"Kviteseidvegen 1643A, KVITESEID",59.330306,8.491782
805944,"Kviteseidvegen 1654, KVITESEID",59.328309,8.493393
805945,"Kviteseidvegen 1638A, KVITESEID",59.329231,8.492606
805946,"Kviteseidvegen 1643, KVITESEID",59.329699,8.490578
805947,"Kviteseidvegen 1659, KVITESEID",59.328025,8.490812
805948,"Kviteseidvegen 1664A, KVITESEID",59.327646,8.493719
805949,"Kviteseidvegen 1657, KVITESEID",59.327691,8.491311
805950,"Kviteseidvegen 1753, KVITESEID",59.320538,8.501819
805951,"Kviteseidvegen 1738B, KVITESEID",59.322386,8.501386
805952,"Kviteseidvegen 1741, KVITESEID",59.32127,8.500649
805953,"Kviteseidvegen 1799, KVITESEID",59.31671,8.503491
805954,"Kviteseidvegen 1807A, KVITESEID",59.31648,8.504619
805955,"Kviteseidvegen 1754, KVITESEID",59.320404,8.503097
805956,"Kviteseidvegen 1784, KVITESEID",59.318212,8.50426
805958,"Kviteseidvegen 1701, KVITESEID",59.3243,8.49463
805959,"Kviteseidvegen 1703, KVITESEID",59.323449,8.495223
805960,"Kviteseidvegen 1684A, KVITESEID",59.325492,8.496335
805961,"Kviteseidvegen 1698, KVITESEID",59.324631,8.496699
805962,"Kviteseidvegen 1718, KVITESEID",59.324276,8.499245
805963,"Kviteseidvegen 1738, KVITESEID",59.322758,8.500012
805964,"Kviteseidvegen 1715, KVITESEID",59.323121,8.496387
805965,"Kviteseidvegen 1715A, KVITESEID",59.32319,8.495543
805966,"Kviteseidvegen 1883A, KVITESEID",59.311171,8.513725
805967,"Kviteseidvegen 1853C, KVITESEID",59.31302,8.508674
805968,"Lønnegravvegen 3, KVITESEID",59.312214,8.514079
805969,"Kviteseidvegen 1885, KVITESEID",59.311093,8.514253
805970,"Kviteseidvegen 2048, KVITESEID",59.300438,8.523061
805971,"Kviteseidvegen 1883B, KVITESEID",59.311202,8.512337
805972,"Kviteseidvegen 1884, KVITESEID",59.311602,8.515897
805973,"Kviteseidvegen 1815, KVITESEID",59.315195,8.505853
805974,"Kviteseidvegen 1822, KVITESEID",59.315258,8.509081
805975,"Kviteseidvegen 1807B, KVITESEID",59.315035,8.50464
805976,"Kviteseidvegen 1809, KVITESEID",59.316936,8.50398
805977,"Kviteseidvegen 1853A, KVITESEID",59.312637,8.509383
