,Navn,Long,Lat
14331,"10/4, Nissedal",59.185987,8.584403
14339,"Kyrkjebygdheia, 14/3/1, Nissedal",59.155254,8.682603
14340,"10/10-1, Nissedal",59.189847,8.675299
32406,"10/5-6, Nissedal",59.195438,8.668574
32407,"10/5-4, Nissedal",59.18903,8.676487
32408,"10/5-3, Nissedal",59.189421,8.677165
32409,"10/5-2, Nissedal",59.188918,8.676785
40400,"10/11, Nissedal",59.190604,8.671234
40465,"10/12-5, Nissedal",59.195261,8.6702
806340,"Stemtjønnvegen 123, Nissedal",59.176382,8.581962
806341,"Sundsodden 37, Nissedal",59.179835,8.501672
806344,"Støylanevegen 627, Nissedal",59.209465,8.643065
808030,"Nissedalsvegen 1930, Nissedal",59.245313,8.514873
808032,"Flesjedalen 9, Nissedal",59.205495,8.496241
808034,"Flesjedalen 35, Nissedal",59.209076,8.496724
808036,"Nissedalsvegen 1318, Nissedal",59.199787,8.511247
808038,"Nordbygdvegen 145, Nissedal",59.204234,8.514107
808040,"Kveldsmyrane 46, Nissedal",59.212837,8.497434
808042,"Nordbygdvegen 130, Nissedal",59.203047,8.515931
808052,"Kleivvegen 120, Nissedal",59.212301,8.514974
808053,"Nordbygdvegen 65, Nissedal",59.197667,8.518472
808055,"Kleivvegen 124, Nissedal",59.213086,8.520812
808057,"Nordbygdvegen 82, Nissedal",59.198599,8.517794
808059,"Kleivvegen 37, Nissedal",59.203346,8.521859
808061,"Kleivvegen 39, Nissedal",59.203644,8.522135
808063,"Nordbygdvegen 93, Nissedal",59.200147,8.518665
808065,"Nissedalsvegen 1327, Nissedal",59.20063,8.511112
808067,"Nissedalsvegen 1335, Nissedal",59.200926,8.51081
808069,"Nordbygdvegen 188, Nissedal",59.199588,8.513438
808071,"Nissedalsvegen 1321, Nissedal",59.199627,8.511897
808073,"Nissedalsvegen 1345, Nissedal",59.202005,8.508834
808075,"Nissedalsvegen 1932, Nissedal",59.245646,8.515096
808076,"Nissedalsvegen 1577, Nissedal",59.216171,8.498594
808078,"Nordbygdvegen 141, Nissedal",59.207413,8.511821
808080,"Nordbygdvegen 190, Nissedal",59.199884,8.513154
808082,"Tveitanevegen 111, Nissedal",59.194161,8.529725
808084,"Tveitanevegen 83, Nissedal",59.194759,8.526058
808085,"Tveitanevegen 51, Nissedal",59.194436,8.523839
808087,"Tveitanevegen 38, Nissedal",59.19623,8.523114
808089,"Kleivvegen 59, Nissedal",59.20582,8.520977
808091,"Tveitanevegen 5, Nissedal",59.196908,8.519568
808093,"Kleivvegen 47, Nissedal",59.204904,8.520472
808095,"Støylanevegen 33, Nissedal",59.208015,8.541512
808096,"Nissedalsvegen 1278, Nissedal",59.196322,8.512921
