,Navn,Long,Lat
14338,"38/115, Nissedal",59.010962,8.762179
33010,"31/7-1, Nissedal",59.034048,8.400402
35450,"31/213, Nissedal",59.051145,8.46361
35453,"31/212, Nissedal",59.051308,8.462672
35602,"32/5, Nissedal",59.037047,8.511206
35991,"31/211, Nissedal",59.051858,8.462288
36004,"21/136, Nissedal",59.125055,8.47536
36013,"33/302, Nissedal",59.02228,8.492272
36836,"33/306, Nissedal",59.020901,8.492571
37045,"26/1-1, Nissedal",59.235538,8.451645
37126,"32/4, Nissedal",59.055476,8.376497
37128,"33/308, Nissedal",59.020239,8.492194
37136,"32/5-1, Nissedal",59.034875,8.424017
37178,"33/298, Nissedal",59.022606,8.493194
37735,"27/1, Nissedal",59.160572,8.462981
37749,"21/36, Nissedal",59.131556,8.45755
37927,"21/142, Nissedal",59.12473,8.475091
40165,"31/221, Nissedal",59.051442,8.463531
40202,"33/309, Nissedal",59.021818,8.493484
40418,"31/220-1, Nissedal",59.051877,8.46314
40504,"33/299, Nissedal",59.022158,8.495726
40519,"33/313, Nissedal",59.02052,8.492408
40527,"33/305, Nissedal",59.021579,8.495359
41669,"21/149, Nissedal",59.124705,8.474656
43512,"33/303, Nissedal",59.021971,8.495062
43770,"31/222, Nissedal",59.052296,8.462968
43771,"31/223-1, Nissedal",59.052246,8.462237
44807,"33/46, Nissedal",59.025867,8.517509
44816,"33/311, Nissedal",59.020707,8.495469
45014,"31/225, Nissedal",59.051997,8.463001
45015,"21/150, Nissedal",59.125727,8.475643
45018,"31/224, Nissedal",59.053851,8.462445
45653,"31/226, Nissedal",59.052783,8.4628
45944,"31/231, Nissedal",59.054099,8.463188
45951,"31/229, Nissedal",59.050778,8.461855
45952,"31/230, Nissedal",59.050758,8.46135
54860,"34/285, Nissedal",59.041015,8.616386
806336,"Kvarvåsvegen 285, Nissedal",59.039338,8.621242
806337,"Bjønntjønnlia 222, Nissedal",59.041691,8.643087
806338,"Bjønntjønnlia 219, Nissedal",59.042071,8.644401
806339,"Bjønntjønnlia 207, Nissedal",59.041149,8.648575
806342,"Kvarvåsvegen 319, Nissedal",59.040837,8.620801
806343,"Kvarvåsvegen 315, Nissedal",59.040512,8.620092
806345,"Kvarvåsvegen 23, Nissedal",59.037814,8.640925
808258,"Fjonevegen 1346, Nissedal",59.091751,8.481283
808273,"Fjonevegen 1913, Nissedal",59.136082,8.459073
808274,"Fjonevegen 1794, Nissedal",59.129334,8.472223
808275,"Fjonevegen 1814, Nissedal",59.129973,8.470361
808276,"Fjonevegen 1663, Nissedal",59.118261,8.472236
