,Navn,Long,Lat
11811,"71/3/1, Vinje og Nesland",59.669047,7.779214
11823,"68/30, Vinje og Nesland",59.677306,7.776343
11824,"68/1, Vinje og Nesland",59.676088,7.773564
11825,"68/2/2, Vinje og Nesland",59.671374,7.775724
11826,"69/16, Vinje og Nesland",59.677786,7.700743
11829,"69/17, Vinje og Nesland",59.671296,7.778981
11841,"68/1/4, Vinje og Nesland",59.678057,7.77491
11858,"71/3/2, Vinje og Nesland",59.663806,7.692888
11862,"69/19, Vinje og Nesland",59.671004,7.689327
11865,"68/37, Vinje og Nesland",59.676877,7.776216
11870,"69/22, Vinje og Nesland",59.667287,7.787671
29041,"Samastad, 68/6, Vinje og Nesland",59.676926,7.777599
29266,"68/42, Vinje og Nesland",59.67707,7.778917
31493,"68/7, Vinje og Nesland",59.649348,7.67754
37923,"71/1, Vinje og Nesland",59.674753,7.719746
38006,"69/4, Vinje og Nesland",59.67599,7.696816
38023,"71/1-1, Vinje og Nesland",59.673173,7.699997
38033,"69/4-1, Vinje og Nesland",59.664316,7.782482
703038,"Smørklepp 150, Vinje og Nesland",59.650307,7.800685
1751004,"Smørklepp 161, Vinje og Nesland",59.649373,7.8039
1751006,"Smørklepp 130, Vinje og Nesland",59.648046,7.798292
1751009,"Smørklepp 144, Vinje og Nesland",59.64914,7.800393
1751011,"Smørklepp 146, Vinje og Nesland",59.649668,7.797821
1751113,"Heievegen 395, Vinje og Nesland",59.690663,7.818451
1751114,"Heievegen 394, Vinje og Nesland",59.690727,7.817596
1751115,"Heievegen 471, Grungedal",59.698396,7.818492
1751116,"Heievegen 435, Grungedal",59.692876,7.819795
1751117,"Heievegen 153, Vinje og Nesland",59.669917,7.816359
1751118,"Heievegen 345, Vinje og Nesland",59.686597,7.817635
1751119,"Heievegen 206, Vinje og Nesland",59.674552,7.816462
1751124,"Heievegen 475, Grungedal",59.69833,7.817204
1751125,"Heievegen 473, Grungedal",59.69802,7.817739
1751178,"Smørklepp 6, Vinje og Nesland",59.640528,7.800028
1751179,"Smørklepp 12, Vinje og Nesland",59.640797,7.800054
1751180,"Smørklepp 18, Vinje og Nesland",59.641317,7.800089
1751216,"Heievegen 121, Vinje og Nesland",59.66697,7.814787
1751217,"Heievegen 158, Vinje og Nesland",59.669488,7.815628
1751219,"Heievegen 49, Vinje og Nesland",59.660416,7.812727
1751220,"Heievegen 41, Vinje og Nesland",59.660076,7.812588
1751221,"Heievegen 101, Vinje og Nesland",59.665479,7.81419
1751222,"Heievegen 97, Vinje og Nesland",59.664986,7.814177
1751226,"Heievegen 33, Vinje og Nesland",59.658263,7.812054
1751228,"Heievegen 32, Vinje og Nesland",59.659036,7.811592
1751235,"Smørklepp 23, Vinje og Nesland",59.641446,7.802103
1751236,"Smørklepp 35, Vinje og Nesland",59.643311,7.800922
1751237,"Smørklepp 34, Vinje og Nesland",59.642132,7.799723
1751243,"Heievegen 113, Vinje og Nesland",59.666537,7.814586
1751245,"Smørklepp 62, Vinje og Nesland",59.644927,7.794052
1751247,"Smørklepp 60, Vinje og Nesland",59.645506,7.793535
1751250,"Smørklepp 64, Vinje og Nesland",59.644158,7.796404
1751251,"Smørklepp 37, Vinje og Nesland",59.643581,7.800771
1751252,"Smørklepp 58, Vinje og Nesland",59.644446,7.793537
1751254,"Smørklepp 56, Vinje og Nesland",59.643789,7.795282
1751263,"Smørklepp 55, Vinje og Nesland",59.643811,7.798651
1751264,"Smørklepp 92, Vinje og Nesland",59.648618,7.791116
1751266,"Smørklepp 69, Vinje og Nesland",59.644915,7.798559
1751268,"Smørklepp 125, Vinje og Nesland",59.646636,7.802116
1751270,"Smørklepp 123, Vinje og Nesland",59.64691,7.801092
1751273,"Smørklepp 127, Vinje og Nesland",59.647477,7.800791
1751275,"Smørklepp 105, Vinje og Nesland",59.645844,7.798029
1751277,"Smørklepp 97, Vinje og Nesland",59.64621,7.795834
1751279,"Smørklepp 126, Vinje og Nesland",59.647571,7.798849
1751282,"Smørklepp 120, Vinje og Nesland",59.647091,7.797878
1751379,"Smørklepp 28, Vinje og Nesland",59.642683,7.800998
1751380,"Smørklepp 26, Vinje og Nesland",59.642851,7.801701
1751381,"Smørklepp 16, Vinje og Nesland",59.641147,7.799728
1756391,"Vinjevegen 2426, Grungedal",59.696688,7.814295
1756393,"Vinjevegen 2420, Grungedal",59.696125,7.813638
1756395,"Vinjevegen 2422, Grungedal",59.697601,7.813019
1756396,"Vinjevegen 2424, Grungedal",59.698229,7.812943
1756397,"Vinjevegen 2407, Grungedal",59.694787,7.814682
1756405,"Vinjevegen 2206, Grungedal",59.677288,7.811145
1756406,"Vinjevegen 2184, Grungedal",59.675714,7.808927
1756407,"Vinjevegen 2173, Grungedal",59.674103,7.811524
1756408,"Vinjevegen 2208, Grungedal",59.677363,7.810515
1756409,"Vinjevegen 2186, Grungedal",59.676368,7.809487
1756410,"Vinjevegen 2006, Vinje og Nesland",59.660274,7.806653
1756414,"Haukelivegen 7260, Grungedal",59.700816,7.812958
1756415,"Haukelivegen 7286, Grungedal",59.699045,7.814965
1756416,"Haukelivegen 7282, Grungedal",59.700466,7.814037
1756417,"Haukelivegen 7296, Grungedal",59.698989,7.816399
1756418,"Haukelivegen 7294, Grungedal",59.698766,7.815678
1756558,"Vinjevegen 2346, Grungedal",59.689954,7.811566
1756559,"Vinjevegen 2328, Grungedal",59.688112,7.811914
1756560,"Vinjevegen 2326, Grungedal",59.687942,7.812508
1756561,"Vinjevegen 2332, Grungedal",59.688985,7.811654
1756562,"Vinjevegen 2330, Grungedal",59.688602,7.811385
1756564,"Vinjevegen 2276, Grungedal",59.682961,7.810528
1756565,"Vinjevegen 2274, Grungedal",59.683015,7.810871
1756571,"Vinjevegen 2316, Grungedal",59.686909,7.812301
1756572,"Vinjevegen 2284, Grungedal",59.683916,7.810634
1756574,"Vinjevegen 2210, Grungedal",59.677649,7.810285
1756599,"Vinjevegen 1688, Vinje og Nesland",59.648659,7.782091
1756612,"Vinjevegen 2418, Grungedal",59.695677,7.81378
1756613,"Vinjevegen 2412, Grungedal",59.694313,7.809919
1756614,"Vinjevegen 2414, Grungedal",59.695397,7.811554
1756615,"Vinjevegen 2381, Grungedal",59.69266,7.815643
1756616,"Vinjevegen 2410, Grungedal",59.694525,7.813518
1756619,"Vinjevegen 2366, Grungedal",59.69128,7.814202
1855250,"Smørklepp 10, Vinje og Nesland",59.64065,7.799822
1855252,"Smørklepp 121, Vinje og Nesland",59.647224,7.800641
1855279,"Heievegen 35, Vinje og Nesland",59.658181,7.811961
1934916,"Smørklepp 66, Vinje og Nesland",59.644249,7.796915
2043474,"Vinjevegen 2334, Grungedal",59.688787,7.810625
2045183,"Vinjevegen 2428, Grungedal",59.698158,7.813374
2106682,"Smørklepp 128, Vinje og Nesland",59.647591,7.797603
