,Navn,Long,Lat
211643,"Breidablikkbakken 18A, Porsgrunn",59.15528,9.661027
211644,"Breidablikkbakken 18B, Porsgrunn",59.15528,9.661027
211645,"Breidablikkbakken 18C, Porsgrunn",59.15555,9.661032
211646,"Breidablikkbakken 18D, Porsgrunn",59.15555,9.661032
211649,"Breidablikkbakken 16, Porsgrunn",59.154949,9.660846
211762,"Breidablikkbakken 18I, Porsgrunn",59.155846,9.661038
211765,"Breidablikkbakken 18E, Porsgrunn",59.15555,9.661032
211766,"Breidablikkbakken 18F, Porsgrunn",59.15555,9.661032
211767,"Breidablikkbakken 18G, Porsgrunn",59.155846,9.661038
211768,"Breidablikkbakken 18H, Porsgrunn",59.155846,9.661038
212019,"Breidablikkbakken 14, Porsgrunn",59.154636,9.660612
212031,"Breidablikkbakken 5, Porsgrunn",59.152411,9.661131
212032,"Breidablikkbakken 8, Porsgrunn",59.153551,9.660294
212033,"Breidablikkbakken 10, Porsgrunn",59.154026,9.660391
212034,"Breidablikkbakken 12, Porsgrunn",59.154349,9.66045
212035,"Breidablikkbakken 1, Porsgrunn",59.151906,9.661142
212036,"Breidablikkbakken 3, Porsgrunn",59.152081,9.661036
212037,"Breidablikkbakken 4, Porsgrunn",59.152392,9.660342
212058,"Brages veg 20, Porsgrunn",59.149445,9.665879
212059,"Brages veg 22, Porsgrunn",59.149644,9.665621
212081,"Brages veg 18, Porsgrunn",59.149273,9.666138
212090,"Borgeåsen terrasse 15, Porsgrunn",59.15202,9.661873
212091,"Borgeåsen terrasse 17, Porsgrunn",59.151935,9.661928
212092,"Borgeåsen terrasse 21, Porsgrunn",59.151617,9.6626
212105,"Borgeåsen terrasse 1, Porsgrunn",59.152765,9.661188
212110,"Borgeåsen terrasse 9, Porsgrunn",59.152275,9.661736
212111,"Borgeåsen terrasse 10, Porsgrunn",59.152257,9.662327
212112,"Borgeåsen terrasse 11, Porsgrunn",59.152187,9.661787
212113,"Borgeåsen terrasse 13, Porsgrunn",59.152112,9.661822
212114,"Borgeåsen terrasse 3, Porsgrunn",59.152596,9.661641
212115,"Borgeåsen terrasse 5, Porsgrunn",59.152506,9.661692
212116,"Borgeåsen terrasse 7, Porsgrunn",59.152417,9.661735
212117,"Borgeåsen terrasse 8, Porsgrunn",59.152433,9.662217
212118,"Borgeskogen terrasse 6, Porsgrunn",59.154698,9.659023
212119,"Borgeskogen terrasse 7, Porsgrunn",59.15539,9.658756
212120,"Borgeskogen terrasse 8, Porsgrunn",59.15443,9.658755
212121,"Borgeskogen terrasse 9, Porsgrunn",59.155005,9.658521
212123,"Borgeskogen terrasse 1, Porsgrunn",59.156063,9.659014
212124,"Borgeskogen terrasse 5, Porsgrunn",59.155605,9.658918
212130,"Borgeskogen terrasse 10, Porsgrunn",59.1547,9.658585
212131,"Borgeskogen terrasse 11, Porsgrunn",59.154891,9.658012
212132,"Borgeskogen terrasse 12, Porsgrunn",59.154716,9.658023
214669,"Håvundvegen 445, Porsgrunn",59.155745,9.657941
214670,"Håvundvegen 446, Porsgrunn",59.15581,9.657558
214671,"Håvundvegen 446B, Porsgrunn",59.155812,9.657173
214672,"Håvundvegen 448, Porsgrunn",59.155567,9.657553
214673,"Håvundvegen 442, Porsgrunn",59.156366,9.657568
214674,"Håvundvegen 442B, Porsgrunn",59.156205,9.657565
214675,"Håvundvegen 443, Porsgrunn",59.155996,9.658033
214676,"Håvundvegen 444, Porsgrunn",59.156051,9.657702
214679,"Idunns veg 1, Porsgrunn",59.148453,9.666612
214680,"Håvundvegen 449, Porsgrunn",59.155527,9.658304
214681,"Håvundvegen 451, Porsgrunn",59.155357,9.658213
214682,"Håvundvegen 453, Porsgrunn",59.15517,9.65786
214684,"Håvundvegen 427, Porsgrunn",59.157746,9.659955
214685,"Håvundvegen 431, Porsgrunn",59.157475,9.658481
214686,"Håvundvegen 432, Porsgrunn",59.157379,9.65806
214687,"Håvundvegen 433, Porsgrunn",59.157171,9.658318
214688,"Håvundvegen 417, Porsgrunn",59.158557,9.659569
