,Navn,Long,Lat
44062,"27/224, Stokka",58.967111,5.692196
968724,"Adolph Tidemands vei 3, Stokka",58.967358,5.697179
968725,"Adolph Tidemands vei 4, Stokka",58.967083,5.697309
968726,"Adolph Tidemands vei 4B, Stokka",58.967097,5.697134
968727,"Adolph Tidemands vei 5, Stokka",58.967324,5.696521
968728,"Adolph Tidemands vei 6, Stokka",58.966998,5.696796
968729,"Adolph Tidemands vei 11, Stokka",58.967164,5.694848
968730,"Adolph Tidemands vei 13, Stokka",58.967112,5.694557
968737,"Adolph Tidemands vei 1, Stokka",58.967467,5.697569
968738,"Adolph Tidemands vei 2, Stokka",58.967166,5.697737
968755,"Agathe Backer Grøndahls vei 1C, Kampen",58.965135,5.701968
968756,"Agathe Backer Grøndahls vei 1D, Kampen",58.965155,5.702036
968757,"Agathe Backer Grøndahls vei 1E, Kampen",58.965184,5.70212
968758,"Agathe Backer Grøndahls vei 1F, Kampen",58.965203,5.702188
968759,"Agathe Backer Grøndahls vei 3A, Kampen",58.965245,5.70241
968760,"Agathe Backer Grøndahls vei 3C, Kampen",58.965294,5.702562
968761,"Agathe Backer Grøndahls vei 3D, Kampen",58.965322,5.702629
968762,"Agathe Backer Grøndahls vei 3E, Kampen",58.965352,5.702713
968769,"Agathe Backer Grøndahls vei 1A, Kampen",58.965077,5.7018
968770,"Agathe Backer Grøndahls vei 1B, Kampen",58.965106,5.701884
968771,"Agathe Backer Grøndahls vei 7E, Kampen",58.965739,5.703825
968772,"Agathe Backer Grøndahls vei 7F, Kampen",58.965769,5.703926
968773,"Agathe Backer Grøndahls vei 8A, Kampen",58.966229,5.704352
968774,"Agathe Backer Grøndahls vei 8B, Kampen",58.966289,5.704573
968779,"Agathe Backer Grøndahls vei 3F, Kampen",58.965372,5.702798
968780,"Agathe Backer Grøndahls vei 4A, Kampen",58.965558,5.702363
968781,"Agathe Backer Grøndahls vei 4B, Kampen",58.965635,5.702564
968782,"Agathe Backer Grøndahls vei 5A, Kampen",58.965431,5.703001
968783,"Agathe Backer Grøndahls vei 5C, Kampen",58.965488,5.703135
968784,"Agathe Backer Grøndahls vei 5D, Kampen",58.965508,5.70322
968785,"Agathe Backer Grøndahls vei 7C, Kampen",58.965691,5.703673
968786,"Agathe Backer Grøndahls vei 7D, Kampen",58.965711,5.703758
968972,"Anne Grimdalens vei 5C, Stokka",58.96664,5.685623
968973,"Anne Grimdalens vei 6, Stokka",58.966941,5.686151
968974,"Anne Grimdalens vei 7A, Stokka",58.965937,5.685551
968975,"Anne Grimdalens vei 7B, Stokka",58.966019,5.68556
968976,"Anne Grimdalens vei 7C, Stokka",58.9661,5.68557
968977,"Anne Grimdalens vei 7D, Stokka",58.966163,5.685581
