,Navn,Long,Lat
38330,"38/998, Madlamark",58.942456,5.67218
40387,"38/1523, Madlamark",58.939638,5.677232
43163,"38/1170, Madlamark",58.943098,5.673859
191473,"Radiovegen 3, Sørnes",58.931409,5.69307
194661,"Grannes terrasse 51, Sørnes",58.934162,5.691713
194662,"Grannes terrasse 52, Sørnes",58.933872,5.690228
194663,"Grannes terrasse 49, Sørnes",58.934212,5.691917
194664,"Grannes terrasse 50, Sørnes",58.933812,5.690338
194665,"Grannes terrasse 47, Sørnes",58.934244,5.692122
194666,"Grannes terrasse 48, Sørnes",58.933781,5.690532
194667,"Grannes terrasse 45, Sørnes",58.934285,5.692327
194668,"Grannes terrasse 46, Sørnes",58.933868,5.690767
194669,"Grannes terrasse 59, Sørnes",58.934255,5.690435
194670,"Grannes terrasse 60, Sørnes",58.934047,5.690055
194671,"Grannes terrasse 57, Sørnes",58.934232,5.690611
194672,"Grannes terrasse 58, Sørnes",58.93407,5.690244
194673,"Grannes terrasse 55, Sørnes",58.934209,5.690735
194674,"Grannes terrasse 56, Sørnes",58.934029,5.690387
194675,"Grannes terrasse 53, Sørnes",58.934185,5.690876
194677,"Grannes terrasse 54, Sørnes",58.933996,5.690512
194678,"Grannes terrasse 67, Sørnes",58.934524,5.690061
194679,"Grannes terrasse 68, Sørnes",58.934475,5.689562
194680,"Grannes terrasse 65, Sørnes",58.934463,5.690136
194681,"Grannes terrasse 66, Sørnes",58.934379,5.689675
194682,"Grannes terrasse 63, Sørnes",58.934411,5.690211
194683,"Grannes terrasse 64, Sørnes",58.934301,5.68977
194684,"Grannes terrasse 61, Sørnes",58.934368,5.690302
194685,"Grannes terrasse 62, Sørnes",58.934195,5.689867
194686,"Grannes terrasse 75, Sørnes",58.934841,5.689822
194687,"Grannes terrasse 76, Sørnes",58.935103,5.689154
194688,"Grannes terrasse 73, Sørnes",58.934762,5.689864
194689,"Grannes terrasse 74, Sørnes",58.935023,5.689196
194690,"Grannes terrasse 71, Sørnes",58.9347,5.689905
194691,"Grannes terrasse 72, Sørnes",58.934623,5.689356
194692,"Grannes terrasse 69, Sørnes",58.934611,5.689966
194693,"Grannes terrasse 70, Sørnes",58.934554,5.689467
194694,"Grannes terrasse 84, Sørnes",58.935764,5.689351
194695,"Grannes terrasse 85, Sørnes",58.935252,5.690044
194696,"Grannes terrasse 82, Sørnes",58.935315,5.689029
