,Navn,Long,Lat
979,"Hellestø, 23/17, Ræge",58.846218,5.563521
980,"Hellestø, 23/18, Ræge",58.846324,5.563095
981,"Hellestø, 23/23, Ræge",58.846872,5.562763
983,"Hellestø, 23/37-4, Ræge",58.847302,5.562703
984,"Hellestø, 23/35, Ræge",58.846985,5.561919
985,"Hellestø, 23/8-2, Ræge",58.847006,5.563374
986,"Hellestø, 23/8-3, Ræge",58.847409,5.563004
987,"Hellestø, 23/8/2-1, Ræge",58.846897,5.564026
988,"Hellestø, 23/8-6, Ræge",58.848681,5.555403
992,"Hellestø, 23/20, Ræge",58.846326,5.562175
997,"Hellestø, 23/3, Ræge",58.852385,5.557151
50700,"Hellestø, 23/10, Ræge",58.846614,5.560499
51922,"Hellestø, 23/26, Ræge",58.849923,5.553129
51995,"Hellestø, 23/16, Ræge",58.846487,5.562801
191471,"Gardshaugvegen 45, Ræge",58.866311,5.588373
194541,"Blåknappvegen 24, Ræge",58.851272,5.575769
194542,"Blåknappvegen 25, Ræge",58.851693,5.57604
194543,"Blåknappvegen 22, Ræge",58.851335,5.57611
194544,"Blåknappvegen 23, Ræge",58.851946,5.576102
194545,"Blåknappvegen 20, Ræge",58.851476,5.576339
194546,"Blåknappvegen 21, Ræge",58.85183,5.575783
194547,"Blåknappvegen 18, Ræge",58.851652,5.57653
194548,"Blåknappvegen 19, Ræge",58.852046,5.575467
194549,"Blåknappvegen 29, Ræge",58.851624,5.575162
194550,"Blåknappvegen 31, Ræge",58.851439,5.575302
194551,"Blåknappvegen 26, Ræge",58.851204,5.575568
194553,"Blåknappvegen 27, Ræge",58.851565,5.575636
194563,"Blåknappvegen 1, Ræge",58.852872,5.575438
194565,"Blåknappvegen 8, Ræge",58.852513,5.576132
194566,"Blåknappvegen 9, Ræge",58.852396,5.574773
194567,"Blåknappvegen 6, Ræge",58.852491,5.575649
194568,"Blåknappvegen 7, Ræge",58.852614,5.574509
194569,"Blåknappvegen 4, Ræge",58.852623,5.575532
194570,"Blåknappvegen 5, Ræge",58.852704,5.574847
194571,"Blåknappvegen 2, Ræge",58.852741,5.575902
194572,"Blåknappvegen 3, Ræge",58.852774,5.575135
194573,"Blåknappvegen 16, Ræge",58.851978,5.576619
194574,"Blåknappvegen 17, Ræge",58.85211,5.575843
194575,"Blåknappvegen 14, Ræge",58.852074,5.57654
194576,"Blåknappvegen 15, Ræge",58.852249,5.575673
194577,"Blåknappvegen 12, Ræge",58.852242,5.576402
194578,"Blåknappvegen 13, Ræge",58.85228,5.575149
194579,"Blåknappvegen 10, Ræge",58.8524,5.576265
194580,"Blåknappvegen 11, Ræge",58.852476,5.575078
194581,"Bukkebladvegen 12, Ræge",58.849818,5.578896
194582,"Bukkebladvegen 14, Ræge",58.849695,5.579012
194583,"Eikebergvegen 146, Ræge",58.850166,5.577804
194584,"Bukkebladvegen 10, Ræge",58.849959,5.578813
194585,"Eikebergvegen 150, Ræge",58.850352,5.577352
194586,"Eikebergvegen 148, Ræge",58.850268,5.577551
194587,"Eikebergvegen 152, Ræge",58.850445,5.577134
194608,"Bukkebladvegen 22, Ræge",58.849125,5.579554
194609,"Bukkebladvegen 23, Ræge",58.848996,5.579081
194610,"Bukkebladvegen 20, Ræge",58.849266,5.579454
194611,"Bukkebladvegen 21, Ræge",58.849127,5.578947
194612,"Bukkebladvegen 18, Ræge",58.849398,5.579337
194613,"Bukkebladvegen 19, Ræge",58.849258,5.578813
194614,"Bukkebladvegen 15, Ræge",58.849645,5.578462
194615,"Bukkebladvegen 16, Ræge",58.849539,5.579219
194622,"Bukkebladvegen 24, Ræge",58.849012,5.579704
194623,"Bukkebladvegen 26, Ræge",58.848891,5.579855
194848,"Føllblomvegen 4, Ræge",58.851763,5.574281
194849,"Føllblomvegen 4B, Ræge",58.851647,5.573998
194850,"Føllblomvegen 2, Ræge",58.851547,5.574285
194851,"Føllblomvegen 3, Ræge",58.851194,5.575205
194852,"Føllblomvegen 1, Ræge",58.851271,5.574729
194853,"Føllblomvegen 11, Ræge",58.852136,5.574105
194854,"Føllblomvegen 12, Ræge",58.852311,5.573585
194855,"Føllblomvegen 9, Ræge",58.852034,5.574358
194856,"Føllblomvegen 10, Ræge",58.852077,5.573591
194857,"Føllblomvegen 7, Ræge",58.851916,5.574647
194858,"Føllblomvegen 8, Ræge",58.851937,5.573726
194859,"Føllblomvegen 5, Ræge",58.851525,5.574808
194860,"Føllblomvegen 6, Ræge",58.851797,5.573861
194861,"Føllblomvegen 14, Ræge",58.85223,5.573246
194960,"Gardshaugvegen 52, Ræge",58.865617,5.58799
194961,"Gardshaugvegen 57, Ræge",58.866187,5.587431
194962,"Gardshaugvegen 43, Ræge",58.866314,5.588494
194963,"Gardshaugvegen 44, Ræge",58.865709,5.589421
194964,"Gardshaugvegen 35, Ræge",58.8668,5.589557
194967,"Gardshaugvegen 98, Ræge",58.864834,5.580484
194968,"Gardshaugvegen 100, Ræge",58.86283,5.582521
194969,"Gardshaugvegen 81, Ræge",58.866763,5.58373
194970,"Gardshaugvegen 86, Ræge",58.86545,5.58235
194971,"Gardshaugvegen 71, Ræge",58.867083,5.585295
194972,"Gardshaugvegen 79, Ræge",58.866493,5.584069
194973,"Gardshaugvegen 63, Ræge",58.866141,5.586724
194974,"Gardshaugvegen 69, Ræge",58.866303,5.586031
194975,"Gardshaugvegen 109, Ræge",58.865054,5.578589
194976,"Gardshaugvegen 110, Ræge",58.862998,5.576293
194977,"Gardshaugvegen 107, Ræge",58.865146,5.579013
194978,"Gardshaugvegen 108, Ræge",58.864441,5.578198
194979,"Gardshaugvegen 104, Ræge",58.861381,5.581073
194980,"Gardshaugvegen 106, Ræge",58.864633,5.579307
194981,"Gardshaugvegen 102, Ræge",58.861835,5.582273
194982,"Gardshaugvegen 103, Ræge",58.865226,5.579647
194983,"Gimravegen 3, Ræge",58.864237,5.627827
194984,"Gardshaugvegen 127, Ræge",58.865337,5.575697
194985,"Gardshaugvegen 129, Ræge",58.865631,5.574922
194986,"Gardshaugvegen 118, Ræge",58.864998,5.577171
194987,"Gardshaugvegen 121, Ræge",58.865246,5.576678
194988,"Gardshaugvegen 112, Ræge",58.862741,5.577134
194989,"Gardshaugvegen 114, Ræge",58.864738,5.577874
194994,"Gimravegen 65, Sola",58.856989,5.625254
194995,"Gimravegen 67, Sola",58.856104,5.624767
194996,"Gimravegen 35, Ræge",58.858904,5.62701
194997,"Gimravegen 63, Ræge",58.857734,5.626274
195281,"Hålandsvegen 34, Ræge",58.856949,5.581384
195282,"Hålandsvegen 49, Ræge",58.858601,5.576589
195283,"Hålandsvegen 30, Ræge",58.854873,5.585822
195284,"Hålandsvegen 32, Ræge",58.85609,5.580532
195285,"Hålandsvegen 28, Ræge",58.85533,5.5851
195286,"Hålandsvegen 29, Ræge",58.859682,5.581097
195287,"Hålandsvegen 21, Ræge",58.859621,5.582526
195288,"Hålandsvegen 26, Ræge",58.855787,5.585038
195289,"Hålandsvegen 51, Ræge",58.855879,5.57259
195290,"Hålandsvegen 53, Ræge",58.85702,5.57763
195443,"Kvitlyngvegen 14, Ræge",58.849492,5.576448
195444,"Kvitlyngvegen 15, Ræge",58.850001,5.576641
195445,"Kvitlyngvegen 12, Ræge",58.849473,5.576745
195446,"Kvitlyngvegen 13, Ræge",58.850095,5.576458
195447,"Kvitlyngvegen 10, Ræge",58.849559,5.577274
195448,"Kvitlyngvegen 11, Ræge",58.850344,5.576693
195454,"Kvitlyngvegen 8, Ræge",58.849647,5.577526
195455,"Kvitlyngvegen 9, Ræge",58.850233,5.57693
195456,"Kvitlyngvegen 22, Ræge",58.849427,5.575344
195457,"Kvitlyngvegen 23, Ræge",58.849902,5.576304
195458,"Kvitlyngvegen 20, Ræge",58.84943,5.575778
195459,"Kvitlyngvegen 21, Ræge",58.849792,5.576557
195460,"Kvitlyngvegen 18, Ræge",58.849613,5.575933
195461,"Kvitlyngvegen 19, Ræge",58.849806,5.577076
195462,"Kvitlyngvegen 16, Ræge",58.84953,5.576167
195463,"Kvitlyngvegen 17, Ræge",58.849908,5.576875
195466,"Kvitlyngvegen 28, Ræge",58.849879,5.575439
195468,"Kvitlyngvegen 26, Ræge",58.849785,5.575639
195469,"Kvitlyngvegen 27, Ræge",58.850086,5.5758
195470,"Kvitlyngvegen 24, Ræge",58.84961,5.575465
195471,"Kvitlyngvegen 25, Ræge",58.849994,5.576034
195712,"Kleppvegen 245, Ræge",58.867212,5.629862
195713,"Kleppvegen 247, Ræge",58.866228,5.631433
195714,"Kleppvegen 243, Ræge",58.866155,5.632082
195718,"Kleppvegen 312, Ræge",58.862021,5.62315
195719,"Kleppvegen 331, Ræge",58.861833,5.617899
195720,"Kleppvegen 293, Ræge",58.863636,5.624085
195721,"Kleppvegen 310, Ræge",58.862055,5.624777
195722,"Kleppvegen 273, Ræge",58.864443,5.624354
195723,"Kleppvegen 275, Ræge",58.864115,5.624177
195724,"Nordsjøvegen 505, Ræge",58.865307,5.628521
195725,"Kleppvegen 271, Ræge",58.864175,5.625421
195726,"Kleppvegen 360, Ræge",58.857739,5.622318
195727,"Vigdelsvegen 5, Ræge",58.860175,5.614447
195728,"Kleppvegen 358, Ræge",58.857499,5.622428
195729,"Vigdelsvegen 3, Ræge",58.860026,5.614912
195730,"Kleppvegen 356A, Ræge",58.859277,5.622492
