,Navn,Long,Lat
81061,"Austmarka 9, Randaberg",58.983216,5.650478
81062,"Austmarka 10, Randaberg",58.982232,5.644393
81063,"Austmarka 13, Randaberg",58.982903,5.651239
81064,"Austmarka 14, Randaberg",58.982096,5.644005
81065,"Austmarka 1, Randaberg",58.980632,5.65099
81066,"Austmarka 2, Randaberg",58.980097,5.651164
81067,"Austmarka 5, Randaberg",58.982891,5.650074
81068,"Austmarka 6, Randaberg",58.982659,5.649783
81150,"Bergveien 11, Randaberg",58.994835,5.628587
81151,"Bergveien 13A, Randaberg",58.994891,5.629
81152,"Bergveien 15, Randaberg",58.994736,5.629276
81154,"Bergveien 6, Randaberg",58.995301,5.628507
81155,"Bergveien 7, Randaberg",58.99498,5.627928
81156,"Bergveien 8, Randaberg",58.995229,5.628879
81157,"Bergveien 9, Randaberg",58.995008,5.628309
81158,"Bergveien 3A, Randaberg",58.994915,5.627151
81159,"Bergveien 4, Randaberg",58.99537,5.628082
81160,"Bergveien 5, Randaberg",58.995098,5.627621
81161,"Bergveien 5A, Randaberg",58.994952,5.627531
81163,"Bergveien 1, Randaberg",58.995223,5.626929
81164,"Bergveien 2, Randaberg",58.995412,5.627608
81165,"Bergveien 3, Randaberg",58.995096,5.627203
81190,"Austmarka 25, Randaberg",58.983373,5.652012
81191,"Austmarka 29, Randaberg",58.983852,5.652122
81194,"Austmarka 17, Randaberg",58.983091,5.651204
81196,"Austmarka 18, Randaberg",58.983469,5.648782
81198,"Austmarka 21, Randaberg",58.983348,5.651057
81200,"Austmarka 22, Randaberg",58.984156,5.652058
81315,"Dalhaugveien 6, Randaberg",58.985069,5.614254
81316,"Dalveien 2, Randaberg",58.996367,5.628402
81317,"Dalveien 2A, Randaberg",58.996562,5.628627
81318,"Dalhaugveien 1, Randaberg",58.985104,5.614913
81319,"Dalhaugveien 2, Randaberg",58.984652,5.614818
81320,"Dalhaugveien 3, Randaberg",58.985245,5.614463
81321,"Dalhaugveien 4, Randaberg",58.984861,5.614553
81322,"Dalakroken 5, Randaberg",58.993003,5.623803
81323,"Dalakroken 7, Randaberg",58.992864,5.624321
81324,"Dalakroken 9, Randaberg",58.992672,5.624567
81325,"Dalakroken 11, Randaberg",58.992659,5.62509
81327,"Dalakroken 3, Randaberg",58.993093,5.623115
81328,"Dalakroken 4, Randaberg",58.99299,5.624675
81369,"Visteleet 5, Randaberg",58.986309,5.611503
81370,"Goaveien 109, Randaberg",58.987515,5.610897
81371,"Visteleet 20, Randaberg",58.985727,5.610916
81460,"Fjellveien 20, Randaberg",58.994273,5.629757
81461,"Fjellveien 22, Randaberg",58.994291,5.630138
81462,"Fjellveien 24, Randaberg",58.994175,5.630498
81464,"Fjellveien 16, Randaberg",58.994398,5.629065
81465,"Fjellveien 17, Randaberg",58.993899,5.630264
81466,"Fjellveien 18, Randaberg",58.994427,5.629463
81467,"Fjellveien 19, Randaberg",58.993797,5.630483
81468,"Fjellveien 12, Randaberg",58.994498,5.628394
81469,"Fjellveien 13, Randaberg",58.993986,5.629454
81470,"Fjellveien 14, Randaberg",58.994553,5.628806
81471,"Fjellveien 15, Randaberg",58.993953,5.62991
81472,"Fjellveien 8, Randaberg",58.994597,5.627705
81473,"Fjellveien 9, Randaberg",58.994126,5.628604
81474,"Fjellveien 10, Randaberg",58.994653,5.628135
81475,"Fjellveien 11, Randaberg",58.994075,5.629062
81476,"Fjellveien 3, Randaberg",58.99436,5.627258
81477,"Fjellveien 4, Randaberg",58.994713,5.626997
81478,"Fjellveien 5, Randaberg",58.994255,5.627686
81479,"Fjellveien 7, Randaberg",58.994212,5.628126
81482,"Fjellveien 1, Randaberg",58.994463,5.626725
81483,"Fjellveien 2, Randaberg",58.994793,5.626606
81500,"Goaveien 6, Randaberg",58.992493,5.643237
81501,"Goaveien 9, Randaberg",58.991988,5.640761
81502,"Goaveien 10, Randaberg",58.992241,5.64253
81503,"Goaveien 14, Randaberg",58.991994,5.64238
81506,"Goaveien 2, Randaberg",58.992414,5.643993
81507,"Goaveien 3, Randaberg",58.992498,5.642035
81563,"Visteleet 7, Randaberg",58.986618,5.611316
81564,"Goaveien 107, Randaberg",58.987405,5.611848
81565,"Goaveien 99, Randaberg",58.987741,5.61643
81566,"Goaveien 101, Randaberg",58.987374,5.615125
81567,"Visteleet 1, Randaberg",58.986934,5.612034
81568,"Goaveien 103, Randaberg",58.987419,5.614755
81569,"Goakvednane 14, Randaberg",58.985884,5.614522
81570,"Goaveien 95, Randaberg",58.987902,5.619479
81571,"Goaveien 97, Randaberg",58.987548,5.615909
81572,"Visteleet 3, Randaberg",58.986572,5.611947
81573,"Goaveien 87, Randaberg",58.988944,5.618436
81574,"Goaveien 89, Randaberg",58.988593,5.621518
81575,"Goakvednane 2X, Randaberg",58.986716,5.615898
81576,"Goaveien 93, Randaberg",58.988156,5.619924
81577,"Goaveien 82, Randaberg",58.988009,5.62222
81578,"Goaveien 83, Randaberg",58.988625,5.622386
81579,"Goaveien 84, Randaberg",58.987314,5.621434
81580,"Goaveien 86, Randaberg",58.987034,5.618972
81581,"Goaveien 76, Randaberg",58.986008,5.624749
81582,"Goaveien 77, Randaberg",58.988929,5.624393
81583,"Goaveien 80, Randaberg",58.987859,5.622287
81584,"Goaveien 81, Randaberg",58.988878,5.6221
81585,"Kyrkjeveien 39A, Randaberg",58.989039,5.62588
81586,"Goaveien 70, Randaberg",58.98829,5.623359
81587,"Goaveien 72, Randaberg",58.988135,5.6236
81588,"Goaveien 73, Randaberg",58.988966,5.625139
81589,"Goaveien 62, Randaberg",58.989114,5.632212
81590,"Kyrkjeveien 37, Randaberg",58.990558,5.625192
81591,"Goaveien 66, Randaberg",58.988727,5.629428
81592,"Kyrkjeveien 39B, Randaberg",58.988947,5.626481
81593,"Goaveien 56, Randaberg",58.989161,5.63468
81594,"Goaveien 58, Randaberg",58.989323,5.634368
81595,"Goaveien 59, Randaberg",58.989199,5.628564
81596,"Goaveien 61, Randaberg",58.989132,5.628048
81597,"Goaveien 51, Randaberg",58.989742,5.630061
81598,"Goaveien 52, Randaberg",58.989553,5.635234
81599,"Goaveien 54, Randaberg",58.98941,5.634934
81600,"Goaveien 55, Randaberg",58.989536,5.629402
81601,"Goaveien 43, Randaberg",58.989681,5.631878
81602,"Goaveien 46, Randaberg",58.988786,5.638931
81603,"Goaveien 47, Randaberg",58.989552,5.630999
81604,"Goaveien 48, Randaberg",58.988689,5.638644
81605,"Goaveien 36, Randaberg",58.989617,5.641845
81606,"Goaveien 38, Randaberg",58.989067,5.642491
81607,"Goaveien 41, Randaberg",58.989767,5.632409
81608,"Goaveien 42, Randaberg",58.989295,5.640205
81609,"Goaveien 30, Randaberg",58.989925,5.636086
81610,"Goaveien 31, Randaberg",58.990124,5.635074
81611,"Goaveien 32, Randaberg",58.989875,5.635551
81612,"Goaveien 35, Randaberg",58.992794,5.633054
81613,"Goaveien 18, Randaberg",58.991708,5.64138
81614,"Goaveien 22, Randaberg",58.99102,5.641186
81615,"Goaveien 23, Randaberg",58.99066,5.637024
81616,"Goaveien 26, Randaberg",58.990018,5.636878
81684,"Dalveien 11, Randaberg",58.995627,5.626559
81685,"Dalveien 11A, Randaberg",58.995524,5.626395
81686,"Dalveien 12, Randaberg",58.995021,5.62674
