,Navn,Long,Lat
997051,"Nesahaugen 49, St. Johannes",58.995459,5.782631
998443,"Nordstrandveien 46B, St. Johannes",59.000445,5.782549
1000009,"Solvigveien 12, St. Johannes",58.996162,5.786345
1000126,"Solvigveien 10, St. Johannes",58.996229,5.786147
1000636,"Solvigveien 3B, St. Johannes",58.9964,5.785052
1001313,"Sørstrandveien 69A, St. Johannes",58.995577,5.787392
1002722,"Sørstrandveien 54, St. Johannes",58.995581,5.787932
1003353,"Regeberget 36, St. Johannes",58.993158,5.785162
1005517,"Regeberget 5, St. Johannes",58.993976,5.786636
1006350,"Sørstrandveien 129A, St. Johannes",58.992071,5.78664
1006351,"Sørstrandveien 129B, St. Johannes",58.992035,5.786608
1299846,"Sørstrandveien 133, St. Johannes",58.991972,5.785829
1660903,"Sørstrandveien 17B, St. Johannes",58.997912,5.783555
1728672,"Nordstrandveien 130, St. Johannes",59.002585,5.78881
2010392,"Nordstrandveien 28, St. Johannes",58.999744,5.781768
2060985,"Nordstrandveien 29, St. Johannes",59.000189,5.784374
2465647,"Sørstrandveien 97, St. Johannes",58.993129,5.786907
2465648,"Sørstrandveien 99, St. Johannes",58.992927,5.787082
2465649,"Sørstrandveien 105, St. Johannes",58.99301,5.787527
2465650,"Sørstrandveien 103, St. Johannes",58.993116,5.787465
2465651,"Sørstrandveien 111, St. Johannes",58.992486,5.787419
2465652,"Sørstrandveien 107, St. Johannes",58.992771,5.787323
2465653,"Sørstrandveien 154, St. Johannes",58.992378,5.789206
2465654,"Sørstrandveien 156, St. Johannes",58.992394,5.7895
2465655,"Sørstrandveien 87, St. Johannes",58.993653,5.787015
2465656,"Sørstrandveien 158, St. Johannes",58.992074,5.788921
2465657,"Sørstrandveien 91, St. Johannes",58.993401,5.787352
2465658,"Sørstrandveien 89, St. Johannes",58.993557,5.787111
2465659,"Sørstrandveien 95, St. Johannes",58.993316,5.78682
2465660,"Sørstrandveien 93, St. Johannes",58.993573,5.786691
2465661,"Regeberget 26, St. Johannes",58.992956,5.785704
2465663,"Sørstrandveien 115, St. Johannes",58.992214,5.786243
2465665,"Sørstrandveien 113, St. Johannes",58.992398,5.786766
2465666,"Sørstrandveien 119, St. Johannes",58.992291,5.787159
2465667,"Sørstrandveien 117, St. Johannes",58.992261,5.786692
2465668,"Regeberget 14, St. Johannes",58.992614,5.786781
2465669,"Sørstrandveien 121, St. Johannes",58.992302,5.787611
2465670,"Regeberget 24, St. Johannes",58.992686,5.785711
2465671,"Regeberget 18, St. Johannes",58.99239,5.785739
2465673,"Nesahaugen 29, St. Johannes",58.996754,5.781953
2465674,"Nordstrandveien 5, St. Johannes",58.998987,5.785733
2465675,"Solvigveien 8, St. Johannes",58.996304,5.785897
2465676,"Regeberget 16B, St. Johannes",58.992367,5.786229
2465677,"Regeberget 16A, St. Johannes",58.992372,5.786089
2465678,"Nordstrandveien 8, St. Johannes",58.999047,5.783446
2465973,"Regeberget 30, St. Johannes",58.993081,5.78604
2465975,"Sørstrandveien 123A, St. Johannes",58.992042,5.787652
2465976,"Sørstrandveien 123B, St. Johannes",58.992008,5.787725
2465978,"Sørstrandveien 131, St. Johannes",58.991973,5.786283
2465980,"Sørstrandveien 52, St. Johannes",58.995801,5.78772
2465981,"Sørstrandveien 58, St. Johannes",58.995321,5.788322
2465982,"Sørstrandveien 56, St. Johannes",58.995429,5.787964
2465983,"Sørstrandveien 60, St. Johannes",58.995068,5.788258
2465984,"Sørstrandveien 68A, St. Johannes",58.994263,5.788421
2465985,"Sørstrandveien 40A, St. Johannes",58.996901,5.785336
2465986,"Sørstrandveien 68B, St. Johannes",58.994303,5.788556
2465988,"Sørstrandveien 48, St. Johannes",58.996192,5.787196
2465989,"Sørstrandveien 40B, St. Johannes",58.996563,5.785838
2465990,"Sørstrandveien 50, St. Johannes",58.995967,5.787548
2465991,"Sørstrandveien 69C, St. Johannes",58.995524,5.787084
2465992,"Nesahaugen 41A, St. Johannes",58.9963,5.782832
2465993,"Nesahaugen 23A, St. Johannes",58.997115,5.78239
2465994,"Nesahaugen 41B, St. Johannes",58.996298,5.782779
2465995,"Nesahaugen 23B, St. Johannes",58.997188,5.782418
2465996,"Regeberget 34, St. Johannes",58.993263,5.785431
2465997,"Nesahaugen 39B, St. Johannes",58.996551,5.782826
2465998,"Nesahaugen 39A, St. Johannes",58.996613,5.782785
2466002,"Solvigveien 1, St. Johannes",58.996556,5.785194
2466003,"Solvigveien 2, St. Johannes",58.996448,5.78557
2466004,"Sørstrandveien 65, St. Johannes",58.995926,5.786959
2466006,"Sørstrandveien 63, St. Johannes",58.995969,5.786886
2466008,"Sørstrandveien 148B, St. Johannes",58.992386,5.788456
2466009,"Sørstrandveien 148A, St. Johannes",58.992312,5.788376
2466010,"Sørstrandveien 44, St. Johannes",58.996461,5.786439
2466011,"Sørstrandveien 125, St. Johannes",58.991998,5.787291
2466014,"Solvigveien 9, St. Johannes",58.996065,5.784247
2466017,"Regeberget 22, St. Johannes",58.992713,5.786075
2466018,"Regeberget 40, St. Johannes",58.99273,5.785289
2466019,"Nesahaugen 33, St. Johannes",58.996568,5.782406
2466020,"Nordstrandveien 134B, St. Johannes",59.00352,5.786216
2466021,"Nordstrandveien 134A, St. Johannes",59.003474,5.786186
2466026,"Solvigveien 17, St. Johannes",58.996235,5.785311
2466028,"Seiavigveien 35, St. Johannes",58.995221,5.790439
2466029,"Solvigveien 14, St. Johannes",58.996087,5.786596
2466032,"Solvigveien 21, St. Johannes",58.995993,5.785699
2466034,"Solvigveien 5, St. Johannes",58.996311,5.784746
2466035,"Solvigveien 11, St. Johannes",58.996095,5.784366
2466036,"Nordstrandveien 74A, St. Johannes",59.001484,5.782783
2466037,"Solvigveien 31, St. Johannes",58.995903,5.786038
2466038,"Solvigveien 23, St. Johannes",58.995676,5.785589
2466039,"Nordstrandveien 46A, St. Johannes",59.000381,5.782538
2466040,"Nordstrandveien 74B, St. Johannes",59.001475,5.782766
2466071,"Nordstrandveien 51, St. Johannes",59.001437,5.784878
2466072,"Nordstrandveien 49, St. Johannes",59.001463,5.785189
2466073,"Nordstrandveien 55, St. Johannes",59.001637,5.784615
2466074,"Nordstrandveien 53, St. Johannes",59.001463,5.784457
2466075,"Nordstrandveien 61, St. Johannes",59.001904,5.7852
2466077,"Nordstrandveien 67, St. Johannes",59.002353,5.785193
2466079,"Nordstrandveien 65, St. Johannes",59.001946,5.784726
2466084,"Nordstrandveien 47, St. Johannes",59.001513,5.785411
2466085,"Nesahaugen 3, St. Johannes",58.997249,5.783804
2466086,"Nordstrandveien 56, St. Johannes",59.000547,5.78341
2466088,"Nordstrandveien 48, St. Johannes",59.000456,5.783018
2466089,"Regeberget 20, St. Johannes",58.992599,5.78619
2466091,"Nordstrandveien 62, St. Johannes",59.000819,5.783507
2466093,"Nordstrandveien 58, St. Johannes",59.000696,5.782891
2466095,"Nordstrandveien 64, St. Johannes",59.000936,5.782782
2466096,"Nordstrandveien 66, St. Johannes",59.000898,5.783082
2466099,"Nordstrandveien 50, St. Johannes",59.00048,5.781797
2466101,"Nordstrandveien 31, St. Johannes",59.000453,5.784135
2466102,"Nordstrandveien 54, St. Johannes",59.000565,5.783757
2466103,"Nordstrandveien 35, St. Johannes",59.000638,5.784552
2466104,"Nordstrandveien 33, St. Johannes",59.000388,5.78461
2466105,"Nordstrandveien 70, St. Johannes",59.001065,5.784007
2466107,"Nordstrandveien 39, St. Johannes",59.000994,5.784396
2466108,"Nordstrandveien 40, St. Johannes",59.000171,5.783115
2466109,"Nordstrandveien 44, St. Johannes",59.000196,5.783408
2466110,"Nordstrandveien 19, St. Johannes",58.999566,5.78446
2466111,"Nordstrandveien 25, St. Johannes",58.999848,5.784225
2466112,"Nordstrandveien 14, St. Johannes",58.999379,5.783798
2466113,"Regeberget 3, St. Johannes",58.994026,5.786823
2466118,"Sørstrandveien 83, St. Johannes",58.994097,5.78713
2466119,"Nesahaugen 25, St. Johannes",58.997047,5.78217
2466120,"Solvigveien 35, St. Johannes",58.995766,5.786678
2466121,"Regeberget 32, St. Johannes",58.993319,5.785844
2466122,"Nordstrandveien 136A, St. Johannes",59.003591,5.786558
2466123,"Nordstrandveien 136B, St. Johannes",59.003611,5.786643
2466124,"Regeberget 8, St. Johannes",58.99319,5.786466
2466125,"Nordstrandveien 16, St. Johannes",58.999492,5.783631
2466126,"Regeberget 12, St. Johannes",58.992798,5.786572
2466127,"Regeberget 10, St. Johannes",58.993021,5.786534
2466128,"Nordstrandveien 30, St. Johannes",59.000334,5.781723
2466129,"Nordstrandveien 26, St. Johannes",58.99983,5.783495
2466130,"Sørstrandveien 22, St. Johannes",58.998359,5.785792
2466131,"Sørstrandveien 20, St. Johannes",58.998239,5.785281
2466132,"Sørstrandveien 32, St. Johannes",58.998086,5.786009
2466133,"Sørstrandveien 24, St. Johannes",58.998382,5.786365
2466134,"Sørstrandveien 36, St. Johannes",58.997957,5.784784
2466135,"Sørstrandveien 34, St. Johannes",58.998077,5.785296
2466136,"Sørstrandveien 9, St. Johannes",58.997856,5.783244
2466137,"Sørstrandveien 11, St. Johannes",58.99817,5.78358
2466138,"Nordstrandveien 38, St. Johannes",58.999987,5.782592
2466139,"Nordstrandveien 32, St. Johannes",59.000114,5.782249
