,Navn,Long,Lat
35510,"51/420, Hundvåg",58.982824,5.735349
35511,"51/428, Hundvåg",58.983186,5.734939
41718,"51/844, Hundvåg",58.982916,5.739874
968963,"Ankerplassen 8, Hundvåg",58.988707,5.729473
969405,"Smaleveien 2, Hundvåg",58.982478,5.741251
969406,"Smaleveien 11, Hundvåg",58.982944,5.740465
969407,"Smaleveien 17, Hundvåg",58.982887,5.739973
969408,"Smaleveien 21, Hundvåg",58.982749,5.739754
969409,"Smaleveien 23, Hundvåg",58.98257,5.739634
969410,"Smaleveien 25, Hundvåg",58.982621,5.739418
969422,"Smaleveien 27, Hundvåg",58.982415,5.739199
969439,"Beite 1, Hundvåg",58.988216,5.736032
969440,"Beite 2, Hundvåg",58.988288,5.735677
969441,"Beite 3, Hundvåg",58.988465,5.736287
969442,"Beite 4, Hundvåg",58.988544,5.735844
969443,"Beite 4A, Hundvåg",58.988551,5.735756
969462,"Bergehaugen 1, Hundvåg",58.983273,5.745309
969463,"Bergehaugen 3, Hundvåg",58.983286,5.745813
969464,"Bergehaugen 5, Hundvåg",58.983387,5.746274
969465,"Bergehaugen 6, Hundvåg",58.98352,5.745495
969466,"Bergehaugen 8, Hundvåg",58.983528,5.745808
969467,"Bergehaugen 10, Hundvåg",58.983528,5.746156
969844,"Blokkmakergata 1, Hundvåg",58.98827,5.727128
970154,"Båtsmannsveien 12, Hundvåg",58.990098,5.732266
970389,"Pyntesundveien 10, Hundvåg",58.983683,5.736983
970390,"Buøy Ring 8, Hundvåg",58.984141,5.736957
970396,"Skipsbyggergata 5B, Hundvåg",58.983662,5.736115
970397,"Buøy Ring 4, Hundvåg",58.984054,5.73599
970398,"Skipsbyggergata 5A, Hundvåg",58.983652,5.736464
970399,"Buøy Ring 15, Hundvåg",58.98429,5.738928
970400,"Buøy Ring 16, Hundvåg",58.984678,5.738647
970401,"Buøy Ring 17, Hundvåg",58.984318,5.738995
970402,"Buøy Ring 18, Hundvåg",58.984801,5.738897
970403,"Buøy Ring 18A, Hundvåg",58.98483,5.738964
970404,"Buøy Ring 19, Hundvåg",58.984482,5.739066
970405,"Buøy Ring 19A, Hundvåg",58.984511,5.739133
970406,"Buøy Ring 21, Hundvåg",58.984634,5.7394
970407,"Pyntesundveien 12, Hundvåg",58.983631,5.737406
970408,"Buøy Ring 10, Hundvåg",58.984144,5.737444
970409,"Buøy Ring 12, Hundvåg",58.984333,5.73781
970410,"Buøy Ring 13, Hundvåg",58.984141,5.73875
970411,"Buøy Ring 26A, Hundvåg",58.985643,5.739845
970412,"Buøy Ring 28, Hundvåg",58.985801,5.739708
970413,"Buøy Ring 29, Hundvåg",58.985633,5.740525
970414,"Buøy Ring 30, Hundvåg",58.985982,5.73976
970415,"Buøy Ring 31, Hundvåg",58.985839,5.740488
970416,"Buøy Ring 31A, Hundvåg",58.985884,5.740484
970417,"Buøy Ring 32, Hundvåg",58.986149,5.739588
970418,"Buøy Ring 32A, Hundvåg",58.986192,5.739532
970419,"Buøy Ring 21A, Hundvåg",58.984504,5.739952
970420,"Sleipners gate 3, Hundvåg",58.985071,5.739423
970421,"Sleipners gate 5, Hundvåg",58.985095,5.739463
970422,"Buøy Ring 23, Hundvåg",58.984823,5.739765
970423,"Buøy Ring 23B, Hundvåg",58.984792,5.740192
970424,"Sleipners gate 4, Hundvåg",58.985391,5.739708
970425,"Buøy Ring 25, Hundvåg",58.985143,5.740327
970426,"Buøy Ring 26, Hundvåg",58.985599,5.739901
970427,"Buøy Ring 40, Hundvåg",58.986932,5.738573
970428,"Buøy Ring 41, Hundvåg",58.986743,5.739636
970429,"Buøy Ring 43, Hundvåg",58.987461,5.738158
970430,"Buøy Ring 43B, Hundvåg",58.987552,5.737871
970431,"Buøy Ring 45, Hundvåg",58.987646,5.737304
970432,"Buøy Ring 47, Hundvåg",58.987749,5.736772
970433,"Buøy Ring 47A, Hundvåg",58.987691,5.736952
970434,"Buøy Ring 33, Hundvåg",58.986043,5.740399
970435,"Buøy Ring 34, Hundvåg",58.986322,5.739345
970436,"Buøy Ring 35, Hundvåg",58.98621,5.740244
970437,"Buøy Ring 36, Hundvåg",58.986575,5.739043
970438,"Buøy Ring 37, Hundvåg",58.986411,5.740016
970439,"Buøy Ring 38, Hundvåg",58.986792,5.738709
970440,"Buøy Ring 39, Hundvåg",58.986577,5.739809
970441,"Buøy Ring 39A, Hundvåg",58.986611,5.739753
970442,"Buøy Ring 58, Hundvåg",58.987906,5.734442
970443,"Buøy Ring 59A, Hundvåg",58.988232,5.734184
