,Navn,Long,Lat
10405,"Kallali, 226/1, Forsand ",59.008495,6.394167
10576,"Kallali, 226/11, Forsand ",59.009878,6.401032
10578,"Kallali, 226/10, Forsand ",59.009827,6.400094
10589,"Kallali, 226/3, Forsand ",59.009055,6.398466
10600,"Øvre Eiane, 229/1-2, Forsand ",58.941124,6.230269
10601,"Fossmork, 228/1-3, Forsand ",58.970693,6.279261
10602,"Fossmork, 228/1-4, Forsand ",58.973853,6.294134
10603,"Kallali, 226/1-2, Forsand ",59.007866,6.392351
10604,"Kallali, 226/1-3, Forsand ",59.008761,6.393956
10605,"Fossmork, 228/1-2, Forsand ",58.962396,6.270974
10607,"Øvre Eiane, 229/2-3, Forsand ",58.953356,6.268567
10614,"Kallali, 226/13, Forsand ",59.009584,6.398939
10616,"Kalleli, 226/1/2, Forsand ",59.008788,6.395934
29221,"226/1/1, Forsand ",59.007933,6.391204
37173,"226/16, Forsand ",59.009275,6.395957
41350,"Skjerafjellet, 110/25, Jørpeland",58.949275,6.105954
41351,"Høllesli, 110/4, Jørpeland",58.958494,6.101128
42624,"229/1-3, Forsand ",58.94857,6.245859
44304,"101/1-1, Jørpeland",58.963404,6.019604
49827,"Kallali, 226/6, Forsand ",59.008964,6.399236
49828,"Kallali, 226/15, Forsand ",59.009028,6.396022
49829,"Kallali, 226/8, Forsand ",59.009173,6.396844
49832,"Kallali, 226/9, Forsand ",59.008658,6.395113
55929,"110/3/34, Jørpeland",58.944949,6.10315
643939,"Fossmorkvegen 240, Forsand ",58.935003,6.110348
653874,"Fossmorkvegen 907, Forsand ",58.956638,6.200427
653875,"Fossmorkvegen 1286, Forsand ",58.970435,6.221624
653876,"Fossmorkvegen 747, Forsand ",58.955872,6.172643
653877,"Fossmorkvegen 1368, Forsand ",58.974314,6.233917
653878,"Fossmorkvegen 883, Forsand ",58.95458,6.191357
653879,"Fossmorkvegen 890, Forsand ",58.957117,6.196789
653880,"Fossmorkvegen 1403, Forsand ",58.973656,6.240983
653881,"Fossmorkvegen 1423, Forsand ",58.973757,6.243578
654021,"Kolabygdvegen 572, Jørpeland",58.947421,6.018738
654103,"Bergekleiva 25, Forsand ",58.910217,6.10312
654104,"Fossanvegen 289, Forsand ",58.902737,6.106783
654105,"Kyrkjevegen 18, Forsand ",58.90391,6.10554
654106,"Nordkjeldevegen 2, Forsand ",58.905125,6.100671
654107,"Bergekleiva 41, Forsand ",58.907542,6.103826
654108,"Bergekleiva 7, Forsand ",58.911278,6.104191
654109,"Bergekleiva 3, Forsand ",58.910104,6.104443
654110,"Bergekleiva 1, Forsand ",58.909884,6.104481
654111,"Fossanmoen, Espedalsvegen 174, Forsand ",58.895733,6.136137
654112,"Fossanvegen 372, Forsand ",58.89943,6.097494
654113,"Fossanvegen 362, Forsand ",58.899918,6.099613
654114,"Myrbakken 48, Forsand ",58.895337,6.102909
654115,"Åsbakken 47, Forsand ",58.897949,6.112627
654116,"Fossanhagen 9, Forsand ",58.894016,6.103745
654117,"Øyren 5, Forsand ",58.901559,6.089969
654118,"Bergevikvegen 37, Forsand ",58.903571,6.094017
654119,"Bergekleiva 5, Forsand ",58.910432,6.104433
