,Navn,Long,Lat
10407,"Flørli, 225/1, Forsand ",59.014394,6.427205
10609,"Flørli, 225/1/2, Forsand ",59.014272,6.426012
10610,"Flørli, 225/1/1, Forsand ",59.014317,6.424685
10612,"Flørli, 225/1-3, Forsand ",59.012846,6.424342
10613,"Flørli, 225/1-9, Forsand ",59.01252,6.425568
10617,"Flørli, 225/1/3, Forsand ",59.01417,6.425898
50862,"Flørli, 225/1/7, Forsand ",59.013549,6.426728
50863,"Flørli, 225/1/6, Forsand ",59.013694,6.425881
50864,"Flørli, 225/1/5, Forsand ",59.013872,6.427139
50866,"Flørli, 225/1/4, Forsand ",59.013827,6.425331
50867,"Flørli, 225/1/10, Forsand ",59.012654,6.424617
50868,"Flørli, 225/1/9, Forsand ",59.012881,6.425663
50869,"Flørli, 225/1/8, Forsand ",59.013451,6.425864
