,Navn,Long,Lat
12928,"9/54, Suldal",59.38894,6.824654
12935,"Meland, 9/17, Suldal",59.396367,6.77653
12941,"Hjorteland, 7/4-5, Suldal",59.394218,6.474385
12970,"Meland, 9/7-2, Suldal",59.384945,6.52685
12994,"Segadal, 33/1, Hjelmeland",59.322044,6.498482
12995,"Kromshagen, 29/1, Hjelmeland",59.353669,6.451201
13001,"Nedre Hauge, 30/13, Hjelmeland",59.321469,6.448462
13021,"Ytre Eiane, 22/1-3, Hjelmeland",59.301078,6.309358
13023,"Gil, 31/5-3, Hjelmeland",59.356352,6.477358
13029,"144/1, Hjelmeland",59.346803,6.852888
13035,"Øvre Hauge, 32/1-3, Hjelmeland",59.353489,6.485383
13036,"Segadal, 33/1-2, Hjelmeland",59.356086,6.574576
13038,"144/1-2, Hjelmeland",59.358609,6.824414
13039,"144/1-1, Hjelmeland",59.301967,6.743014
29787,"6/93, Suldal",59.37433,6.410048
32492,"9/11, Suldal",59.389099,6.759193
35218,"7/1, Suldal",59.39612,6.464235
37668,"9/5, Suldal",59.380019,6.623717
46921,"Førre, 34/11, Hjelmeland",59.324016,6.570376
46923,"Førre, 34/8, Hjelmeland",59.327563,6.604246
46925,"Førre, 34/10, Hjelmeland",59.328099,6.583182
46926,"Førre, 34/1, Hjelmeland",59.327582,6.581935
46970,"Fjellberg, 6/1-2, Suldal",59.375566,6.419352
47863,"Meland, 9/3-2, Suldal",59.371332,6.842416
47925,"Meland, 9/58, Suldal",59.391109,6.825431
48476,"Kromshagen, 29/1-2, Hjelmeland",59.361494,6.427858
48480,"Segadal, 33/1-1, Hjelmeland",59.322013,6.498238
49138,"Fjellberg, 6/12, Suldal",59.397348,6.420842
49765,"Førre, 34/5-3, Hjelmeland",59.340483,6.701642
49766,"Førre, 34/2-1, Hjelmeland",59.310678,6.615097
49769,"Laugaland, 45/1-7, Hjelmeland",59.259701,6.63684
49774,"Nedre Hauge, 30/2-1, Hjelmeland",59.344732,6.506118
49899,"Kromshagen, 29/1/1, Hjelmeland",59.361662,6.428602
51129,"Ørekvam, 8/16, Suldal",59.394253,6.509878
51131,"Ørekvam, 8/8, Suldal",59.394497,6.511815
51132,"Ørekvam, 8/11, Suldal",59.395577,6.510045
52179,"Ørekvam, 8/14, Suldal",59.388177,6.50032
53726,"Fjellberg, 6/7, Suldal",59.396008,6.413509
53729,"Meland, 9/9, Suldal",59.390516,6.58904
770214,"Hjortelandsvegen 5, Suldal",59.377434,6.452181
