,Navn,Long,Lat
40318,"184/21, Talgje",59.189374,5.969218
289364,"Eikevegen 322, Talgje",59.192052,5.965794
289372,"Eikevegen 357, Talgje",59.190518,5.970873
289374,"Eikevegen 370, Talgje",59.189589,5.971761
289375,"Eikevegen 364, Talgje",59.190023,5.971787
289384,"Halsnevegen 149, Talgje",59.204546,5.943652
289389,"Halsnevegen 181, Talgje",59.205833,5.937145
289420,"Eikevegen 356, Talgje",59.191987,5.971729
289422,"Bøen 100, Talgje",59.177488,5.972581
289424,"Kvednarhaugen 5, Talgje",59.197147,5.955373
289834,"Kvednarhaugen 6, Talgje",59.197022,5.955799
289905,"Skuleskogen 32, Talgje",59.200211,5.957062
289906,"Halsnevegen 32, Talgje",59.200301,5.953347
289907,"Halsnevegen 33, Talgje",59.200652,5.954167
289908,"Skuleskogen 11, Talgje",59.19891,5.958423
289928,"Skuleskogen 4, Talgje",59.199537,5.954964
289955,"Bøen 58, Talgje",59.184461,5.972945
289956,"Eikevegen 301, Talgje",59.186698,5.952696
289958,"Eikevegen 200, Talgje",59.197921,5.952729
290066,"Skuleskogen 15, Talgje",59.199142,5.957469
290068,"Kvednarhaugen 10, Talgje",59.196652,5.954903
290142,"Kvednarhaugen 13, Talgje",59.197617,5.953956
290143,"Kvednarhaugen 9, Talgje",59.197358,5.954508
290144,"Kvednarhaugen 19, Talgje",59.19689,5.954352
290145,"Kvednarhaugen 17, Talgje",59.197113,5.954151
290146,"Kvednarhaugen 15, Talgje",59.197303,5.953656
290169,"Skuleskogen 20, Talgje",59.200816,5.954662
290207,"Eikevegen 242, Talgje",59.195999,5.958698
290208,"Halsnevegen 41, Talgje",59.201199,5.953961
290209,"Halsnevegen 49, Talgje",59.201557,5.953894
290211,"Kvednarhaugen 1, Talgje",59.197606,5.955267
290249,"Skuleskogen 8, Talgje",59.199762,5.95517
290250,"Skuleskogen 10, Talgje",59.200182,5.955323
290252,"Kvednarhaugen 4, Talgje",59.197398,5.955792
290253,"Kvednarhaugen 11, Talgje",59.197657,5.954434
290271,"Eikevegen 315, Talgje",59.191082,5.964595
290276,"Eikevegen 376, Talgje",59.188844,5.972245
290277,"Halsnevegen 58, Talgje",59.201209,5.951178
290278,"Halsnevegen 65, Talgje",59.202932,5.951858
290298,"Halsnevegen 147, Talgje",59.205321,5.942919
290299,"Halsnevegen 178, Talgje",59.204867,5.939205
290338,"Kvednarhaugen 7, Talgje",59.196873,5.954752
290340,"Eikevegen 336, Talgje",59.192773,5.968981
1652237,"Kvednarhaugen 8, Talgje",59.196719,5.955371
