,Navn,Long,Lat
12922,"Lovernes, 107/1, Sand",59.434953,6.212603
12925,"Indre Jårvik, 131/2, Jelsa",59.415007,6.133469
12929,"Nævøyna, 109/8, Jelsa",59.424025,6.169655
12932,"Indre Jårvik, 131/3, Jelsa",59.416374,6.133918
12992,"Lovernes, 107/1/2, Sand",59.44348,6.214346
12993,"Lovernes, 107/1/1, Sand",59.444298,6.21388
43759,"Nævøyna, 109/16, Jelsa",59.422568,6.163054
43760,"Nævøyna, 109/17, Jelsa",59.42271,6.162458
46729,"Sandane, 139/101, Jelsa",59.333532,6.027485
47921,"Jelsa, 137/8-3, Jelsa",59.327787,6.055416
47923,"Fuglastein, 145/5-3, Jelsa",59.341136,6.121987
48066,"Tveitarå, 141/1-1, Jelsa",59.36592,6.080472
48125,"Økstra, 144/1-1, Jelsa",59.362533,6.144182
49133,"Nævøyna, 109/12, Jelsa",59.424512,6.168826
49140,"Lovernes, 107/1-1, Sand",59.440176,6.201798
52115,"Hamra, 155/6, Erfjord",59.405841,6.199611
53600,"Nævøyna, 109/9, Jelsa",59.424638,6.169384
53601,"Nævøyna, 109/14, Jelsa",59.423058,6.169457
53602,"Nævøyna, 109/18, Jelsa",59.428188,6.167184
53603,"Nævøyna, 109/2, Jelsa",59.42591,6.168591
53604,"Nævøyna, 109/3, Jelsa",59.422833,6.169848
53605,"Nævøyna, 109/4, Jelsa",59.42218,6.177261
53606,"Nævøyna, 109/7, Jelsa",59.424078,6.168797
53607,"Kuvika, 108/1, Sand",59.429229,6.189565
53608,"Nævøyna, 109/1, Jelsa",59.422566,6.169788
53761,"Nævøyna, 109/11, Jelsa",59.425001,6.168036
53767,"Indre Jårvik, 131/6, Jelsa",59.416131,6.132686
760391,"Økstrafjordvegen 853, Jelsa",59.349681,6.102911
760392,"Økstrafjordvegen 721, Jelsa",59.357543,6.110988
760393,"Økstrafjordvegen 771, Jelsa",59.355029,6.109477
760394,"Økstrafjordvegen 838, Jelsa",59.351253,6.104115
760395,"Indre Ryfylkevegen 3370, Jelsa",59.382561,6.140032
760396,"Økstrafjordvegen 803, Jelsa",59.353509,6.104134
760397,"Økstrafjordvegen 839, Jelsa",59.351328,6.103035
760398,"Økstrafjordvegen 468, Jelsa",59.354364,6.089215
760399,"Økstrafjordvegen 601, Jelsa",59.362287,6.102083
760400,"Økstrafjordvegen 603, Jelsa",59.361938,6.10257
760401,"Økstrafjordvegen 607, Jelsa",59.361797,6.103497
760403,"Jelsavegen 8, Jelsa",59.333787,6.031965
760405,"Markusvikvegen 43, Jelsa",59.333552,6.030314
760407,"Nyvollsvegen 175, Jelsa",59.333391,6.086841
760409,"Nyvollsvegen 164, Jelsa",59.334455,6.088239
760410,"Økstrafjordvegen 1122, Jelsa",59.327498,6.10466
760411,"Dalberget 32, Jelsa",59.337662,6.09544
760412,"Økstrafjordvegen 993, Jelsa",59.336736,6.099864
760413,"Økstrafjordvegen 986, Jelsa",59.337222,6.102707
760414,"Økstrafjordvegen 968, Jelsa",59.339831,6.10164
