,Navn,Long,Lat
465262,"Stølavegen 17, Åkra",59.257384,5.209101
465263,"Stølavegen 15, Åkra",59.25718,5.209194
465264,"Stølavegen 19, Åkra",59.257196,5.209753
465265,"Stølavegen 18, Åkra",59.257658,5.209246
465266,"Stølavegen 21, Åkra",59.256969,5.209989
465267,"Stølavegen 20, Åkra",59.2575,5.210299
465268,"Stølavegen 24, Åkra",59.256891,5.210683
465269,"Stølavegen 23, Åkra",59.256718,5.210017
465270,"Stølavegen 26, Åkra",59.256634,5.210834
465271,"Stølavegen 25, Åkra",59.256719,5.20942
465272,"Stølavegen 28, Åkra",59.256492,5.211184
465273,"Stølavegen 27, Åkra",59.256685,5.20888
465274,"Stølavegen 30, Åkra",59.256415,5.210701
465275,"Stølavegen 29, Åkra",59.256418,5.209584
465276,"Stølavegen 33, Åkra",59.256122,5.210206
465277,"Stølavegen 31, Åkra",59.256394,5.209983
467552,"Vikavegen 8, Åkra",59.262024,5.179965
467553,"Vikavegen 2, Åkra",59.261808,5.179674
467554,"Vikavegen 10, Åkra",59.262145,5.180426
467555,"Vikavegen 9, Åkra",59.26175,5.180456
467574,"Vikavegen 16, Åkra",59.262539,5.180996
467575,"Vikavegen 12, Åkra",59.262286,5.180006
467576,"Vikavegen 21, Åkra",59.262,5.183445
467577,"Vikavegen 18, Åkra",59.262413,5.181291
467578,"Vikavegen 25, Åkra",59.26228,5.18227
467579,"Vikavegen 23, Åkra",59.262078,5.182734
467580,"Vikavegen 27, Åkra",59.262353,5.182615
467581,"Vikavegen 26, Åkra",59.26248,5.18174
467582,"Vikavegen 31, Åkra",59.262386,5.18312
467583,"Vikavegen 29, Åkra",59.262244,5.182873
467584,"Vikavegen 36, Åkra",59.262697,5.181769
467585,"Vikavegen 34, Åkra",59.26263,5.182233
467586,"Vikavegen 38, Åkra",59.26286,5.181505
469146,"Klæhaugvegen 19, Åkra",59.260006,5.194553
469147,"Klæhaugvegen 17, Åkra",59.259792,5.194594
469148,"Klæhaugvegen 23, Åkra",59.260565,5.194613
469149,"Klæhaugvegen 21, Åkra",59.260303,5.194572
469150,"Slettebøvegen 6, Åkra",59.257058,5.192382
469151,"Slettebøvegen 26, Åkra",59.256748,5.190668
469152,"Slettebøvegen 25, Åkra",59.257267,5.190347
469153,"Slettebøvegen 41, Åkra",59.257684,5.188018
469154,"Slettebøvegen 27, Åkra",59.257522,5.190161
469155,"Slettebøvegen 51, Åkra",59.257419,5.187574
469156,"Slettebøvegen 50, Åkra",59.256989,5.187622
469157,"Slettebøvegen 54, Åkra",59.257211,5.186912
469158,"Slettebøvegen 52, Åkra",59.257121,5.187221
469159,"Slettebøvegen 56, Åkra",59.257297,5.186647
469160,"Slettebøvegen 55, Åkra",59.257594,5.187144
469169,"Klæhaugvegen 4, Åkra",59.258399,5.193381
469170,"Klæhaugvegen 3, Åkra",59.258178,5.193809
469171,"Klæhaugvegen 7, Åkra",59.258568,5.19424
469172,"Klæhaugvegen 5, Åkra",59.258347,5.194054
469173,"Klæhaugvegen 12, Åkra",59.259215,5.193534
469174,"Klæhaugvegen 11, Åkra",59.259011,5.194629
469175,"Klæhaugvegen 15, Åkra",59.259466,5.194526
469176,"Klæhaugvegen 14, Åkra",59.259533,5.193728
469177,"Medhaugvegen 4, Åkra",59.249617,5.199872
469178,"Medhaugvegen 3, Åkra",59.249604,5.199214
469179,"Medhaugvegen 7, Åkra",59.24923,5.199231
469180,"Medhaugvegen 5, Åkra",59.24937,5.199273
469181,"Medhaugvegen 11, Åkra",59.248863,5.200237
469182,"Medhaugvegen 9, Åkra",59.248976,5.19947
469183,"Medhaugvegen 16, Åkra",59.249195,5.20113
469184,"Medhaugvegen 13, Åkra",59.248982,5.200926
469185,"Medhaugvegen 20, Åkra",59.249291,5.201944
469186,"Medhaugvegen 17, Åkra",59.248982,5.201523
469187,"Medhaugvegen 27, Åkra",59.249162,5.203995
469188,"Medhaugvegen 21, Åkra",59.248966,5.202525
469189,"Medhaugvegen 29, Åkra",59.249152,5.204515
469190,"Medhaugvegen 28, Åkra",59.249604,5.204184
469191,"Medhaugvegen 32, Åkra",59.249427,5.205225
469192,"Medhaugvegen 31, Åkra",59.249014,5.205034
469193,"Slettebøvegen 62, Åkra",59.257233,5.18612
469194,"Slettebøvegen 60, Åkra",59.257491,5.186039
469195,"Slettebøvegen 68, Åkra",59.256787,5.185626
469196,"Slettebøvegen 64, Åkra",59.257235,5.185892
469197,"Slettebøvegen 72, Åkra",59.257095,5.185516
469198,"Slettebøvegen 70, Åkra",59.256892,5.185544
469199,"Slettebøvegen 76, Åkra",59.257375,5.185455
469200,"Slettebøvegen 74, Åkra",59.257185,5.185406
469201,"Slettebøvegen 79, Åkra",59.257759,5.185341
469202,"Slettebøvegen 78, Åkra",59.257456,5.185463
469203,"Slettebøvegen 82, Åkra",59.257425,5.18501
469204,"Røysanevegen 75, Åkra",59.257876,5.185065
469205,"Slettebøvegen 83, Åkra",59.257734,5.1848
469206,"Medhaugvegen 2, Åkra",59.249982,5.199761
469207,"Slettebøvegen 86, Åkra",59.257378,5.184612
469208,"Mosbronvegen 12, Åkra",59.252322,5.201379
469209,"Mosbronvegen 11, Åkra",59.251898,5.201636
469210,"Mosbronvegen 15, Åkra",59.251538,5.202537
469211,"Mosbronvegen 14, Åkra",59.252396,5.201757
469212,"Mosbronvegen 17, Åkra",59.25179,5.202544
469213,"Mosbronvegen 16, Åkra",59.25231,5.201906
469214,"Mosbronvegen 19, Åkra",59.251642,5.20335
469215,"Mosbronvegen 18, Åkra",59.25225,5.202001
469216,"Mosbronvegen 21, Åkra",59.251511,5.203172
469217,"Mosbronvegen 20, Åkra",59.252191,5.202113
469218,"Mosbronvegen 25, Åkra",59.251656,5.203822
469219,"Mosbronvegen 23, Åkra",59.251372,5.203626
469220,"Mosbronvegen 29, Åkra",59.251477,5.205088
469221,"Mosbronvegen 27, Åkra",59.251564,5.204377
469222,"Mosbronvegen 31, Åkra",59.251438,5.205632
469223,"Mosbronvegen 30, Åkra",59.251772,5.205336
469224,"Medhaugvegen 34, Åkra",59.249347,5.205706
469225,"Medhaugvegen 33, Åkra",59.248968,5.205445
469226,"Medhaugvegen 37, Åkra",59.248838,5.206307
469227,"Medhaugvegen 35, Åkra",59.248855,5.205789
469228,"Medhaugvegen 70, Åkra",59.248731,5.209571
469229,"Medhaugvegen 39, Åkra",59.248736,5.20678
469230,"Medhaugvegen 80, Åkra",59.248752,5.211499
469231,"Medhaugvegen 71, Åkra",59.247999,5.208512
469232,"Mosbronvegen 2, Åkra",59.252702,5.199915
469233,"Medhaugvegen 82, Åkra",59.248486,5.21195
469234,"Mosbronvegen 5, Åkra",59.252169,5.200465
469235,"Mosbronvegen 4, Åkra",59.252902,5.200015
469236,"Mosbronvegen 8, Åkra",59.25244,5.201102
469237,"Mosbronvegen 7, Åkra",59.251913,5.200599
469238,"Mosbronvegen 10, Åkra",59.25239,5.201248
469239,"Mosbronvegen 9, Åkra",59.251939,5.201211
469240,"Jorundvegen 30, Åkra",59.256903,5.207118
469241,"Jorundvegen 29, Åkra",59.25717,5.206087
469242,"Jorundvegen 32, Åkra",59.256679,5.207441
469243,"Jorundvegen 31, Åkra",59.256802,5.206409
469244,"Idrettsvegen 26, Åkra",59.255266,5.193172
469245,"Idrettsvegen 20, Åkra",59.254961,5.19387
469246,"Idrettsvegen 34, Åkra",59.255329,5.192618
469247,"Idrettsvegen 28, Åkra",59.255557,5.193048
469248,"Idrettsvegen 48, Åkra",59.25431,5.192489
469249,"Idrettsvegen 42, Åkra",59.254808,5.192521
469260,"Jorundvegen 34, Åkra",59.25647,5.207675
469261,"Jorundvegen 33, Åkra",59.25664,5.206726
469262,"Jorundvegen 36, Åkra",59.256314,5.207868
469263,"Jorundvegen 35, Åkra",59.256449,5.20694
469264,"Jorundvegen 70, Åkra",59.256579,5.204924
469265,"Jorundvegen 69, Åkra",59.256515,5.205528
469266,"Jorundvegen 72, Åkra",59.256783,5.205463
469267,"Jorundvegen 71, Åkra",59.256698,5.205947
469268,"Idrettsvegen 2, Åkra",59.256814,5.192364
469269,"Jorundvegen 74, Åkra",59.25698,5.205722
469270,"Idrettsvegen 6, Åkra",59.256382,5.192359
469271,"Idrettsvegen 4, Åkra",59.256594,5.192294
469272,"Idrettsvegen 8, Åkra",59.256168,5.192401
469273,"Idrettsvegen 18, Åkra",59.255269,5.19366
469274,"Idrettsvegen 16, Åkra",59.255624,5.19348
469277,"Mosbronvegen 33, Åkra",59.251237,5.206246
469278,"Mosbronvegen 32, Åkra",59.251704,5.205765
469279,"Mosbronvegen 37, Åkra",59.251219,5.207051
469280,"Mosbronvegen 34, Åkra",59.251643,5.206193
469281,"Mosbronvegen 41, Åkra",59.251029,5.207912
469282,"Mosbronvegen 39, Åkra",59.251072,5.207538
469283,"Mosbronvegen 44, Åkra",59.252196,5.20579
469284,"Mosbronvegen 42, Åkra",59.251992,5.205549
469285,"Mosbronvegen 48, Åkra",59.252133,5.206613
469286,"Mosbronvegen 46, Åkra",59.25215,5.206205
469287,"Mosbronvegen 52, Åkra",59.252095,5.207477
469288,"Mosbronvegen 50, Åkra",59.252126,5.207049
469289,"Mosbronvegen 60, Åkra",59.251707,5.207731
469302,"Bekkavegen 1, Åkra",59.252544,5.199125
469304,"Bekkavegen 5, Åkra",59.252434,5.198154
469305,"Bekkavegen 2, Åkra",59.252121,5.198821
469320,"Boktavegen 18, Åkra",59.262545,5.183629
469321,"Boktavegen 16, Åkra",59.262437,5.183641
469322,"Boktavegen 21, Åkra",59.262763,5.183728
469323,"Boktavegen 20, Åkra",59.262714,5.183259
469324,"Boktavegen 28, Åkra",59.26307,5.182833
469325,"Boktavegen 26, Åkra",59.263042,5.182485
469326,"Boktavegen 32, Åkra",59.263269,5.18318
469327,"Boktavegen 30, Åkra",59.263066,5.183308
469328,"Blåbærvegen 4, Åkra",59.253572,5.205968
469329,"Boktavegen 34, Åkra",59.263442,5.183266
469330,"Blåbærvegen 8, Åkra",59.253647,5.205514
469331,"Blåbærvegen 6, Åkra",59.253627,5.205744
469332,"Blåbærvegen 11, Åkra",59.254067,5.205227
469333,"Blåbærvegen 10, Åkra",59.253677,5.205283
469334,"Blåbærvegen 15, Åkra",59.254047,5.204743
469335,"Blåbærvegen 13, Åkra",59.25415,5.20434
469336,"Bekkavegen 8, Åkra",59.251658,5.19896
469337,"Bekkavegen 6, Åkra",59.251856,5.198973
469338,"Bekkavegen 11, Åkra",59.25224,5.198263
469339,"Bekkavegen 9, Åkra",59.252145,5.1978
469340,"Bekkavegen 15, Åkra",59.251968,5.197872
469341,"Bekkavegen 13, Åkra",59.251956,5.1984
469342,"Bekkavegen 19, Åkra",59.251511,5.198296
469343,"Bekkavegen 17, Åkra",59.251692,5.198272
469344,"Boktavegen 4, Åkra",59.261694,5.183725
469345,"Boktavegen 2, Åkra",59.26161,5.183629
469346,"Boktavegen 7, Åkra",59.261908,5.183999
469347,"Boktavegen 6, Åkra",59.261836,5.183674
469348,"Boktavegen 9, Åkra",59.261992,5.184095
469349,"Boktavegen 8, Åkra",59.261963,5.183712
469350,"Boktavegen 15, Åkra",59.262345,5.184178
469351,"Boktavegen 11, Åkra",59.262069,5.183964
469352,"Blåbærvegen 19, Åkra",59.253836,5.204473
469353,"Blåbærvegen 17, Åkra",59.253914,5.204621
469354,"Blåbærvegen 21, Åkra",59.253691,5.204245
469355,"Blåbærvegen 20, Åkra",59.253613,5.204956
469356,"Blåbærvegen 23, Åkra",59.253509,5.204178
469357,"Blåbærvegen 22, Åkra",59.253407,5.204663
469358,"Blåbærvegen 25, Åkra",59.253354,5.20409
