,Navn,Long,Lat
930832,"Agatveien 8, Gand",58.832932,5.709609
930834,"Agatveien 9, Gand",58.832917,5.711518
930835,"Agatveien 6, Gand",58.832954,5.709798
930836,"Agatveien 7, Gand",58.832948,5.711324
930837,"Agatveien 12, Gand",58.832788,5.709259
930839,"Agatveien 13, Gand",58.833107,5.711552
930841,"Agatveien 10, Gand",58.83268,5.709252
930842,"Agatveien 11, Gand",58.832896,5.711728
930843,"Agatveien 16, Gand",58.833021,5.70922
930845,"Agatveien 17, Gand",58.833399,5.711715
930847,"Agatveien 14, Gand",58.832904,5.709248
930849,"Agatveien 15, Gand",58.833262,5.711658
930851,"Agatveien 20, Gand",58.833236,5.709216
930853,"Agatveien 21, Gand",58.833688,5.711774
930854,"Agatveien 18, Gand",58.833137,5.709209
930855,"Agatveien 19, Gand",58.833543,5.711736
930867,"Agatveien 1, Gand",58.833012,5.710642
930870,"Agatveien 4, Gand",58.832978,5.710004
930871,"Agatveien 5, Gand",58.832978,5.711096
930873,"Agatveien 2, Gand",58.832991,5.710176
930874,"Agatveien 3, Gand",58.832982,5.71087
930908,"Agatveien 35B, Gand",58.834005,5.711172
930909,"Agatveien 36, Gand",58.833724,5.709309
930910,"Agatveien 34, Gand",58.833822,5.709265
930912,"Agatveien 35A, Gand",58.834003,5.711432
930913,"Agatveien 38, Gand",58.833561,5.709619
930914,"Agatveien 39A, Gand",58.834134,5.710605
930916,"Agatveien 37A, Gand",58.834091,5.711025
930917,"Agatveien 37B, Gand",58.834094,5.710782
930918,"Agatveien 41A, Gand",58.834214,5.710198
930920,"Agatveien 41B, Gand",58.834208,5.709956
930921,"Agatveien 39B, Gand",58.834182,5.71034
930922,"Agatveien 40, Gand",58.833556,5.709411
930923,"Agatveien 44, Gand",58.833563,5.708977
930924,"Agatveien 45, Gand",58.834303,5.709445
930925,"Agatveien 42, Gand",58.833559,5.709186
930926,"Agatveien 43, Gand",58.834317,5.709651
930928,"Agatveien 23, Gand",58.833824,5.711813
930930,"Agatveien 24A, Gand",58.833364,5.710019
930932,"Agatveien 22A, Gand",58.833148,5.710005
930934,"Agatveien 22B, Gand",58.833274,5.709993
930936,"Agatveien 26A, Gand",58.83358,5.710016
930938,"Agatveien 26B, Gand",58.833706,5.710004
930940,"Agatveien 24B, Gand",58.83349,5.710024
930941,"Agatveien 25, Gand",58.834005,5.711865
930942,"Agatveien 28B, Gand",58.83393,5.71
930943,"Agatveien 29, Gand",58.833418,5.710725
930944,"Agatveien 27, Gand",58.833215,5.710865
930945,"Agatveien 28A, Gand",58.833805,5.710029
930947,"Agatveien 32, Gand",58.833929,5.709255
930948,"Agatveien 33, Gand",58.833801,5.710584
930950,"Agatveien 30, Gand",58.834036,5.709227
930951,"Agatveien 31, Gand",58.833588,5.710691
931396,"Agatveien 47, Gand",58.834306,5.709236
931397,"Agatveien 49, Gand",58.83431,5.709028
932278,"Diamantveien 30, Gand",58.836247,5.708879
932279,"Diamantveien 31, Gand",58.836624,5.711998
932280,"Diamantveien 28, Gand",58.836033,5.708587
932281,"Diamantveien 29, Gand",58.836645,5.71106
932282,"Diamantveien 36A, Gand",58.836891,5.709806
932283,"Diamantveien 36B, Gand",58.837019,5.709898
932284,"Diamantveien 32, Gand",58.836505,5.709114
932285,"Diamantveien 34, Gand",58.836639,5.709414
932286,"Diamantveien 38, Gand",58.836973,5.710197
932287,"Diamantveien 40, Gand",58.836907,5.710775
932288,"Diamantveien 36C, Gand",58.837157,5.709989
932289,"Diamantveien 36D, Gand",58.837285,5.71008
932290,"Diamantveien 46, Gand",58.83691,5.712318
932291,"Diamantveien 48, Gand",58.836901,5.712665
932292,"Diamantveien 42, Gand",58.836899,5.711157
932293,"Diamantveien 44, Gand",58.836894,5.711695
932294,"Diamantveien 18B, Gand",58.835032,5.709844
932295,"Diamantveien 19, Gand",58.83579,5.708922
932296,"Diamantveien 18, Gand",58.835518,5.71009
932297,"Diamantveien 18A, Gand",58.835264,5.709804
932298,"Diamantveien 20B, Gand",58.835078,5.709527
932299,"Diamantveien 20C, Gand",58.834862,5.70953
932300,"Diamantveien 20, Gand",58.835512,5.709295
932301,"Diamantveien 20A, Gand",58.835302,5.709523
932302,"Diamantveien 22, Gand",58.835511,5.708897
932303,"Diamantveien 23, Gand",58.836367,5.709699
932304,"Diamantveien 21, Gand",58.836012,5.709144
932305,"Diamantveien 21A, Gand",58.836172,5.709458
932306,"Diamantveien 26, Gand",58.835865,5.708343
932307,"Diamantveien 27, Gand",58.83666,5.710625
932308,"Diamantveien 24, Gand",58.835586,5.708335
932309,"Diamantveien 25, Gand",58.836658,5.710157
932327,"Blidensol 1, Gand",58.834054,5.71876
932330,"Blidensol 3, Gand",58.833506,5.718049
932331,"Blidensol 5, Gand",58.833529,5.717544
932332,"Blidensol 2, Gand",58.833294,5.717827
932333,"Blidensol 2A, Gand",58.8331,5.717966
932334,"Blidensol 9, Gand",58.833132,5.716784
932336,"Blidensol 6, Gand",58.833045,5.717243
932337,"Blidensol 7, Gand",58.833383,5.717107
932392,"Diamantveien 10B, Gand",58.835042,5.71201
932393,"Diamantveien 11, Gand",58.835829,5.711137
932394,"Diamantveien 10, Gand",58.835511,5.712086
932395,"Diamantveien 10A, Gand",58.83532,5.711966
932396,"Diamantveien 12B, Gand",58.83498,5.711686
932397,"Diamantveien 13, Gand",58.835826,5.71067
932398,"Diamantveien 12, Gand",58.835445,5.711607
932399,"Diamantveien 12A, Gand",58.835186,5.711667
932400,"Diamantveien 14B, Gand",58.83498,5.710975
932401,"Diamantveien 15, Gand",58.835787,5.710205
932402,"Diamantveien 14, Gand",58.835512,5.711046
932403,"Diamantveien 14A, Gand",58.835266,5.710913
932404,"Diamantveien 16B, Gand",58.834989,5.710645
932405,"Diamantveien 17, Gand",58.835783,5.709686
932406,"Diamantveien 16, Gand",58.835485,5.710338
932407,"Diamantveien 16A, Gand",58.835223,5.710657
932412,"Diamantveien 1, Gand",58.836639,5.71224
932415,"Diamantveien 4A, Gand",58.836231,5.713162
932416,"Diamantveien 5, Gand",58.836052,5.712139
932417,"Diamantveien 2, Gand",58.836492,5.712826
932418,"Diamantveien 3, Gand",58.83635,5.71218
932419,"Diamantveien 8, Gand",58.835699,5.712415
932420,"Diamantveien 9, Gand",58.835831,5.711588
932421,"Diamantveien 6, Gand",58.835886,5.712692
932422,"Diamantveien 7, Gand",58.835835,5.712073
932612,"Dreierveien 19, Gand",58.828051,5.718756
932626,"Dreierhagen 16, Gand",58.82777,5.717985
932627,"Dreierhagen 17, Gand",58.827657,5.716713
932628,"Dreierhagen 14, Gand",58.827544,5.717937
932629,"Dreierhagen 21, Gand",58.827294,5.716592
932630,"Dreierhagen 23, Gand",58.827144,5.716346
932631,"Dreierhagen 19, Gand",58.827473,5.716558
932632,"Dreierhagen 20, Gand",58.827849,5.717527
932633,"Dreierhagen 31, Gand",58.82727,5.718119
932634,"Dreierhagen 45, Gand",58.827679,5.718635
932635,"Dreierhagen 25, Gand",58.827361,5.717088
932636,"Dreierhagen 27, Gand",58.827353,5.71747
932637,"Dreierhagen 51, Gand",58.82808,5.718164
932638,"Dreierveien 17, Gand",58.828179,5.718501
932639,"Dreierhagen 47, Gand",58.827805,5.718441
932640,"Dreierhagen 49, Gand",58.827964,5.718192
932695,"Dreierhagen 3, Gand",58.828432,5.717507
932696,"Dreierhagen 4, Gand",58.828122,5.717311
932697,"Dreierhagen 1, Gand",58.828322,5.717777
932698,"Dreierhagen 2, Gand",58.827987,5.717687
932699,"Dreierhagen 11, Gand",58.828129,5.716894
932700,"Dreierhagen 8, Gand",58.827625,5.717202
932701,"Dreierhagen 10, Gand",58.827613,5.717446
935416,"Juvelveien 21B, Gand",58.833004,5.712463
935417,"Juvelveien 21C, Gand",58.833028,5.712339
935418,"Juvelveien 21, Gand",58.832958,5.712762
935419,"Juvelveien 21A, Gand",58.832981,5.712621
935421,"Juvelveien 21D, Gand",58.833043,5.712199
935422,"Juvelveien 21E, Gand",58.833057,5.712076
935429,"Juvelveien 17C, Gand",58.83359,5.712511
935430,"Juvelveien 19, Gand",58.833231,5.712875
935431,"Juvelveien 19A, Gand",58.833254,5.712751
935432,"Juvelveien 17D, Gand",58.833605,5.712389
935433,"Juvelveien 17E, Gand",58.833637,5.712247
935434,"Juvelveien 19D, Gand",58.833315,5.712312
935435,"Juvelveien 19E, Gand",58.83333,5.712189
935436,"Juvelveien 19B, Gand",58.833269,5.712628
935440,"Juvelveien 19C, Gand",58.833292,5.71247
935441,"Jærveien 195, Gand",58.82794,5.715473
935442,"Jærveien 197, Gand",58.827768,5.71542
935443,"Jærveien 192, Gand",58.82836,5.716786
935444,"Jærveien 193, Gand",58.82812,5.715474
935445,"Jærveien 205, Gand",58.827105,5.715136
935446,"Jærveien 207, Gand",58.827172,5.71461
935447,"Jærveien 201A, Gand",58.827554,5.715
935448,"Jærveien 203A, Gand",58.827314,5.715238
935449,"Jærveien 211, Gand",58.826864,5.714865
935450,"Jærveien 213, Gand",58.826754,5.714771
935451,"Jærveien 209, Gand",58.827298,5.713905
935452,"Jærveien 209A, Gand",58.827541,5.713934
935457,"Jærveien 165, Gand",58.832786,5.71732
935458,"Jærveien 167, Gand",58.832457,5.717091
935459,"Jærveien 161, Gand",58.832523,5.717553
935460,"Jærveien 163, Gand",58.832811,5.71756
935461,"Jærveien 173, Gand",58.831926,5.717748
935462,"Jærveien 175, Gand",58.831743,5.717627
