,Navn,Long,Lat
43854,"28/212, Frøyland og Orstad",58.784067,5.724849
180490,"Grensevegen 10, Frøyland og Orstad",58.784345,5.721472
180491,"Grensevegen 16, Frøyland og Orstad",58.784594,5.723311
180492,"Grensevegen 6, Frøyland og Orstad",58.784137,5.72055
180493,"Grensevegen 8, Frøyland og Orstad",58.784239,5.721008
180612,"Håbakken 8, Frøyland og Orstad",58.785704,5.715711
180613,"Håbakken 9, Frøyland og Orstad",58.786455,5.717319
180614,"Håbakken 6, Frøyland og Orstad",58.785722,5.716072
180615,"Håbakken 7, Frøyland og Orstad",58.786258,5.717372
180616,"Håbakken 4, Frøyland og Orstad",58.785739,5.7164
180617,"Håbakken 5, Frøyland og Orstad",58.786101,5.717214
180618,"Håbakken 2, Frøyland og Orstad",58.785739,5.716746
180619,"Håbakken 3, Frøyland og Orstad",58.785935,5.717039
180621,"Håbakken 1, Frøyland og Orstad",58.785929,5.717507
180659,"Håbakken 62, Frøyland og Orstad",58.785452,5.714297
180660,"Håbakken 63, Frøyland og Orstad",58.784898,5.713034
180661,"Håbakken 60, Frøyland og Orstad",58.785406,5.713921
180662,"Håbakken 61, Frøyland og Orstad",58.78481,5.713458
180663,"Håbakken 58, Frøyland og Orstad",58.785408,5.713626
180664,"Håbakken 59, Frøyland og Orstad",58.78482,5.713821
180665,"Håbakken 56, Frøyland og Orstad",58.785467,5.713136
180666,"Håbakken 57, Frøyland og Orstad",58.784854,5.714112
180667,"Håbakken 54, Frøyland og Orstad",58.785587,5.712882
180668,"Håbakken 55, Frøyland og Orstad",58.784908,5.714487
180669,"Håbakken 52, Frøyland og Orstad",58.785764,5.712796
180670,"Håbakken 53, Frøyland og Orstad",58.785118,5.714606
180671,"Håbakken 48, Frøyland og Orstad",58.785531,5.71178
180672,"Håbakken 50, Frøyland og Orstad",58.785661,5.71227
180673,"Håbakken 45, Frøyland og Orstad",58.785745,5.715222
180674,"Håbakken 46, Frøyland og Orstad",58.785546,5.71164
180675,"Håbakken 78, Frøyland og Orstad",58.786111,5.713006
180676,"Håbakken 79, Frøyland og Orstad",58.785092,5.713587
180677,"Håbakken 76, Frøyland og Orstad",58.786192,5.713362
180678,"Håbakken 77, Frøyland og Orstad",58.7851,5.713188
180679,"Håbakken 74, Frøyland og Orstad",58.786201,5.713707
180680,"Håbakken 75, Frøyland og Orstad",58.785281,5.712894
180681,"Håbakken 72, Frøyland og Orstad",58.786228,5.714068
180682,"Håbakken 73, Frøyland og Orstad",58.785424,5.712517
180683,"Håbakken 70, Frøyland og Orstad",58.786251,5.714637
180684,"Håbakken 71, Frøyland og Orstad",58.785434,5.712204
180685,"Håbakken 68, Frøyland og Orstad",58.786062,5.714603
180686,"Håbakken 69, Frøyland og Orstad",58.785126,5.712095
180687,"Håbakken 66, Frøyland og Orstad",58.785866,5.714691
180688,"Håbakken 67, Frøyland og Orstad",58.785162,5.712438
180689,"Håbakken 64, Frøyland og Orstad",58.785618,5.714472
180690,"Håbakken 65, Frøyland og Orstad",58.785036,5.712796
180691,"Håbakken 24, Frøyland og Orstad",58.784589,5.713946
180692,"Håbakken 25, Frøyland og Orstad",58.786024,5.716286
180693,"Håbakken 22, Frøyland og Orstad",58.784596,5.714205
180694,"Håbakken 23, Frøyland og Orstad",58.786078,5.716645
180695,"Håbakken 20, Frøyland og Orstad",58.784577,5.714519
180696,"Håbakken 21, Frøyland og Orstad",58.786279,5.716781
180697,"Håbakken 18, Frøyland og Orstad",58.784666,5.714839
180698,"Håbakken 19, Frøyland og Orstad",58.78644,5.716732
180699,"Håbakken 16, Frøyland og Orstad",58.784865,5.714907
180700,"Håbakken 17, Frøyland og Orstad",58.786627,5.716697
180701,"Håbakken 14, Frøyland og Orstad",58.785005,5.715119
180702,"Håbakken 15, Frøyland og Orstad",58.786817,5.716731
180703,"Håbakken 12, Frøyland og Orstad",58.785187,5.715188
180704,"Håbakken 13, Frøyland og Orstad",58.786824,5.717336
180705,"Håbakken 10, Frøyland og Orstad",58.785381,5.715378
180706,"Håbakken 11, Frøyland og Orstad",58.786636,5.717388
180707,"Håbakken 43, Frøyland og Orstad",58.785991,5.715718
180708,"Håbakken 44, Frøyland og Orstad",58.785086,5.71158
180709,"Håbakken 39, Frøyland og Orstad",58.786376,5.71563
180710,"Håbakken 41, Frøyland og Orstad",58.786188,5.715682
180711,"Håbakken 36, Frøyland og Orstad",58.784885,5.712153
180712,"Håbakken 37, Frøyland og Orstad",58.786551,5.715475
