,Navn,Long,Lat
9958,"Øvre Lauvås, 49/4, Sokndal",58.329414,6.311144
9959,"Hauge, 55/58, Sokndal",58.341799,6.289541
9960,"Bø, 56/403, Sokndal",58.345163,6.290548
9962,"Steinberg, 61/4, Sokndal",58.369409,6.304235
9964,"Hanaberg, 46/39, Sokndal",58.347675,6.333867
9965,"Store Ålgård, 17/1, Sokndal",58.38828,6.371207
9966,"Åmot, 45/25, Sokndal",58.34745,6.321036
10025,"Immerstein, 82/4/23, Sokndal",58.334507,6.222126
10099,"Tedlenes, 11/5, Sokndal",58.351149,6.398378
26786,"81/13, Sokndal",58.329351,6.26372
29514,"17/19, Sokndal",58.390108,6.368843
29737,"50/7, Sokndal",58.323619,6.310604
31280,"17/22, Sokndal",58.390805,6.367687
32298,"18/2-1, Sokndal",58.386705,6.389431
34080,"92/18, Sokndal",58.386984,6.201899
34383,"77/39, Sokndal",58.337282,6.280776
35250,"31/2-1, Sokndal",58.410938,6.388098
36284,"108/11, Sokndal",58.420733,6.227355
36508,"44/2-1, Sokndal",58.361874,6.30982
36539,"58/33, Sokndal",58.345635,6.311346
36625,"11/6-8, Sokndal",58.336291,6.40795
36678,"30/1-3, Sokndal",58.400375,6.403726
36747,"92/20, Sokndal",58.387036,6.200764
36924,"82/146, Sokndal",58.333798,6.218763
37056,"39/1-9, Sokndal",58.363192,6.331878
37059,"11/6-6, Sokndal",58.340498,6.408124
37060,"92/15, Sokndal",58.386231,6.202725
37061,"70/12-1, Sokndal",58.365082,6.270263
37077,"46/5-2, Sokndal",58.328985,6.355368
37407,"34/1, Sokndal",58.41464,6.332918
37408,"34/4, Sokndal",58.414633,6.33248
37409,"31/3-2, Sokndal",58.415499,6.384502
37411,"82/3-1, Sokndal",58.327028,6.248988
37412,"82/3-2, Sokndal",58.324632,6.255843
37414,"15/4-1, Sokndal",58.370007,6.388782
37416,"15/4-2, Sokndal",58.370746,6.389273
37418,"4/1-1, Sokndal",58.292602,6.336107
37426,"11/6-11, Sokndal",58.334494,6.411702
37431,"96/5-1, Sokndal",58.389473,6.23685
37432,"82/15, Sokndal",58.3229,6.257502
37433,"31/1-3, Sokndal",58.42266,6.37301
38068,"47/23, Sokndal",58.324386,6.28295
38374,"Eigeli, 18/9, Sokndal",58.384515,6.392537
40108,"80/7, Sokndal",58.333228,6.261265
40434,"70/1-1, Sokndal",58.364718,6.263124
40435,"33/11, Sokndal",58.405432,6.344384
44261,"Lauvland, 80/15, Sokndal",58.331212,6.268364
45099,"Store Ålgård, 17/31, Sokndal",58.390521,6.36811
47405,"Tothammer, 78/16/1-1, Sokndal",58.33133,6.274701
49739,"Store Ålgård, 17/16, Sokndal",58.390617,6.367764
49740,"Store Ålgård, 17/17, Sokndal",58.390599,6.368888
49741,"Store Ålgård, 17/18, Sokndal",58.390446,6.369044
49758,"Årstad, 47/27, Sokndal",58.323752,6.280914
49759,"Øvre Lauvås, 49/1, Sokndal",58.329437,6.31051
49760,"Eigeland, 60/1, Sokndal",58.36758,6.304837
51857,"Store Ålgård, 17/25, Sokndal",58.386061,6.371348
51859,"Løgevik, 81/1-1, Sokndal",58.328516,6.263704
51860,"Løgevik, 80/23, Sokndal",58.331383,6.261825
51863,"Løgevik, 80/23-1, Sokndal",58.331885,6.261581
51866,"Heggdal, 84/24-1, Sokndal",58.338825,6.255405
51877,"Aursland, 15/4, Sokndal",58.370178,6.388973
51903,"Aursland, 15/14, Sokndal",58.36463,6.393213
51904,"Immerstein, 82/9-2, Sokndal",58.334011,6.218587
51905,"Nordnes, 83/8, Sokndal",58.324782,6.248841
51906,"Knubedal, 50/9, Sokndal",58.322854,6.309849
51907,"Nordnes, 83/2, Sokndal",58.326879,6.246065
51908,"Frøyland, 57/7, Sokndal",58.348097,6.303519
51909,"Tothammer, 78/53, Sokndal",58.327064,6.275244
51913,"Steinberg, 61/8, Sokndal",58.369676,6.302961
51915,"Hauge, 55/343, Sokndal",58.342627,6.281104
51916,"Reg, 4/1, Sokndal",58.292374,6.336072
51924,"Litle Omdal, 31/1-2, Sokndal",58.419205,6.378042
51925,"Årstad, 47/1, Sokndal",58.332274,6.293346
51926,"Stor-Omdal, 33/8, Sokndal",58.407388,6.340113
51928,"Immerstein, 82/4/31, Sokndal",58.334347,6.221973
51929,"Gyland, 89/8, Sokndal",58.367921,6.150905
51930,"Tothammer, 78/19/1, Sokndal",58.326329,6.275762
51931,"Selebø, 92/7, Sokndal",58.384495,6.20487
51932,"Selebø, 92/8, Sokndal",58.384527,6.203002
51933,"Selebø, 92/6, Sokndal",58.383969,6.205031
51935,"Selebø, 92/9, Sokndal",58.384722,6.202491
51936,"Selebø, 92/10, Sokndal",58.384635,6.201368
51939,"Immerstein, 82/38, Sokndal",58.334234,6.25084
51940,"Nesvåg, 86/34, Sokndal",58.337769,6.187357
51941,"Nordnes, 83/6, Sokndal",58.328141,6.244523
51942,"Aursland, 15/19, Sokndal",58.360519,6.391242
51950,"Mydland, 20/17, Sokndal",58.395624,6.423956
51951,"Eigeli, 18/1, Sokndal",58.384082,6.386935
51954,"Aursland, 15/18, Sokndal",58.363736,6.391244
51955,"Hanaberg, 46/45, Sokndal",58.326281,6.281933
51956,"Herveland, 58/3, Sokndal",58.372017,6.293261
51957,"Knubedal, 50/6, Sokndal",58.322581,6.310553
51958,"Rekeland, 70/1, Sokndal",58.366317,6.263548
51959,"Litle Omdal, 31/1-1, Sokndal",58.419078,6.376653
51960,"Tothammer, 78/13, Sokndal",58.327045,6.280251
51961,"Tothammer, 78/27, Sokndal",58.324607,6.276749
51962,"Immerstein, 82/144, Sokndal",58.334353,6.221352
51963,"Tjørn, 109/5-2, Sokndal",58.452527,6.309258
51964,"Store Ålgård, 17/27, Sokndal",58.390089,6.369618
51969,"Immerstein, 82/78, Sokndal",58.329001,6.246942
51970,"Lauvland, 80/21, Sokndal",58.332295,6.266026
51971,"Aursland, 15/14-1, Sokndal",58.364229,6.392935
51972,"Aursland, 15/14-2, Sokndal",58.364158,6.393402
