,Navn,Long,Lat
26671,"109/3, Flekkefjord",58.231242,6.676995
1364485,"Risholmen 5, Flekkefjord",58.234538,6.666081
1364487,"Risholmen 6, Flekkefjord",58.234326,6.665312
1364490,"Risholmen 11, Flekkefjord",58.233808,6.664494
1367077,"Risholmen 3, Flekkefjord",58.2349,6.6657
1367184,"Risholmen 9, Flekkefjord",58.23393,6.664742
1367185,"Engelsholmen 1, Flekkefjord",58.231361,6.65842
1367193,"Risholmen 8, Flekkefjord",58.234246,6.664823
1367203,"Risholmen 7, Flekkefjord",58.234027,6.665144
1367204,"Risholmen 1, Flekkefjord",58.235405,6.664832
1367207,"Risholmen 10, Flekkefjord",58.234187,6.664588
1367221,"Andabeløy 101B, Flekkefjord",58.23308,6.668509
1367227,"Andabeløy 101A, Flekkefjord",58.233005,6.668243
1367437,"Andabeløy 114, Flekkefjord",58.231854,6.671147
1367438,"Andabeløy 112, Flekkefjord",58.232085,6.671455
1367439,"Andabeløy 118, Flekkefjord",58.2314,6.671347
1367440,"Andabeløy 116, Flekkefjord",58.231517,6.670896
1367441,"Andabeløy 115, Flekkefjord",58.232868,6.672051
1367442,"Andabeløy 119, Flekkefjord",58.232037,6.672293
1367443,"Andabeløy 117, Flekkefjord",58.233058,6.67209
1367444,"Andabeløy 110, Flekkefjord",58.232865,6.67091
1367445,"Andabeløy 108, Flekkefjord",58.233061,6.670795
1367446,"Andabeløy 111, Flekkefjord",58.232349,6.67217
1367447,"Andabeløy 109, Flekkefjord",58.232786,6.671477
1367448,"Andabeløy 104, Flekkefjord",58.232541,6.669129
1367449,"Andabeløy 102, Flekkefjord",58.23269,6.668673
1367450,"Andabeløy 107, Flekkefjord",58.233226,6.671466
1367451,"Andabeløy 105, Flekkefjord",58.233394,6.670347
1367453,"Andabeløy 149B, Flekkefjord",58.231512,6.674489
1367454,"Andabeløy 129, Flekkefjord",58.232043,6.673638
1367455,"Andabeløy 145, Flekkefjord",58.231714,6.673302
1367456,"Andabeløy 143, Flekkefjord",58.231737,6.673573
1367457,"Andabeløy 137, Flekkefjord",58.232055,6.674745
1367458,"Andabeløy 133, Flekkefjord",58.232298,6.674286
1367459,"Andabeløy 139, Flekkefjord",58.231816,6.674488
1367460,"Andabeløy 131, Flekkefjord",58.231809,6.674062
