,Navn,Long,Lat
47411,"Ryvingen Fyr, 23/7, Mandal",57.968033,7.491638
1166547,"Åsveien 161, Mandal",58.017675,7.646578
1166585,"Vetnesveien 8, Holum",58.063495,7.59408
1166586,"Amsterstien 57, Mandal",57.987447,7.523078
1166587,"Kvistedalsveien 24, Mandal",58.012332,7.55687
1166588,"Storheia 24, Mandal",58.015674,7.602699
1329193,"Eid 65, Søgne",58.044895,7.652788
1329194,"Eid 63, Søgne",58.044808,7.652339
1448932,"Skjernøyveien 160, Mandal",58.00617,7.50906
1449131,"Tregdeveien 400, Mandal",58.010102,7.540204
1642660,"Storakerveien 12, Mandal",58.039419,7.538302
1648354,"Skogsøy Buøy 21, Mandal",58.004036,7.577206
1648394,"Skogsøy Buøy 22, Mandal",58.003838,7.577213
1653063,"Grasdalen 7, Mandal",58.021645,7.65109
1704036,"Vesterskogen 5, Mandal",58.013221,7.601936
1748862,"Lillestølveien 34, Mandal",58.025781,7.613198
1748885,"Lillestølveien 10, Mandal",58.026312,7.612171
1749050,"Lillestølveien 9, Mandal",58.024888,7.616523
1749051,"Lillestølveien 5, Mandal",58.024657,7.613381
1749052,"Lillestølveien 30, Mandal",58.026213,7.613644
1749086,"Lillestølveien 28, Mandal",58.02636,7.613548
1749087,"Lillestølveien 26, Mandal",58.026523,7.613674
1766790,"Skjernøyveien 218, Mandal",58.002398,7.518445
1778188,"Lyngøy 2, Mandal",58.004165,7.543225
1787775,"Doneheia 167, Mandal",58.021196,7.512824
1787776,"Doneheia 157, Mandal",58.020529,7.510709
1787777,"Møller Moulins vei 23, Mandal",58.022082,7.514977
1816940,"Hellingsvikåsen 38, Mandal",58.016079,7.667729
1816941,"Trettholmen 1, Mandal",58.000751,7.543619
1817597,"Store Kigeholmen 14, Mandal",58.006415,7.530333
1825462,"Lillestølveien 44, Mandal",58.025633,7.614078
1835908,"Skjernøyveien 477, Mandal",57.989481,7.529554
1841533,"Rosnesveien 44, Mandal",57.983502,7.534132
1841649,"Rosnesveien 43, Mandal",57.983762,7.533457
1841650,"Rosnesveien 42, Mandal",57.983848,7.533689
1861620,"Landøy 3, Mandal",57.996257,7.574653
1874688,"Tregde Buøy 26, Mandal",57.999409,7.556324
1934448,"Rosnesveien 6, Mandal",57.986096,7.535271
1947074,"Frydenesveien 27, Mandal",58.037279,7.623775
1952837,"Skogsøyveien 76B, Mandal",58.004449,7.581493
1953942,"Doneheia 175, Mandal",58.021952,7.512918
1958953,"Launesveien 94, Mandal",58.024695,7.66668
1958955,"Saudalsheia 36, Mandal",58.017184,7.653556
1958956,"Saudalsheia 34, Mandal",58.016423,7.653227
1958957,"Skogsøy Buøy 28, Mandal",58.003301,7.577862
1958958,"Selvåg 8, Mandal",58.013394,7.621119
1959105,"Kåløy 15, Mandal",58.013686,7.636793
1959470,"Gamle Tregdevei 152, Mandal",58.009827,7.547509
1960802,"Dalskilen 42, Mandal",58.025178,7.657342
1962458,"Harkmarksveien 455, Mandal",58.045723,7.631912
1972159,"Rosnesveien 41, Mandal",57.984673,7.534118
1972716,"Langvika 14, Mandal",58.015979,7.660393
1977019,"Landøy 50, Mandal",57.992616,7.58722
1977049,"Landøy 49, Mandal",57.992796,7.58634
1984352,"Omlandsstranda 9, Mandal",58.008381,7.532861
1987048,"Langøy 6, Mandal",57.999002,7.575659
1997830,"Kigeveien 148, Mandal",58.01258,7.530897
1999050,"Ramsøy Tregde 20, Mandal",58.007674,7.549539
2002329,"Vetnesveien 4, Holum",58.061944,7.591412
2003728,"Hårsøy 46, Mandal",57.993569,7.562964
2006350,"Kalvehaven 14, Mandal",58.028813,7.509912
2009272,"Storheia 13, Mandal",58.014376,7.604645
2009273,"Storheia 15, Mandal",58.014625,7.604309
2014779,"Gamle Tregdevei 12, Mandal",58.010302,7.554946
2018386,"Doneheia 173, Mandal",58.021757,7.512969
2018387,"Doneheia 171, Mandal",58.021532,7.512948
2035889,"Amsterstien 47, Mandal",57.988444,7.52412
2041494,"Møller Moulins vei 33, Mandal",58.021972,7.514228
2041535,"Møller Moulins vei 31, Mandal",58.02213,7.514213
2042257,"Tofteveien 68, Mandal",58.022023,7.525305
2052230,"Landøy 35, Mandal",57.995434,7.582358
2052231,"Landøy 34, Mandal",57.995592,7.582198
2052278,"Landøy 33, Mandal",57.995837,7.581916
2052820,"Landøy 42, Mandal",57.994102,7.585509
2056078,"Dyvika 4, Mandal",58.012448,7.595643
2059711,"Tregdeveien 1193, Mandal",58.040779,7.60947
2066991,"Fjordåsveien 103, Mandal",58.016608,7.594065
2066992,"Fjordåsveien 106, Mandal",58.016261,7.59363
2066996,"Møller Moulins vei 41, Mandal",58.021156,7.515328
2067021,"Fjordåsveien 96, Mandal",58.016588,7.595062
2067094,"Maulebakken 1, Mandal",58.016909,7.594982
2073612,"Fagerliveien 26, Mandal",58.00946,7.532809
2074101,"Røyselandsveien 382, Holum",58.098764,7.597811
2085270,"Dyrstadveien 145, Mandal",57.990677,7.507195
2089062,"Kvitmyrveien 100, Mandal",58.027977,7.523841
2094247,"Tregdeveien 721, Mandal",58.009581,7.589877
2094470,"Steinsheia 55, Mandal",58.025205,7.672462
