,Navn,Long,Lat
26296,"Borhaug, 36/13, Lista",58.109221,6.567501
26359,"33/39, Lista",58.101065,6.614221
26456,"36/227, Lista",58.101329,6.578681
26488,"Tjørve, 33/542, Lista",58.095514,6.59618
26501,"33/105, Lista",58.093946,6.600681
26560,"36/13-3, Lista",58.109233,6.568604
26561,"36/13-2, Lista",58.109011,6.568721
26562,"36/13-1, Lista",58.10926,6.566718
26564,"36/13-5, Lista",58.109291,6.566936
32059,"36/256, Lista",58.101031,6.583431
32071,"36/182, Lista",58.100563,6.584024
32072,"36/290, Lista",58.100727,6.583974
34964,"35/147, Lista",58.100518,6.587833
35287,"33/20, Lista",58.095723,6.598104
35415,"33/248, Lista",58.096629,6.59423
35439,"33/532, Lista",58.096702,6.594108
35442,"33/532-3, Lista",58.096697,6.59395
35443,"33/532-2, Lista",58.096718,6.593968
36186,"36/58, Lista",58.101958,6.582206
45164,"36/32, Lista",58.1038,6.578459
50779,"Tjørve, 33/11/1, Lista",58.088042,6.597328
1350820,"Havneveien 16B, Lista",58.09976,6.585033
1350823,"Nedre Heiaveien 7, Lista",58.100754,6.588631
1350827,"Tjørveneset 4, Lista",58.091739,6.602322
1350833,"Postveien 46, Lista",58.097699,6.590518
1350835,"Tjørveveien 40, Lista",58.09231,6.60449
1350838,"Tareveien 4, Lista",58.094715,6.596675
1350869,"Skollevollveien 31, Lista",58.106811,6.585829
1350870,"Skollevollveien 27, Lista",58.106603,6.587184
1350872,"Skollevollveien 15, Lista",58.105575,6.586065
1350874,"Skollevollveien 19, Lista",58.105848,6.584774
1350875,"Skollevollveien 17, Lista",58.105814,6.584878
1350876,"Skollevollveien 33, Lista",58.106835,6.585691
1350877,"Skollevollveien 46, Lista",58.108249,6.582981
1350878,"Skollevollveien 21, Lista",58.106345,6.584944
1350880,"Nedre Heiaveien 5, Lista",58.100819,6.588271
1350881,"Skollevollveien 55, Lista",58.108696,6.585226
1350882,"Skollevollveien 10, Lista",58.105652,6.583446
1351719,"Bakkan 13, Lista",58.091997,6.59976
1351721,"Bakkan 12, Lista",58.091949,6.601035
1351722,"Bakkan 11A, Lista",58.091799,6.600316
1351723,"Bakkan 10, Lista",58.092195,6.601239
1351724,"Bakkan 18, Lista",58.091387,6.599835
1351725,"Bakkan 16, Lista",58.091241,6.600642
1351726,"Bakkan 15, Lista",58.091671,6.599663
1351727,"Bakkan 14, Lista",58.091441,6.600323
1351728,"Bakkan 5, Lista",58.092517,6.600217
1351729,"Bakkan 4, Lista",58.092805,6.600689
1351730,"Bakkan 3, Lista",58.09251,6.599844
1351731,"Bakkan 2, Lista",58.092775,6.600064
1351732,"Bakkan 9, Lista",58.092037,6.600453
1351733,"Bakkan 8, Lista",58.09242,6.601241
1351734,"Bakkan 7, Lista",58.092272,6.600539
1351735,"Bakkan 6, Lista",58.092604,6.600991
1351740,"Bakkan 1, Lista",58.092451,6.599559
1351859,"Brekneveien 9, Lista",58.099707,6.590773
1351860,"Brekneveien 7, Lista",58.099689,6.590299
1351861,"Brekneveien 5, Lista",58.099646,6.589928
1352736,"Heia 14, Lista",58.098672,6.590656
1352738,"Heia 13, Lista",58.098551,6.589018
1352740,"Heia 12, Lista",58.098779,6.590139
1352742,"Heia 10, Lista",58.098887,6.589691
1352744,"Heia 19, Lista",58.098303,6.589713
1352746,"Heia 18, Lista",58.098998,6.591262
1352748,"Heia 17, Lista",58.098388,6.589436
1352750,"Heia 16, Lista",58.098847,6.590915
1352752,"Heia 5, Lista",58.099116,6.587995
1352754,"Heia 4, Lista",58.099594,6.588591
1352756,"Heia 3, Lista",58.099449,6.588024
1352758,"Nedre Heiaveien 3, Lista",58.100492,6.588547
1352760,"Heia 9, Lista",58.098745,6.588343
1352762,"Heia 8, Lista",58.099015,6.589343
1352764,"Heia 7, Lista",58.098904,6.588196
1352766,"Heia 6, Lista",58.099152,6.588994
1352796,"Heia 41, Lista",58.09707,6.594328
1352798,"Heia 39, Lista",58.097187,6.593878
1352808,"Heia 32, Lista",58.097561,6.593701
1352810,"Heia 31, Lista",58.097647,6.592082
1352812,"Heia 30, Lista",58.09798,6.592569
1352814,"Heia 29, Lista",58.097716,6.591433
1352816,"Heia 37, Lista",58.097323,6.593462
1352818,"Heia 35, Lista",58.097348,6.592883
1352820,"Heia 34, Lista",58.097434,6.594116
1352822,"Heia 33, Lista",58.097492,6.592398
1352824,"Heia 24, Lista",58.098355,6.591492
1352826,"Heia 22, Lista",58.098492,6.591143
1352828,"Heia 21, Lista",58.098212,6.59011
1352830,"Heia 20, Lista",58.098698,6.591553
1352832,"Heia 28, Lista",58.098099,6.592188
1352834,"Heia 27, Lista",58.097819,6.591155
1352836,"Heia 26, Lista",58.098218,6.591857
1352838,"Heia 25, Lista",58.097939,6.590892
1353235,"Skolebakken 9, Lista",58.100552,6.589833
1353236,"Skolebakken 8, Lista",58.099978,6.58943
1353237,"Skolebakken 7A, Lista",58.100795,6.589851
1353238,"Skolebakken 7, Lista",58.100529,6.589088
1353239,"Skolebakken 14, Lista",58.100073,6.590612
1353240,"Skolebakken 12, Lista",58.100047,6.590207
1353241,"Skolebakken 11, Lista",58.100341,6.590085
1353242,"Skolebakken 10, Lista",58.100013,6.589818
1353243,"Skolebakken 2, Lista",58.099893,6.58779
1353244,"Skolebakken 1, Lista",58.100112,6.587487
1353247,"Skolebakken 6, Lista",58.099979,6.588989
1353248,"Skolebakken 5, Lista",58.100289,6.58924
1353249,"Heia 2, Lista",58.099916,6.588518
1353250,"Nedre Heiaveien 1, Lista",58.100232,6.588565
1353368,"Villaveien 49, Lista",58.100387,6.590591
1353369,"Villaveien 48, Lista",58.100243,6.591517
1353370,"Villaveien 47, Lista",58.100054,6.591055
1353371,"Villaveien 46, Lista",58.099932,6.591708
1353372,"Villaveien 41, Lista",58.098812,6.591919
1353373,"Villaveien 40, Lista",58.09916,6.592269
1353374,"Villaveien 39, Lista",58.098638,6.592202
1353375,"Villaveien 38, Lista",58.098931,6.592471
1353376,"Villaveien 45, Lista",58.099814,6.591207
1353377,"Villaveien 44, Lista",58.099612,6.591916
1353378,"Villaveien 43, Lista",58.099086,6.591663
1353379,"Villaveien 42, Lista",58.099364,6.592086
1353384,"Villaveien 37, Lista",58.098401,6.59249
1353385,"Villaveien 36, Lista",58.098658,6.592778
1353386,"Villaveien 35, Lista",58.098218,6.592774
1353428,"Skollevollveien 20, Lista",58.105933,6.58453
1353509,"Volleveien 8, Lista",58.093114,6.599905
1353510,"Volleveien 6, Lista",58.093274,6.600285
1353511,"Volleveien 4, Lista",58.093408,6.600751
1353512,"Villaveien 64, Lista",58.102389,6.590032
1353513,"Volleveien 12, Lista",58.092785,6.599605
1353514,"Volleveien 11, Lista",58.091518,6.598655
1353515,"Volleveien 10, Lista",58.092967,6.599728
1353516,"Volleveien 9, Lista",58.091654,6.598748
1353517,"Villaveien 55, Lista",58.101075,6.590392
1353518,"Villaveien 54, Lista",58.100988,6.591043
1353519,"Villaveien 53, Lista",58.100868,6.590389
1353520,"Villaveien 52, Lista",58.100748,6.591144
1353521,"Villaveien 63, Lista",58.102014,6.589683
1353522,"Villaveien 62, Lista",58.102169,6.590284
1353523,"Villaveien 58, Lista",58.101732,6.590449
1353524,"Villaveien 56, Lista",58.101324,6.590748
1353525,"Villaveien 51, Lista",58.10064,6.590659
1353526,"Villaveien 50, Lista",58.100517,6.591312
1353536,"Volleveien 33, Lista",58.090226,6.598776
1353537,"Volleveien 31, Lista",58.09019,6.59832
1353538,"Volleveien 30, Lista",58.090542,6.598839
1353543,"Volleveien 24, Lista",58.090842,6.598073
1353544,"Volleveien 23, Lista",58.090684,6.597354
1353545,"Volleveien 22, Lista",58.090957,6.598472
1353546,"Volleveien 21, Lista",58.090901,6.597407
1353547,"Volleveien 29, Lista",58.090229,6.597995
1353548,"Volleveien 27, Lista",58.090329,6.597564
1353549,"Volleveien 26, Lista",58.090776,6.598416
1353550,"Volleveien 25, Lista",58.09049,6.597502
1353551,"Volleveien 16, Lista",58.091865,6.599446
1353552,"Volleveien 15, Lista",58.091301,6.598144
1353553,"Volleveien 14, Lista",58.092208,6.599542
1353554,"Volleveien 13, Lista",58.091405,6.598391
1353555,"Volleveien 20, Lista",58.091133,6.598749
1353556,"Volleveien 19, Lista",58.091102,6.59758
1353557,"Volleveien 18, Lista",58.091212,6.599134
1353558,"Volleveien 17, Lista",58.091223,6.597826
1353657,"Tareveien 6, Lista",58.094466,6.596353
1353663,"Volleveien 2, Lista",58.093791,6.601031
1353712,"Villaveien 33, Lista",58.098044,6.593074
1353738,"Villaveien 69, Lista",58.102668,6.589096
1353845,"Høgeleide 12, Lista",58.090032,6.601843
1353848,"Høgeleide 10, Lista",58.090168,6.60236
1353849,"Høgeleide 8, Lista",58.090413,6.602496
1353874,"Borhauggarden 5, Lista",58.102775,6.584303
1353875,"Borhauggarden 4, Lista",58.102331,6.584112
1353876,"Borhauggarden 3, Lista",58.10268,6.58453
1353889,"Borhauggarden 2A, Lista",58.10228,6.584777
1353940,"Høgeleide 16, Lista",58.089819,6.601043
1353941,"Heia 23, Lista",58.098102,6.59044
1353944,"Brekneveien 3, Lista",58.099554,6.589323
1353947,"Høgeleide 18, Lista",58.089649,6.600579
1353948,"Høgeleide 13, Lista",58.089685,6.600085
1353949,"Borhauggarden 1, Lista",58.10252,6.584642
1353953,"Høgeleide 14, Lista",58.089926,6.601443
