,Navn,Long,Lat
26596,"Hestad, 274/14, Lyngdal",58.257621,7.124163
26615,"Dydland, 275/8, Lyngdal",58.270205,7.173046
26617,"Trældal, 269/5, Lyngdal",58.264709,7.072252
32715,"242/60, Lyngdal",58.289097,7.195159
45284,"236/2, Lyngdal",58.267674,7.27095
48541,"Høyland, 260/7, Lyngdal",58.248918,7.140351
48544,"Birkeland, 242/11-1, Lyngdal",58.288768,7.159466
48566,"Hestad, 274/3, Lyngdal",58.259934,7.120188
48567,"Hestad, 274/7, Lyngdal",58.260138,7.137223
48568,"Hestad, 274/8, Lyngdal",58.260302,7.141647
48570,"Hestad, 274/9, Lyngdal",58.26117,7.140203
48571,"Eitland, 266/1, Lyngdal",58.244005,7.073121
48677,"Vemestad Ytre, 247/10-1, Lyngdal",58.226935,7.15894
48777,"Hestad, 274/12, Lyngdal",58.255882,7.125056
49496,"Håvetoft, 265/3, Lyngdal",58.242387,7.077808
49498,"Kvås Øvre, 243/14, Lyngdal",58.271855,7.210934
50778,"Dydland, 275/6, Lyngdal",58.270904,7.171646
1349878,"Brådlandsveien 1055, Lyngdal",58.264281,7.061211
1349900,"Fagerheiveien 8, Lyngdal",58.19935,7.185007
1349901,"Kvåsveien 1158, Lyngdal",58.241185,7.180434
1357017,"Fagerheiveien 10, Lyngdal",58.199094,7.185309
1357018,"Torvabakken 19, Lyngdal",58.19673,7.188846
1357024,"Fagerheiveien 76, Lyngdal",58.195271,7.183054
1357031,"Fagerheiveien 82, Lyngdal",58.195506,7.181919
1357032,"Fagerheiveien 74, Lyngdal",58.195438,7.184083
1357033,"Fagerheiveien 56, Lyngdal",58.197234,7.182186
1357034,"Fagerheiveien 64, Lyngdal",58.196812,7.185323
1357036,"Torvabakken 10, Lyngdal",58.198648,7.190556
1357037,"Torvabakken 8, Lyngdal",58.198985,7.190913
1357045,"Kvåsveien 1062, Lyngdal",58.23501,7.170121
1357046,"Kvåsveien 1067, Lyngdal",58.235158,7.171067
1357047,"Kvåsveien 1154, Lyngdal",58.240757,7.180609
1357048,"Kvåsveien 1029, Lyngdal",58.232675,7.167005
1357049,"Kvåsveien 1015, Lyngdal",58.231995,7.165354
1357050,"Kvåsveien 1026, Lyngdal",58.232809,7.165755
1357051,"Kvåsveien 1174, Lyngdal",58.24161,7.180616
1357052,"Kvåstunet 19, Lyngdal",58.242706,7.185654
1357053,"Kvåsveien 1198, Lyngdal",58.244533,7.181489
1357054,"Kvåsveien 1021, Lyngdal",58.232459,7.16579
1357055,"Kvåsveien 1262, Lyngdal",58.250325,7.185674
1357056,"Kvåsveien 1250, Lyngdal",58.249313,7.185283
1357057,"Kvåsveien 1200, Lyngdal",58.245128,7.181663
1357058,"Kvåsveien 1210, Lyngdal",58.245718,7.182657
1357059,"Kvåsveien 1141, Lyngdal",58.239907,7.180226
1357060,"Kvåsveien 1142, Lyngdal",58.240601,7.179748
1357061,"Vemestadlunden 3, Lyngdal",58.238691,7.171822
1357062,"Vemestadlunden 1, Lyngdal",58.238779,7.172363
1357063,"Kvåsveien 1151, Lyngdal",58.240456,7.180948
1357064,"Kvåsveien 1155, Lyngdal",58.240804,7.18139
1357065,"Kvåsveien 1157, Lyngdal",58.240986,7.181568
1357066,"Kvåsveien 1160, Lyngdal",58.241344,7.180204
1357067,"Vemestadlunden 5, Lyngdal",58.23901,7.171516
1357068,"Kvåsveien 1150, Lyngdal",58.241517,7.179088
1357069,"Kvåsveien 1148, Lyngdal",58.240877,7.17895
1357070,"Kvåsveien 1063, Lyngdal",58.234865,7.170656
1357071,"Kvåsveien 1144, Lyngdal",58.240774,7.179944
1357072,"Kvåsveien 1170, Lyngdal",58.241078,7.181086
1357073,"Kvåsveien 1172, Lyngdal",58.24143,7.181205
1357074,"Kvåsveien 1156, Lyngdal",58.240931,7.180838
1357075,"Kvåsveien 1460, Lyngdal",58.264186,7.197035
1357076,"Kvåsveien 1462, Lyngdal",58.26428,7.196372
1357077,"Kvåsveien 1434, Lyngdal",58.264276,7.194754
1357078,"Kvåsveien 1429, Lyngdal",58.26164,7.200607
1357079,"Kvåsveien 1515, Lyngdal",58.265467,7.192384
1357080,"Brattestien 41, Lyngdal",58.264048,7.206435
1357081,"Kvåsveien 1457, Lyngdal",58.264735,7.198405
1357082,"Kvåsveien 1440, Lyngdal",58.263881,7.197119
1357083,"Kvåsveien 1437, Lyngdal",58.262346,7.201663
1357084,"Kvåsveien 1630, Lyngdal",58.27604,7.192323
1357085,"Kvåsveien 1436, Lyngdal",58.264031,7.195628
1357086,"Brattestien 17, Lyngdal",58.262846,7.202063
1357087,"Birkelandsgarden 54B, Lyngdal",58.288298,7.159251
1357088,"Buliveien 11, Lyngdal",58.292078,7.191795
1357089,"Kvåsveien 1740, Lyngdal",58.285184,7.194255
1357090,"Kvåsveien 1433, Lyngdal",58.262549,7.200084
1357091,"Kvåstunet 3, Lyngdal",58.242218,7.183532
1357092,"Kvåsveien 1303, Lyngdal",58.253249,7.189188
1357093,"Kvåsveien 1260, Lyngdal",58.24998,7.186049
1357094,"Kvåsveien 1194, Lyngdal",58.244075,7.182722
1357095,"Kvåsveien 1203, Lyngdal",58.245415,7.18601
1357096,"Kvåsveien 1197, Lyngdal",58.244814,7.187335
1357097,"Kvåsveien 1236, Lyngdal",58.248112,7.18485
1357098,"Kvåsveien 1305, Lyngdal",58.252721,7.191192
1357099,"Kvåsveien 1317, Lyngdal",58.254529,7.189447
1357100,"Kvåsveien 1421, Lyngdal",58.262097,7.198607
1357101,"Kvåsveien 1427, Lyngdal",58.261778,7.200243
1357102,"Kvåsveien 1375, Lyngdal",58.25862,7.192238
1357103,"Kvåsveien 1415, Lyngdal",58.261225,7.197986
1357104,"Kvåsveien 1431, Lyngdal",58.261093,7.201317
1357134,"Kvåsveien 973, Lyngdal",58.227041,7.160906
1357135,"Kvåsveien 979, Lyngdal",58.228088,7.16232
1357138,"Kvåsveien 1006, Lyngdal",58.231186,7.16342
1357139,"Kvåsveien 953, Lyngdal",58.22687,7.158807
1357140,"Kvåsveien 1005, Lyngdal",58.231,7.164247
1357141,"Kvåsveien 1009, Lyngdal",58.231612,7.164965
1357142,"Kvåsveien 1017, Lyngdal",58.231598,7.168226
1357143,"Kvåsveien 1008, Lyngdal",58.231544,7.163998
1357145,"Kvåsveien 987, Lyngdal",58.229844,7.1632
1357146,"Markelandskleiva 5, Lyngdal",58.238691,7.178722
1357147,"Markelandskleiva 8, Lyngdal",58.239221,7.180006
1357148,"Kvåsveien 1136, Lyngdal",58.23977,7.178785
1357149,"Kvåsveien 1163, Lyngdal",58.241154,7.182037
1357165,"Myglestølveien 60, Lyngdal",58.25287,7.228926
1357166,"Brattestien 561, Lyngdal",58.267795,7.26965
1357167,"Brattestien 380, Lyngdal",58.268836,7.238723
1357168,"Titlandsveien 85, Lyngdal",58.284356,7.230988
1357169,"Opsalsveien 1040, Lyngdal",58.22467,7.193505
1357170,"Lølandsveien 101, Lyngdal",58.241357,7.217445
1357171,"Myglestølveien 51, Lyngdal",58.253571,7.23205
1357172,"Torvabakken 80, Lyngdal",58.197648,7.194197
1357173,"Opsalsveien 800, Lyngdal",58.20735,7.19318
1357174,"Opsalsveien 1045, Lyngdal",58.225146,7.196036
1357175,"Opsalsveien 1081, Lyngdal",58.226791,7.202314
1357176,"Fagerheiveien 83, Lyngdal",58.195916,7.182323
1357177,"Torvabakken 33, Lyngdal",58.196392,7.191113
1357178,"Torvabakken 56, Lyngdal",58.196314,7.192631
1357179,"Torvabakken 58, Lyngdal",58.196585,7.192719
1357180,"Kvåsveien 1716, Lyngdal",58.28329,7.192959
1357181,"Birkelandsgarden 112, Lyngdal",58.291552,7.192112
1357182,"Kvåsveien 1703, Lyngdal",58.281988,7.194919
1357183,"Kvåsveien 1696, Lyngdal",58.281701,7.192375
1357184,"Kvåsveien 1706, Lyngdal",58.282382,7.192886
1357185,"Kvåsveien 1755, Lyngdal",58.286296,7.197173
1357186,"Kvåsveien 1680, Lyngdal",58.280161,7.191925
1357187,"Birkelandsgarden 33, Lyngdal",58.286862,7.194603
1357188,"Birkelandsgarden 35, Lyngdal",58.28698,7.194051
1357189,"Birkelandsgarden 60, Lyngdal",58.287582,7.192195
1357190,"Birkelandsgarden 56, Lyngdal",58.287981,7.18924
1357191,"Birkelandsgarden 90, Lyngdal",58.289408,7.1942
1357192,"Birkelandsgarden 85, Lyngdal",58.289159,7.19502
1357193,"Birkelandsgarden 117, Lyngdal",58.291757,7.193296
1357194,"Kvåsveien 1739, Lyngdal",58.285033,7.195712
1357195,"Opsalsveien 695, Lyngdal",58.199909,7.185739
1357196,"Opsalsveien 741, Lyngdal",58.202957,7.187222
1357197,"Opsalsveien 735, Lyngdal",58.202067,7.186553
1357198,"Opsalsveien 769, Lyngdal",58.204273,7.190031
1357230,"Brådlandsveien 646, Lyngdal",58.246378,7.095995
1357231,"Solvangveien 68, Lyngdal",58.252876,7.102821
1357232,"Solvangveien 70, Lyngdal",58.252954,7.103171
1357233,"Solvangveien 72, Lyngdal",58.252835,7.103641
1357234,"Brådlandsveien 614, Lyngdal",58.247907,7.099585
1357235,"Brådlandsveien 615, Lyngdal",58.248081,7.09903
1357236,"Solvangveien 19, Lyngdal",58.249919,7.103102
1357237,"Solvangveien 101, Lyngdal",58.255013,7.106951
1357238,"Brådlandsveien 278, Lyngdal",58.233998,7.141728
1357239,"Brådlandsveien 185, Lyngdal",58.237349,7.159729
1357240,"Brådlandsveien 180, Lyngdal",58.237153,7.157354
1357241,"Hestadveien 41, Lyngdal",58.249747,7.136218
1357245,"Brådlandsveien 276, Lyngdal",58.235579,7.145393
1357246,"Hestadveien 165, Lyngdal",58.257934,7.120448
1357247,"Hestadveien 159, Lyngdal",58.260016,7.123355
1357248,"Buliveien 160, Lyngdal",58.294069,7.184783
1357249,"Hestadveien 545, Lyngdal",58.273013,7.089194
1357250,"Hestadveien 313, Lyngdal",58.263013,7.104819
1357251,"Hestadveien 323, Lyngdal",58.263274,7.103612
1357252,"Hestadveien 241, Lyngdal",58.259826,7.110427
1357253,"Brådlandsveien 530, Lyngdal",58.245724,7.112455
1357254,"Brådlandsveien 532, Lyngdal",58.245458,7.112708
1357256,"Solvangveien 20, Lyngdal",58.249786,7.102131
1357257,"Brådlandsveien 652, Lyngdal",58.241608,7.083371
1357258,"Solvangveien 74, Lyngdal",58.252945,7.104638
1357259,"Solvangveien 76, Lyngdal",58.253148,7.104993
1357260,"Solvangveien 78, Lyngdal",58.253344,7.105583
1357261,"Brådlandsveien 534, Lyngdal",58.245995,7.111947
1358213,"Vemestadlunden 34, Lyngdal",58.241224,7.175542
1358214,"Vemestadlunden 38, Lyngdal",58.241611,7.17559
1358217,"Vemestadlunden 26, Lyngdal",58.24052,7.175357
1358218,"Vemestadlunden 28, Lyngdal",58.240833,7.175886
1358219,"Vemestadlunden 30, Lyngdal",58.24088,7.175406
1358220,"Vemestadlunden 32, Lyngdal",58.241185,7.176004
1358221,"Vemestadlunden 12, Lyngdal",58.239003,7.175401
1358222,"Vemestadlunden 14, Lyngdal",58.239401,7.174971
