,Navn,Long,Lat
1238422,"Banehaven 18, Kristiansand Domkirke",58.148063,7.986319
1238423,"Banehaven 16, Kristiansand Domkirke",58.1482,7.986654
1238424,"Banehaven 14, Kristiansand Domkirke",58.148246,7.986806
1238425,"Banehaven 12, Kristiansand Domkirke",58.148293,7.986992
1238426,"Banehaven 10, Kristiansand Domkirke",58.14832,7.98711
1238427,"Banehaven 8, Kristiansand Domkirke",58.148358,7.987262
1238428,"Banehaven 6, Kristiansand Domkirke",58.148386,7.98738
1240762,"Frobusdalen 4, Kristiansand Domkirke",58.148437,7.985934
1240763,"Frobusdalen 5, Kristiansand Domkirke",58.148447,7.985341
1240764,"Frobusdalen 2, Kristiansand Domkirke",58.148241,7.986144
1240765,"Frobusdalen 1, Kristiansand Domkirke",58.148014,7.985827
1240781,"Fjellgata 3, Kristiansand Domkirke",58.148192,7.98905
1240826,"Banehaven 4B, Kristiansand Domkirke",58.148619,7.987339
1243366,"Henrik Wergelands gate 5, Kristiansand Domkirke",58.146331,7.989969
1243367,"Henrik Wergelands gate 4, Kristiansand Domkirke",58.146125,7.990094
1243368,"Henrik Wergelands gate 3, Kristiansand Domkirke",58.146401,7.989713
1243369,"Henrik Wergelands gate 1, Kristiansand Domkirke",58.146203,7.989684
1243382,"Henrik Wergelands gate 25, Kristiansand Domkirke",58.147471,7.992078
1243384,"Henrik Wergelands gate 24, Kristiansand Domkirke",58.146965,7.991786
1243385,"Henrik Wergelands gate 23, Kristiansand Domkirke",58.147416,7.991977
1243386,"Henrik Wergelands gate 21, Kristiansand Domkirke",58.147343,7.991843
1243387,"Henrik Wergelands gate 20, Kristiansand Domkirke",58.146901,7.991669
1243388,"Henrik Wergelands gate 19, Kristiansand Domkirke",58.147261,7.991693
1243389,"Henrik Wergelands gate 18, Kristiansand Domkirke",58.146856,7.991568
1243390,"Henrik Wergelands gate 16, Kristiansand Domkirke",58.146801,7.991485
1243391,"Henrik Wergelands gate 15, Kristiansand Domkirke",58.14707,7.991375
1243392,"Henrik Wergelands gate 13, Kristiansand Domkirke",58.146997,7.991225
1243393,"Henrik Wergelands gate 11A, Kristiansand Domkirke",58.146923,7.991023
1243394,"Henrik Wergelands gate 11, Kristiansand Domkirke",58.146541,7.990439
1243395,"Henrik Wergelands gate 10, Kristiansand Domkirke",58.146273,7.990634
1243396,"Henrik Wergelands gate 9, Kristiansand Domkirke",58.146477,7.990271
1243397,"Henrik Wergelands gate 7, Kristiansand Domkirke",58.146404,7.990086
1243398,"Henrik Wergelands gate 6, Kristiansand Domkirke",58.146002,7.990335
1243400,"Henrik Wergelands gate 53, Kristiansand Domkirke",58.148401,7.993869
1243401,"Henrik Wergelands gate 52, Kristiansand Domkirke",58.148296,7.994178
1243402,"Henrik Wergelands gate 49, Kristiansand Domkirke",58.148282,7.993618
1243403,"Henrik Wergelands gate 48, Kristiansand Domkirke",58.148031,7.99371
1243404,"Henrik Wergelands gate 47, Kristiansand Domkirke",58.148209,7.993467
1243405,"Henrik Wergelands gate 42, Kristiansand Domkirke",58.147795,7.993292
