,Navn,Long,Lat
1210712,"Langenesveien 592, Søgne",58.073683,7.91695
1611154,"Søvigneset 3A, Søgne",58.074614,7.864571
1611155,"Søvigneset 3B, Søgne",58.074762,7.864172
1768783,"Søvigveien 1A, Søgne",58.075502,7.862536
1975759,"Vognsneset 41, Søgne",58.077198,7.917973
1992581,"Langenesveien 330A, Søgne",58.073283,7.868874
2027508,"Stokkelandsåsen 15A, Søgne",58.082205,7.846129
2059366,"Søvigheia 14, Søgne",58.074956,7.85553
2072493,"Søvigheia 98, Søgne",58.073761,7.8579
2088959,"Kilenesheia 47, Søgne",58.075385,7.877304
2091459,"Kilenesheia 16, Søgne",58.075687,7.875726
2091675,"Kilenesheia 21, Søgne",58.075297,7.874821
2091681,"Kilenesheia 19, Søgne",58.075177,7.875072
2105666,"Søvigheia 33, Søgne",58.07467,7.859997
2105667,"Søvigheia 25A, Søgne",58.074382,7.861746
2106568,"Kosseviga 4, Søgne",58.076413,7.854276
2107368,"Søvigheia 2B, Søgne",58.075428,7.8612
2111219,"Søvigheia 25C, Søgne",58.074353,7.86126
2111245,"Søvigheia 25D, Søgne",58.074434,7.861227
2111246,"Søvigheia 25E, Søgne",58.074568,7.861421
2119599,"Søvigheia 2C, Søgne",58.075553,7.861017
2121734,"Søvigheia 10, Søgne",58.075193,7.854477
2121735,"Kosseviga 3, Søgne",58.07584,7.852472
2121736,"Kosseviga 10, Søgne",58.076325,7.853491
2121740,"Langenes-Herøya 1, Søgne",58.067355,7.867
2121926,"Kjølpeviga 3, Søgne",58.073641,7.837776
2121929,"Kjølpeviga 8, Søgne",58.074229,7.839215
2121930,"Kjølpeviga 7, Søgne",58.074114,7.838438
2121937,"Kvernhustangen 14, Søgne",58.076112,7.842884
2121938,"Kvernhustangen 1, Søgne",58.076182,7.851573
2121939,"Kilholmen 1, Søgne",58.078057,7.876513
2121940,"Dybingholmen 2, Søgne",58.069889,7.864055
2121941,"Maskorsholmen 1, Søgne",58.069345,7.863445
2121942,"Kosseviga 1, Søgne",58.075733,7.854578
2121943,"Kosseviga 2, Søgne",58.0763,7.854645
2121944,"Kvernhustangen 9, Søgne",58.076051,7.846056
2121945,"Kvernhustangen 12, Søgne",58.076151,7.844205
