,Navn,Long,Lat
38177,"151/22, Vegusdal",58.449269,8.097986
1215186,"Kleppeveien 448, Birkenes",58.354828,8.046756
1215188,"Kleppeveien 445, Birkenes",58.354288,8.046963
1215190,"Kleppeveien 431, Birkenes",58.348405,8.057082
1215192,"Kleppeveien 391, Birkenes",58.35512,8.051582
1215194,"Vatnestrømveien 5, Birkenes",58.368803,8.054395
1215196,"Vatnestrømveien 4, Birkenes",58.367125,8.054662
1215198,"Vatnestrømveien 2, Birkenes",58.366832,8.053849
1215199,"Kleppeveien 435, Birkenes",58.353173,8.049069
1215200,"Kleppeveien 413, Birkenes",58.354027,8.068733
1215201,"Kleppeveien 419, Birkenes",58.354792,8.075429
1215203,"Kleppeveien 374, Birkenes",58.358576,8.054907
1215205,"Kleppeveien 354, Birkenes",58.358845,8.055994
1215207,"Vatnestrømveien 13, Birkenes",58.372605,8.053592
1215209,"Vatnestrømveien 3, Birkenes",58.36744,8.052346
1215211,"Vatnestrømveien 9, Birkenes",58.371642,8.055704
1215213,"Vatnestrømveien 11, Birkenes",58.371275,8.051046
1215387,"Kleppeveien 83, Birkenes",58.365812,8.092833
1215388,"Kleppeveien 112, Birkenes",58.370484,8.093106
1215389,"Kleppeveien 118, Birkenes",58.370147,8.092465
1215390,"Kleppeveien 120, Birkenes",58.369544,8.092292
1215391,"Oggeveien 553, Birkenes",58.369809,8.105654
1215392,"Kleppeveien 134, Birkenes",58.368254,8.091471
1215394,"Kleppeveien 401, Birkenes",58.353265,8.049911
1215395,"Vatnestrømveien 6, Birkenes",58.367744,8.055722
1215396,"Kleppeveien 440, Birkenes",58.354333,8.048425
1215397,"Kleppeveien 403, Birkenes",58.352797,8.050349
1215398,"Kleppeveien 273, Birkenes",58.358167,8.068966
1215399,"Kleppeveien 456, Birkenes",58.362651,8.059328
1215400,"Kleppeveien 150, Birkenes",58.364883,8.087318
1215401,"Kleppeveien 261, Birkenes",58.35847,8.071026
1215500,"Oggeveien 1565, Vegusdal",58.446415,8.105933
1215763,"Oggeveien 1385, Vegusdal",58.436634,8.115864
1215764,"Oggeveien 1440, Vegusdal",58.442602,8.120373
1215765,"Oggeveien 1517, Vegusdal",58.444672,8.114514
1215766,"Oggeveien 1482, Vegusdal",58.444321,8.115654
1215767,"Oggeveien 1488, Vegusdal",58.444826,8.117268
1215768,"Oggeveien 1486, Vegusdal",58.444189,8.117286
1215769,"Oggeveien 1370, Vegusdal",58.435188,8.117236
1215770,"Oggeveien 1345, Vegusdal",58.433454,8.114556
1215771,"Oggeveien 994, Vegusdal",58.402243,8.113405
1215772,"Oggeveien 954, Vegusdal",58.400497,8.110267
