,Navn,Long,Lat
401079,"Dåsvannsdalen 674B, Evje og Hornnes",58.600884,7.668642
401080,"Kjetsåvegen 34, Evje og Hornnes",58.548912,7.76469
401081,"Kjetsåvegen 32, Evje og Hornnes",58.548902,7.763615
401082,"Kjetsåvegen 44, Evje og Hornnes",58.551229,7.751277
401083,"Kjetsåvegen 30, Evje og Hornnes",58.548526,7.764321
401084,"Kjetsåvegen 61, Evje og Hornnes",58.544439,7.758841
401085,"Sveindalsvegen 11, Evje og Hornnes",58.54403,7.75433
401086,"Kjetsåvegen 57, Evje og Hornnes",58.544571,7.760158
401087,"Kjetsåvegen 37, Evje og Hornnes",58.547467,7.757749
401088,"Kjetsåvegen 54, Evje og Hornnes",58.545421,7.754932
401089,"Kjetsåvegen 42, Evje og Hornnes",58.54805,7.755258
401090,"Kjetsåvegen 36, Evje og Hornnes",58.548457,7.762544
401091,"Kjetsåvegen 52, Evje og Hornnes",58.546219,7.754812
401092,"Sveindalsvegen 10, Evje og Hornnes",58.545295,7.753971
401093,"Kjetsåvegen 53, Evje og Hornnes",58.545746,7.755544
401094,"Sveindalsvegen 9, Evje og Hornnes",58.544332,7.754498
401095,"Kjetsåvegen 1, Evje og Hornnes",58.552536,7.771727
401096,"Kjetsåvegen 5, Evje og Hornnes",58.55211,7.77136
401097,"Kjetsåvegen 3, Evje og Hornnes",58.552286,7.771736
401098,"Hestvåg 10, Evje og Hornnes",58.535378,7.785187
401099,"Sveindalsvegen 3, Evje og Hornnes",58.543333,7.754932
401100,"Murtetjønnvegen 47, Evje og Hornnes",58.525287,7.658352
401101,"Tveitvegen 6, Evje og Hornnes",58.536599,7.6823
401102,"Stangeråsvegen 96, Evje og Hornnes",58.52458,7.668914
401103,"Stangeråsvegen 97, Evje og Hornnes",58.525252,7.669406
401104,"Stangeråsvegen 92, Evje og Hornnes",58.523769,7.668284
401105,"Tveitvegen 8, Evje og Hornnes",58.538188,7.680744
401106,"Sveindalsvegen 420, Evje og Hornnes",58.536689,7.68784
401107,"Murtetjønnvegen 12, Evje og Hornnes",58.530583,7.65777
401108,"Sveindalsvegen 455, Evje og Hornnes",58.534782,7.683525
401109,"Sveindalsvegen 457, Evje og Hornnes",58.534544,7.682601
401110,"Sveindalsvegen 459, Evje og Hornnes",58.534383,7.681714
401111,"Sveindalsvegen 1, Evje og Hornnes",58.544594,7.755363
