,Navn,Long,Lat
37471,"2/1747, Bykle",59.57023,7.388494
43190,"2/1845, Bykle",59.551251,7.368939
44068,"Fjellparkvegen, 2/1977, Bykle",59.563876,7.345457
44069,"Fjekkparkvegen, 2/1976, Bykle",59.563748,7.345159
44331,"2/1978, Bykle",59.564003,7.345672
54759,"2/2033, Bykle",59.565262,7.365967
55415,"2/1981, Bykle",59.564797,7.344909
55416,"2/1983, Bykle",59.564721,7.345615
55417,"2/1980, Bykle",59.564886,7.345144
55418,"2/1979, Bykle",59.565006,7.345212
55419,"2/1982, Bykle",59.564939,7.345589
55449,"2/1974, Bykle",59.564514,7.345218
55915,"2/1973, Bykle",59.564517,7.344933
851801,"Skisentervegen 168, Bykle",59.568228,7.352027
851802,"Djupetjønnvegen 16, Bykle",59.559789,7.34805
851803,"Vestvegen 17, Bykle",59.560424,7.347702
851804,"Byrtemannsbekken hyttegrend 40, Bykle",59.572498,7.388394
851805,"Setesdalsvegen 4336, Bykle",59.567289,7.368092
851806,"Skisentervegen 160, Bykle",59.56772,7.351627
851807,"Skisentervegen 152, Bykle",59.567394,7.350669
851808,"Setesdalsvegen 4448, Bykle",59.634611,7.456824
851809,"Hartevasskroken 12, Bykle",59.564577,7.368188
851810,"Hartevassvegen 29, Bykle",59.564269,7.367937
851811,"Hartevasskroken 4, Bykle",59.564825,7.367132
851812,"Hartevassvegen 46, Bykle",59.56323,7.367457
851813,"Hartevassvegen 16, Bykle",59.562961,7.366036
851814,"Breivevegen 2, Bykle",59.559847,7.350452
851815,"Hartevassvegen 10, Bykle",59.562796,7.365035
851816,"Breivevegen 28, Bykle",59.556478,7.344744
851817,"Breivevegen 20, Bykle",59.556918,7.345413
851818,"Setesdalsvegen 4432, Bykle",59.627091,7.458221
851819,"Setesdalsvegen 4224, Bykle",59.545369,7.366018
851820,"Plassestøylen hyttegrend 53, Bykle",59.567075,7.372545
851821,"Setesdalsvegen 4454, Bykle",59.635817,7.454711
851822,"Setesdalsvegen 4326, Bykle",59.566563,7.368216
851823,"Hartevasskroken 1, Bykle",59.565277,7.367375
851824,"Hartevasskroken 9, Bykle",59.565201,7.369237
851825,"Plassestøylen hyttegrend 49, Bykle",59.567195,7.371389
851826,"Snarevegen 1, Bykle",59.562695,7.348439
851827,"Skisentervegen 62, Bykle",59.561086,7.349792
851828,"Plassestøylen hyttegrend 55, Bykle",59.567415,7.373219
851829,"Setesdalsvegen 4403, Bykle",59.587128,7.392724
851830,"Hartevasslii 20, Bykle",59.564088,7.374371
851831,"Hartevasslii 22, Bykle",59.564018,7.373773
851832,"Fjellbyggvegen 68, Bykle",59.563497,7.375904
851833,"Fjellbyggvegen 70, Bykle",59.563719,7.375716
851834,"Skulevegen 20, Bykle",59.563785,7.357978
851835,"Hovdekleivi 1, Bykle",59.56438,7.36241
851836,"Hovdekleivi 7, Bykle",59.564457,7.361415
851837,"Byrtemannsbekken hyttegrend 30, Bykle",59.573899,7.387654
851838,"Byrtemannsbekken hyttegrend 18, Bykle",59.573305,7.386815
851839,"Byrtemannsbekken hyttegrend 20, Bykle",59.573515,7.387074
851840,"Byrtemannsbekken hyttegrend 60, Bykle",59.570455,7.388032
851841,"Byrtemannsbekken hyttegrend 58, Bykle",59.570745,7.387504
851842,"Setesdalsvegen 4390, Bykle",59.574529,7.384862
851843,"Byrtemannsbekken hyttegrend 34, Bykle",59.573412,7.388226
851844,"Hartevassvegen 42, Bykle",59.562643,7.367167
851845,"Hartevassvegen 44, Bykle",59.56298,7.36761
851846,"Hartevassvegen 52, Bykle",59.562182,7.368392
851847,"Hartevassvegen 48, Bykle",59.562699,7.36812
851848,"Fjellbyggvegen 5, Bykle",59.563396,7.369997
