,Navn,Long,Lat
21184,"Kylland, 120/1-1, Herefoss",58.480559,8.272428
41770,"15/33, Birkenes",58.307357,8.177621
54859,"88/298, Birkenes",58.332406,8.224456
1188055,"Nordåsvegen 6, Birkenes",58.330155,8.236349
1188056,"Lerkleiv, Birkelandsveien 1354, Birkenes",58.328774,8.222194
1188057,"Håbbeslandsveien 448, Birkenes",58.332607,8.341235
1188058,"Håbbeslandsveien 231, Birkenes",58.343227,8.270658
1188059,"Risvannsveien 47, Birkenes",58.331299,8.249044
1188060,"Risvannsveien 240, Birkenes",58.330387,8.272041
1214632,"Rugslandsveien 351, Birkenes",58.288569,8.176969
1214633,"Rugslandsveien 337, Birkenes",58.289298,8.178623
1214636,"Rugslandsveien 339, Birkenes",58.289107,8.178286
1214642,"Høygiltveien 12, Birkenes",58.294507,8.188328
1214644,"Høygiltveien 2, Birkenes",58.29465,8.189758
1214646,"Høygiltveien 122, Birkenes",58.290448,8.188575
1214648,"Høygiltveien 30, Birkenes",58.293774,8.184678
1214649,"Høygiltveien 51, Birkenes",58.292802,8.18586
1214651,"Høygiltveien 49, Birkenes",58.292528,8.186549
1214653,"Rugslandsveien 353, Birkenes",58.288676,8.175431
1214655,"Høygiltveien 61, Birkenes",58.291103,8.18566
1214657,"Høygiltveien 44, Birkenes",58.292795,8.184666
1214659,"Have, Birkelandsveien 2000, Birkenes",58.286013,8.176426
1214660,"Høygiltveien 66, Birkenes",58.290567,8.184598
1214662,"Høygiltveien 40, Birkenes",58.294003,8.181244
1214664,"Høygiltveien 64, Birkenes",58.290918,8.184777
1214666,"Høygiltveien 62, Birkenes",58.291315,8.184973
1214668,"Høygiltveien 60, Birkenes",58.291772,8.184826
1214670,"Høygiltveien 14, Birkenes",58.294387,8.187819
1214672,"Have, Birkelandsveien 1996, Birkenes",58.284511,8.181565
1214673,"Have, Birkelandsveien 2008, Birkenes",58.283753,8.180677
1214674,"Have, Birkelandsveien 2004, Birkenes",58.284223,8.180407
1214675,"Have, Birkelandsveien 1955, Birkenes",58.287036,8.186231
1214677,"Have, Birkelandsveien 1938, Birkenes",58.288974,8.188128
1214679,"Have, Birkelandsveien 1939, Birkenes",58.28804,8.187654
1214681,"Have, Birkelandsveien 2002, Birkenes",58.28571,8.176646
1214683,"Have, Birkelandsveien 1998, Birkenes",58.284449,8.181029
1214685,"Røynåsveien 338, Birkenes",58.261138,8.217161
1214686,"Ytre Røynås, Røynåsveien 278, Birkenes",58.262795,8.211943
1214688,"Røynåsveien 303, Birkenes",58.264874,8.215493
1214690,"Røynåsveien 305, Birkenes",58.264517,8.215859
1214691,"Høygiltveien 86, Birkenes",58.286026,8.183798
1214693,"Røynåsveien 223, Birkenes",58.270589,8.207218
1214695,"Høygiltveien 70, Birkenes",58.289874,8.184392
1214697,"Have, Birkelandsveien 1967, Birkenes",58.285934,8.185929
1214699,"Åbål, Birkelandsveien 2035, Birkenes",58.281302,8.179712
1214700,"Åbål, Birkelandsveien 2037, Birkenes",58.280672,8.179885
1214704,"Røynåsveien 87, Birkenes",58.27932,8.185752
1214706,"Åbål, Birkelandsveien 2029, Birkenes",58.281842,8.17987
1214708,"Røynåsveien 274, Birkenes",58.258355,8.209963
1214713,"Åbål, Birkelandsveien 2028, Birkenes",58.281921,8.177428
1214719,"Åbål, Birkelandsveien 2022, Birkenes",58.283151,8.179282
1214723,"Åbål, Birkelandsveien 2019, Birkenes",58.28266,8.179954
1215113,"Rugslandsveien 370, Birkenes",58.288784,8.172683
1215114,"Hasllia, Lundeveien 168, Herefoss",58.453548,8.248482
1215115,"Rugslandsveien 332, Birkenes",58.290481,8.175474
1215117,"Lundeveien 12, Herefoss",58.460228,8.271425
1215118,"Rugslandsveien 376, Birkenes",58.288293,8.170315
1215119,"Stovelandsveien 9, Herefoss",58.464922,8.275494
