,Navn,Long,Lat
1213769,"Nordgarden 11, Herefoss",58.526589,8.349089
1213790,"Gamleveien 53, Herefoss",58.527905,8.351881
1214428,"Torsbumonen 18, Herefoss",58.51847,8.354613
1214712,"Gamleveien 43, Herefoss",58.527075,8.351089
1215080,"Nesveien 6, Herefoss",58.529518,8.354444
1215121,"Nordgarden 3, Herefoss",58.525958,8.350492
1215166,"Øynaheiveien 710, Herefoss",58.519136,8.403519
1215167,"Øynaheiveien 934, Herefoss",58.520509,8.372739
1215168,"Øynaheiveien 1031, Herefoss",58.5179,8.356433
1215169,"Stasjonsbyen 11, Herefoss",58.536526,8.356875
1215170,"Nordgarden 13, Herefoss",58.526829,8.348638
1215171,"Torsbumonen 17, Herefoss",58.519532,8.354919
1215173,"Nesveien 62, Herefoss",58.534178,8.349848
1215174,"Herefossveien 2218, Herefoss",58.519688,8.352118
1215175,"Nordgarden 4, Herefoss",58.52657,8.350652
1215176,"Nordgarden 18, Herefoss",58.527459,8.348867
1215177,"Gamleveien 32, Herefoss",58.525253,8.35138
1215178,"Stasjonsbyen 55, Herefoss",58.535149,8.352743
1215179,"Torsbumonen 8, Herefoss",58.520129,8.352282
1215180,"Stasjonsbyen 57, Herefoss",58.535417,8.352532
1215181,"Prestegården, Gamleveien 42, Herefoss",58.526558,8.35182
1215182,"Nesveien 2, Herefoss",58.528904,8.353992
1215183,"Nordgarden 14, Herefoss",58.526726,8.34967
1215184,"Stasjonsbyen 59, Herefoss",58.535731,8.352406
1215185,"Herefossveien 2215, Herefoss",58.519744,8.350624
1215274,"Hanefossen, Nesveien 127, Herefoss",58.529119,8.332658
1215276,"Nesveien 288, Herefoss",58.523875,8.336537
1215279,"Hanefossen, Nesveien 129, Herefoss",58.529415,8.332706
1215283,"Nesveien 170, Herefoss",58.534796,8.332277
1215301,"Nesveien 270, Herefoss",58.52233,8.334694
1215303,"Herefossveien 1975, Vegusdal",58.498444,8.328918
1215304,"Stasjonsbyen 38, Herefoss",58.536125,8.355783
1215305,"Torsbumonen 4, Herefoss",58.520423,8.351796
1215306,"Stasjonsbyen 53, Herefoss",58.535227,8.354131
1215307,"Herefossveien 2214, Herefoss",58.519248,8.352143
1215308,"Herefossveien 2219, Herefoss",58.519978,8.350757
1215309,"Nordgarden 10, Herefoss",58.527559,8.35096
1215310,"Herefossveien 2143, Herefoss",58.513253,8.347671
1215311,"Herefossveien 2324, Herefoss",58.528677,8.355335
1215312,"Gamleveien 30, Herefoss",58.524679,8.351614
1215313,"Gåsehagen 1C, Herefoss",58.520991,8.350343
1215314,"Gamleveien 12, Herefoss",58.524067,8.351248
1215315,"Fredheim, Gamleveien 16, Herefoss",58.524306,8.352428
1215316,"Nordgarden 6, Herefoss",58.526595,8.350274
1215317,"Gamleveien 55, Herefoss",58.528097,8.352598
1215318,"Hamnehagen 9, Herefoss",58.526856,8.354029
1215319,"Hamnehagen 8, Herefoss",58.527448,8.353881
1215320,"Hamnehagen 10, Herefoss",58.527195,8.353474
1215321,"Hamnehagen 6, Herefoss",58.527497,8.354687
1215322,"Hamnehagen 12, Herefoss",58.526585,8.353657
1215323,"Hamnehagen 14, Herefoss",58.526185,8.354505
1215324,"Hamnehagen 11, Herefoss",58.526526,8.354499
1215325,"Stasjonsbyen 19, Herefoss",58.535535,8.356309
1215326,"Stasjonsbyen 39, Herefoss",58.533994,8.355272
1215327,"Herefossveien 2352, Herefoss",58.530159,8.355342
1215328,"Hamnehagen 3, Herefoss",58.525877,8.354047
1215329,"Herefossveien 2354, Herefoss",58.529791,8.355401
1215330,"Herefossveien 2350, Herefoss",58.530464,8.355251
1215331,"Herefossveien 2356, Herefoss",58.529453,8.356025
1215332,"Herefossveien 2358, Herefoss",58.529211,8.356098
1215335,"Herefossveien 2195, Herefoss",58.517666,8.348259
1215336,"Herefoss, Gamleveien 1, Herefoss",58.522407,8.349975
1215337,"Herefossveien 2193, Herefoss",58.517203,8.349177
1215338,"Gamleveien 6, Herefoss",58.522862,8.350892
1215339,"Nordgarden 12, Herefoss",58.527231,8.34997
