,Navn,Long,Lat
23943,"Skarestrand, 221/521, Tromøy",58.482186,8.909779
23950,"224/145, Tromøy",58.498305,8.919534
23952,"221/60-1, Tromøy",58.492185,8.901417
23953,"221/163, Tromøy",58.481945,8.899868
23955,"221/162, Tromøy",58.482043,8.89901
28971,"Skare, 221/560, Tromøy",58.478264,8.904638
46062,"224/125, Tromøy",58.50824,8.937559
51249,"Sandnes, 202/56, Tromøy",58.488725,8.8687
1300289,"Nyhaven 11, Tromøy",58.479904,8.859044
1300290,"Nyhaven 12, Tromøy",58.479311,8.858893
1300291,"Nyhaven 13, Tromøy",58.479769,8.859182
1300292,"Nyhaven 14, Tromøy",58.479293,8.85903
1300293,"Nyhaven 6, Tromøy",58.479221,8.858224
1300294,"Nedre Sandå 20, Tromøy",58.472521,8.891799
1300295,"Alveveien 327, Tromøy",58.469028,8.886773
1300296,"Alveveien 325, Tromøy",58.469126,8.886224
1300297,"Skarestrand 120, Tromøy",58.478187,8.907149
1300298,"Alveveien 357, Tromøy",58.468587,8.8853
1300299,"Alveveien 371, Tromøy",58.468441,8.882935
1300617,"Klevsund 33, Tromøy",58.500628,8.928486
1300681,"Skarestrand 132, Tromøy",58.47886,8.909479
1300683,"Skarestrand 102, Tromøy",58.478141,8.905246
1300696,"Fabakkveien 12, Tromøy",58.480207,8.85714
1300697,"Fabakkveien 14, Tromøy",58.48026,8.856351
1300723,"Klevsund 37, Tromøy",58.499146,8.928935
1300724,"Skarestrand 52, Tromøy",58.478966,8.903031
1300729,"Fabakkveien 16, Tromøy",58.480027,8.856712
1300734,"Sandstøheia 22, Tromøy",58.483206,8.85579
1300735,"Sandstøheia 20, Tromøy",58.482963,8.85586
1300738,"Skarestrand 68, Tromøy",58.476972,8.902763
1300752,"Skarestrand 66, Tromøy",58.477313,8.902179
1300754,"Fabakkveien 10, Tromøy",58.480226,8.857603
1300782,"Klevsund 25, Tromøy",58.501401,8.930251
1300783,"Klevsund 45, Tromøy",58.498543,8.92746
1300784,"Klevsund 38, Tromøy",58.499774,8.92811
1300785,"Klevsund 49, Tromøy",58.49698,8.926451
1300786,"Klevsund 23, Tromøy",58.501768,8.929847
1300787,"Klevsund 53, Tromøy",58.496531,8.925972
1300788,"Klevsund 44, Tromøy",58.498902,8.927254
1300789,"Skarestrand 126, Tromøy",58.479597,8.906854
1300790,"Nedre Sandå 42, Tromøy",58.470912,8.894979
1300791,"Nedre Sandå 62, Tromøy",58.471884,8.896855
1300792,"Nedre Sandå 70, Tromøy",58.472442,8.898472
1300793,"Nedre Sandå 66, Tromøy",58.472235,8.897872
1300794,"Klevsund 36, Tromøy",58.499651,8.929567
1300796,"Klevsund 46, Tromøy",58.498408,8.926809
1300797,"Sandbekkveien 30, Tromøy",58.473348,8.897749
1300798,"Sandbekkveien 32, Tromøy",58.473591,8.897663
1300799,"Skarestrand 114, Tromøy",58.478698,8.905518
1300800,"Skareveien 220, Tromøy",58.492538,8.918227
1300801,"Skarestrand 106, Tromøy",58.478859,8.904609
1300803,"Alveveien 359, Tromøy",58.468927,8.884717
