,Navn,Long,Lat
48708,"Botne, 218/99, Tromøy",58.460526,8.890328
49503,"Skilsø, 206/482, Tromøy",58.459371,8.781286
1299935,"Solliåsen 7, Tromøy",58.455566,8.799611
1299936,"Solliåsen 8, Tromøy",58.455556,8.79884
1299937,"Solliåsen 9, Tromøy",58.455378,8.800092
1299938,"Solliåsen 10, Tromøy",58.454972,8.798912
1300283,"Oterveien 7, Tromøy",58.460621,8.822582
1300284,"Oterveien 8, Tromøy",58.460098,8.82154
1300285,"Oterveien 9, Tromøy",58.460234,8.822344
1300286,"Oterveien 10, Tromøy",58.459892,8.821746
1300287,"Oterveien 3, Tromøy",58.460871,8.821553
1300288,"Oterveien 4, Tromøy",58.460611,8.821983
1300300,"Elgveien 10, Tromøy",58.458475,8.823399
1300301,"Ekornveien 2, Tromøy",58.461442,8.8258
1300302,"Ekornveien 18, Tromøy",58.462098,8.825746
1300303,"Ekornveien 20, Tromøy",58.461874,8.826004
1300304,"Elgveien 2, Tromøy",58.4599,8.820821
1300305,"Fergemannveien 1, Tromøy",58.447844,8.789736
1300306,"Fergemannveien 2, Tromøy",58.448708,8.790741
1300336,"Solliåsen 3, Tromøy",58.455523,8.801051
1300337,"Solliåsen 4, Tromøy",58.455934,8.799215
1300338,"Solliåsen 5, Tromøy",58.455701,8.799833
1300682,"Alveberget 33, Tromøy",58.466134,8.874801
1300698,"Hollender-Jonas vei 3, Tromøy",58.447437,8.793284
1300699,"Hollender-Jonas vei 5, Tromøy",58.447248,8.793046
1300700,"Fergemannveien 3B, Tromøy",58.449103,8.790413
1300701,"Hollender-Jonas vei 19, Tromøy",58.444635,8.793678
1300702,"Hollender-Jonas vei 1, Tromøy",58.44738,8.791332
1300703,"Ekornveien 31, Tromøy",58.46252,8.825744
1300704,"Ekornveien 33, Tromøy",58.462656,8.825412
1300705,"Ekornveien 37, Tromøy",58.462754,8.826411
1300706,"Ekornveien 39, Tromøy",58.462476,8.826361
1300707,"Tante Poses vei 5, Tromøy",58.449056,8.787122
1300708,"Tante Poses vei 6, Tromøy",58.449198,8.788014
1300709,"Tante Poses vei 7, Tromøy",58.449241,8.786984
1300710,"Tante Poses vei 8, Tromøy",58.449404,8.787739
1300711,"Tante Poses vei 1, Tromøy",58.448578,8.787864
1300712,"Tante Poses vei 2, Tromøy",58.44839,8.788739
1300713,"Tante Poses vei 3, Tromøy",58.448891,8.787557
1300714,"Tante Poses vei 4B, Tromøy",58.448731,8.788411
1300717,"Merdø 126, Tromøy",58.425778,8.801869
