,Navn,Long,Lat
1302256,"Espestølveien 65, Froland",58.511801,8.399928
1302312,"Frolandsveien 2501, Froland",58.56759,8.4649
1302313,"Espestølveien 5, Froland",58.515173,8.404608
1302314,"Espestølveien 7, Froland",58.514773,8.403585
1302316,"Espestølveien 170, Froland",58.502506,8.394355
1302321,"Espestølveien 79, Froland",58.510769,8.398074
1302322,"Espestølveien 81, Froland",58.51073,8.397526
1302323,"Espestølveien 75, Froland",58.510485,8.398886
1302324,"Espestølveien 77, Froland",58.510933,8.398587
1302327,"Espestølveien 9, Froland",58.514705,8.404461
1302355,"Øynaheiveien 29, Froland",58.528675,8.486289
1302356,"Frolandsveien 1970, Froland",58.535623,8.503793
1302366,"Bovann 59, Froland",58.510815,8.503267
1302368,"Bovann 47, Froland",58.512475,8.505338
1302370,"Bovann 36, Froland",58.513683,8.501751
1302373,"Bovann 12, Froland",58.515682,8.503027
1302374,"Bovann 7, Froland",58.514052,8.509058
1302375,"Bovann 8, Froland",58.515462,8.504403
1302377,"Bovann 1, Froland",58.516394,8.503686
1302378,"Bovann 5, Froland",58.514479,8.508039
1302379,"Bovann 45, Froland",58.512588,8.504444
1302380,"Bovann 51, Froland",58.511814,8.504009
1302382,"Bovann 33, Froland",58.514461,8.503285
1302384,"Bovann 10, Froland",58.51555,8.503887
1302396,"Bovann 41, Froland",58.513057,8.504969
1302397,"Bovann 43, Froland",58.513023,8.503013
1302403,"Bovann 11, Froland",58.514364,8.505947
1302761,"Espestølveien 67, Froland",58.511616,8.4006
1302783,"Espestølveien 2, Froland",58.517412,8.403111
1302792,"Bovann 52, Froland",58.511702,8.502774
1302793,"Bovann 54, Froland",58.511165,8.501066
1302811,"Espestølveien 12, Froland",58.516006,8.402225
1302838,"Espestølveien 28, Froland",58.515058,8.401005
1302841,"Espestølveien 6, Froland",58.516684,8.403192
1302860,"Kverveveien 305, Froland",58.551337,8.512145
1303015,"Espestølveien 4, Froland",58.517062,8.40334
1303016,"Espestølveien 61, Froland",58.512332,8.400124
1303018,"Bovann 38, Froland",58.513322,8.501327
1303067,"Espestølveien 8, Froland",58.516138,8.403561
1303078,"Bovann 3, Froland",58.515515,8.506325
1656805,"Espestølveien 10, Froland",58.515557,8.402112
1656806,"Espestølveien 30, Froland",58.515443,8.400947
1707707,"Espestølveien 24, Froland",58.517388,8.400977
1707708,"Espestølveien 32, Froland",58.515301,8.400251
1781971,"Espestølveien 20, Froland",58.516903,8.400984
1781972,"Espestølveien 18, Froland",58.516553,8.400957
1876145,"Espestølveien 3, Froland",58.515591,8.407639
1879749,"Espestølveien 63, Froland",58.511626,8.399168
1922177,"Asklandsveien 150, Froland",58.605256,8.465755
1922179,"Asklandsveien 130, Froland",58.604876,8.467051
1922180,"Asklandsveien 110, Froland",58.60151,8.467687
1922187,"Asklandsveien 140, Froland",58.609984,8.481896
1922190,"Asklandsveien 205, Froland",58.614057,8.462711
1922333,"Asklandsveien 85, Froland",58.59955,8.464861
1922334,"Asklandsveien 60, Froland",58.597049,8.466138
1923660,"Asklandsveien 120, Froland",58.603734,8.469567
1923741,"Frolandsveien 2750, Froland",58.591399,8.472572
1924544,"Øynaheiveien 31, Froland",58.533645,8.490409
1924545,"Øynaheiveien 25, Froland",58.535437,8.49057
1924546,"Øynaheiveien 27, Froland",58.534905,8.490896
1924648,"Øynaheiveien 38, Froland",58.537677,8.486879
1924649,"Øynaheiveien 40, Froland",58.537262,8.486439
1924650,"Øynaheiveien 35, Froland",58.535113,8.489397
1924651,"Øynaheiveien 45, Froland",58.535821,8.485549
1924652,"Øynaheiveien 51, Froland",58.536057,8.483897
1924653,"Øynaheiveien 41, Froland",58.535835,8.48646
1924654,"Øynaheiveien 43, Froland",58.536586,8.48595
1924655,"Øynaheiveien 70, Froland",58.53616,8.480426
1924658,"Øynaheiveien 63, Froland",58.535721,8.482906
1924660,"Øynaheiveien 65, Froland",58.535829,8.480929
1924682,"Øynaheiveien 1, Froland",58.538606,8.490198
1924683,"Øynaheiveien 7, Froland",58.538521,8.48922
1924684,"Øynaheiveien 3, Froland",58.538144,8.49117
1924754,"Øynaheiveien 11, Froland",58.53775,8.489609
1924755,"Øynaheiveien 9, Froland",58.538098,8.489697
1924756,"Øynaheiveien 19, Froland",58.536528,8.49012
1924757,"Øynaheiveien 21, Froland",58.536954,8.490078
1924758,"Øynaheiveien 13, Froland",58.538178,8.488761
1924759,"Øynaheiveien 15, Froland",58.537882,8.488869
1924808,"Frolandsveien 2064, Froland",58.53916,8.491822
1924809,"Frolandsveien 2062, Froland",58.539429,8.491092
1924831,"Frolandsveien 2109, Froland",58.538114,8.481737
1924837,"Frolandsveien 2068, Froland",58.542068,8.509834
1924844,"Frolandsveien 2104, Froland",58.539383,8.484719
1924848,"Frolandsveien 2100, Froland",58.538731,8.483394
1924881,"Frolandsveien 2072, Froland",58.539722,8.488619
1924882,"Frolandsveien 2070, Froland",58.539436,8.488966
1924945,"Frolandsveien 2110, Froland",58.540951,8.483808
1925201,"Frolandsveien 1930, Froland",58.534098,8.508795
1925202,"Frolandsveien 1940, Froland",58.534826,8.506603
1925230,"Frolandsveien 2105, Froland",58.537708,8.481262
1925232,"Frolandsveien 2060, Froland",58.539424,8.490409
1925234,"Frolandsveien 2015, Froland",58.53645,8.496859
1926212,"Øynaheiveien 480, Froland",58.518868,8.435137
1926215,"Øynaheiveien 485, Froland",58.518647,8.432734
1926218,"Øynaheiveien 483, Froland",58.517908,8.433862
1926227,"Øynaheiveien 457, Froland",58.517497,8.435842
1926264,"Øynaheiveien 277, Froland",58.522609,8.457977
1926266,"Øynaheiveien 279, Froland",58.523438,8.459153
1926269,"Øynaheiveien 281, Froland",58.52263,8.458836
1926271,"Øynaheiveien 283, Froland",58.524906,8.455692
1926272,"Øynaheiveien 271, Froland",58.523236,8.457389
1926274,"Øynaheiveien 273, Froland",58.522735,8.457258
1926276,"Øynaheiveien 275, Froland",58.523153,8.458321
1926373,"Øynaheiveien 420, Froland",58.521196,8.439615
1926374,"Øynaheiveien 401, Froland",58.51931,8.441894
1926375,"Øynaheiveien 441, Froland",58.519022,8.437607
1926376,"Øynaheiveien 400, Froland",58.521009,8.4435
1926377,"Øynaheiveien 398, Froland",58.52079,8.44345
1926378,"Øynaheiveien 404, Froland",58.521419,8.441311
1926379,"Øynaheiveien 402, Froland",58.520956,8.442263
1926448,"Øynaheiveien 345, Froland",58.523012,8.452532
1926467,"Øynaheiveien 380, Froland",58.5214,8.445023
1926468,"Øynaheiveien 307, Froland",58.525771,8.45187
1926487,"Øynaheiveien 286, Froland",58.528597,8.456514
1926490,"Øynaheiveien 251, Froland",58.524919,8.454736
1926491,"Øynaheiveien 253, Froland",58.524784,8.455101
1926503,"Øynaheiveien 265, Froland",58.52438,8.457541
1926504,"Øynaheiveien 267, Froland",58.524021,8.457667
1926505,"Øynaheiveien 269, Froland",58.523729,8.458174
1926507,"Øynaheiveien 257, Froland",58.524383,8.456116
1926508,"Øynaheiveien 259, Froland",58.524022,8.455591
1926509,"Øynaheiveien 261, Froland",58.523673,8.455955
1926510,"Øynaheiveien 263, Froland",58.524028,8.456817
1926511,"Øynaheiveien 305, Froland",58.526215,8.451726
1926512,"Øynaheiveien 300, Froland",58.528122,8.452469
1926513,"Øynaheiveien 298, Froland",58.530622,8.453306
1926515,"Øynaheiveien 255, Froland",58.524489,8.455462
1926516,"Øynaheiveien 301, Froland",58.527669,8.453696
1926517,"Øynaheiveien 290, Froland",58.528264,8.454253
1926518,"Øynaheiveien 288, Froland",58.528135,8.455526
1926519,"Øynaheiveien 296, Froland",58.529734,8.453492
1926520,"Øynaheiveien 294, Froland",58.528375,8.45286
1927035,"Frolandsveien 2665, Froland",58.58392,8.473166
1927036,"Frolandsveien 2625, Froland",58.579259,8.475454
1927037,"Frolandsveien 2565, Froland",58.575339,8.474481
1927038,"Øynaheiveien 490, Froland",58.521202,8.428868
1927039,"Frolandsveien 2710, Froland",58.587978,8.474945
1927040,"Øynaheiveien 622, Froland",58.522545,8.419815
1927041,"Øynaheiveien 620, Froland",58.521158,8.417005
1927043,"Øynaheiveien 590, Froland",58.517293,8.416297
1927045,"Øynaheiveien 566, Froland",58.520089,8.421057
1927046,"Øynaheiveien 560, Froland",58.519371,8.421172
1927048,"Øynaheiveien 559, Froland",58.518239,8.422942
1927056,"Øynaheiveien 504, Froland",58.523135,8.424626
1927057,"Øynaheiveien 502, Froland",58.522839,8.425253
1927058,"Øynaheiveien 498, Froland",58.52211,8.429007
1927059,"Øynaheiveien 496, Froland",58.522005,8.429627
1927060,"Øynaheiveien 494, Froland",58.521689,8.429237
1927094,"Øynaheiveien 555, Froland",58.514992,8.421879
1927095,"Øynaheiveien 553, Froland",58.516062,8.424248
1927096,"Øynaheiveien 549, Froland",58.516693,8.424787
1927097,"Øynaheiveien 536, Froland",58.519429,8.424055
1927098,"Øynaheiveien 538, Froland",58.519682,8.424394
1927099,"Øynaheiveien 535, Froland",58.518204,8.42514
1927100,"Øynaheiveien 531, Froland",58.518007,8.427306
1927101,"Øynaheiveien 530, Froland",58.519419,8.427832
1927102,"Øynaheiveien 522, Froland",58.521234,8.425931
1927179,"Øynaheiveien 569, Froland",58.517246,8.421859
1927181,"Øynaheiveien 571, Froland",58.518432,8.419986
1927182,"Øynaheiveien 573, Froland",58.518117,8.419785
1927183,"Øynaheiveien 577, Froland",58.517829,8.41979
1927184,"Øynaheiveien 579, Froland",58.517456,8.418565
1927185,"Øynaheiveien 563, Froland",58.518528,8.421443
1927186,"Øynaheiveien 565, Froland",58.517872,8.421214
1927187,"Øynaheiveien 567, Froland",58.517313,8.420845
1927188,"Øynaheiveien 250, Froland",58.527179,8.456742
1927189,"Øynaheiveien 235, Froland",58.527862,8.459033
1927191,"Øynaheiveien 210, Froland",58.529481,8.46167
1927198,"Øynaheiveien 201, Froland",58.530079,8.462914
1927199,"Øynaheiveien 193, Froland",58.531048,8.464754
1927200,"Øynaheiveien 195, Froland",58.530213,8.464049
1927201,"Øynaheiveien 191, Froland",58.530733,8.464031
1927202,"Øynaheiveien 171, Froland",58.530122,8.473269
1927203,"Øynaheiveien 170, Froland",58.533133,8.463074
1927204,"Øynaheiveien 150, Froland",58.533485,8.467791
1927205,"Øygarden, Øynaheiveien 144, Froland",58.537198,8.464265
1927206,"Frolandsveien 2340, Froland",58.556972,8.486736
1927207,"Frolandsveien 2325, Froland",58.553253,8.48074
