,Navn,Long,Lat
510108,"Skjeggedal 2416, Åmli",58.798906,7.999733
510110,"Skjeggedal 2137, Åmli",58.792116,8.026765
510112,"Skjeggedal 1205, Åmli",58.759699,8.092357
510114,"Skjeggedal 46, Åmli",58.704022,8.166205
510117,"Skjeggedal 2139, Åmli",58.790671,8.027016
510118,"Skjeggedal 42, Åmli",58.702514,8.166157
510119,"Skjeggedal 26, Åmli",58.70239,8.162617
510121,"Skjeggedal 24, Åmli",58.702899,8.161833
510123,"Skjeggedal 86, Åmli",58.706894,8.162105
510125,"Skjeggedal 98, Åmli",58.706819,8.163719
510127,"Skjeggedal 28, Åmli",58.702612,8.16329
510129,"Skjeggedal 72, Åmli",58.706636,8.15971
510131,"Skjeggedal 94, Åmli",58.705732,8.163633
510133,"Skjeggedal 90, Åmli",58.706,8.161702
510135,"Skjeggedal 100, Åmli",58.707402,8.163092
510137,"Skjeggedal 96, Åmli",58.706231,8.164161
510138,"Skjeggedal 112, Åmli",58.708017,8.168428
510140,"Skjeggedal 84, Åmli",58.707744,8.160978
510142,"Skjeggedal 70, Åmli",58.706317,8.159749
510144,"Skjeggedal 110, Åmli",58.708248,8.167133
510146,"Skjeggedal 114, Åmli",58.709578,8.165948
510148,"Skjeggedal 104, Åmli",58.708515,8.164898
510150,"Skjeggedal 116, Åmli",58.709832,8.165174
510152,"Skjeggedal 106, Åmli",58.708239,8.165801
510154,"Skjeggedal 258, Åmli",58.721195,8.166073
510156,"Skjeggedal 1189, Åmli",58.757558,8.094989
510158,"Skjeggedal 108, Åmli",58.708951,8.16438
510163,"Skjeggedal 92, Åmli",58.704997,8.16296
510197,"Skjeggedal 68, Åmli",58.705483,8.159486
510202,"Skjeggedal 34, Åmli",58.703637,8.164767
510413,"Skjeggedal 66, Åmli",58.704765,8.160937
510560,"Skjeggedal 48, Åmli",58.704563,8.164988
510594,"Skjeggedal 80, Åmli",58.707409,8.159923
510620,"Skjeggedal 1384, Åmli",58.772994,8.097199
510755,"Skjeggedal 30, Åmli",58.702979,8.164786
510759,"Skjeggedal 44, Åmli",58.70317,8.166907
510764,"Skjeggedal 32, Åmli",58.703383,8.163401
510812,"Skjeggedal 54, Åmli",58.704367,8.162901
510822,"Skjeggedal 56, Åmli",58.704564,8.163692
510845,"Vatnedalsvegen 1772, Åmli",58.718722,7.989879
1301830,"Førevatn 219, Froland",58.634569,8.115104
1301874,"Førevatn 239, Froland",58.632442,8.112661
1302076,"Nystølveien 25, Froland",58.662108,8.160864
1302078,"Nystølveien 29, Froland",58.660201,8.161857
1302083,"Risdalsveien 538, Froland",58.669403,8.158447
1302085,"Førevatn 133, Froland",58.634059,8.14197
1302087,"Risdalsveien 464, Froland",58.665531,8.162436
1302089,"Risdalsveien 540, Froland",58.670346,8.157079
1302104,"Risdalsveien 1026, Froland",58.658615,8.112846
1302106,"Nystølveien 370, Froland",58.639512,8.163852
1302108,"Risdalsveien 1034, Froland",58.659425,8.111858
1302110,"Risdalsveien 1030, Froland",58.65916,8.113654
1302112,"Nystølveien 239, Froland",58.64867,8.160618
1302114,"Vatneveien 655, Froland",58.663765,8.01331
1302116,"Nystølveien 297, Froland",58.64717,8.166167
1302118,"Nystølveien 291, Froland",58.645809,8.166751
1302120,"Risdalsveien 542, Froland",58.67089,8.156846
1302122,"Risdalsveien 544, Froland",58.671261,8.157095
1302124,"Risdalsveien 512, Froland",58.668119,8.165443
1302128,"Risdalsveien 945, Froland",58.65906,8.126619
1302130,"Risdalsveien 995, Froland",58.656837,8.118126
1302132,"Risdalsveien 546, Froland",58.671472,8.15727
1302134,"Risdalsveien 465, Froland",58.665576,8.161142
1302137,"Førevatn 211, Froland",58.633901,8.114604
1302140,"Førevatn 203, Froland",58.632901,8.115543
1302142,"Førevatn 91, Froland",58.634937,8.117679
1302144,"Førevatn 225, Froland",58.6329,8.114044
1302147,"Førevatn 181, Froland",58.630605,8.118511
1302149,"Førevatn 183, Froland",58.630749,8.117233
1302151,"Førevatn 249, Froland",58.632569,8.10904
1302153,"Risdalsveien 755, Froland",58.668059,8.126618
1302155,"Risdalsveien 715, Froland",58.669555,8.130012
1302157,"Vatneveien 657, Froland",58.668712,7.987566
1302159,"Risdalsveien 780, Froland",58.668205,8.124201
1302161,"Nystølveien 70, Froland",58.659866,8.155971
1302163,"Førevatn 195, Froland",58.631963,8.116238
1302165,"Risdalsveien 724, Froland",58.672391,8.129665
1302167,"Risdalsveien 685, Froland",58.669894,8.136262
1302169,"Førevatn 289, Froland",58.6307,8.102406
1302171,"Førevatn 291, Froland",58.630686,8.101683
1302172,"Førevatn 269, Froland",58.633193,8.102099
1302175,"Førevatn 287, Froland",58.630758,8.103059
1302177,"Risdalsveien 730, Froland",58.671168,8.129472
1302178,"Nystølveien 253, Froland",58.648734,8.163597
1302179,"Risdalsveien 640, Froland",58.671531,8.144791
1302180,"Nystølveien 237, Froland",58.64907,8.160074
1302181,"Førevatn 175, Froland",58.631905,8.119615
1302182,"Risdalsveien 554, Froland",58.67453,8.159548
1302183,"Førevatn 255, Froland",58.633131,8.107149
1302185,"Førevatn 185, Froland",58.631028,8.117398
1302187,"Førevatn 52, Froland",58.634137,8.110484
1302189,"Førevatn 257, Froland",58.632973,8.106395
1302191,"Førevatn 261, Froland",58.632857,8.105238
1302193,"Førevatn 263, Froland",58.632984,8.104173
1302196,"Førevatn 44, Froland",58.633189,8.110299
1302198,"Førevatn 259, Froland",58.632638,8.106007
1302200,"Svolbergheia 39, Froland",58.689621,8.143537
1302201,"Svolbergheia 71, Froland",58.689779,8.152453
1302202,"Risdalsveien 629, Froland",58.670752,8.147742
1302203,"Risdalsveien 562, Froland",58.673633,8.155095
1302204,"Risdalsveien 582, Froland",58.675495,8.149316
1302205,"Nystølveien 60, Froland",58.660274,8.157343
1302206,"Svolbergheia 72, Froland",58.689367,8.15267
1302207,"Risdalsveien 552, Froland",58.673035,8.157344
1302208,"Risdalsveien 710, Froland",58.670088,8.131826
1302209,"Risdalsveien 580, Froland",58.673843,8.150787
1302211,"Risdalsveien 566, Froland",58.672705,8.155264
1302212,"Risdalsveien 778, Froland",58.667858,8.122037
1302213,"Risdalsveien 570, Froland",58.673306,8.153715
1302214,"Risdalsveien 585, Froland",58.673059,8.14891
1302215,"Førevatn 321, Froland",58.629488,8.096337
1302216,"Risdalsveien 642, Froland",58.671519,8.14424
1302217,"Førevatn 253, Froland",58.632631,8.107173
1302218,"Risdalsveien 586, Froland",58.673938,8.150113
1302219,"Risdalsveien 625, Froland",58.672256,8.147032
1302221,"Førevatn 46, Froland",58.63339,8.108176
1302222,"Vatneveien 460, Froland",58.660499,8.06065
1302223,"Nystølveien 255, Froland",58.648954,8.164264
1302224,"Risdalsveien 627, Froland",58.671429,8.14826
1302227,"Førevatn 283, Froland",58.631555,8.102613
1302228,"Førevatn 323, Froland",58.62893,8.095976
1302243,"Svolbergheia 10, Froland",58.688411,8.147932
1302244,"Førevatn 311, Froland",58.63061,8.096791
1302245,"Svolbergheia 8, Froland",58.687846,8.150895
1302247,"Svolbergheia 6, Froland",58.68876,8.150494
1302249,"Svolbergheia 5, Froland",58.688252,8.149678
1302251,"Svolbergheia 1, Froland",58.68743,8.150474
1302253,"Svolbergheia 35, Froland",58.687685,8.143847
1302255,"Svolbergheia 12, Froland",58.689097,8.151296
1302257,"Svolbergheia 16, Froland",58.689433,8.150425
1302259,"Vatneveien 215, Froland",58.655554,8.096235
1302261,"Førevatn 235, Froland",58.631319,8.111346
1302262,"Risdalsveien 558, Froland",58.67358,8.157226
1302263,"Risdalsveien 574, Froland",58.67349,8.151624
1302264,"Svolbergheia 34, Froland",58.68811,8.14461
1302265,"Førevatn 48, Froland",58.633161,8.108922
1302266,"Svolbergheia 13, Froland",58.688347,8.151866
1302267,"Førevatn 237, Froland",58.631343,8.113532
1302269,"Svolbergheia 37, Froland",58.688879,8.143651
1302271,"Svolbergheia 21, Froland",58.686447,8.145651
1302273,"Svolbergheia 20, Froland",58.686856,8.146383
1302275,"Svolbergheia 36, Froland",58.688479,8.14341
1302279,"Risdalsveien 556, Froland",58.673703,8.158085
1302282,"Svolbergheia 14, Froland",58.687952,8.151928
1302283,"Svolbergheia 11, Froland",58.689013,8.149383
1302285,"Svolbergheia 25, Froland",58.68901,8.142995
1302287,"Svolbergheia 7, Froland",58.688376,8.150813
1302289,"Svolbergheia 33, Froland",58.688365,8.145104
1302291,"Svolbergheia 18, Froland",58.686859,8.148211
1302293,"Svolbergheia 4, Froland",58.687923,8.150221
1302295,"Svolbergheia 15, Froland",58.688405,8.152452
1302315,"Førevatn 327, Froland",58.629049,8.093994
1302320,"Førevatn 293, Froland",58.630529,8.101032
1302325,"Nystølveien 235, Froland",58.649338,8.159861
1302326,"Førevatn 267, Froland",58.63296,8.103209
1302328,"Førevatn 299, Froland",58.630484,8.099465
1302329,"Svolbergheia 3, Froland",58.687723,8.149932
1302331,"Førevatn 313, Froland",58.62999,8.097257
1302334,"Førevatn 285, Froland",58.631025,8.102725
1302335,"Risdalsveien 572, Froland",58.673395,8.152265
1302337,"Risdalsveien 1011, Froland",58.655181,8.114945
1302338,"Risdalsveien 670, Froland",58.670665,8.138812
1302340,"Risdalsveien 1000, Froland",58.6573,8.117442
1302349,"Førevatn 227, Froland",58.631422,8.114814
1302351,"Førevatn 303, Froland",58.629846,8.098518
1302363,"Nystølveien 293, Froland",58.646278,8.167188
1302367,"Førevatn 38, Froland",58.633055,8.111681
1302389,"Førevatn 329, Froland",58.629799,8.09389
1302390,"Førevatn 50, Froland",58.633776,8.109458
1302391,"Førevatn 40, Froland",58.633493,8.111377
1302393,"Førevatn 42, Froland",58.633194,8.111126
1302394,"Førevatn 305, Froland",58.630564,8.098448
1302402,"Førevatn 265, Froland",58.633572,8.103486
1302435,"Førevatn 247, Froland",58.631681,8.110493
1302443,"Førevatn 154, Froland",58.635637,8.098111
1302444,"Førevatn 68, Froland",58.634218,8.107224
1302445,"Førevatn 245, Froland",58.632057,8.111568
1302446,"Førevatn 78, Froland",58.634105,8.102508
1302449,"Førevatn 74, Froland",58.635019,8.10617
1302463,"Førevatn 148, Froland",58.636623,8.098705
1302493,"Førevatn 103, Froland",58.632902,8.118178
1302549,"Førevatn 150, Froland",58.636248,8.099507
1302551,"Førevatn 359, Froland",58.62955,8.08709
1302553,"Førevatn 88, Froland",58.634998,8.100487
1302554,"Førevatn 90, Froland",58.634964,8.101463
1302571,"Førevatn 156, Froland",58.635269,8.096983
1302622,"Risdalsveien 494, Froland",58.666497,8.170137
1302624,"Nystølveien 10, Froland",58.663523,8.158864
1302625,"Risdalsveien 541, Froland",58.669303,8.154174
1302626,"Risdalsveien 504, Froland",58.668312,8.166128
1302627,"Risdalsveien 502, Froland",58.667853,8.16595
1302628,"Risdalsveien 496, Froland",58.667065,8.170537
1302629,"Risdalsveien 486, Froland",58.667053,8.167296
1302633,"Risdalsveien 476, Froland",58.668178,8.159339
1302634,"Risdalsveien 435, Froland",58.662984,8.164325
1302635,"Risdalsveien 474, Froland",58.667619,8.160352
1302637,"Risdalsveien 526, Froland",58.668584,8.163708
1302638,"Risdalsveien 524, Froland",58.668304,8.163404
1302639,"Risdalsveien 522, Froland",58.668175,8.16439
1302640,"Risdalsveien 528, Froland",58.668877,8.163167
1302641,"Risdalsveien 530, Froland",58.669756,8.163008
1302642,"Risdalsveien 960, Froland",58.658429,8.122291
1302645,"Risdalsveien 514, Froland",58.667866,8.165208
1302646,"Risdalsveien 506, Froland",58.668707,8.16605
1302648,"Risdalsveien 500, Froland",58.667973,8.166395
1302649,"Risdalsveien 516, Froland",58.66903,8.16456
1302650,"Risdalsveien 520, Froland",58.669278,8.164105
1302651,"Risdalsveien 510, Froland",58.669188,8.165487
1302652,"Risdalsveien 508, Froland",58.668964,8.165527
1302653,"Vatneveien 280, Froland",58.657181,8.083714
1302654,"Vatneveien 278, Froland",58.657248,8.08435
1302655,"Vatneveien 395, Froland",58.650288,8.054927
1302656,"Vatneveien 470, Froland",58.66105,8.061066
1302657,"Risdalsveien 775, Froland",58.667102,8.12459
1302658,"Vervassheia 1, Froland",58.699922,8.16256
1302659,"Vatneveien 270, Froland",58.657676,8.08901
1302660,"Nystølveien 120, Froland",58.655842,8.150449
1302661,"Nystølveien 287, Froland",58.646723,8.16511
1302662,"Nystølveien 241, Froland",58.64854,8.159966
1302663,"Risdalsveien 997, Froland",58.656697,8.117302
1302664,"Nystølveien 295, Froland",58.646671,8.166851
1302665,"Nystølveien 245, Froland",58.649422,8.161651
1302666,"Nystølveien 305, Froland",58.644293,8.167115
1302667,"Nystølveien 299, Froland",58.647619,8.166088
1302668,"Nystølveien 281, Froland",58.646162,8.164537
1302669,"Vervassheia 8, Froland",58.701941,8.166481
1302670,"Vervassheia 10, Froland",58.701587,8.167163
1302671,"Vervassheia 7, Froland",58.701634,8.164797
1302672,"Vervassheia 15, Froland",58.699978,8.165596
1302673,"Vervassheia 13, Froland",58.700808,8.166163
1302674,"Vervassheia 14, Froland",58.700429,8.165931
1302675,"Vervassheia 11, Froland",58.701358,8.167927
1302676,"Vervassheia 12, Froland",58.701137,8.168554
1302677,"Vervassheia 4, Froland",58.700773,8.163541
1302678,"Vervassheia 5, Froland",58.700806,8.164472
1302679,"Vervassheia 2, Froland",58.700133,8.163263
1302680,"Vervassheia 3, Froland",58.70047,8.163876
1302682,"Vervassheia 6, Froland",58.701214,8.165083
1302685,"Risdalsveien 395, Froland",58.659253,8.166672
1302686,"Vervassheia 18, Froland",58.699921,8.166495
1302687,"Vervassheia 19, Froland",58.699526,8.166539
1302688,"Vervassheia 16, Froland",58.700387,8.165034
1302689,"Vervassheia 20, Froland",58.699513,8.167367
1302690,"Nystølveien 85, Froland",58.658866,8.154133
1302691,"Førevatn 101, Froland",58.633191,8.118515
1302692,"Risdalsveien 728, Froland",58.671477,8.128636
1302693,"Risdalsveien 770, Froland",58.668521,8.124572
1302694,"Førevatn 201, Froland",58.632554,8.115896
1302695,"Førevatn 111, Froland",58.633243,8.120787
1302696,"Førevatn 177, Froland",58.631393,8.120817
1302697,"Førevatn 165, Froland",58.630516,8.121202
1302698,"Vervassheia 23, Froland",58.700133,8.168802
1302699,"Vervassheia 24, Froland",58.700057,8.169546
1302700,"Vervassheia 22, Froland",58.69995,8.168185
1302701,"Risdalsveien 1050, Froland",58.657419,8.1087
1302702,"Førevatn 297, Froland",58.630809,8.100045
1302703,"Risdalsveien 565, Froland",58.672366,8.152789
1302704,"Førevatn 105, Froland",58.632599,8.118633
1302706,"Førevatn 229, Froland",58.629732,8.114331
1302708,"Risdalsveien 722, Froland",58.670458,8.130748
1302710,"Risdalsveien 720, Froland",58.670392,8.130267
1302711,"Førevatn 315, Froland",58.629659,8.097369
1302712,"Risdalsveien 744, Froland",58.669897,8.127417
1302713,"Nordbakk, Risdalsveien 666, Froland",58.670679,8.140915
1302714,"Førevatn 93, Froland",58.634494,8.118499
1302715,"Førevatn 99, Froland",58.634301,8.117891
1302716,"Førevatn 199, Froland",58.632368,8.116279
1302717,"Førevatn 191, Froland",58.631488,8.116302
1302718,"Førevatn 95, Froland",58.634164,8.118956
1302719,"Førevatn 205, Froland",58.633016,8.11647
1302720,"Førevatn 179, Froland",58.63099,8.119673
1302721,"Førevatn 173, Froland",58.632155,8.119351
1302722,"Førevatn 223, Froland",58.633202,8.114777
1302732,"Førevatn 86, Froland",58.634568,8.101928
1302733,"Førevatn 84, Froland",58.634525,8.100981
1302741,"Risdalsveien 645, Froland",58.670438,8.143801
1302755,"Førevatn 104, Froland",58.634855,8.104573
1302757,"Førevatn 312, Froland",58.629921,8.087494
1302762,"Svolbergheia 49, Froland",58.690529,8.142376
1302780,"Førevatn 314, Froland",58.629824,8.086463
1302791,"Risdalsveien 621, Froland",58.671267,8.149591
1302805,"Førevatn 343, Froland",58.629797,8.091544
1302810,"Førevatn 158, Froland",58.634621,8.095653
1302816,"Nystølveien 249, Froland",58.6482,8.163041
1302817,"Risdalsveien 484, Froland",58.667174,8.166466
1302818,"Risdalsveien 488, Froland",58.666658,8.167323
1302820,"Risdalsveien 480, Froland",58.667368,8.165961
1302822,"Risdalsveien 482, Froland",58.667398,8.166461
1302823,"Førevatn 110, Froland",58.635786,8.102723
1302826,"Førevatn 82, Froland",58.634733,8.099856
1302831,"Vatneveien 295, Froland",58.643669,8.054727
1302832,"Risdalsveien 444, Froland",58.666029,8.165821
1302833,"Risdalsveien 536, Froland",58.668806,8.159134
1302836,"Risdalsveien 434, Froland",58.664766,8.165006
1302845,"Nystølveien 257, Froland",58.64788,8.162153
1302846,"Risdalsveien 750, Froland",58.668694,8.124861
1302847,"Nystølveien 220, Froland",58.645584,8.140757
1302848,"Vatneveien 320, Froland",58.661829,8.074336
1302852,"Vatneveien 955, Froland",58.685413,8.040971
1302853,"Førevatn 319, Froland",58.630231,8.095677
1302854,"Risdalsveien 587, Froland",58.66871,8.1494
1302889,"Nystølveien 12, Froland",58.664686,8.154901
1302895,"Nystølveien 251, Froland",58.648331,8.163779
1302897,"Førevatn 80, Froland",58.63441,8.099968
1302970,"Førevatn 92, Froland",58.635425,8.101268
1302971,"Førevatn 102, Froland",58.634426,8.103516
1302972,"Førevatn 345, Froland",58.630034,8.09078
1302978,"Svolbergheia 54, Froland",58.690788,8.145765
1302979,"Nystølveien 301, Froland",58.648865,8.165834
1302980,"Svolbergheia 52, Froland",58.691203,8.143804
1302986,"Nystølveien 259, Froland",58.647699,8.163329
1302990,"Nystølveien 283, Froland",58.646078,8.165349
1302993,"Risdalsveien 609, Froland",58.669919,8.148072
1302994,"Risdalsveien 611, Froland",58.670065,8.1485
1302995,"Førevatn 279, Froland",58.632711,8.099719
1303005,"Førevatn 168, Froland",58.634341,8.098015
1303008,"Førevatn 335, Froland",58.630364,8.09165
1303011,"Vatneveien 480, Froland",58.662017,8.062454
1303014,"Førevatn 331, Froland",58.630336,8.094114
1303019,"Svolbergheia 19, Froland",58.686468,8.147479
1303023,"Førevatn 349, Froland",58.628683,8.091401
1303024,"Førevatn 351, Froland",58.629042,8.0901
1303034,"Svolbergheia 40, Froland",58.689959,8.145793
1303035,"Svolbergheia 53, Froland",58.690667,8.144696
1303042,"Førevatn 94, Froland",58.635457,8.101956
1303044,"Førevatn 96, Froland",58.63513,8.102705
1303048,"Vatneveien 910, Froland",58.670253,8.054405
1303053,"Førevatn 132, Froland",58.636267,8.100936
1303057,"Førevatn 347, Froland",58.630308,8.090171
1303058,"Førevatn 166, Froland",58.635357,8.099272
1303059,"Førevatn 238, Froland",58.631535,8.095994
1303060,"Førevatn 164, Froland",58.635145,8.098502
1303061,"Svolbergheia 42, Froland",58.689582,8.144504
1303062,"Svolbergheia 51, Froland",58.691302,8.142427
1303068,"Førevatn 128, Froland",58.635741,8.100227
1303070,"Risdalsveien 607, Froland",58.670005,8.147587
1303072,"Førevatn 160, Froland",58.634717,8.096308
1303081,"Svolbergheia 41, Froland",58.690143,8.145043
1303082,"Svolbergheia 43, Froland",58.690207,8.143903
1303083,"Svolbergheia 30, Froland",58.6892,8.146411
1303084,"Førevatn 108, Froland",58.635765,8.103688
1303085,"Førevatn 54, Froland",58.633865,8.108811
1303088,"Nystølveien 271, Froland",58.646569,8.163477
1303107,"Vervassheia 26, Froland",58.697932,8.163178
1303118,"Risdalsveien 776, Froland",58.668007,8.121637
1303120,"Risdalsveien 740, Froland",58.670001,8.126811
1303123,"Nystølveien 175, Froland",58.652987,8.156016
1303127,"Risdalsveien 742, Froland",58.669389,8.125326
1303133,"Førevatn 70, Froland",58.634183,8.105968
1303135,"Svolbergheia 32, Froland",58.689097,8.144413
1303136,"Risdalsveien 593, Froland",58.669026,8.143473
1303137,"Førevatn 353, Froland",58.628911,8.089397
1303197,"Førevatn 337, Froland",58.629607,8.092634
1303202,"Førevatn 310, Froland",58.630002,8.088697
1303203,"Førevatn 357, Froland",58.629746,8.088153
1303204,"Førevatn 162, Froland",58.634803,8.097099
1303206,"Risdalsveien 595, Froland",58.669105,8.143966
