,Navn,Long,Lat
38600,"507/466, Trefoldighet",58.464498,8.765348
38605,"503/124, Trefoldighet",58.465914,8.753786
1661094,"Håveheia 26B, Trefoldighet",58.466899,8.762512
1867388,"Hylleveien 7B, Trefoldighet",58.462649,8.766637
1962659,"Heimdalsbakken 13A, Trefoldighet",58.464993,8.753576
1967904,"Hauglandsheia 5, Trefoldighet",58.463113,8.753685
2000117,"Blødekjær 14G, Trefoldighet",58.464802,8.762295
2086004,"Fløyveien 14, Trefoldighet",58.463084,8.764878
2086005,"Fløyveien 16, Trefoldighet",58.463205,8.765401
2086006,"Fløyveien 18, Trefoldighet",58.463084,8.765142
2146154,"1880-Trappen 1, Trefoldighet",58.461072,8.762954
2146160,"Lillebakken 5, Trefoldighet",58.463289,8.76198
2146161,"Lillebakken 6, Trefoldighet",58.463297,8.761431
2146162,"Lillebakken 7, Trefoldighet",58.463162,8.761672
2146163,"Lillebakken 9, Trefoldighet",58.462839,8.761571
2146164,"1880-Trappen 2, Trefoldighet",58.461251,8.762679
2146165,"Lillebakken 1, Trefoldighet",58.463675,8.761943
2146166,"Lillebakken 2, Trefoldighet",58.463791,8.761479
2146167,"Lillebakken 3, Trefoldighet",58.463495,8.761961
2146239,"Brentedalen 6, Trefoldighet",58.462459,8.755232
2146240,"Brentedalen 8A, Trefoldighet",58.462526,8.755628
2146241,"Brentedalen 10, Trefoldighet",58.462711,8.755556
2146242,"Brentedalen 12, Trefoldighet",58.462792,8.755984
2146243,"Brentedalen 2B, Trefoldighet",58.46211,8.75585
2146244,"Brentedalen 2C, Trefoldighet",58.46206,8.755873
2146245,"Brentedalen 3A, Trefoldighet",58.462216,8.755183
2146246,"Brentedalen 3B, Trefoldighet",58.462198,8.755071
2146297,"Brentedalen 1, Trefoldighet",58.4621,8.755406
2146298,"Brentedalen 2A, Trefoldighet",58.462161,8.755827
2146303,"Blødekjærheia 13, Trefoldighet",58.465868,8.763008
2146304,"Blødekjærheia 17, Trefoldighet",58.465709,8.764192
2146305,"Blødekjærheia 19, Trefoldighet",58.465925,8.76455
2146306,"Blødekjærheia 21, Trefoldighet",58.465612,8.765101
2146307,"Blødekjærheia 7, Trefoldighet",58.465401,8.763114
2146308,"Blødekjærheia 8, Trefoldighet",58.464982,8.764471
2146309,"Blødekjærheia 9, Trefoldighet",58.465537,8.763764
2146310,"Blødekjærheia 11, Trefoldighet",58.465662,8.763163
2146315,"Blødekjærheia 23, Trefoldighet",58.46553,8.764381
2146316,"Blødekjærheia 25, Trefoldighet",58.465414,8.764811
2146317,"Blødekjærheia 27, Trefoldighet",58.465199,8.765172
2146343,"Blødekjær 6, Trefoldighet",58.464362,8.762392
2146344,"Blødekjær 7, Trefoldighet",58.465003,8.761334
2146345,"Blødekjær 7B, Trefoldighet",58.465164,8.761007
2146346,"Blødekjær 9, Trefoldighet",58.465254,8.760904
2146349,"Blødekjær 2, Trefoldighet",58.46391,8.762747
2146350,"Blødekjær 5, Trefoldighet",58.464931,8.76118
2146351,"Blødekjær 18, Trefoldighet",58.465103,8.761779
2146352,"Blødekjær 20, Trefoldighet",58.465714,8.761146
2146353,"Blødekjær 22, Trefoldighet",58.4655,8.761269
2146354,"Blødekjær 24, Trefoldighet",58.465337,8.761258
2146355,"Blødekjær 11, Trefoldighet",58.465343,8.760509
2146356,"Blødekjær 12A, Trefoldighet",58.464688,8.762517
2146357,"Blødekjær 15, Trefoldighet",58.465612,8.760147
2146358,"Blødekjær 16, Trefoldighet",58.464879,8.762055
2146359,"Blødekjærheia 4, Trefoldighet",58.465313,8.763731
2146360,"Blødekjærheia 4B, Trefoldighet",58.465394,8.763971
2146361,"Blødekjærheia 5, Trefoldighet",58.465374,8.76296
2146362,"Blødekjærheia 6, Trefoldighet",58.465251,8.76416
2146363,"Blødekjær 26, Trefoldighet",58.465518,8.760828
2146364,"Blødekjærheia 1, Trefoldighet",58.465104,8.762447
2146365,"Blødekjærheia 2, Trefoldighet",58.464781,8.762758
2146366,"Blødekjærheia 3, Trefoldighet",58.465248,8.762772
2146581,"Fløyveien 6C, Trefoldighet",58.464397,8.763357
