,Navn,Long,Lat
510080,"Damvegen 109, Åmli",58.670272,8.60221
510081,"Damvegen 119, Åmli",58.670306,8.616416
510233,"Damvegen 30, Åmli",58.664178,8.624265
510325,"Nelaugvegen 453, Åmli",58.658043,8.629877
510572,"Damvegen 44, Åmli",58.662932,8.622117
510574,"Damvegen 34, Åmli",58.663577,8.624819
510619,"Damvegen 85, Åmli",58.664389,8.593433
510653,"Damvegen 81, Åmli",58.664648,8.604446
510658,"Damvegen 35, Åmli",58.658615,8.623146
510660,"Damvegen 46, Åmli",58.662393,8.622122
510664,"Vimme 144, Åmli",58.654244,8.656419
510735,"Damvegen 103, Åmli",58.674027,8.599529
510792,"Stasjonsvegen 49, Åmli",58.653393,8.640883
510804,"Damvegen 38, Åmli",58.663888,8.623434
510806,"Damvegen 83, Åmli",58.661184,8.591126
510859,"Damvegen 89, Åmli",58.668463,8.595231
510869,"Damvegen 87, Åmli",58.665338,8.595181
510892,"Stasjonsvegen 51, Åmli",58.653404,8.644847
1705305,"Damvegen 48, Åmli",58.662431,8.622889
1705307,"Damvegen 42, Åmli",58.662896,8.623072
1738871,"Stasjonsvegen 15, Åmli",58.657669,8.634721
1738874,"Stasjonsvegen 16, Åmli",58.65747,8.634326
1738877,"Stasjonsvegen 10, Åmli",58.657433,8.633844
1738880,"Stasjonsvegen 3, Åmli",58.658279,8.63449
1738882,"Stasjonsvegen 5, Åmli",58.658217,8.63487
1738884,"Stasjonsvegen 7, Åmli",58.657984,8.635062
1738886,"Stasjonsvegen 9, Åmli",58.657644,8.635376
1738888,"Damvegen 117, Åmli",58.665987,8.622532
1738894,"Nelaugvegen 433, Åmli",58.658246,8.632388
1738896,"Stasjonsvegen 1, Åmli",58.658241,8.633853
1739002,"Stasjonsvegen 41, Åmli",58.656359,8.635096
1739003,"Stasjonsvegen 39, Åmli",58.656673,8.634903
1739007,"Stasjonsvegen 29, Åmli",58.655994,8.636238
1739008,"Stasjonsvegen 31, Åmli",58.655885,8.635773
1739021,"Stasjonsvegen 20, Åmli",58.656967,8.634314
1739039,"Vimme 179, Åmli",58.660015,8.672202
1739042,"Vimme 176, Åmli",58.658692,8.673299
1739046,"Vimme 174, Åmli",58.658921,8.672764
1739055,"Vimme 142, Åmli",58.657383,8.668229
1739057,"Vimme 140, Åmli",58.657846,8.666759
1739133,"Damvegen 66, Åmli",58.661796,8.620612
1739134,"Damvegen 50, Åmli",58.661614,8.622958
1739135,"Damvegen 2, Åmli",58.658339,8.62889
1739136,"Nelaugvegen 460, Åmli",58.657603,8.630482
1739137,"Damvegen 77, Åmli",58.662748,8.620757
1739138,"Nelaugvegen 461, Åmli",58.65756,8.631223
1739139,"Nelaugvegen 457, Åmli",58.657811,8.63079
1739140,"Nelaugvegen 455, Åmli",58.658106,8.63039
1739178,"Stasjonsvegen 27, Åmli",58.656085,8.63665
1739179,"Stasjonsvegen 35, Åmli",58.656343,8.635648
1739180,"Stasjonsvegen 23, Åmli",58.65664,8.636179
1739184,"Stasjonsvegen 19, Åmli",58.657033,8.635279
1739185,"Stasjonsvegen 37, Åmli",58.656647,8.635455
1739194,"Nelaugvegen 403, Åmli",58.656836,8.638693
1739196,"Nelaugvegen 401, Åmli",58.657384,8.638671
1739198,"Nelaugvegen 399, Åmli",58.657439,8.639135
1739202,"Hushovdvegen 78, Åmli",58.669161,8.636532
1739204,"Hushovdvegen 76, Åmli",58.669446,8.638804
1739207,"Nelaugvegen 391, Åmli",58.657737,8.63977
1739209,"Nelaugvegen 395, Åmli",58.657326,8.640395
1739211,"Nelaugvegen 393, Åmli",58.657533,8.64072
1739213,"Nelaugvegen 344, Åmli",58.661868,8.639641
1739219,"Nelaugvegen 409, Åmli",58.656172,8.637759
1739220,"Nelaugvegen 420, Åmli",58.658702,8.634744
1739224,"Nelaugvegen 419, Åmli",58.658013,8.635631
1739225,"Nelaugvegen 417, Åmli",58.657664,8.636186
1739226,"Nelaugvegen 415, Åmli",58.657404,8.636344
1739227,"Nelaugvegen 407, Åmli",58.657244,8.637
1739228,"Nelaugvegen 424, Åmli",58.658663,8.633659
1739229,"Nelaugvegen 430, Åmli",58.65866,8.632745
1739230,"Nelaugvegen 413, Åmli",58.65675,8.636816
1739231,"Nelaugvegen 411, Åmli",58.656382,8.63694
1739253,"Nelaugvegen 439, Åmli",58.65818,8.63132
1739255,"Nelaugvegen 449, Åmli",58.658347,8.629974
1739257,"Nelaugvegen 450, Åmli",58.658508,8.629576
1739258,"Nelaugvegen 442, Åmli",58.658879,8.630485
1739260,"Stasjonsvegen 24, Åmli",58.656928,8.633143
1739263,"Stasjonsvegen 14, Åmli",58.657112,8.633696
1739266,"Nelaugvegen 437, Åmli",58.658127,8.63139
1739267,"Nelaugvegen 416, Åmli",58.658498,8.635729
1739268,"Stasjonsvegen 45, Åmli",58.655989,8.634583
1739269,"Stasjonsvegen 28, Åmli",58.657179,8.633054
1739270,"Stasjonsvegen 30, Åmli",58.657401,8.632138
1739271,"Stasjonsvegen 32, Åmli",58.657029,8.632502
1739272,"Nelaugvegen 440, Åmli",58.658962,8.631312
1739273,"Nelaugvegen 438, Åmli",58.659044,8.63188
1739274,"Nelaugvegen 404, Åmli",58.658233,8.637111
1739275,"Nelaugvegen 406, Åmli",58.658366,8.636523
1739276,"Stasjonsvegen 22, Åmli",58.656716,8.634174
1739283,"Stasjonsvegen 18, Åmli",58.657228,8.634346
1855850,"Damvegen 6, Åmli",58.658951,8.627756
1874382,"Damvegen 93, Åmli",58.669486,8.598109
1874383,"Damvegen 105, Åmli",58.67509,8.600439
1952071,"Nelaugvegen 328, Åmli",58.662981,8.641431
2005070,"Damvegen 40, Åmli",58.663178,8.622622
2112914,"Damvegen 72, Åmli",58.662182,8.620763
2166319,"Stasjonsvegen 34, Åmli",58.65699,8.63263
2475833,"Damvegen 101, Åmli",58.67337,8.599877
2475834,"Damvegen 99, Åmli",58.671994,8.599983
2475835,"Damvegen 91, Åmli",58.668746,8.597404
2475836,"Damvegen 97, Åmli",58.671117,8.599336
2475837,"Damvegen 95, Åmli",58.669954,8.598972
