,Navn,Long,Lat
510094,"Austenå 423, Åmli",58.831781,8.049869
510096,"Austenå 419, Åmli",58.831834,8.051077
510098,"Austenå 415, Åmli",58.832077,8.058305
510100,"Austenå 417, Åmli",58.832539,8.054163
510103,"Austenå 338, Åmli",58.929617,8.036934
510105,"Austenå 421, Åmli",58.832366,8.050646
510178,"Håkedal 44, Åmli",58.759033,8.303775
510180,"Austenå 457, Åmli",58.826335,8.07952
510200,"Austenå 439, Åmli",58.820316,8.039139
510208,"Berås 465, Åmli",58.65151,8.452744
510209,"Vehus 630, Åmli",58.686421,8.476691
510210,"Bås 97, Åmli",58.71345,8.301464
510220,"Eppeland 230, Åmli",58.724912,8.341125
510282,"Håkedal 56, Åmli",58.766091,8.296863
510287,"Øvre Ramse 126, Åmli",58.81951,8.258034
510289,"Øvre Ramse 130, Åmli",58.822805,8.247019
510291,"Ytre Ramse 608, Åmli",58.780397,8.259716
510294,"Øvre Ramse 120, Åmli",58.806393,8.254125
510297,"Øvre Ramse 122, Åmli",58.803714,8.259518
510302,"Øvre Ramse 170, Åmli",58.795123,8.231474
510311,"Austenå 411, Åmli",58.831755,8.060235
510313,"Austenå 413, Åmli",58.832566,8.059281
510315,"Austenå 441, Åmli",58.825104,8.014088
510317,"Austenå 336, Åmli",58.893025,8.125064
510352,"Håkedal 46, Åmli",58.759344,8.303084
510359,"Øvre Ramse 136, Åmli",58.827462,8.242622
510363,"Ytre Ramse 17, Åmli",58.715618,8.241522
510367,"Øvre Ramse 138, Åmli",58.826959,8.241715
510403,"Austenå 459, Åmli",58.825892,8.080205
510405,"Austenå 451, Åmli",58.825339,8.079066
510567,"Austenå 465, Åmli",58.82498,8.082704
510586,"Eppeland 220, Åmli",58.741629,8.354078
510590,"Eppeland 222, Åmli",58.744534,8.349793
510603,"Austenå 299, Åmli",58.827755,8.107604
510609,"Eppeland 10, Åmli",58.740932,8.378419
510618,"Berås 402, Åmli",58.64771,8.449044
510621,"Berås 485, Åmli",58.655554,8.464021
510622,"Bås 42, Åmli",58.723546,8.332275
510623,"Eppeland 226, Åmli",58.731695,8.346852
510624,"Eppeland 12, Åmli",58.740418,8.374495
510649,"Hillestadheia 323, Åmli",58.818113,8.19567
510652,"Hillestadheia 321, Åmli",58.818487,8.194262
510657,"Hillestadheia 218, Åmli",58.819073,8.186075
510659,"Håkedal 64, Åmli",58.775308,8.294664
510661,"Hillestadheia 212, Åmli",58.819267,8.183581
510662,"Hillestadheia 206, Åmli",58.818562,8.183646
510663,"Hillestadheia 217, Åmli",58.819076,8.185564
510665,"Hillestadheia 215, Åmli",58.81939,8.184302
510666,"Hillestadheia 114, Åmli",58.815212,8.189483
510667,"Hillestadheia 112, Åmli",58.815576,8.188952
510668,"Hillestadheia 116, Åmli",58.816165,8.19147
510669,"Hillestadheia 115, Åmli",58.816346,8.190966
510670,"Hillestadheia 105, Åmli",58.816891,8.187974
510672,"Hillestadheia 110, Åmli",58.816006,8.188315
510674,"Hillestadheia 108, Åmli",58.816266,8.188098
510675,"Hillestadheia 318, Åmli",58.817724,8.195343
510677,"Hillestadheia 313, Åmli",58.816516,8.197088
510678,"Hillestadheia 103, Åmli",58.817087,8.18838
510679,"Hillestadheia 221, Åmli",58.819547,8.185874
510680,"Hillestadheia 300B, Åmli",58.819135,8.189854
510682,"Hillestadheia 335, Åmli",58.818166,8.196971
510684,"Hillestadheia 311, Åmli",58.816762,8.196044
510686,"Hillestadheia 301B, Åmli",58.818851,8.1906
510688,"Hillestadheia 328, Åmli",58.819143,8.194766
510689,"Hillestadheia 319, Åmli",58.818053,8.194553
510690,"Hillestadheia 333, Åmli",58.819741,8.192399
510692,"Hillestadheia 330, Åmli",58.819153,8.193464
510705,"Austenå 469, Åmli",58.826919,8.08324
510747,"Øvre Ramse 132, Åmli",58.824949,8.248115
510748,"Øvre Ramse 339, Åmli",58.792094,8.142658
510749,"Austenå 330, Åmli",58.865438,8.11131
510750,"Austenå 332, Åmli",58.867299,8.110177
510767,"Austenå 461, Åmli",58.826227,8.080539
510815,"Eppeland 224, Åmli",58.738699,8.33943
510824,"Øvre Ramse 118, Åmli",58.803638,8.253007
510836,"Austenå 453, Åmli",58.825396,8.080049
510843,"Austenå 334, Åmli",58.881565,8.119785
510851,"Berås 150, Åmli",58.646994,8.41372
510872,"Øvre Ramse 116, Åmli",58.80131,8.24809
510874,"Øvre Ramse 114, Åmli",58.801399,8.244782
510894,"Bås 98, Åmli",58.7151,8.30276
856099,"Hillestadheia 301A, Åmli",58.818929,8.190425
856264,"Hillestadheia 331, Åmli",58.81958,8.19385
1672655,"Hillestadheia 202, Åmli",58.818115,8.185739
1672760,"Hillestadheia 201, Åmli",58.818321,8.186463
1673077,"Hillestadheia 207, Åmli",58.818944,8.183308
1673104,"Hillestadheia 324, Åmli",58.818525,8.195645
1673221,"Hillestadheia 424, Åmli",58.815557,8.206458
1673222,"Hillestadheia 425, Åmli",58.815629,8.205877
1673311,"Hillestadheia 214, Åmli",58.819661,8.183571
1682063,"Hillestadheia 102, Åmli",58.816983,8.189343
1684828,"Hillestadheia 428, Åmli",58.815749,8.203762
1705214,"Hillestadheia 223, Åmli",58.820195,8.18524
1705314,"Hillestadheia 427, Åmli",58.815714,8.204635
1705389,"Hillestadheia 419, Åmli",58.815432,8.203765
1722858,"Hillestadheia 300A, Åmli",58.819145,8.18967
1739410,"Homdal 99, Åmli",58.70146,8.356788
1739411,"Homdal 93, Åmli",58.701896,8.355952
1739412,"Homdal 85, Åmli",58.702816,8.354848
1739423,"Landsås 11, Åmli",58.699709,8.376976
1739424,"Landsås 9, Åmli",58.699755,8.376654
1739425,"Homdal 88, Åmli",58.698619,8.34899
