,Navn,Long,Lat
1450620,"Homborhave 3, Eide",58.266035,8.507192
1450621,"Homborhave 2, Eide",58.265452,8.507438
1450622,"Homborhave 1, Eide",58.265611,8.506669
1450641,"Homborhave 8, Eide",58.265827,8.508723
1450642,"Homborhave 7, Eide",58.265943,8.507762
1450643,"Homborhave 6, Eide",58.265653,8.508407
1450644,"Homborhave 5, Eide",58.26578,8.507214
1450647,"Homborhave 11, Eide",58.266708,8.507668
1450648,"Homborhave 9, Eide",58.266351,8.507596
1450665,"Høifjell 9, Eide",58.276434,8.504477
1450666,"Høifjell 8, Eide",58.276792,8.504058
1450667,"Høifjell 7, Eide",58.276512,8.505087
1450668,"Høifjell 6, Eide",58.276838,8.50445
1450671,"Høifjell 11, Eide",58.276467,8.503935
1450672,"Høifjell 10, Eide",58.276656,8.503719
1450673,"Høifjell 1A, Eide",58.277022,8.505419
1450674,"Høifjell 1, Eide",58.27721,8.505263
1450677,"Høifjell 5, Eide",58.276701,8.505376
1450678,"Høifjell 4, Eide",58.277288,8.504751
1450679,"Høifjell 3, Eide",58.276889,8.505182
1450680,"Høifjell 2, Eide",58.277533,8.505225
1450735,"Johan Markussens vei 17, Eide",58.270615,8.506558
1450736,"Johan Markussens vei 15, Eide",58.270781,8.506231
1450737,"Johan Markussens vei 13, Eide",58.270973,8.505807
1450738,"Johan Markussens vei 11, Eide",58.27112,8.505348
1450739,"Johan Markussens vei 25, Eide",58.270644,8.505235
1450740,"Johan Markussens vei 23, Eide",58.270239,8.505156
1450741,"Johan Markussens vei 21, Eide",58.270079,8.505482
1450742,"Johan Markussens vei 19, Eide",58.270224,8.5059
1450747,"Johan Markussens vei 10, Eide",58.272666,8.503366
1450748,"Johan Markussens vei 9, Eide",58.271146,8.504973
1450749,"Johan Markussens vei 8, Eide",58.272469,8.503695
1450750,"Johan Markussens vei 7, Eide",58.271208,8.504733
1450751,"Johan Markussens vei 41, Eide",58.270462,8.504726
1450752,"Johan Markussens vei 39, Eide",58.27064,8.504213
1450753,"Johan Markussens vei 37, Eide",58.27088,8.504302
1450754,"Johan Markussens vei 29, Eide",58.270688,8.504979
1450755,"Johan Markussens vei 28, Eide",58.27178,8.504197
1450756,"Johan Markussens vei 27, Eide",58.27067,8.505064
1450757,"Johan Markussens vei 26, Eide",58.271591,8.504012
1450758,"Johan Markussens vei 35, Eide",58.270776,8.504586
1450759,"Johan Markussens vei 33, Eide",58.270732,8.504723
1450760,"Johan Markussens vei 31, Eide",58.270714,8.504893
1450761,"Johan Markussens vei 30, Eide",58.271897,8.504025
1450762,"Jorvardeveien 10, Eide",58.268932,8.508464
1450763,"Jorvardeveien 9, Eide",58.26768,8.507527
1450764,"Jorvardeveien 8, Eide",58.269111,8.508291
1450765,"Jorvardeveien 7, Eide",58.267492,8.507785
1450766,"Jorvardeveien 14, Eide",58.268675,8.509353
1450767,"Jorvardeveien 13, Eide",58.267942,8.507949
1450768,"Jorvardeveien 12, Eide",58.268709,8.508978
1450769,"Jorvardeveien 11, Eide",58.267943,8.508205
1450770,"Jorvardeveien 1, Eide",58.267945,8.508716
1450771,"Jorvardeveien 5, Eide",58.267583,8.508125
1450772,"Jorvardeveien 4, Eide",58.269379,8.508049
1450773,"Jorvardeveien 3, Eide",58.267809,8.508462
1450774,"Jorvardeveien 2, Eide",58.269199,8.507864
1450775,"Jorvardeveien 27, Eide",58.268401,8.506661
1450776,"Jorvardeveien 25, Eide",58.268622,8.506669
1450777,"Jorvardeveien 24, Eide",58.269606,8.508642
1450778,"Jorvardeveien 23, Eide",58.268127,8.50718
1450779,"Jorvardeveien 35, Eide",58.268039,8.505135
1450780,"Jorvardeveien 33, Eide",58.267814,8.505224
1450781,"Jorvardeveien 31, Eide",58.267861,8.505734
1450782,"Jorvardeveien 29, Eide",58.267854,8.506246
1450783,"Jorvardeveien 18, Eide",58.269107,8.509655
1450784,"Jorvardeveien 17, Eide",58.268864,8.507169
1450785,"Jorvardeveien 16, Eide",58.268927,8.509572
1450786,"Jorvardeveien 15, Eide",58.268122,8.508032
1450787,"Jorvardeveien 22, Eide",58.269517,8.508899
1450788,"Jorvardeveien 21, Eide",58.268325,8.50734
1450789,"Jorvardeveien 20, Eide",58.269294,8.509328
1450790,"Jorvardeveien 19, Eide",58.268623,8.507531
1450791,"Jorvardeveien 43, Eide",58.26822,8.505661
1450792,"Jorvardeveien 41, Eide",58.268077,8.505817
1450793,"Jorvardeveien 39, Eide",58.268168,8.506071
1450794,"Jorvardeveien 37, Eide",58.268279,8.50507
1450795,"Jorvardeveien 47, Eide",58.268348,8.506086
1450796,"Jorvardeveien 45, Eide",58.268278,8.505864
1452566,"Kistevigveien 2, Eide",58.266517,8.508753
1452567,"Kistevigveien 3, Eide",58.264631,8.508898
1452575,"Kistevigveien 48, Eide",58.261009,8.501245
1452576,"Kistevigveien 52, Eide",58.260639,8.503057
1452577,"Kistevigveien 54, Eide",58.260449,8.502787
1452578,"Kistevigveien 45, Eide",58.261217,8.506236
1452579,"Kistevigveien 30, Eide",58.26349,8.50421
1452580,"Kistevigveien 31, Eide",58.263143,8.504863
1452581,"Kistevigveien 37, Eide",58.262396,8.504515
1452582,"Kistevigveien 40, Eide",58.261529,8.503505
1452583,"Kistevigveien 20, Eide",58.264388,8.501726
1452584,"Kistevigveien 23, Eide",58.264322,8.505647
1452585,"Kistevigveien 24, Eide",58.264687,8.504841
1452586,"Kistevigveien 26, Eide",58.264138,8.504406
1452587,"Kistevigveien 6, Eide",58.265463,8.505785
1452588,"Kistevigveien 8, Eide",58.265131,8.505892
1452589,"Kistevigveien 9, Eide",58.263788,8.506882
1452590,"Kistevigveien 10, Eide",58.265282,8.50531
1452591,"Kistevigveien 39, Eide",58.262349,8.504107
1452592,"Kistevigveien 60, Eide",58.260075,8.501378
