,Navn,Long,Lat
5573,"1/55, Gjerstad",58.804486,9.078252
534792,"Sandkleivveien 26, Gjerstad",58.80555,9.080466
534793,"Gjerstadveien 538, Gjerstad",58.836467,9.086341
534794,"Tuftene 1, Gjerstad",58.813561,9.079844
534795,"Brokeland 126, Gjerstad",58.817901,9.090347
534796,"Tuftene 2, Gjerstad",58.814199,9.079015
534797,"Brokeland 43, Gjerstad",58.810011,9.084821
534798,"Sandkleivveien 37, Gjerstad",58.806232,9.081818
534799,"Gjerstadveien 542, Gjerstad",58.836691,9.08752
534800,"Sandkleivveien 24, Gjerstad",58.80537,9.080171
534801,"Gjerstadveien 582, Gjerstad",58.839753,9.084
534802,"Gjerstadveien 148, Gjerstad",58.807923,9.077096
534803,"Grytingveien 13, Gjerstad",58.835452,9.086356
534804,"Sandkleivveien 43, Gjerstad",58.806645,9.082026
534805,"Gjerstadveien 171, Gjerstad",58.809897,9.079438
534806,"Gjerstadveien 577, Gjerstad",58.83962,9.085379
534807,"Grytingveien 69, Gjerstad",58.837782,9.081632
534808,"Grytingveien 29, Gjerstad",58.836594,9.08454
534809,"Grytingveien 23, Gjerstad",58.83627,9.085353
534810,"Brokeland 39, Gjerstad",58.811142,9.085724
534811,"Sandkleivveien 22, Gjerstad",58.805137,9.079981
534812,"Grytingveien 20, Gjerstad",58.835714,9.084312
534813,"Gjerstadveien 443, Gjerstad",58.829798,9.080176
534814,"Gjerstadveien 201, Gjerstad",58.812546,9.080015
534815,"Bjordamsveien 76, Gjerstad",58.810595,9.096196
534816,"Gjerstadveien 199, Gjerstad",58.812662,9.08114
534817,"Brokeland 47, Gjerstad",58.809284,9.083521
534818,"Brokeland 59, Gjerstad",58.811428,9.086642
534819,"Gjerstadveien 159, Gjerstad",58.808819,9.079504
534820,"Gjerstadveien 558, Gjerstad",58.83811,9.086796
534821,"Brokeland 37, Gjerstad",58.81142,9.085829
534822,"Espevikveien 15, Gjerstad",58.807711,9.108703
534823,"Eikelandsveien 170, Gjerstad",58.80611,9.101532
534824,"Espevikveien 5, Gjerstad",58.80588,9.107935
534825,"Eikelandsveien 49, Gjerstad",58.800022,9.087116
534826,"Verksveien 190, Gjerstad",58.800919,9.131145
534827,"Eikelandsveien 45, Gjerstad",58.799895,9.089486
534829,"Eikelandsveien 139, Gjerstad",58.802753,9.09858
534830,"Grytingveien 16, Gjerstad",58.834923,9.085038
534831,"Gjerstadveien 458, Gjerstad",58.830662,9.077337
534832,"Brokeland 55, Gjerstad",58.811208,9.08636
534833,"Brokeland 107, Gjerstad",58.818955,9.098297
534834,"Brokeland 197, Gjerstad",58.824014,9.094311
534835,"Gjerstadveien 163, Gjerstad",58.808919,9.078552
534836,"Grytingveien 1, Gjerstad",58.836152,9.087331
534837,"Bjordamsveien 8, Gjerstad",58.811499,9.088997
534838,"Grytingveien 53, Gjerstad",58.83709,9.08196
534839,"Bjordamsveien 39, Gjerstad",58.805786,9.089761
534840,"Brokeland 105, Gjerstad",58.812626,9.094644
534841,"Brokeland 72, Gjerstad",58.813466,9.087981
534842,"Brokeland 69, Gjerstad",58.81308,9.088343
534843,"Bjordamsveien 60, Gjerstad",58.810811,9.094355
534844,"Nybø, Gjerstadveien 270, Gjerstad",58.818317,9.070032
534845,"Sandkleivveien 30, Gjerstad",58.805972,9.080588
534846,"Gjerstadveien 140, Gjerstad",58.807043,9.076731
534847,"Gjerstadveien 154, Gjerstad",58.808237,9.07746
534848,"Kals 44, Gjerstad",58.830715,9.092372
534849,"Brokeland 109, Gjerstad",58.81981,9.095996
534850,"Brokeland 183, Gjerstad",58.822892,9.094291
534851,"Gjerstadveien 477, Gjerstad",58.831161,9.084423
534852,"Brokeland 45, Gjerstad",58.809823,9.083852
534853,"Gjerstadveien 552, Gjerstad",58.837733,9.087089
534854,"Brokeland 4, Gjerstad",58.81058,9.079647
534855,"Brokeland 18, Gjerstad",58.812876,9.084049
534856,"Gjerstadveien 562, Gjerstad",58.838398,9.086433
534857,"Gjerstadveien 462, Gjerstad",58.831909,9.080318
534858,"Sandkleivveien 59, Gjerstad",58.80809,9.083293
534859,"Brokeland 16, Gjerstad",58.814312,9.086096
534860,"Gjerstadveien 567, Gjerstad",58.838702,9.086617
534861,"Gjerstadveien 572, Gjerstad",58.838533,9.085879
534862,"Brokeland 22, Gjerstad",58.812257,9.083009
534863,"Gjerstadveien 170, Gjerstad",58.809961,9.078087
534864,"Brokeland 20, Gjerstad",58.812337,9.083806
534865,"Gjerstadveien 449, Gjerstad",58.830516,9.081338
534866,"Gjerstadveien 543, Gjerstad",58.836969,9.088404
534867,"Gjerstadveien 156, Gjerstad",58.809081,9.077774
534868,"Brokeland 49, Gjerstad",58.808826,9.082914
534869,"Gjerstadveien 197, Gjerstad",58.812213,9.081728
534870,"Gjerstadveien 168, Gjerstad",58.809646,9.078253
534871,"Gjerstadveien 149, Gjerstad",58.808191,9.07862
534872,"Gjerstadveien 255, Gjerstad",58.815594,9.073789
534873,"Tuftene 6, Gjerstad",58.814692,9.08092
534874,"Brokeland 53, Gjerstad",58.808745,9.084212
534875,"Brokeland 10, Gjerstad",58.81154,9.081397
534876,"Bjordamsveien 37, Gjerstad",58.808632,9.091292
534877,"Bjordamsveien 33, Gjerstad",58.808588,9.090495
534878,"Brokeland 51, Gjerstad",58.808719,9.082395
534879,"Gjerstadveien 579, Gjerstad",58.840079,9.08441
534880,"Gjerstadveien 135, Gjerstad",58.806584,9.078478
534881,"Eikelandsveien 19, Gjerstad",58.799766,9.080851
534882,"Haugmoveien 52, Gjerstad",58.795396,9.07475
534883,"Solås, Eikelandsveien 24, Gjerstad",58.801641,9.083416
534884,"Buhagveien 25, Gjerstad",58.799895,9.074656
534885,"Ytre Haugen 22, Gjerstad",58.797581,9.069321
534886,"Ytre Haugen 31, Gjerstad",58.797062,9.068673
534887,"Ytre Haugen 14, Gjerstad",58.797945,9.07235
534888,"Haugmoveien 48, Gjerstad",58.796202,9.075101
534932,"Haugbakken 15, Gjerstad",58.800618,9.067493
534933,"Hageroveien 6, Gjerstad",58.803362,9.075165
534934,"Haugbakken 27, Gjerstad",58.799047,9.066088
534935,"Haugmoveien 14, Gjerstad",58.798287,9.076417
534936,"Furuheim 9, Gjerstad",58.80488,9.074736
534937,"Furuheim 7, Gjerstad",58.805131,9.0751
534938,"Furuheim 13, Gjerstad",58.803946,9.074266
534939,"Furuheim 15, Gjerstad",58.803658,9.074923
534940,"Haugbakken 12, Gjerstad",58.797628,9.066379
534941,"Haugbakken 8, Gjerstad",58.798552,9.0678
534943,"Haugbakken 16, Gjerstad",58.798804,9.067247
534945,"Haugbakken 29, Gjerstad",58.798823,9.065291
534946,"Hageroveien 28, Gjerstad",58.802276,9.074107
534948,"Eikelandsveien 4, Gjerstad",58.799237,9.079188
534950,"Skorstølveien 110, Gjerstad",58.79857,9.048765
534952,"Sandkleivveien 17, Gjerstad",58.804634,9.080222
534954,"Buhagveien 5, Gjerstad",58.800373,9.071559
534956,"Haugbakken 17, Gjerstad",58.800816,9.066853
534958,"Buhagveien 2, Gjerstad",58.801163,9.072218
534960,"Haugmoveien 21, Gjerstad",58.798314,9.075171
534962,"Buhagveien 7, Gjerstad",58.800534,9.072075
534964,"Haugbakken 14, Gjerstad",58.798534,9.066883
