,Navn,Long,Lat
1379267,"Grøgårds gate 2, Bergen domkirke",60.401442,5.325261
1379569,"Hans Hauges gate 8A, Bergen domkirke",60.400635,5.324989
1379570,"Hans Hauges gate 7, Bergen domkirke",60.401505,5.324945
1379571,"Hans Hauges gate 6, Bergen domkirke",60.400559,5.325179
1379572,"Hans Hauges gate 5, Bergen domkirke",60.401426,5.324991
1379573,"Hans Hauges gate 4, Bergen domkirke",60.400471,5.325262
1379574,"Hans Hauges gate 3, Bergen domkirke",60.401186,5.32509
1379575,"Hans Hauges gate 1B, Bergen domkirke",60.400837,5.325166
1379576,"Hans Hauges gate 1A, Bergen domkirke",60.400778,5.325282
1379585,"Hans Hauges gate 35, Sandviken",60.403001,5.324104
1379586,"Hans Hauges gate 33, Sandviken",60.402825,5.324233
1379587,"Hans Hauges gate 28, Bergen domkirke",60.402442,5.324058
1379589,"Hans Hauges gate 26, Bergen domkirke",60.402301,5.324147
1379590,"Hans Hauges gate 25, Bergen domkirke",60.402622,5.324383
1379591,"Hans Hauges gate 23, Bergen domkirke",60.402479,5.324417
1379592,"Hans Hauges gate 22, Bergen domkirke",60.401647,5.324548
1379593,"Hans Hauges gate 21, Bergen domkirke",60.402365,5.324521
1379594,"Hans Hauges gate 19, Bergen domkirke",60.402259,5.32457
1379595,"Hans Hauges gate 17, Bergen domkirke",60.402127,5.324693
1379596,"Hans Hauges gate 16, Bergen domkirke",60.400959,5.32468
1379597,"Hans Hauges gate 14, Bergen domkirke",60.400843,5.324711
1379598,"Hans Hauges gate 13, Bergen domkirke",60.401747,5.324918
1379599,"Hans Hauges gate 11, Bergen domkirke",60.401659,5.324964
1379600,"Hans Hauges gate 9, Bergen domkirke",60.401586,5.324954
1379601,"Hans Hauges gate 8B, Bergen domkirke",60.400702,5.324836
1379612,"Hans Hauges gate 42, Sandviken",60.403061,5.323334
1379613,"Hans Hauges gate 41, Sandviken",60.403348,5.323338
1379614,"Hans Hauges gate 40, Sandviken",60.402951,5.323601
1379615,"Hans Hauges gate 39, Sandviken",60.403233,5.323715
1379616,"Hans Hauges gate 38, Sandviken",60.402812,5.323762
1379617,"Hans Hauges gate 37, Sandviken",60.403078,5.323968
1380468,"Hilbrandt Meyers gate 6, Sandviken",60.402876,5.324489
1380469,"Hilbrandt Meyers gate 4, Sandviken",60.402709,5.323937
1380470,"Hilbrandt Meyers gate 2, Sandviken",60.402658,5.323725
1380471,"Hilbrandt Meyers gate 1A, Bergen domkirke",60.402539,5.323975
1380472,"Hilbrandt Meyers gate 1, Bergen domkirke",60.40273,5.324698
1382307,"Ladegårdsgaten 45B, Sandviken",60.403031,5.3255
1382308,"Ladegårdsgaten 45A, Sandviken",60.403045,5.325371
1382309,"Ladegårdsgaten 44, Bergen domkirke",60.402654,5.325197
1382310,"Ladegårdsgaten 43, Sandviken",60.402931,5.325457
1382311,"Ladegårdsgaten 42, Bergen domkirke",60.402592,5.32524
1382312,"Ladegårdsgaten 40, Bergen domkirke",60.402497,5.325378
1382313,"Ladegårdsgaten 39H, Bergen domkirke",60.402739,5.325696
1382314,"Ladegårdsgaten 39G, Bergen domkirke",60.402705,5.325736
1382315,"Ladegårdsgaten 39F, Bergen domkirke",60.402662,5.325832
1382316,"Ladegårdsgaten 39E, Bergen domkirke",60.402592,5.325895
1382317,"Ladegårdsgaten 39D, Bergen domkirke",60.402567,5.325952
1382318,"Ladegårdsgaten 39C, Bergen domkirke",60.402476,5.325926
1382401,"Ladegårdsgaten 13, Bergen domkirke",60.400589,5.325939
1382402,"Ladegårdsgaten 11, Bergen domkirke",60.400533,5.325873
1382403,"Ladegårdsgaten 10, Bergen domkirke",60.400864,5.325817
1382404,"Ladegårdsgaten 9, Bergen domkirke",60.400468,5.325807
1382405,"Ladegårdsgaten 8A, Bergen domkirke",60.400706,5.32565
1382406,"Ladegårdsgaten 7, Bergen domkirke",60.400431,5.325739
1382407,"Ladegårdsgaten 5, Bergen domkirke",60.400394,5.325707
1382408,"Ladegårdsgaten 4A, Bergen domkirke",60.400367,5.325401
1382409,"Ladegårdsgaten 1, Bergen domkirke",60.400152,5.325407
1382417,"Ladegårdsgaten 27, Bergen domkirke",60.401702,5.326849
1382418,"Ladegårdsgaten 26A, Bergen domkirke",60.40179,5.326457
1382419,"Ladegårdsgaten 26, Bergen domkirke",60.401718,5.326466
1382420,"Ladegårdsgaten 25, Bergen domkirke",60.401607,5.326987
1382421,"Ladegårdsgaten 24, Bergen domkirke",60.401583,5.326463
1382422,"Ladegårdsgaten 23, Bergen domkirke",60.401485,5.326801
1382423,"Ladegårdsgaten 22B, Bergen domkirke",60.401491,5.326382
1382424,"Ladegårdsgaten 22A, Bergen domkirke",60.401437,5.32637
1382425,"Ladegårdsgaten 21, Bergen domkirke",60.40142,5.326753
1382426,"Ladegårdsgaten 19, Bergen domkirke",60.400804,5.326242
1382427,"Ladegårdsgaten 18, Bergen domkirke",60.401224,5.32614
1382428,"Ladegårdsgaten 17, Bergen domkirke",60.400691,5.326036
1382429,"Ladegårdsgaten 16, Bergen domkirke",60.401132,5.326077
1382430,"Ladegårdsgaten 15, Bergen domkirke",60.400635,5.325988
1382431,"Ladegårdsgaten 14, Bergen domkirke",60.401061,5.326099
1382432,"Ladegårdsgaten 39B, Bergen domkirke",60.402424,5.326004
1382433,"Ladegårdsgaten 39A, Bergen domkirke",60.402374,5.326137
1382434,"Ladegårdsgaten 38A, Bergen domkirke",60.40238,5.325373
1382435,"Ladegårdsgaten 38, Bergen domkirke",60.402457,5.325546
1382436,"Ladegårdsgaten 37, Bergen domkirke",60.402313,5.326217
1382437,"Ladegårdsgaten 36A, Bergen domkirke",60.402206,5.32592
1382438,"Ladegårdsgaten 35, Bergen domkirke",60.402235,5.326298
1382439,"Ladegårdsgaten 34, Bergen domkirke",60.402082,5.325988
1382440,"Ladegårdsgaten 33, Bergen domkirke",60.402193,5.326412
1382441,"Ladegårdsgaten 32, Bergen domkirke",60.402033,5.326139
1382442,"Ladegårdsgaten 31B, Bergen domkirke",60.402013,5.326723
1382443,"Ladegårdsgaten 31A, Bergen domkirke",60.401933,5.32675
1382444,"Ladegårdsgaten 30, Bergen domkirke",60.401912,5.326317
1382445,"Ladegårdsgaten 29B, Bergen domkirke",60.401864,5.326867
1382446,"Ladegårdsgaten 29A, Bergen domkirke",60.401792,5.326875
1382447,"Ladegårdsgaten 28, Bergen domkirke",60.401841,5.326379
1382807,"Ladegårdsgaten 49, Sandviken",60.403247,5.325203
1382808,"Ladegårdsgaten 48, Bergen domkirke",60.402831,5.325123
1382809,"Ladegårdsgaten 47, Sandviken",60.403159,5.325267
1382810,"Ladegårdsgaten 46, Bergen domkirke",60.402724,5.325135
1382815,"Ladegårdsgaten 59T, Sandviken",60.404222,5.324711
1382816,"Ladegårdsgaten 59A, Sandviken",60.404006,5.324681
1382817,"Ladegårdsgaten 59, Sandviken",60.404095,5.324653
1382818,"Ladegårdsgaten 58, Sandviken",60.403421,5.324674
1382819,"Ladegårdsgaten 57B, Sandviken",60.403942,5.32467
1382820,"Ladegårdsgaten 57A, Sandviken",60.403862,5.324679
1382821,"Ladegårdsgaten 56, Sandviken",60.403343,5.324756
1382822,"Ladegårdsgaten 55, Sandviken",60.4038,5.324704
1382823,"Ladegårdsgaten 54A, Sandviken",60.403228,5.324842
1382824,"Ladegårdsgaten 54, Sandviken",60.403122,5.324908
1382825,"Ladegårdsgaten 53, Sandviken",60.403624,5.32487
1382826,"Ladegårdsgaten 52, Sandviken",60.403008,5.325012
1382827,"Ladegårdsgaten 51B, Sandviken",60.403563,5.324931
1382828,"Ladegårdsgaten 51A, Sandviken",60.403327,5.325158
1382829,"Ladegårdsgaten 51, Sandviken",60.403447,5.324962
1382830,"Ladegårdsgaten 50, Sandviken",60.402947,5.325073
1382831,"Ladegårdsterrassen 7, Sandviken",60.404585,5.324207
1382832,"Ladegårdsterrassen 6, Sandviken",60.404616,5.32434
1382833,"Ladegårdsterrassen 5, Sandviken",60.404646,5.324445
1382835,"Ladegårdsterrassen 4, Sandviken",60.404668,5.32457
1382836,"Ladegårdsterrassen 3, Sandviken",60.404707,5.324693
1382837,"Ladegårdsterrassen 2, Sandviken",60.404746,5.324797
1382838,"Ladegårdsterrassen 1, Sandviken",60.404785,5.324902
1382839,"Ladegårdsgaten 76, Sandviken",60.405019,5.323931
1382840,"Ladegårdsgaten 74, Sandviken",60.405053,5.3242
1382841,"Ladegårdsgaten 72, Sandviken",60.405121,5.324374
1382842,"Ladegårdsgaten 70, Sandviken",60.405119,5.324646
1382843,"Ladegårdsgaten 68, Sandviken",60.405071,5.32487
1382844,"Ladegårdsgaten 67, Sandviken",60.404897,5.325725
1382845,"Ladegårdsgaten 66, Sandviken",60.405015,5.325112
1382846,"Ladegårdsgaten 65, Sandviken",60.404694,5.32682
1382847,"Ladegårdsgaten 64, Sandviken",60.404917,5.325141
1382857,"Ladegårdsterrassen 14, Sandviken",60.404453,5.323322
1382858,"Ladegårdsterrassen 13, Sandviken",60.404466,5.323448
1382859,"Ladegårdsterrassen 12, Sandviken",60.404478,5.323574
1382860,"Ladegårdsterrassen 11, Sandviken",60.404491,5.3237
1382861,"Ladegårdsterrassen 10, Sandviken",60.404513,5.323861
1382862,"Ladegårdsterrassen 9, Sandviken",60.404534,5.323967
1382863,"Ladegårdsterrassen 8, Sandviken",60.404556,5.32411
1386016,"Repslagerbakken 1A, Bergen domkirke",60.402156,5.325726
1386017,"Repslagerbakken 1, Bergen domkirke",60.402088,5.325552
1386032,"Repslagergaten 21, Sandviken",60.403216,5.324734
1386033,"Repslagergaten 20, Sandviken",60.403162,5.324395
1386034,"Repslagergaten 18, Sandviken",60.403055,5.324425
1386035,"Repslagergaten 17, Bergen domkirke",60.40273,5.325025
1386036,"Repslagergaten 16, Bergen domkirke",60.402622,5.32471
1386037,"Repslagergaten 15, Bergen domkirke",60.402588,5.325114
1386038,"Repslagergaten 14, Bergen domkirke",60.402516,5.324777
1386039,"Repslagergaten 13, Bergen domkirke",60.402438,5.325185
1386040,"Repslagergaten 12, Bergen domkirke",60.402438,5.324858
1386041,"Repslagergaten 10, Bergen domkirke",60.402321,5.324871
1386042,"Repslagergaten 8, Bergen domkirke",60.402251,5.324934
1386043,"Repslagergaten 6, Bergen domkirke",60.402154,5.324999
