,Navn,Long,Lat
1419458,"Eidsvågveien 95, Eidsvåg",60.437656,5.309055
1419460,"Eidsvågveien 97, Eidsvåg",60.437147,5.309495
1419465,"Eidsvågveien 101, Eidsvåg",60.436929,5.310356
1419564,"Eidsvågveien 138, Eidsvåg",60.436081,5.315145
1419565,"Eidsvågveien 140, Eidsvåg",60.435039,5.319391
1419566,"Eidsvågveien 142, Eidsvåg",60.435132,5.320144
1419580,"Eidsvågveien 112, Eidsvåg",60.439235,5.302128
1419581,"Eidsvågveien 114, Eidsvåg",60.438758,5.3034
1419582,"Eidsvågveien 116, Eidsvåg",60.438725,5.303513
1419583,"Eidsvågveien 118, Eidsvåg",60.438532,5.30399
1419584,"Eidsvågveien 120, Eidsvåg",60.438519,5.304501
1419585,"Eidsvågveien 124, Eidsvåg",60.438001,5.307215
1419586,"Eidsvågveien 126, Eidsvåg",60.437878,5.307647
1419587,"Eidsvågveien 128, Eidsvåg",60.437157,5.308857
1419588,"Eidsvågveien 128A, Eidsvåg",60.437392,5.308594
1419589,"Eidsvågveien 130, Eidsvåg",60.437008,5.309001
1419590,"Eidsvågveien 132, Eidsvåg",60.436723,5.309761
1419591,"Eidsvågveien 132A, Eidsvåg",60.436565,5.310852
1419592,"Eidsvågveien 132B, Eidsvåg",60.436498,5.310405
1419593,"Eidsvågveien 134, Eidsvåg",60.43606,5.314383
1419594,"Eidsvågveien 136, Eidsvåg",60.435891,5.314766
1419850,"Eidsvågbakken 5, Eidsvåg",60.436867,5.317875
1419851,"Eidsvågbakken 5B, Eidsvåg",60.437119,5.319501
1419852,"Eidsvågbakken 7, Eidsvåg",60.43629,5.317795
1419853,"Eidsvågbakken 11, Eidsvåg",60.43611,5.316815
1419854,"Eidsvågbakken 13, Eidsvåg",60.435898,5.316966
1419855,"Eidsvågbakken 19, Eidsvåg",60.435149,5.31816
1419856,"Eidsvågbakken 21, Eidsvåg",60.434515,5.316031
1419857,"Eidsvågbakken 23, Eidsvåg",60.434394,5.316518
1419858,"Eidsvågbakken 25, Eidsvåg",60.434234,5.315954
1419879,"Eidsvågbakken 1, Eidsvåg",60.437257,5.31703
1419880,"Eidsvågbakken 3, Eidsvåg",60.436995,5.317933
1419934,"Granlien 1, Eidsvåg",60.436909,5.306721
1419935,"Granlien 2, Eidsvåg",60.438922,5.302527
1419936,"Granlien 3, Eidsvåg",60.435945,5.306648
1419937,"Granlien 4, Eidsvåg",60.438728,5.302658
1419938,"Granlien 5, Eidsvåg",60.435802,5.30701
1419939,"Granlien 6, Eidsvåg",60.438539,5.302971
1419956,"Granlien 17, Eidsvåg",60.434902,5.311514
1419957,"Granlien 18, Eidsvåg",60.436432,5.305084
1419958,"Granlien 19, Eidsvåg",60.43414,5.311891
1419959,"Granlien 20B, Eidsvåg",60.436092,5.305486
1419960,"Granlien 21, Eidsvåg",60.433999,5.312016
1419961,"Granlien 22, Eidsvåg",60.435947,5.305739
1419962,"Granlien 22A, Eidsvåg",60.435752,5.305525
1419963,"Granlien 22B, Eidsvåg",60.435719,5.305619
1419964,"Granlien 23, Eidsvåg",60.433842,5.312179
1419965,"Granlien 24, Eidsvåg",60.43578,5.306213
1419966,"Granlien 25, Eidsvåg",60.433721,5.312339
1419967,"Granlien 26, Eidsvåg",60.435636,5.306538
1419968,"Granlien 26A, Eidsvåg",60.435576,5.305981
1419969,"Granlien 26B, Eidsvåg",60.43554,5.306003
1419970,"Granlien 26C, Eidsvåg",60.435416,5.306381
1419971,"Granlien 27, Eidsvåg",60.433515,5.312362
1419972,"Granlien 7, Eidsvåg",60.435647,5.307246
1419973,"Granlien 8, Eidsvåg",60.438219,5.30308
1419974,"Granlien 9, Eidsvåg",60.435471,5.307703
1419975,"Granlien 9A, Eidsvåg",60.435433,5.307962
1419976,"Granlien 10, Eidsvåg",60.437904,5.303061
1419977,"Granlien 10A, Eidsvåg",60.437667,5.30327
