,Navn,Long,Lat
1418983,"Blådalen 1, Eidsvåg",60.452056,5.317827
1418984,"Blådalen 2, Eidsvåg",60.452413,5.317423
1418985,"Blådalen 3, Eidsvåg",60.451834,5.317943
1418986,"Blådalen 4, Eidsvåg",60.452629,5.317435
1418987,"Blådalen 5, Eidsvåg",60.451427,5.318153
1418988,"Blådalen 6, Eidsvåg",60.452813,5.317268
1418989,"Blådalen 7, Eidsvåg",60.451097,5.318245
1419022,"Blådalen 8, Eidsvåg",60.452991,5.317194
1419023,"Blådalen 9, Eidsvåg",60.450865,5.318326
1419024,"Blådalen 10, Eidsvåg",60.453195,5.31708
1419025,"Blådalen 11, Eidsvåg",60.450599,5.318465
1419026,"Blådalen 12, Eidsvåg",60.4534,5.317038
1419027,"Blådalen 13, Eidsvåg",60.450527,5.318128
1419028,"Blådalen 15, Eidsvåg",60.450766,5.317992
1419029,"Blådalen 17, Eidsvåg",60.45098,5.317913
1419030,"Blådalen 19, Eidsvåg",60.451282,5.317788
1419031,"Blådalen 21, Eidsvåg",60.451477,5.317711
1419032,"Blådalen 23, Eidsvåg",60.451805,5.317546
1419033,"Blådalen 25, Eidsvåg",60.452115,5.317384
1419034,"Blådalen 35, Eidsvåg",60.452496,5.315539
1419035,"Blådalen 37, Eidsvåg",60.452485,5.314485
1419036,"Blådalen 39, Eidsvåg",60.453605,5.315341
1419924,"Glasskaret 11, Eidsvåg",60.444438,5.327732
1419925,"Glasskaret 12, Eidsvåg",60.444804,5.326981
1419926,"Glasskaret 13, Eidsvåg",60.444768,5.327658
1419927,"Glasskaret 14, Eidsvåg",60.445072,5.326951
1419928,"Glasskaret 15, Eidsvåg",60.445059,5.327753
1419929,"Glasskaret 16, Eidsvåg",60.445345,5.326738
1419930,"Glasskaret 17, Eidsvåg",60.445373,5.328063
1419931,"Glasskaret 19, Eidsvåg",60.445395,5.327551
1419932,"Glasskaret 20, Eidsvåg",60.445863,5.325624
1419933,"Glasskaret 22, Eidsvåg",60.445913,5.326474
1419952,"Glasskaret 3, Eidsvåg",60.443723,5.328231
1419953,"Glasskaret 5, Eidsvåg",60.443954,5.328114
1419954,"Glasskaret 7, Eidsvåg",60.444078,5.327736
1419955,"Glasskaret 9, Eidsvåg",60.444385,5.327774
1422067,"Nedre Åstveit 10, Eidsvåg",60.446566,5.308825
1422068,"Nedre Åstveit 11, Eidsvåg",60.447084,5.309021
1422069,"Nedre Åstveit 12, Eidsvåg",60.446125,5.310404
1422070,"Nedre Åstveit 18, Eidsvåg",60.446639,5.308508
1422071,"Nedre Åstveit 19, Eidsvåg",60.447003,5.307393
1422072,"Nedre Åstveit 20, Eidsvåg",60.446607,5.30802
1422073,"Nedre Åstveit 22, Eidsvåg",60.446548,5.307517
1422074,"Nedre Åstveit 24, Eidsvåg",60.446692,5.30721
1422108,"Nedre Åstveit 24B, Eidsvåg",60.44639,5.307317
1422109,"Nedre Åstveit 26, Eidsvåg",60.446567,5.306569
1422110,"Nedre Åstveit 28, Eidsvåg",60.446847,5.306301
1422111,"Nedre Åstveit 29, Eidsvåg",60.447323,5.306249
1422887,"Selvikveien 49, Eidsvåg",60.437619,5.337978
1422888,"Selvikveien 50, Eidsvåg",60.43827,5.337432
1422889,"Selvikveien 51, Eidsvåg",60.437308,5.338104
1422890,"Selvikveien 52, Eidsvåg",60.438518,5.33764
1422891,"Selvikveien 53, Eidsvåg",60.437454,5.338488
1422892,"Selvikveien 54, Eidsvåg",60.438323,5.338408
1422893,"Selvikveien 55, Eidsvåg",60.437913,5.337872
1422894,"Selvikveien 56, Eidsvåg",60.438396,5.339073
1422895,"Selvikveien 57, Eidsvåg",60.437915,5.338581
1422896,"Selvikveien 58, Eidsvåg",60.438243,5.339399
1422897,"Selvikveien 59, Eidsvåg",60.438077,5.338927
1422898,"Storbotn 155, Eidsvåg",60.450292,5.327198
1422899,"Selvikveien 60, Eidsvåg",60.438234,5.339728
1422900,"Selvikveien 61, Eidsvåg",60.437718,5.338931
1422901,"Selvikveien 62, Eidsvåg",60.438209,5.339821
1422902,"Selvikveien 63, Eidsvåg",60.437573,5.339548
1422903,"Selvikveien 65, Eidsvåg",60.437385,5.339914
1422904,"Selvikveien 20, Eidsvåg",60.439772,5.32835
1422905,"Selvikveien 21, Eidsvåg",60.439337,5.329509
1422906,"Selvikveien 22, Eidsvåg",60.439903,5.32788
1422907,"Selvikveien 23, Eidsvåg",60.439204,5.329924
1422908,"Selvikveien 24, Eidsvåg",60.440099,5.327495
1422909,"Selvikveien 25, Eidsvåg",60.438864,5.330963
1422910,"Selvikveien 28, Eidsvåg",60.440384,5.32739
1422911,"Selvikveien 29, Eidsvåg",60.43933,5.33091
1422912,"Selvikveien 30, Eidsvåg",60.440185,5.327994
1422913,"Selvikveien 34, Eidsvåg",60.439643,5.328874
