,Navn,Long,Lat
1414027,"Kipo 14, Eidsvåg",60.457165,5.277574
1414339,"Kipo 15, Eidsvåg",60.456381,5.280703
1414523,"Kipo 16, Eidsvåg",60.457281,5.277215
1414608,"Kipo 17, Eidsvåg",60.456131,5.280113
1414629,"Kipo 18, Eidsvåg",60.457432,5.276488
1415004,"Kipo 19, Eidsvåg",60.45637,5.279667
1415229,"Kipo 21, Eidsvåg",60.456534,5.279102
1415974,"Kipo 22, Eidsvåg",60.457581,5.275087
1416123,"Kipo 23, Eidsvåg",60.456775,5.278092
1416144,"Kipo 24, Eidsvåg",60.457585,5.274559
1416566,"Kipo 25, Eidsvåg",60.456895,5.277532
1416718,"Kipo 27, Eidsvåg",60.456963,5.277087
1416844,"Kipo 28, Eidsvåg",60.45783,5.273366
1417627,"Kipo 29, Eidsvåg",60.457065,5.276548
1417649,"Kipo 31, Eidsvåg",60.457182,5.275898
1417671,"Kipo 33, Eidsvåg",60.457259,5.275142
1418942,"Bekkjarvikveien 16, Eidsvåg",60.458504,5.284628
1418943,"Bekkjarvikveien 17, Eidsvåg",60.457764,5.283893
1418944,"Bekkjarvikveien 18, Eidsvåg",60.4584,5.283784
1418945,"Bekkjarvikveien 19, Eidsvåg",60.457496,5.283287
1418946,"Bekkjarvikveien 21, Eidsvåg",60.457774,5.283273
1418947,"Bekkjarvikveien 22, Eidsvåg",60.458581,5.283836
1418948,"Bekkjarvikveien 23A, Eidsvåg",60.457659,5.282049
1418949,"Bekkjarvikveien 23B, Eidsvåg",60.457676,5.282029
1418950,"Bekkjarvikveien 24, Eidsvåg",60.459073,5.283452
1418951,"Bekkjarvikveien 24A, Eidsvåg",60.458965,5.283756
1418952,"Bekkjarvikveien 25A, Eidsvåg",60.457692,5.281936
1418953,"Bekkjarvikveien 25B, Eidsvåg",60.457709,5.281898
1418954,"Bekkjarvikveien 26, Eidsvåg",60.459151,5.283316
1418955,"Bekkjarvikveien 27A, Eidsvåg",60.457741,5.281748
1418956,"Bekkjarvikveien 27B, Eidsvåg",60.457757,5.28171
1418957,"Bekkjarvikveien 28, Eidsvåg",60.459236,5.283142
1418959,"Bekkjarvikveien 1, Eidsvåg",60.45751,5.287981
1418960,"Bekkjarvikveien 2, Eidsvåg",60.457963,5.287474
1418961,"Bekkjarvikveien 3, Eidsvåg",60.45749,5.287255
1418962,"Bekkjarvikveien 4, Eidsvåg",60.458543,5.285388
1418963,"Bekkjarvikveien 4A, Eidsvåg",60.458326,5.285649
1418964,"Bekkjarvikveien 5, Eidsvåg",60.45742,5.286371
1418965,"Bekkjarvikveien 6, Eidsvåg",60.458071,5.286825
1418966,"Bekkjarvikveien 7, Eidsvåg",60.457697,5.286321
1418967,"Bekkjarvikveien 8, Eidsvåg",60.458022,5.286048
1418968,"Bekkjarvikveien 9, Eidsvåg",60.457639,5.285837
1418969,"Bekkjarvikveien 10, Eidsvåg",60.458033,5.285482
1418970,"Bekkjarvikveien 12, Eidsvåg",60.458228,5.284714
1418971,"Bekkjarvikveien 13, Eidsvåg",60.457763,5.284166
1418972,"Bekkjarvikveien 14, Eidsvåg",60.458285,5.285144
1418973,"Bekkjarvikveien 15, Eidsvåg",60.457768,5.28402
