,Navn,Long,Lat
1420533,"Kistebakkane 104, Salhus",60.490214,5.275092
1420534,"Kistebakkane 108, Salhus",60.490178,5.276369
1420548,"Kistebakkane 66, Salhus",60.490814,5.272274
1420549,"Kistebakkane 68, Salhus",60.490798,5.272348
1420550,"Kistebakkane 70, Salhus",60.490782,5.272441
1420551,"Kistebakkane 72, Salhus",60.490766,5.272516
1420552,"Kistebakkane 74, Salhus",60.490751,5.272609
1420553,"Kistebakkane 76, Salhus",60.490717,5.272685
1420554,"Kistebakkane 78, Salhus",60.49065,5.273167
1420555,"Kistebakkane 80, Salhus",60.490616,5.273225
1420556,"Kistebakkane 82, Salhus",60.490609,5.273299
1420557,"Kistebakkane 84, Salhus",60.490584,5.273393
1420558,"Kistebakkane 86, Salhus",60.490559,5.273469
1420559,"Kistebakkane 88, Salhus",60.490535,5.273563
1420560,"Kistebakkane 90, Salhus",60.490519,5.273637
1420561,"Kistebakkane 92, Salhus",60.490494,5.273713
1420562,"Kistebakkane 94, Salhus",60.490488,5.273805
1420563,"Kistebakkane 96, Salhus",60.490463,5.273881
1420597,"Kistebakkane 2, Salhus",60.493855,5.263415
1420598,"Kistebakkane 4, Salhus",60.494361,5.263193
1420599,"Kistebakkane 5, Salhus",60.493088,5.263613
1420600,"Kistebakkane 6, Salhus",60.49421,5.263884
1420601,"Kistebakkane 8, Salhus",60.494198,5.263449
1420602,"Kistebakkane 10, Salhus",60.493833,5.263891
1420603,"Kistebakkane 14, Salhus",60.493448,5.263972
1420604,"Kistebakkane 15, Salhus",60.492916,5.264234
1420605,"Kistebakkane 17, Salhus",60.492658,5.26399
1420606,"Kistebakkane 18, Salhus",60.493026,5.26495
1420607,"Kistebakkane 20, Salhus",60.4928,5.265213
1420608,"Kistebakkane 21, Salhus",60.492263,5.264637
1420609,"Kistebakkane 22, Salhus",60.492539,5.265516
1420610,"Kistebakkane 24, Salhus",60.492623,5.265962
1420611,"Kistebakkane 26, Salhus",60.492401,5.266352
1420612,"Kistebakkane 48, Salhus",60.491389,5.270987
1420613,"Kistebakkane 49, Salhus",60.490733,5.270989
1420614,"Kistebakkane 50, Salhus",60.491178,5.271175
1420615,"Kistebakkane 51, Salhus",60.490609,5.271386
1420616,"Kistebakkane 52, Salhus",60.491017,5.271521
1420617,"Kistebakkane 53, Salhus",60.490451,5.271842
1420618,"Kistebakkane 54, Salhus",60.490944,5.271785
1420619,"Kistebakkane 55, Salhus",60.490336,5.272237
1420620,"Kistebakkane 56, Salhus",60.49091,5.271862
1420621,"Kistebakkane 57, Salhus",60.490233,5.272741
1420622,"Kistebakkane 58, Salhus",60.490904,5.271954
1420623,"Kistebakkane 59, Salhus",60.49012,5.273191
1420624,"Kistebakkane 60, Salhus",60.490879,5.272029
1420625,"Kistebakkane 61, Salhus",60.490041,5.273565
1420626,"Kistebakkane 62, Salhus",60.490854,5.272123
1420627,"Kistebakkane 64, Salhus",60.490838,5.272198
1420628,"Kistebakkane 28, Salhus",60.492203,5.266685
1420629,"Kistebakkane 30, Salhus",60.492007,5.267053
1420630,"Kistebakkane 31, Salhus",60.491863,5.267689
1420631,"Kistebakkane 32, Salhus",60.491871,5.268308
1420632,"Kistebakkane 34, Salhus",60.491521,5.268312
1420633,"Kistebakkane 34C, Salhus",60.493363,5.265749
