,Navn,Long,Lat
1395028,"Bønesberget 54, Bønes",60.329615,5.312846
1395029,"Bønesberget 52, Bønes",60.329407,5.312488
1395030,"Bønesberget 50, Bønes",60.32927,5.312069
1395031,"Bønesberget 49, Bønes",60.329147,5.308965
1395032,"Bønesberget 48, Bønes",60.329221,5.311621
1395033,"Bønesberget 47, Bønes",60.329078,5.309371
1395034,"Bønesberget 46, Bønes",60.329261,5.311127
1395035,"Bønesberget 45, Bønes",60.329085,5.309951
1395036,"Bønesberget 41, Bønes",60.328794,5.310147
1395037,"Bønesberget 40, Bønes",60.330285,5.310776
1395038,"Bønesberget 39, Bønes",60.329061,5.31037
1395039,"Bønesberget 38, Bønes",60.33035,5.310859
1395040,"Bønesberget 36, Bønes",60.33,5.311189
1395041,"Bønesberget 34, Bønes",60.329646,5.311392
1395042,"Bønesberget 32, Bønes",60.329828,5.312114
1395043,"Bønesberget 31, Bønes",60.330114,5.310106
1395047,"Bønesberget 84, Bønes",60.32883,5.308874
1395048,"Bønesberget 82, Bønes",60.328835,5.309363
1395049,"Bønesberget 74, Bønes",60.328478,5.309784
1395050,"Bønesberget 72, Bønes",60.328509,5.310269
1395051,"Bønesberget 70, Bønes",60.328656,5.310706
1395052,"Bønesberget 68, Bønes",60.328953,5.311035
1395053,"Bønesberget 66, Bønes",60.329077,5.312254
1395054,"Bønesberget 64, Bønes",60.32915,5.312608
1395055,"Bønesberget 62, Bønes",60.329264,5.312849
1395088,"Bønesberget 16, Bønes",60.330895,5.310707
1395089,"Bønesberget 15, Bønes",60.330427,5.309726
1395090,"Bønesberget 14, Bønes",60.331369,5.310635
1395091,"Bønesberget 13, Bønes",60.330687,5.310023
1395092,"Bønesberget 12, Bønes",60.331767,5.310717
1395093,"Bønesberget 11, Bønes",60.331028,5.309695
1395094,"Bønesberget 9, Bønes",60.330662,5.309464
1395095,"Bønesberget 7, Bønes",60.331129,5.309103
1395096,"Bønesberget 5, Bønes",60.331422,5.308997
1395097,"Bønesberget 3, Bønes",60.331331,5.309588
1395098,"Bønesberget 1, Bønes",60.3324,5.308615
1395104,"Bønesberget 30, Bønes",60.329937,5.312483
1395105,"Bønesberget 29, Bønes",60.329916,5.309766
