,Navn,Long,Lat
1416002,"Olsvikmarken 4, Olsvik",60.385581,5.214843
1416003,"Olsvikmarken 6, Olsvik",60.385575,5.215261
1416004,"Olsvikmarken 8, Olsvik",60.385437,5.215768
1416005,"Olsvikmarken 10, Olsvik",60.385238,5.216045
1416006,"Olsvikmarken 20, Olsvik",60.385182,5.214072
1416279,"Olsvikmarken 100, Olsvik",60.383966,5.215866
1416280,"Olsvikmarken 101, Olsvik",60.383777,5.212728
1416281,"Olsvikmarken 102, Olsvik",60.383797,5.215958
1416282,"Olsvikmarken 102A, Olsvik",60.383905,5.215964
1416283,"Olsvikmarken 103, Olsvik",60.383821,5.212687
1416284,"Olsvikmarken 104, Olsvik",60.3838,5.216067
1416285,"Olsvikmarken 104A, Olsvik",60.383805,5.215903
1416286,"Olsvikmarken 105, Olsvik",60.383883,5.212643
1416287,"Olsvikmarken 106, Olsvik",60.383756,5.216072
1416288,"Olsvikmarken 107, Olsvik",60.383927,5.212602
1416289,"Olsvikmarken 108, Olsvik",60.383701,5.21606
1416290,"Olsvikmarken 109, Olsvik",60.38398,5.212596
1416291,"Olsvikmarken 110, Olsvik",60.383648,5.216066
1416292,"Olsvikmarken 111, Olsvik",60.384025,5.21259
1416293,"Olsvikmarken 112, Olsvik",60.383594,5.216073
1416294,"Olsvikmarken 113, Olsvik",60.384079,5.212602
1416295,"Olsvikmarken 87, Olsvik",60.383721,5.213261
1416296,"Olsvikmarken 88, Olsvik",60.384299,5.215573
1416297,"Olsvikmarken 88A, Olsvik",60.384301,5.215664
1416298,"Olsvikmarken 89, Olsvik",60.383666,5.213231
1416299,"Olsvikmarken 90, Olsvik",60.384228,5.215618
1416300,"Olsvikmarken 91, Olsvik",60.383551,5.212991
1416301,"Olsvikmarken 92, Olsvik",60.384193,5.215658
1416302,"Olsvikmarken 93, Olsvik",60.383603,5.21293
1416303,"Olsvikmarken 94, Olsvik",60.384132,5.215701
1416304,"Olsvikmarken 94A, Olsvik",60.384103,5.215632
1416305,"Olsvikmarken 95, Olsvik",60.383629,5.212873
1416306,"Olsvikmarken 96, Olsvik",60.384052,5.215729
1416307,"Olsvikmarken 96A, Olsvik",60.384015,5.215715
1416308,"Olsvikmarken 97, Olsvik",60.383674,5.212885
1416309,"Olsvikmarken 98, Olsvik",60.384008,5.215788
1416310,"Olsvikmarken 99, Olsvik",60.383725,5.212789
1416311,"Olsvikmarken 127, Olsvik",60.384317,5.212121
1416312,"Olsvikmarken 128, Olsvik",60.383603,5.215145
1416313,"Olsvikmarken 129, Olsvik",60.384279,5.212052
1416314,"Olsvikmarken 130, Olsvik",60.383568,5.21515
1416315,"Olsvikmarken 131, Olsvik",60.384234,5.212021
1416316,"Olsvikmarken 132, Olsvik",60.383505,5.215157
1416317,"Olsvikmarken 133, Olsvik",60.384179,5.211991
1416318,"Olsvikmarken 134, Olsvik",60.383469,5.215143
1416319,"Olsvikmarken 135, Olsvik",60.384134,5.211997
1416320,"Olsvikmarken 136, Olsvik",60.383406,5.21515
