,Navn,Long,Lat
1394707,"Apeltunvegen 47, Skjold",60.303815,5.348161
1394712,"Apeltunvegen 59, Skjold",60.302639,5.346916
1394718,"Apeltunvegen 55B, Skjold",60.303271,5.346356
1394719,"Apeltunvegen 55, Skjold",60.303274,5.346809
1394723,"Apeltunvegen 53B, Skjold",60.303034,5.347216
1394724,"Apeltunvegen 53A, Skjold",60.303462,5.34744
1394725,"Apeltunvegen 53, Skjold",60.303241,5.347555
1394727,"Apeltunvegen 51, Skjold",60.303476,5.347927
1394733,"Apeltunvegen 90, Skjold",60.299048,5.344782
1394734,"Apeltunvegen 75, Skjold",60.299096,5.343925
1394735,"Apeltunvegen 73, Skjold",60.299391,5.344182
1394736,"Apeltunvegen 71, Skjold",60.299882,5.344399
1394737,"Apeltunvegen 69A, Skjold",60.300365,5.344961
1394738,"Apeltunvegen 69, Skjold",60.300662,5.344964
1394739,"Apeltunvegen 67, Skjold",60.301,5.345161
1394740,"Apeltunvegen 65, Skjold",60.301309,5.345308
1394741,"Apeltunvegen 61, Skjold",60.302442,5.34663
1395625,"Dådyrvegen 5D, Skjold",60.301652,5.345034
1395626,"Dådyrvegen 5C, Skjold",60.301411,5.344771
1395627,"Dådyrvegen 5B, Skjold",60.301173,5.344599
1395628,"Dådyrvegen 5A, Skjold",60.300877,5.344384
1395629,"Dådyrvegen 5, Skjold",60.30062,5.344099
1395630,"Dådyrvegen 4, Skjold",60.300162,5.34377
1395631,"Dådyrvegen 3B, Skjold",60.300416,5.344194
1395632,"Dådyrvegen 3, Skjold",60.300495,5.344439
1395646,"Dådyrvegen 14, Skjold",60.300665,5.34279
1395647,"Dådyrvegen 12, Skjold",60.300588,5.342943
1395648,"Dådyrvegen 10, Skjold",60.300426,5.343251
1395649,"Dådyrvegen 9A, Skjold",60.301099,5.34323
1395650,"Dådyrvegen 9, Skjold",60.301006,5.343114
1395651,"Dådyrvegen 8, Skjold",60.300383,5.343329
1395652,"Dådyrvegen 7E, Skjold",60.301483,5.343459
1395653,"Dådyrvegen 7D, Skjold",60.30128,5.343916
1395654,"Dådyrvegen 7B, Skjold",60.300941,5.343683
1395655,"Dådyrvegen 7A, Skjold",60.30079,5.343428
1395656,"Dådyrvegen 6, Skjold",60.300187,5.343713
1395783,"Ekerstølsvegen 17, Skjold",60.292473,5.352778
1395784,"Ekerstølsvegen 15, Skjold",60.292055,5.352299
1395785,"Ekerstølsvegen 13, Skjold",60.292061,5.351846
1395786,"Ekerstølsvegen 11, Skjold",60.29215,5.351184
1395787,"Ekerstølsvegen 9, Skjold",60.292288,5.350626
1395788,"Ekerstølsvegen 7, Skjold",60.292289,5.349684
1395789,"Ekerstølsvegen 6, Skjold",60.292877,5.352099
1395790,"Ekerstølsvegen 5, Skjold",60.292536,5.349511
1395791,"Ekerstølsvegen 4, Skjold",60.292586,5.352312
1395792,"Ekerstølsvegen 2, Skjold",60.29269,5.351214
